date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,5.36,5.6,5.3,5.6,774322,774322,0.19,3.512,5.5022,"Aug 5, 13",0
2013-08-06,5.58,5.58,5.45,5.47,482984,482984,-0.13,-2.321,5.4991,"Aug 6, 13",-0.023214285714285698
2013-08-07,5.43,5.45,5.15,5.22,786409,786409,-0.25,-4.57,5.2508,"Aug 7, 13",-0.06785714285714284
2013-08-08,5.23,5.28,4.85,5.22,1097151,1097151,0,0,5.1181,"Aug 8, 13",-0.06785714285714284
2013-08-09,5.22,5.34,5.07,5.08,494216,494216,-0.14,-2.682,5.1647,"Aug 9, 13",-0.09285714285714279
2013-08-12,5,5.24,5,5.16,580102,580102,0.08,1.575,5.1411,"Aug 12, 13",-0.07857142857142849
2013-08-13,5.2,5.2,4.95,4.97,808450,808450,-0.19,-3.682,5.0167,"Aug 13, 13",-0.11249999999999999
2013-08-14,5.32,5.33,5,5.3,1325941,1325941,0.33,6.64,5.1937,"Aug 14, 13",-0.05357142857142854
2013-08-15,5.25,5.2585,5.08,5.11,787234,787234,-0.19,-3.585,5.1483,"Aug 15, 13",-0.08749999999999988
2013-08-16,5.09,5.25,5.05,5.13,608224,608224,0.02,0.391,5.1549,"Aug 16, 13",-0.0839285714285714
2013-08-19,5.09,5.23,5.07,5.08,409325,409325,-0.05,-0.975,5.1454,"Aug 19, 13",-0.09285714285714279
2013-08-20,5.1,5.38,5.095,5.2,475763,475763,0.12,2.362,5.2362,"Aug 20, 13",-0.07142857142857134
2013-08-21,5.19,5.62,5.19,5.58,1232575,1232575,0.38,7.308,5.4555,"Aug 21, 13",-0.0035714285714284954
2013-08-22,5.62,5.64,5.35,5.4,1274211,1274211,-0.18,-3.226,5.4716,"Aug 22, 13",-0.03571428571428559
2013-08-23,5.53,5.73,5.23,5.71,1731753,1731753,0.31,5.741,5.4872,"Aug 23, 13",0.0196428571428572
2013-08-26,5.81,6.54,5.735,6.15,4044907,4044907,0.44,7.706,6.17,"Aug 26, 13",0.09821428571428585
2013-08-27,6.03,6.29,5.9,5.94,1554013,1554013,-0.21,-3.415,6.0403,"Aug 27, 13",0.06071428571428585
2013-08-28,5.92,6.06,5.89,5.96,629339,629339,0.02,0.337,5.9738,"Aug 28, 13",0.06428571428571435
2013-08-29,5.96,6.18,5.94,6.06,664054,664054,0.1,1.678,6.0673,"Aug 29, 13",0.08214285714285714
2013-08-30,6.06,6.09,5.89,5.95,657523,657523,-0.11,-1.815,5.9596,"Aug 30, 13",0.0625000000000001
2013-09-03,6.03,6.06,5.77,5.85,634797,634797,-0.1,-1.681,5.8784,"Sep 3, 13",0.044642857142857144
2013-09-04,5.87,6.031,5.83,5.97,655474,655474,0.12,2.051,5.9417,"Sep 4, 13",0.0660714285714286
2013-09-05,6.01,6.35,5.95,6.31,1728236,1728236,0.34,5.695,6.1972,"Sep 5, 13",0.12678571428571428
2013-09-06,6.3,6.45,6,6.21,1303797,1303797,-0.1,-1.585,6.2355,"Sep 6, 13",0.10892857142857149
2013-09-09,6.25,6.36,6.16,6.3,566105,566105,0.09,1.449,6.2763,"Sep 9, 13",0.12500000000000003
2013-09-10,6.32,6.7,6.27,6.52,1294566,1294566,0.22,3.492,6.4647,"Sep 10, 13",0.16428571428571428
2013-09-11,6.49,6.59,6.23,6.29,754092,754092,-0.23,-3.528,6.3254,"Sep 11, 13",0.12321428571428579
2013-09-12,6.34,6.37,6.01,6.25,575098,575098,-0.04,-0.636,6.2649,"Sep 12, 13",0.11607142857142864
2013-09-13,6.29,6.29,5.96,6.06,527719,527719,-0.19,-3.04,6.0675,"Sep 13, 13",0.08214285714285714
2013-09-16,6.15,6.23,5.82,5.86,684131,684131,-0.2,-3.3,5.925,"Sep 16, 13",0.046428571428571555
2013-09-17,5.84,6.06,5.79,5.95,706509,706509,0.09,1.536,5.9386,"Sep 17, 13",0.0625000000000001
2013-09-18,5.94,6,5.77,5.95,559411,559411,0,0,5.8991,"Sep 18, 13",0.0625000000000001
2013-09-19,5.95,6,5.8,5.99,527178,527178,0.04,0.672,5.9014,"Sep 19, 13",0.06964285714285724
2013-09-20,6.06,6.06,5.815,5.83,853020,853020,-0.16,-2.671,5.8898,"Sep 20, 13",0.04107142857142865
2013-09-23,5.82,5.92,5.63,5.73,876462,876462,-0.1,-1.715,5.759,"Sep 23, 13",0.023214285714285854
2013-09-24,5.71,6.03,5.66,6.02,774302,774302,0.29,5.061,5.9193,"Sep 24, 13",0.075
2013-09-25,6.01,6.1801,5.82,6.12,1117209,1117209,0.1,1.661,6.0649,"Sep 25, 13",0.09285714285714294
2013-09-26,6.15,6.27,5.99,6.15,567948,567948,0.03,0.49,6.1059,"Sep 26, 13",0.09821428571428585
2013-09-27,6.09,6.39,6.05,6.2,1070796,1070796,0.05,0.813,6.254,"Sep 27, 13",0.10714285714285725
2013-09-30,6.06,6.22,5.93,6.2,793555,793555,0,0,6.1143,"Sep 30, 13",0.10714285714285725
