date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-18,5.8,5.8,5.1,5.35,216190,216190,5.35,0,5.4117,"Feb 18, 14",0
2014-02-19,5.33,5.35,5.18,5.25,501688,501688,-0.1,-1.869,5.2593,"Feb 19, 14",-0.018691588785046665
2014-02-20,5.3,5.49,5.25,5.44,55915,55915,0.19,3.619,5.396,"Feb 20, 14",0.016822429906542195
2014-02-21,5.85,5.95,5.3,5.6,142038,142038,0.16,2.941,5.4598,"Feb 21, 14",0.04672897196261683
2014-02-24,5.9,5.95,5.6,5.95,144561,144561,0.35,6.25,5.7896,"Feb 24, 14",0.11214953271028048
2014-02-25,5.95,5.95,5.9,5.95,83294,83294,0,0,5.9176,"Feb 25, 14",0.11214953271028048
2014-02-26,6.05,6.05,5.5,5.87,85300,85300,-0.08,-1.345,5.809,"Feb 26, 14",0.09719626168224309
2014-02-27,5.8,5.99,5.5,5.91,49791,49791,0.04,0.681,5.8243,"Feb 27, 14",0.10467289719626179
2014-02-28,5.91,5.91,5.5,5.52,31295,31295,-0.39,-6.599,5.603,"Feb 28, 14",0.031775700934579425
2014-03-03,5.35,6.25,5.35,6.1,89563,89563,0.58,10.507,5.9135,"Mar 3, 14",0.14018691588785048
2014-03-04,6.1,6.84,5.86,6.84,142569,142569,0.74,12.131,6.545,"Mar 4, 14",0.2785046728971963
2014-03-05,6.84,8.9,6.84,8.25,433029,433029,1.41,20.614,7.9808,"Mar 5, 14",0.5420560747663552
2014-03-06,8.5,8.5,7.7,7.99,37039,37039,-0.26,-3.152,7.9993,"Mar 6, 14",0.4934579439252338
2014-03-07,7.9,9,7.89,8.7,135810,135810,0.71,8.886,8.4506,"Mar 7, 14",0.6261682242990654
2014-03-10,8.9,9,8.71,8.95,76466,76466,0.25,2.874,8.8303,"Mar 10, 14",0.6728971962616822
2014-03-11,8.8,9,8.1,8.4,31987,31987,-0.55,-6.145,8.5495,"Mar 11, 14",0.5700934579439254
2014-03-12,8.48,8.48,7.95,8.29,44948,44948,-0.11,-1.31,8.0768,"Mar 12, 14",0.5495327102803738
2014-03-13,8.4,8.4,7.68,7.88,40030,40030,-0.41,-4.946,7.916,"Mar 13, 14",0.4728971962616823
2014-03-14,7.8,7.8,7.15,7.6,27214,27214,-0.28,-3.553,7.5272,"Mar 14, 14",0.42056074766355145
2014-03-17,7.5,7.95,7.16,7.95,26014,26014,0.35,4.605,7.6986,"Mar 17, 14",0.48598130841121506
