date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,16.2204,16.5199,16.179,16.4943,1558,1558,0.273906,1.689,16.2773,"Aug 5, 13",0
2013-08-06,16.4686,16.4686,16.2632,16.306,1500,1500,-0.188312,-1.142,16.3322,"Aug 6, 13",-0.011416064943647088
2013-08-07,16.1091,16.2631,15.9893,16.2631,1008,1008,-0.042884,-0.263,16.1066,"Aug 7, 13",-0.014016963435853454
2013-08-08,16.2204,16.2204,16.0682,16.0682,360,360,-0.1949,-1.198,16.1104,"Aug 8, 13",-0.025833166609070903
2013-08-09,16.2632,16.2632,16.2632,16.2632,250,250,0.194985,1.213,16.2632,"Aug 9, 13",-0.014010900735405436
2013-08-12,16.2204,16.3488,16.1488,16.1488,965,965,-0.114356,-0.703,16.2679,"Aug 12, 13",-0.02094663004795582
2013-08-13,16.4001,16.4001,16.0064,16.2631,1227,1227,0.114271,0.708,16.1083,"Aug 13, 13",-0.014016963435853454
2013-08-14,16.2545,16.2545,16.2375,16.2375,1100,1100,-0.025593,-0.157,16.253,"Aug 14, 13",-0.015569014750550092
2013-08-15,16.2118,16.2118,16.2118,16.2118,192,192,-0.025677,-0.158,16.2118,"Aug 15, 13",-0.01712712876569475
2013-08-16,15.9807,16.0072,15.836,15.8763,4278,4278,-0.335537,-2.07,15.9434,"Aug 16, 13",-0.03746748876884733
2013-08-19,16.2032,16.2032,16.1776,16.1776,450,450,0.301299,1.898,16.1937,"Aug 19, 13",-0.019200572318922134
2013-08-20,16.169,16.169,16.169,16.169,125,125,-0.00856,-0.053,16.169,"Aug 20, 13",-0.019721964557453096
2013-08-21,16.1947,16.2024,16.1433,16.1433,1617,1617,-0.025678,-0.159,16.1842,"Aug 21, 13",-0.02128007857259775
2013-08-22,16.1604,16.1604,13.6782,15.236,8749,8749,-0.907316,-5.62,14.5217,"Aug 22, 13",-0.07628695973760623
2013-08-23,15.5733,15.7487,15.3216,15.4243,4300,4300,0.188312,1.236,15.5162,"Aug 23, 13",-0.06487089479395904
2013-08-26,15.5784,15.5784,15.45,15.4928,969,969,0.068477,0.444,15.4941,"Aug 26, 13",-0.06071794498705604
2013-08-27,15.5099,15.5099,15.4072,15.4414,2300,2300,-0.051357,-0.331,15.4697,"Aug 27, 13",-0.06383417301734534
2013-08-28,15.4072,15.4072,15.3216,15.4071,1370,1370,-0.034325,-0.222,15.3953,"Aug 28, 13",-0.06591367927102086
2013-08-29,15.373,16.1091,15.373,16.1091,505,505,0.70197,4.556,15.8607,"Aug 29, 13",-0.023353522125825137
2013-08-30,15.8009,15.9208,15.8009,15.8181,300,300,-0.291024,-1.807,15.8466,"Aug 30, 13",-0.04099598042960294
2013-09-03,15.7753,15.7753,15.7753,15.7753,400,400,-0.0428,-0.271,15.7753,"Sep 3, 13",-0.04359081622136129
2013-09-06,15.7667,15.7667,15.4047,15.4047,502,502,-0.370543,-2.349,15.5489,"Sep 6, 13",-0.06605918408177365
2013-09-09,15.6408,15.7153,15.3216,15.3216,969,969,-0.083113,-0.54,15.5451,"Sep 9, 13",-0.07109728815408954
2013-09-11,15.2959,15.3045,15.2788,15.2788,970,970,-0.042798,-0.279,15.2877,"Sep 11, 13",-0.07369212394584788
2013-09-13,15.51,15.681,15.51,15.6725,3298,3298,0.393741,2.577,15.6297,"Sep 13, 13",-0.0498232722819398
