date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,20.203,20.5199,20.203,20.4754,310770,310770,0.317803,1.577,20.4175,"Aug 5, 13",0
2013-08-06,20.5027,20.6392,20.3298,20.5027,189213,189213,0.027334,0.133,20.4759,"Aug 6, 13",0.0013333072858161658
2013-08-07,20.4663,20.5117,20.3116,20.4117,97126,97126,-0.091003,-0.444,20.4124,"Aug 7, 13",-0.0031110503335710538
2013-08-08,20.5573,20.7848,20.3571,20.3935,123624,123624,-0.0182,-0.089,20.4222,"Aug 8, 13",-0.003999921857448498
2013-08-09,20.3571,20.3844,20.2843,20.3298,77216,77216,-0.063701,-0.312,20.3601,"Aug 9, 13",-0.007110972191019552
2013-08-12,20.2024,20.3298,20.0113,20.0568,147432,147432,-0.273006,-1.343,20.1367,"Aug 12, 13",-0.02044404504918104
2013-08-13,20.1296,20.1296,19.6655,19.7656,167700,167700,-0.291205,-1.452,19.7849,"Aug 13, 13",-0.034665989431219964
2013-08-14,19.711,19.8748,19.6655,19.7474,79198,79198,-0.0182,-0.092,19.7689,"Aug 14, 13",-0.03555486095509741
2013-08-15,19.5836,19.7565,19.3379,19.4107,104730,104730,-0.336708,-1.705,19.4345,"Aug 15, 13",-0.05199898414682995
2013-08-16,19.3197,19.5563,19.256,19.3561,104801,104801,-0.054602,-0.281,19.3808,"Aug 16, 13",-0.054665598718462105
2013-08-19,19.3561,19.4289,19.2378,19.2924,80974,80974,-0.0637,-0.329,19.3032,"Aug 19, 13",-0.05777664905203316
2013-08-20,19.3015,19.7383,19.2578,19.7201,106362,106362,0.427707,2.217,19.6216,"Aug 20, 13",-0.03688816824091358
2013-08-21,19.6018,19.6473,19.3115,19.347,104211,104211,-0.373106,-1.892,19.4532,"Aug 21, 13",-0.05511003448040083
2013-08-22,19.4289,19.6382,19.3652,19.6382,49385,49385,0.291206,1.505,19.5776,"Aug 22, 13",-0.040888090098361904
2013-08-23,19.6382,19.7201,19.3652,19.4926,70788,70788,-0.145605,-0.741,19.4957,"Aug 23, 13",-0.04799906228938145
2013-08-26,19.5563,19.5745,19.3561,19.4289,93672,93672,-0.063701,-0.327,19.4535,"Aug 26, 13",-0.05111011262295251
2013-08-27,19.2924,19.2924,18.7828,18.7919,142351,142351,-0.637012,-3.279,18.9628,"Aug 27, 13",-0.0822206159586627
2013-08-28,18.7373,18.892,18.6281,18.6736,179196,179196,-0.118301,-0.63,18.7472,"Aug 28, 13",-0.08799828086386591
2013-08-29,18.5826,18.9375,18.5735,18.9193,138076,138076,0.245702,1.316,18.8634,"Aug 29, 13",-0.07599851529152059
2013-08-30,18.9011,18.9921,18.7919,18.9466,544158,544158,0.027301,0.144,18.9142,"Aug 30, 13",-0.07466520800570442
2013-09-03,19.1104,19.3015,18.9284,19.1104,176599,176599,0.163807,0.865,19.0615,"Sep 3, 13",-0.0666653642908076
2013-09-04,19.2014,19.4835,19.1377,19.438,159082,159082,0.327605,1.714,19.394,"Sep 4, 13",-0.05066567686101378
2013-09-05,19.4744,19.5654,19.3471,19.438,98206,98206,0,0,19.4723,"Sep 5, 13",-0.05066567686101378
2013-09-06,19.529,19.529,19.074,19.3379,113234,113234,-0.100103,-0.515,19.3425,"Sep 6, 13",-0.05555447024233955
2013-09-09,19.438,19.4744,19.1923,19.4744,87026,87026,0.136504,0.706,19.3689,"Sep 9, 13",-0.0488879338132589
2013-09-10,19.5381,19.5927,19.3561,19.5836,68312,68312,0.109203,0.561,19.5042,"Sep 10, 13",-0.04355470466999423
2013-09-11,19.5654,19.6109,19.2378,19.5927,165298,165298,0.009099,0.046,19.4883,"Sep 11, 13",-0.04311026890805551
2013-09-12,19.5654,19.7201,19.5108,19.5745,208992,208992,-0.018199,-0.093,19.603,"Sep 12, 13",-0.043999140431932954
2013-09-13,19.6382,19.7511,19.4562,19.4835,145601,145601,-0.091003,-0.465,19.5022,"Sep 13, 13",-0.04844349805132017
2013-09-16,19.7383,19.7383,19.3834,19.5199,243928,243928,0.036401,0.187,19.5045,"Sep 16, 13",-0.04666575500356528
2013-09-17,19.4926,19.9203,19.3743,19.8657,162477,162477,0.345806,1.772,19.6929,"Sep 17, 13",-0.029777196049894025
2013-09-18,19.8748,20.2479,19.7474,19.9931,186578,186578,0.127403,0.641,20.0334,"Sep 18, 13",-0.023555095382752092
2013-09-19,20.0659,20.075,19.62,19.7929,158342,158342,-0.200203,-1.001,19.7909,"Sep 19, 13",-0.0333326821454038
2013-09-20,19.9112,20.1751,19.8202,20.1205,454705,454705,0.327608,1.655,20.086,"Sep 20, 13",-0.017332994715609982
2013-09-23,20.0841,20.1205,19.802,19.9385,261483,261483,-0.182006,-0.905,19.9286,"Sep 23, 13",-0.026221709954384248
2013-09-24,20.0295,20.166,19.8657,20.0204,166880,166880,0.081901,0.411,20.0581,"Sep 24, 13",-0.022221788096935924
2013-09-25,20.0204,20.1569,19.8111,20.0113,145150,145150,-0.009098,-0.045,20.0269,"Sep 25, 13",-0.022666223858874648
2013-09-26,20.0295,20.075,19.8475,20.0477,121569,121569,0.036398,0.182,20.004,"Sep 26, 13",-0.02088848081111976
2013-09-27,19.9112,20.1387,19.9112,20.0113,110228,110228,-0.036398,-0.182,19.9967,"Sep 27, 13",-0.022666223858874648
2013-09-30,19.8748,20.1023,19.6382,19.9294,216330,216330,-0.081904,-0.409,19.9537,"Sep 30, 13",-0.026666145716322972
2013-10-01,19.9658,20.1569,19.9203,20.1569,197111,197111,0.227504,1.142,20.0852,"Oct 1, 13",-0.015555251667855095
2013-10-02,20.075,20.1569,19.9294,20.1205,173785,173785,-0.036397,-0.181,20.108,"Oct 2, 13",-0.017332994715609982
2013-10-03,20.075,20.1569,19.9567,20.0841,104806,104806,-0.036403,-0.181,20.068,"Oct 3, 13",-0.01911073776336487
2013-10-04,20.0295,20.1569,20.0113,20.1387,61727,61727,0.054601,0.272,20.1079,"Oct 4, 13",-0.01644412319173254
2013-10-07,19.9931,20.1387,19.8839,19.9112,122440,122440,-0.227505,-1.13,19.9744,"Oct 7, 13",-0.027555017240200416
2013-10-08,19.9294,20.0113,19.711,19.711,107827,107827,-0.200206,-1.005,19.7793,"Oct 8, 13",-0.0373326040028523
2013-10-09,19.7474,19.7929,19.6109,19.6746,151706,151706,-0.036397,-0.185,19.702,"Oct 9, 13",-0.039110347050607015
2013-10-10,19.9021,20.1023,19.9021,20.0841,112883,112883,0.409507,2.081,20.0506,"Oct 10, 13",-0.01911073776336487
2013-10-11,19.984,20.2661,19.9658,20.2297,225164,225164,0.145603,0.725,20.1975,"Oct 11, 13",-0.01199976557234532
2013-10-14,20.166,20.3116,20.1205,20.2843,222504,222504,0.054602,0.27,20.225,"Oct 14, 13",-0.009333151000712988
