date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,17.9107,17.9784,17.8806,17.8957,26861,26861,-0.05268,-0.294,17.9068,"Aug 5, 13",0
2013-08-06,17.8806,17.8912,17.7753,17.8355,77098,77098,-0.060203,-0.336,17.8089,"Aug 6, 13",-0.0033639365881190345
2013-08-07,17.7828,17.9408,17.7753,17.8957,106139,106139,0.060203,0.338,17.8504,"Aug 7, 13",0
2013-08-08,17.986,17.986,17.8355,17.858,88668,88668,-0.037627,-0.21,17.8772,"Aug 8, 13",-0.002106651318473206
2013-08-09,17.8881,17.9032,17.7978,17.8355,63616,63616,-0.022576,-0.126,17.8422,"Aug 9, 13",-0.0033639365881190345
2013-08-12,17.8505,17.9182,17.7978,17.8656,98565,98565,0.030103,0.169,17.8627,"Aug 12, 13",-0.0016819682940595172
2013-08-13,17.858,17.858,17.7602,17.7677,96384,96384,-0.097833,-0.548,17.796,"Aug 13, 13",-0.007152556200651559
2013-08-14,17.7753,17.7903,17.6097,17.6172,73300,73300,-0.15051,-0.847,17.7144,"Aug 14, 13",-0.015562397670948946
2013-08-15,17.6097,17.6097,17.2334,17.3764,113116,113116,-0.240817,-1.367,17.4025,"Aug 15, 13",-0.029018144023424685
2013-08-16,17.3764,17.3764,16.9851,17.0829,219338,219338,-0.293493,-1.689,17.1329,"Aug 16, 13",-0.045418731874137516
2013-08-19,17.0829,17.1281,16.8948,16.9098,124093,124093,-0.173088,-1.013,17.0318,"Aug 19, 13",-0.05509144654861228
2013-08-20,16.8797,17.1582,16.8797,17.0528,99764,99764,0.142983,0.846,17.0294,"Aug 20, 13",-0.047100700168196834
2013-08-21,17.0528,17.1356,16.9926,17.0528,96865,96865,0,0,17.053,"Aug 21, 13",-0.047100700168196834
2013-08-22,17.113,17.3463,17.1056,17.3012,117540,117540,0.248344,1.456,17.2344,"Aug 22, 13",-0.033220270791307405
2013-08-23,17.399,17.5344,17.3463,17.4667,70352,70352,0.16556,0.957,17.4659,"Aug 23, 13",-0.023972239141246333
2013-08-26,17.8871,18.0475,17.8593,17.956,80403,80403,0.489259,2.801,17.9603,"Aug 26, 13",0.0033695245226505817
2013-08-27,17.8871,17.8994,17.665,17.7492,85284,85284,-0.206744,-1.151,17.8072,"Aug 27, 13",-0.00818632408902715
2013-08-28,17.5425,17.5578,17.3128,17.397,148229,148229,-0.352228,-1.984,17.4214,"Aug 28, 13",-0.02786702950988243
2013-08-29,17.3817,17.4276,17.3434,17.4047,79370,79370,0.007659,0.044,17.3802,"Aug 29, 13",-0.027436758550936996
2013-08-30,17.42,17.5808,17.42,17.5425,50733,50733,0.137826,0.792,17.5079,"Aug 30, 13",-0.01973658476617294
2013-09-03,17.6803,17.6803,17.3434,17.397,133935,133935,-0.145485,-0.829,17.4972,"Sep 3, 13",-0.02786702950988243
2013-09-04,17.374,17.4583,17.2745,17.3128,81743,81743,-0.084228,-0.484,17.3504,"Sep 4, 13",-0.03257207038562348
2013-09-05,17.3817,17.3817,17.1903,17.2285,76690,76690,-0.084227,-0.487,17.3108,"Sep 5, 13",-0.03728269919589628
2013-09-06,17.2668,17.2668,17.1213,17.152,103678,103678,-0.076571,-0.444,17.1684,"Sep 6, 13",-0.0415574691126919
2013-09-09,17.2056,17.2056,17.1213,17.1367,74911,74911,-0.015316,-0.089,17.1577,"Sep 9, 13",-0.04241242309605102
2013-09-10,17.1596,17.3434,17.152,17.3128,79301,79301,0.176114,1.028,17.2258,"Sep 10, 13",-0.03257207038562348
2013-09-11,17.3128,17.5578,17.2132,17.5195,98994,98994,0.206743,1.194,17.3851,"Sep 11, 13",-0.021021809708477494
2013-09-12,17.4736,18.5073,17.3357,18.5073,73613,73613,0.987771,5.638,17.4297,"Sep 12, 13",0.03417580759623816
2013-09-13,17.42,17.5348,17.4047,17.4889,88602,88602,-1.0184,-5.503,17.4889,"Sep 13, 13",-0.02273171767519574
2013-09-16,17.5731,17.588,17.3817,17.4583,80768,80768,-0.030627,-0.175,17.4792,"Sep 16, 13",-0.02444162564191399
2013-09-17,17.5195,17.5271,17.3281,17.4123,103284,103284,-0.045943,-0.263,17.4604,"Sep 17, 13",-0.027012075526523304
2013-09-18,17.4583,17.6114,17.2592,17.5884,109902,109902,0.176115,1.011,17.4195,"Sep 18, 13",-0.017171722816095566
2013-09-19,17.5348,17.5662,17.4047,17.4506,145816,145816,-0.137828,-0.784,17.5023,"Sep 19, 13",-0.024871896600859426
2013-09-20,17.5119,17.5195,17.3204,17.374,158748,158748,-0.076572,-0.439,17.4172,"Sep 20, 13",-0.029152254452186988
2013-09-23,17.3817,17.42,17.3434,17.3664,66551,66551,-0.007657,-0.044,17.3777,"Sep 23, 13",-0.029576937476600677
2013-09-24,17.3664,17.4047,17.2975,17.3434,86338,86338,-0.022971,-0.132,17.3494,"Sep 24, 13",-0.030862162418905235
2013-09-25,17.397,17.5195,17.3664,17.4812,58161,58161,0.13783,0.795,17.4591,"Sep 25, 13",-0.02316198863414118
2013-09-26,17.4889,17.7339,17.4889,17.6803,117993,117993,0.199084,1.139,17.6314,"Sep 26, 13",-0.01203641098140908
2013-09-27,17.6803,17.8794,17.6803,17.7186,86618,86618,0.038285,0.217,17.784,"Sep 27, 13",-0.009896232055745397
2013-09-30,17.7186,17.8296,17.6267,17.6803,76321,76321,-0.038285,-0.216,17.7135,"Sep 30, 13",-0.01203641098140908
