date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,17.225,17.2837,17.1955,17.2405,35150,35150,-0.043543,-0.252,17.239,"Aug 5, 13",0
2013-08-06,17.2102,17.2397,17.0922,17.1217,39174,39174,-0.118819,-0.689,17.1659,"Aug 6, 13",-0.006890751428322858
2013-08-07,17.1217,17.2316,17.1069,17.166,43853,43853,0.044281,0.259,17.1695,"Aug 7, 13",-0.00432122038223952
2013-08-08,17.1881,17.2693,17.1143,17.1438,38206,38206,-0.022139,-0.129,17.185,"Aug 8, 13",-0.005608886053188829
2013-08-09,17.1438,17.2029,17.0774,17.0774,27204,27204,-0.066422,-0.387,17.1245,"Aug 9, 13",-0.009460282474406195
2013-08-12,17.1143,17.1438,17.0479,17.0479,58387,58387,-0.029521,-0.173,17.099,"Aug 12, 13",-0.011171369739856867
2013-08-13,17.07,17.0995,17.0257,17.0331,37547,37547,-0.01476,-0.087,17.0612,"Aug 13, 13",-0.012029813520489534
2013-08-14,17.0922,17.0922,16.7748,16.7969,57823,57823,-0.23616,-1.386,16.9333,"Aug 14, 13",-0.02573011223572402
2013-08-15,16.8339,16.8339,16.3246,16.4796,128531,128531,-0.317342,-1.889,16.535,"Aug 15, 13",-0.044134450856993676
2013-08-16,16.4796,16.4796,16.1254,16.2803,72628,72628,-0.199259,-1.209,16.2952,"Aug 16, 13",-0.05569444041646126
2013-08-19,16.2803,16.2803,15.9512,16.0885,72780,72780,-0.191883,-1.179,16.1063,"Aug 19, 13",-0.06681940778979734
2013-08-20,16.0958,16.3246,16.0885,16.177,124773,124773,0.088562,0.55,16.2234,"Aug 20, 13",-0.06168614599344573
2013-08-21,16.2656,16.2656,16.0516,16.0958,74221,74221,-0.081181,-0.502,16.1571,"Aug 21, 13",-0.06639598619529598
2013-08-22,16.1254,16.5165,16.1254,16.4427,69093,69093,0.346862,2.155,16.3931,"Aug 22, 13",-0.046274760012760784
2013-08-23,16.4427,16.7453,16.4427,16.7232,43611,43611,0.280441,1.706,16.6504,"Aug 23, 13",-0.030004930251442956
2013-08-26,16.7822,16.884,16.76,16.7896,56343,56343,0.066419,0.397,16.8402,"Aug 26, 13",-0.026153533830225385
2013-08-27,16.7527,16.819,16.6198,16.701,54218,54218,-0.088562,-0.527,16.7316,"Aug 27, 13",-0.03129259592239206
2013-08-28,16.701,16.7896,16.642,16.6715,74693,74693,-0.029518,-0.177,16.7268,"Aug 28, 13",-0.033003683187842525
2013-08-29,16.6789,16.7674,16.6789,16.7379,32532,32532,0.066423,0.398,16.7263,"Aug 29, 13",-0.02915228676662516
2013-08-30,16.7379,16.9077,16.7158,16.8708,29908,29908,0.132839,0.794,16.8134,"Aug 30, 13",-0.021443693628375143
2013-09-03,16.9298,16.9962,16.8043,16.8191,64790,64790,-0.051662,-0.306,16.8809,"Sep 3, 13",-0.024442446564774917
2013-09-04,16.8191,16.9003,16.7674,16.7674,88848,88848,-0.05166,-0.307,16.8424,"Sep 4, 13",-0.02744119950117469
2013-09-05,16.7305,16.8117,16.642,16.7232,52515,52515,-0.044279,-0.264,16.7222,"Sep 5, 13",-0.030004930251442956
2013-09-06,16.7379,16.7453,16.6124,16.642,44010,44010,-0.081182,-0.485,16.6622,"Sep 6, 13",-0.034714770453293194
2013-09-09,16.7084,16.7157,16.6052,16.6493,40200,40200,0.007381,0.044,16.6622,"Sep 9, 13",-0.034291348858791836
2013-09-10,16.6715,16.8265,16.6715,16.8265,28265,28265,0.177124,1.064,16.7465,"Sep 10, 13",-0.024013224674458482
2013-09-11,16.7379,17.011,16.7379,16.915,35033,35033,0.088557,0.526,16.8583,"Sep 11, 13",-0.01887996287810688
2013-09-12,16.9962,16.9962,16.8191,16.9077,32942,32942,-0.00738,-0.044,16.8853,"Sep 12, 13",-0.019303384472608244
2013-09-13,16.9372,17.0479,16.9372,17.0184,57420,57420,0.110702,0.655,16.9941,"Sep 13, 13",-0.012882457005307333
2013-09-16,17.0922,17.1069,16.9963,17.0257,119199,119199,0.007378,0.043,17.035,"Sep 16, 13",-0.01245903541080597
2013-09-17,17.0036,17.07,16.9998,17.0405,68150,68150,0.01476,0.087,17.0284,"Sep 17, 13",-0.011600591630173096
2013-09-18,17.0405,17.1881,16.8339,17.166,151731,151731,0.125462,0.736,16.9605,"Sep 18, 13",-0.00432122038223952
2013-09-19,17.1438,17.2139,17.0331,17.0774,36233,36233,-0.088561,-0.516,17.0829,"Sep 19, 13",-0.009460282474406195
