date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,1.81,1.82,1.79,1.8,28335,28335,-0.03,-1.639,1.8037,"Aug 5, 13",0
2013-08-06,1.8,1.82,1.79,1.8,21096,21096,0,0,1.8013,"Aug 6, 13",0
2013-08-07,1.829,1.83,1.78,1.82,71007,71007,0.02,1.111,1.812,"Aug 7, 13",0.01111111111111112
2013-08-08,1.79,1.83,1.7699,1.83,58776,58776,0.01,0.549,1.8026,"Aug 8, 13",0.01666666666666668
2013-08-09,1.81,1.82,1.761,1.82,17292,17292,-0.01,-0.546,1.7896,"Aug 9, 13",0.01111111111111112
2013-08-12,1.8,1.81,1.78,1.81,7491,7491,-0.01,-0.549,1.7999,"Aug 12, 13",0.00555555555555556
2013-08-13,1.79,1.82,1.7855,1.81,15295,15295,0,0,1.7948,"Aug 13, 13",0.00555555555555556
2013-08-14,1.8,1.82,1.77,1.82,31019,31019,0.01,0.552,1.7952,"Aug 14, 13",0.01111111111111112
2013-08-15,1.81,1.81,1.77,1.79,35205,35205,-0.03,-1.648,1.7817,"Aug 15, 13",-0.00555555555555556
2013-08-16,1.79,1.8,1.76,1.76,10018,10018,-0.03,-1.676,1.7867,"Aug 16, 13",-0.02222222222222224
2013-08-19,1.76,1.83,1.76,1.83,34593,34593,0.07,3.977,1.7763,"Aug 19, 13",0.01666666666666668
2013-08-20,1.81,1.83,1.8,1.83,18463,18463,0,0,1.806,"Aug 20, 13",0.01666666666666668
2013-08-21,1.83,1.83,1.77,1.77,10433,10433,-0.06,-3.279,1.8058,"Aug 21, 13",-0.01666666666666668
2013-08-22,1.78,1.814,1.78,1.8,8409,8409,0.03,1.695,1.8009,"Aug 22, 13",0
2013-08-23,1.79,1.81,1.79,1.81,2587,2587,0.01,0.556,1.7961,"Aug 23, 13",0.00555555555555556
2013-08-26,1.82,1.82,1.79,1.79,13926,13926,-0.02,-1.105,1.8028,"Aug 26, 13",-0.00555555555555556
2013-08-27,1.79,1.83,1.77,1.83,26038,26038,0.04,2.235,1.7845,"Aug 27, 13",0.01666666666666668
2013-08-28,1.8,1.8,1.7701,1.78,31231,31231,-0.05,-2.732,1.782,"Aug 28, 13",-0.01111111111111112
2013-08-29,1.78,1.81,1.78,1.81,65401,65401,0.03,1.685,1.8001,"Aug 29, 13",0.00555555555555556
2013-08-30,1.8,1.81,1.79,1.81,11118,11118,0,0,1.8009,"Aug 30, 13",0.00555555555555556
2013-09-03,1.8,1.82,1.8,1.81,24475,24475,0,0,1.8055,"Sep 3, 13",0.00555555555555556
2013-09-04,1.8,1.83,1.8,1.81,10826,10826,0,0,1.8175,"Sep 4, 13",0.00555555555555556
2013-09-05,1.8,1.82,1.8,1.8,8721,8721,-0.01,-0.552,1.809,"Sep 5, 13",0
2013-09-06,1.8,1.83,1.8,1.81,12161,12161,0.01,0.556,1.8135,"Sep 6, 13",0.00555555555555556
2013-09-09,1.83,1.84,1.79,1.82,36818,36818,0.01,0.552,1.8242,"Sep 9, 13",0.01111111111111112
2013-09-10,1.83,1.83,1.8001,1.81,16364,16364,-0.01,-0.549,1.8162,"Sep 10, 13",0.00555555555555556
