date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,16.8695,17.2718,16.4673,16.6724,29573,29573,-0.149846,-0.891,16.7813,"Aug 5, 13",0
2013-08-06,16.6487,17.0352,16.4437,16.6881,33420,33420,0.015773,0.095,16.7035,"Aug 6, 13",0.0009416760634341149
2013-08-07,16.7039,16.9405,16.5225,16.5304,13090,13090,-0.157733,-0.945,16.6623,"Aug 7, 13",-0.008517070127875979
2013-08-08,16.625,16.8459,16.4408,16.7118,10055,10055,0.181393,1.097,16.6496,"Aug 8, 13",0.0023631870636501373
2013-08-09,16.6329,17.0273,16.4831,16.8774,29666,29666,0.165618,0.991,16.6892,"Aug 9, 13",0.01229577025503238
2013-08-12,16.9169,17.4058,16.9169,17.3348,16102,16102,0.457427,2.71,17.2549,"Aug 12, 13",0.03973033276552876
2013-08-13,17.3427,17.5478,17.2087,17.461,28306,28306,0.126187,0.728,17.4088,"Aug 13, 13",0.04729972889326065
2013-08-14,17.5162,17.6345,17.4137,17.4689,21239,21239,0.007885,0.045,17.4944,"Aug 14, 13",0.0477735658933328
2013-08-15,17.3506,17.4295,16.5698,16.6093,24759,24759,-0.859643,-4.921,16.9685,"Aug 15, 13",-0.0037846980638659464
2013-08-16,16.5067,16.562,16.3175,16.3411,36648,36648,-0.268148,-1.614,16.4164,"Aug 16, 13",-0.01987116431947403
2013-08-19,16.4042,16.6566,16.1756,16.2544,11670,11670,-0.086752,-0.531,16.3699,"Aug 19, 13",-0.02507137544684624
2013-08-20,16.2465,16.7907,16.2465,16.5541,15988,15988,0.299692,1.844,16.5305,"Aug 20, 13",-0.007095559127660169
2013-08-21,16.4594,16.8538,16.4594,16.5935,14082,14082,0.039433,0.238,16.5885,"Aug 21, 13",-0.004732372064010032
2013-08-22,16.9011,17.4689,16.7749,17.2796,12298,12298,0.68614,4.135,17.1194,"Aug 22, 13",0.03641947170173453
2013-08-23,17.5793,20.734,17.4453,17.532,47531,47531,0.252371,1.461,18.0298,"Aug 23, 13",0.051558263957198744
2013-08-26,17.603,17.8238,16.7118,16.7907,21830,21830,-0.741344,-4.229,17.1286,"Aug 26, 13",0.007095559127660169
2013-08-27,16.6881,16.7591,16.4634,16.5462,35494,35494,-0.244488,-1.456,16.5831,"Aug 27, 13",-0.007569396127732106
2013-08-28,16.6014,16.7749,16.4515,16.6014,39918,39918,0.055209,0.334,16.5908,"Aug 28, 13",-0.004258535063937883
2013-08-29,16.562,17.0667,16.4752,17.0667,15214,15214,0.465312,2.803,16.8033,"Aug 29, 13",0.023649864446630434
2013-08-30,17.1061,17.1535,16.9642,17.0746,21877,21877,0.007885,0.046,17.0656,"Aug 30, 13",0.024123701446702367
2013-09-03,17.3033,17.8711,17.2875,17.7134,33376,33376,0.638818,3.741,17.6519,"Sep 3, 13",0.06243852114872486
2013-09-04,17.7055,17.9263,17.5399,17.7607,8350,8350,0.047322,0.267,17.7572,"Sep 4, 13",0.06527554521244694
2013-09-05,17.9279,17.9279,17.7481,17.7923,8727,8727,0.031545,0.178,17.8193,"Sep 5, 13",0.0671708932127349
2013-09-06,17.8869,17.8869,16.9799,17.1219,45254,45254,-0.670364,-3.768,17.3127,"Sep 6, 13",0.02696072551042444
2013-09-09,17.1456,17.3664,16.7907,17.327,33457,33457,0.205054,1.198,17.1379,"Sep 9, 13",0.03926249370216658
2013-09-10,17.767,17.7686,17.3664,17.6109,20359,20359,0.283918,1.639,17.5487,"Sep 10, 13",0.056290636021208776
2013-09-11,17.5793,17.6976,17.5478,17.6188,6461,6461,0.007886,0.045,17.6238,"Sep 11, 13",0.056764473021280716
2013-09-12,17.6188,17.6503,17.2954,17.532,33670,33670,-0.086753,-0.492,17.5099,"Sep 12, 13",0.051558263957198744
2013-09-13,17.5557,17.6897,17.3112,17.5084,27852,27852,-0.02366,-0.135,17.5277,"Sep 13, 13",0.050142750893692696
2013-09-16,17.7134,17.7607,17.5084,17.6976,12272,12272,0.189279,1.081,17.6722,"Sep 16, 13",0.06149084714858099
2013-09-17,17.7292,18.1708,17.5636,18.0131,27862,27862,0.315467,1.783,17.9252,"Sep 17, 13",0.08041433746791114
2013-09-18,17.7844,18.8333,17.7844,18.7623,30720,30720,0.749231,4.159,18.3104,"Sep 18, 13",0.12535087929752167
2013-09-19,18.7781,18.8964,18.4153,18.4153,24259,24259,-0.347013,-1.85,18.6067,"Sep 19, 13",0.1045380389146133
2013-09-20,18.4153,18.5336,18.2576,18.439,53817,53817,0.02366,0.128,18.4527,"Sep 20, 13",0.10595954991482932
2013-09-23,18.4232,18.5888,18.2891,18.5888,15129,15129,0.149846,0.813,18.5297,"Sep 23, 13",0.11494445910606749
2013-09-24,18.7426,18.9043,18.4161,18.7939,7557,7557,0.205053,1.103,18.7106,"Sep 24, 13",0.12724622729780963
2013-09-25,18.8491,18.9043,18.5178,18.5415,11593,11593,-0.252373,-1.343,18.6941,"Sep 25, 13",0.11210743504234541
2013-09-26,18.5415,19.1172,18.3601,18.7308,12560,12560,0.18928,1.021,18.6366,"Sep 26, 13",0.12346152923394346
2013-09-27,18.5888,18.8649,18.5494,18.6283,9939,9939,-0.102526,-0.547,18.6968,"Sep 27, 13",0.11731364410642738
2013-09-30,18.4153,18.786,18.1314,18.2891,34958,34958,-0.339126,-1.82,18.3527,"Sep 30, 13",0.09696864278688141
2013-10-01,18.3443,18.4705,18.0762,18.4469,18422,18422,0.157733,0.862,18.3045,"Oct 1, 13",0.10643338691490126
2013-10-02,18.4863,18.4942,17.9815,18.092,17521,17521,-0.3549,-1.924,18.223,"Oct 2, 13",0.08514670953192097
2013-10-03,18.1235,18.3207,17.7923,17.8002,12284,12284,-0.291805,-1.613,17.8748,"Oct 3, 13",0.06764473021280683
2013-10-04,17.7528,17.8238,17.4295,17.5951,7538,7538,-0.205052,-1.152,17.6064,"Oct 4, 13",0.055342962021064694
2013-10-07,17.4058,17.5557,17.0904,17.0982,14319,14319,-0.496859,-2.824,17.2748,"Oct 7, 13",0.025539214510208418
2013-10-08,17.1535,17.6897,16.7512,16.767,34295,34295,-0.331239,-1.937,17.025,"Oct 8, 13",0.005674048127444147
2013-10-09,16.8695,17.043,16.6172,16.6724,11059,11059,-0.094639,-0.564,16.7472,"Oct 9, 13",0
2013-10-10,16.8932,17.6267,16.6172,17.532,16708,16708,0.859643,5.156,17.1697,"Oct 10, 13",0.051558263957198744
2013-10-11,17.4453,17.9106,17.3664,17.8554,15350,15350,0.323354,1.844,17.6166,"Oct 11, 13",0.07095559127660084
2013-10-14,17.879,17.9894,17.6188,17.8948,17678,17678,0.039431,0.221,17.8147,"Oct 14, 13",0.07331877834025098
2013-10-15,17.8002,18.1077,17.6109,17.6661,13240,13240,-0.228713,-1.278,17.6895,"Oct 15, 13",0.059601497085002786
2013-10-16,17.7213,18.0052,17.7213,17.8711,8491,8491,0.205053,1.161,17.8618,"Oct 16, 13",0.07189726734003496
2013-10-17,17.8711,18.573,17.8711,18.3443,12200,12200,0.4732,2.648,18.2593,"Oct 17, 13",0.10027950385067542
2013-10-18,18.51,18.6204,18.1629,18.3286,21148,21148,-0.015773,-0.086,18.3621,"Oct 18, 13",0.0993378277872413
2013-10-21,18.2576,18.4942,18.1393,18.3443,18873,18873,0.015773,0.086,18.3088,"Oct 21, 13",0.10027950385067542
2013-10-22,19.0147,19.0857,18.4074,18.7544,19953,19953,0.410105,2.236,18.7194,"Oct 22, 13",0.12487704229744973
2013-10-23,18.7229,19.1961,18.3522,18.9279,12735,12735,0.173507,0.925,18.9617,"Oct 23, 13",0.1352834624889039
2013-10-24,19.0699,19.3223,18.7781,19.275,7533,7533,0.347012,1.833,19.168,"Oct 24, 13",0.1561023008085218
2013-10-25,19.3302,19.4406,18.9989,19.2513,29066,29066,-0.02366,-0.123,19.2379,"Oct 25, 13",0.154680789808306
2013-10-28,19.133,19.3065,19.133,19.2198,28154,28154,-0.031548,-0.164,19.1762,"Oct 28, 13",0.1527914397447278
2013-10-29,19.1251,19.409,18.3286,18.9674,12843,12843,-0.252371,-1.313,18.9144,"Oct 29, 13",0.13765264748926379
2013-10-30,19.3223,19.409,18.9674,19.0068,75946,75946,0.039433,0.208,19.1524,"Oct 30, 13",0.14001583455291372
2013-10-31,19.1645,19.4879,19.0068,19.3854,65082,65082,0.37856,1.992,19.1923,"Oct 31, 13",0.16272402293611005
2013-11-01,19.6062,19.6062,19.2513,19.4642,57204,57204,0.078866,0.407,19.5592,"Nov 1, 13",0.1674503970634103
2013-11-04,19.6141,19.9106,19.5589,19.6456,53842,53842,0.181392,0.932,19.6911,"Nov 4, 13",0.17833065425493644
2013-11-05,19.6377,19.8743,19.6023,19.693,39498,39498,0.047319,0.241,19.7485,"Nov 5, 13",0.18117367625536826
2013-11-06,19.7324,19.8665,19.4855,19.6062,23713,23713,-0.086752,-0.441,19.731,"Nov 6, 13",0.17596746719128628
2013-11-07,19.6377,19.6377,19.2276,19.2671,16639,16639,-0.339127,-1.73,19.3452,"Nov 7, 13",0.15562846380844986
2013-11-08,19.2513,20.1109,19.2513,19.7876,59632,59632,0.520519,2.702,19.757,"Nov 8, 13",0.1868477243828124
2013-11-11,19.7955,19.8349,19.4958,19.5668,20024,20024,-0.220824,-1.116,19.6535,"Nov 11, 13",0.17360428012763615
2013-11-12,19.5589,20.1583,19.5589,20.04,15216,15216,0.473198,2.418,19.8537,"Nov 12, 13",0.2019865166382764
2013-11-13,19.8586,20.032,19.5747,19.969,35721,35721,-0.070981,-0.354,19.775,"Nov 13, 13",0.19772798157433852
2013-11-14,20.0321,20.3948,19.9611,20.2371,16675,16675,0.268147,1.343,20.1963,"Nov 14, 13",0.21380844989323686
2013-11-15,20.2371,20.3081,19.969,20.1031,23664,23664,-0.134073,-0.663,20.1998,"Nov 15, 13",0.20577121470214257
2013-11-18,20.2292,20.458,20.0321,20.1109,85942,85942,0.007887,0.039,20.2383,"Nov 18, 13",0.20623905376550475
2013-11-19,20.2115,20.7059,20.0104,20.1361,45259,45259,0.025148,0.125,20.2521,"Nov 19, 13",0.20775053381636713
2013-11-20,20.111,20.111,19.8019,19.9015,15057,15057,-0.234628,-1.165,19.9477,"Nov 20, 13",0.19367937429524237
2013-11-21,19.9015,20.6975,19.8344,20.6724,35123,35123,0.77092,3.874,20.2344,"Nov 21, 13",0.23991746839087355
2013-11-22,20.664,20.7981,20.5097,20.6975,20754,20754,0.025139,0.122,20.6,"Nov 22, 13",0.24142295050502638
2013-11-25,20.731,20.7394,20.3623,20.4378,24066,24066,-0.259767,-1.255,20.4626,"Nov 25, 13",0.2258463088697488
2013-11-26,20.3456,20.5718,20.2284,20.5299,43384,43384,0.092175,0.451,20.4298,"Nov 26, 13",0.23137040857944877
2013-11-27,20.4545,21.3595,20.4545,21.2171,77060,77060,0.687125,3.347,21.11,"Nov 27, 13",0.2725882296490007
2013-11-29,21.4349,21.7616,21.3009,21.3595,52911,52911,0.142452,0.671,21.5282,"Nov 29, 13",0.2811292915237159
2013-12-02,21.502,21.7869,21.4014,21.4265,51142,51142,0.067037,0.314,21.6275,"Dec 2, 13",0.285147909119263
2013-12-03,21.4684,21.6444,21.3763,21.5271,35677,35677,0.100555,0.469,21.5049,"Dec 3, 13",0.2911818334492935
2013-12-04,21.502,21.7031,21.2422,21.4768,32271,32271,-0.050278,-0.234,21.522,"Dec 4, 13",0.28816487128427826
2013-12-05,21.4517,21.5355,20.5551,20.7813,34812,34812,-0.695504,-3.238,21.0664,"Dec 5, 13",0.2464492214678152
2013-12-06,20.9154,21.083,20.6053,20.7227,33264,33264,-0.058656,-0.282,20.8343,"Dec 6, 13",0.2429344305558888
2013-12-09,20.8065,20.8762,20.395,20.4964,20767,20767,-0.226249,-1.092,20.578,"Dec 9, 13",0.2293610997816752
2013-12-10,20.3791,20.3959,19.9266,19.9936,38086,38086,-0.502773,-2.453,20.0451,"Dec 10, 13",0.19920347400494237
2013-12-11,20.0272,20.1192,19.8596,20.0439,30003,30003,0.050276,0.251,19.9598,"Dec 11, 13",0.2022204361699576
2013-12-12,20.0272,20.4042,19.9643,20.3791,27348,27348,0.335183,1.672,20.2213,"Dec 12, 13",0.22232552002111283
2013-12-13,20.3791,20.3791,20.1361,20.2869,27099,27099,-0.092175,-0.452,20.3016,"Dec 13, 13",0.2167954223747031
2013-12-16,20.3204,20.5635,20.1947,20.3456,32497,32497,0.058656,0.289,20.2501,"Dec 16, 13",0.22031621122333925
2013-12-17,20.2618,20.3917,20.111,20.2115,17442,17442,-0.134072,-0.659,20.2183,"Dec 17, 13",0.21227297809553522
2013-12-18,20.3288,20.4797,20.0942,20.421,18371,18371,0.20949,1.036,20.2835,"Dec 18, 13",0.22483865550250712
2013-12-19,20.3707,21.4852,20.2957,20.8903,34325,34325,0.469255,2.298,20.8576,"Dec 19, 13",0.2529869724814664
2013-12-20,20.9908,21.6612,20.9489,21.3009,78604,78604,0.410598,1.966,21.2905,"Dec 20, 13",0.2776145006117895
2013-12-23,21.3679,21.7784,21.3344,21.4265,26615,26615,0.125694,0.59,21.4373,"Dec 23, 13",0.285147909119263
2013-12-24,21.4098,21.4098,21.0578,21.0578,11344,11344,-0.368701,-1.721,21.1958,"Dec 24, 13",0.26303351647033424
2013-12-26,21.1081,21.3595,20.9824,21.2254,16354,16354,0.167592,0.796,21.1751,"Dec 26, 13",0.2730860583959119
2013-12-27,21.3092,21.5019,20.8651,20.974,14547,14547,-0.251387,-1.184,21.026,"Dec 27, 13",0.25800724550754545
2013-12-30,20.9992,20.9992,20.731,20.8316,7438,7438,-0.142453,-0.679,20.8989,"Dec 30, 13",0.24946618363283043
2013-12-31,20.8903,20.8903,20.5551,20.6808,16944,16944,-0.150833,-0.724,20.7055,"Dec 31, 13",0.24042129507449447
2014-01-02,20.5048,20.5048,20.0691,20.1277,19854,19854,-0.553051,-2.674,20.1865,"Jan 2, 14",0.2072467071327464
2014-01-03,20.1445,20.3875,20.0607,20.0691,34332,34332,-0.058657,-0.291,20.1327,"Jan 3, 14",0.20373191622082
2014-01-06,20.0188,20.054,19.273,19.3065,44256,44256,-0.76254,-3.8,19.5556,"Jan 6, 14",0.15799165087210001
