date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,60.5009,60.884,59.9214,60.1473,1285580,1285580,-1.0806,-1.765,60.213,"Aug 5, 13",0
2013-08-06,59.9214,59.9778,58.3398,58.4381,1502497,1502497,-1.7092,-2.842,58.7898,"Aug 6, 13",-0.02841690316938587
2013-08-07,58.3988,58.7131,57.996,58.3595,790857,790857,-0.078587,-0.134,58.3476,"Aug 7, 13",-0.0297236949954529
2013-08-08,58.664,59.666,58.664,59.5775,695491,695491,1.2181,2.087,59.2697,"Aug 8, 13",-0.00947340944647558
2013-08-09,59.5775,59.9705,59.1453,59.8035,503207,503207,0.225935,0.379,59.648,"Aug 9, 13",-0.005715967300277846
2013-08-12,59.4498,59.9999,59.273,59.8722,409831,409831,0.068762,0.115,59.7886,"Aug 12, 13",-0.004573771391234551
2013-08-13,59.8919,60.1473,59.2043,59.9017,295674,295674,0.029468,0.049,59.8451,"Aug 13, 13",-0.004083308810204334
2013-08-14,59.8133,60.2946,59.5579,60.1768,308708,308708,0.27505,0.459,60.0493,"Aug 14, 13",0.0004904625810302167
2013-08-15,59.6856,60.2062,59.4007,59.9999,802478,802478,-0.176817,-0.294,59.8888,"Aug 15, 13",-0.002450650320130823
2013-08-16,59.9017,60.5599,59.7765,60.3339,668453,668453,0.333988,0.557,60.2616,"Aug 16, 13",0.003102383648143783
2013-08-19,60.1866,60.6188,58.831,58.9096,1167471,1167471,-1.4244,-2.361,59.5367,"Aug 19, 13",-0.020577814798004294
2013-08-20,58.9685,59.5677,58.3889,59.0766,836416,836416,0.166995,0.283,59.1855,"Aug 20, 13",-0.017801297813866992
2013-08-21,59.0078,59.4106,58.7328,58.7622,737615,737615,-0.314342,-0.532,59.0567,"Aug 21, 13",-0.023028465118135
2013-08-22,59.0078,59.6954,58.8703,59.2829,832516,832516,0.52063,0.886,59.3182,"Aug 22, 13",-0.014371384916696234
2013-08-23,59.3713,59.3713,58.4184,58.8113,804772,804772,-0.471514,-0.795,58.8119,"Aug 23, 13",-0.022212135873098185
2013-08-26,58.8703,59.2313,58.6345,58.7917,494925,494925,-0.019646,-0.033,58.9793,"Aug 26, 13",-0.022538002537104782
2013-08-27,58.0942,58.3496,57.1218,57.22,708007,708007,-1.5717,-2.673,57.5094,"Aug 27, 13",-0.04866885130338357
2013-08-28,57.3477,57.7897,57.1218,57.5736,673354,673354,0.353635,0.618,57.5162,"Aug 28, 13",-0.04278995067110248
2013-08-29,57.4852,57.888,56.9548,57.053,626878,626878,-0.520629,-0.904,57.3499,"Aug 29, 13",-0.051445368287520866
2013-08-30,57.1021,57.6129,56.7092,57.2495,758307,758307,0.196464,0.344,57.2138,"Aug 30, 13",-0.04817838872235335
2013-09-03,58.2809,58.2907,57.1021,57.5343,1075721,1075721,0.284872,0.498,57.4322,"Sep 3, 13",-0.043443346584135935
2013-09-04,57.5049,58.3889,57.2986,58.1925,740765,740765,0.658152,1.144,58.1519,"Sep 4, 13",-0.032500211979590084
2013-09-05,58.0451,58.4528,57.9371,57.9764,746809,746809,-0.21611,-0.371,58.1306,"Sep 5, 13",-0.036093058208764205
2013-09-06,58.163,58.497,56.9744,57.053,1212212,1212212,-0.923378,-1.593,57.3382,"Sep 6, 13",-0.051445368287520866
