date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-11-24,13.0078,13.0718,12.9972,13.0718,9700,9700,13.0718,0,13.0049,"Nov 24, 14",0
2014-11-25,13.1358,13.1358,12.9581,12.9723,33977,33977,-0.099516,-0.761,12.9802,"Nov 25, 14",-0.007611805566180559
2014-11-26,12.951,13.0718,12.951,13.0007,139216,139216,0.028431,0.219,12.9703,"Nov 26, 14",-0.005439189706084816
2014-11-28,13.0291,13.0291,12.8728,13.0078,84897,84897,0.007111,0.055,12.9401,"Nov 28, 14",-0.004896035741060914
2014-12-01,12.8941,13.0007,12.8728,12.9225,181477,181477,-0.085299,-0.656,12.9373,"Dec 1, 14",-0.01142153337719367
2014-12-02,12.9012,12.9723,12.8514,12.8657,180838,180838,-0.056864,-0.44,12.9014,"Dec 2, 14",-0.015766765097385158
2014-12-03,12.688,12.8443,12.6311,12.7804,176475,176475,-0.085298,-0.663,12.7813,"Dec 3, 14",-0.022292262733517913
2014-12-04,12.7804,12.8017,12.7306,12.7733,180479,180479,-0.007109,-0.056,12.7687,"Dec 4, 14",-0.022835416698541815
2014-12-05,12.759,12.7804,12.7448,12.7661,214156,214156,-0.007106,-0.056,12.7577,"Dec 5, 14",-0.02338622071941124
2014-12-08,12.7022,12.7093,12.4676,12.6098,204537,204537,-0.156377,-1.225,12.6094,"Dec 8, 14",-0.035343258005783425
2014-12-09,12.5245,12.5664,12.4818,12.5174,125629,125629,-0.092403,-0.733,12.5185,"Dec 9, 14",-0.04241190960694008
2014-12-10,12.4889,12.5102,12.4036,12.4818,138120,138120,-0.035545,-0.284,12.4824,"Dec 10, 14",-0.04513532948790525
2014-12-11,12.4818,12.5067,12.4321,12.4889,110429,110429,0.007109,0.057,12.4852,"Dec 11, 14",-0.04459217552288135
2014-12-12,12.2473,12.4534,12.2473,12.297,136807,136807,-0.191918,-1.537,12.3947,"Dec 12, 14",-0.05927263269021857
2014-12-15,12.2473,12.3325,12.162,12.1762,148019,148019,-0.120836,-0.983,12.2034,"Dec 15, 14",-0.0685139001514711
2014-12-16,12.1264,12.3283,12.1264,12.2544,181834,181834,0.078188,0.642,12.2366,"Dec 16, 14",-0.06253155648036225
2014-12-17,12.2188,12.3397,12.1335,12.3397,134782,134782,0.085297,0.696,12.2596,"Dec 17, 14",-0.056006058844229496
2014-12-18,12.3823,12.3965,12.2544,12.2686,161086,161086,-0.071082,-0.576,12.3246,"Dec 18, 14",-0.06144524855031445
2014-12-19,12.297,12.4605,12.2757,12.4392,182676,182676,0.170594,1.39,12.3681,"Dec 19, 14",-0.048394253278048936
2014-12-22,12.4392,12.4534,12.3539,12.4036,232528,232528,-0.035542,-0.286,12.4133,"Dec 22, 14",-0.05111767315901397
2014-12-23,12.3894,12.5387,12.3752,12.5102,100377,100377,0.10662,0.86,12.4496,"Dec 23, 14",-0.042962713627809505
2014-12-24,12.4676,12.5955,12.4676,12.5955,77809,77809,0.085301,0.682,12.5243,"Dec 24, 14",-0.03643721599167675
2014-12-26,12.5671,12.6922,12.5671,12.6595,197548,197548,0.063973,0.508,12.6558,"Dec 26, 14",-0.031541180250615836
2014-12-29,12.6595,12.6683,12.5102,12.6027,276801,276801,-0.056867,-0.449,12.6236,"Dec 29, 14",-0.03588641197080732
2014-12-30,12.5813,12.6311,12.4889,12.4889,366223,366223,-0.113728,-0.902,12.5817,"Dec 30, 14",-0.04459217552288135
2014-12-31,12.5174,12.5671,12.2615,12.2615,856082,856082,-0.227461,-1.821,12.3984,"Dec 31, 14",-0.061988402515338346
2015-01-02,12.3681,12.4321,12.3539,12.3752,415153,415153,0.113729,0.928,12.3864,"Jan 2, 15",-0.05329028901910985
2015-01-05,12.3823,12.4933,12.3823,12.4605,83127,83127,0.085301,0.689,12.4351,"Jan 5, 15",-0.046764791382977094
2015-01-06,12.5102,12.5813,12.4747,12.5529,154182,154182,0.092401,0.742,12.5399,"Jan 6, 15",-0.03969613978182043
2015-01-07,12.5387,12.5884,12.5031,12.5742,147863,147863,0.021328,0.17,12.5589,"Jan 7, 15",-0.03806667788674859
2015-01-08,12.5742,12.6666,12.5671,12.6382,235535,235535,0.063974,0.509,12.6288,"Jan 8, 15",-0.03317064214568768
2015-01-09,12.6169,12.7804,12.5813,12.6737,133186,133186,0.035539,0.281,12.7038,"Jan 9, 15",-0.0304548723205679
2015-01-12,12.4534,12.5102,12.1904,12.2046,170605,170605,-0.469136,-3.702,12.2656,"Jan 12, 15",-0.06634128429137535
2015-01-13,12.3163,12.4595,12.2089,12.2161,96809,96809,0.011452,0.094,12.3177,"Jan 13, 15",-0.06546152786915335
2015-01-14,12.1731,12.1731,12.1015,12.1015,118221,118221,-0.11457,-0.938,12.1445,"Jan 14, 15",-0.07422849186799063
2015-01-15,12.0943,12.1158,12.0299,12.0872,127421,127421,-0.014321,-0.118,12.0883,"Jan 15, 15",-0.07532244985388396
2015-01-16,11.7435,12.0872,11.6718,12.0514,248949,248949,-0.035805,-0.296,11.9267,"Jan 16, 15",-0.07806116984653991
2015-01-20,11.9082,12.0441,11.8079,11.9368,418064,418064,-0.114569,-0.951,11.9598,"Jan 20, 15",-0.08682813384537706
2015-01-21,11.9941,12.0442,11.9654,12.0012,186985,186985,0.064447,0.54,12.0121,"Jan 21, 15",-0.08190149788093445
2015-01-22,12.0442,12.0442,11.9583,11.9798,138518,138518,-0.021484,-0.179,12.005,"Jan 22, 15",-0.08353860983185181
2015-01-23,11.9654,12.1373,11.9654,12.123,113967,113967,0.143216,1.195,12.0869,"Jan 23, 15",-0.07258372986122802
2015-01-26,12.1301,12.1301,12.0084,12.0299,67678,67678,-0.093089,-0.768,12.0593,"Jan 26, 15",-0.07970593185330253
2015-01-27,11.9583,12.0943,11.9583,12.0227,116126,116126,-0.007163,-0.06,12.0302,"Jan 27, 15",-0.08025673587417183
2015-01-28,12.1946,12.1946,11.9726,12.0012,134217,134217,-0.02148,-0.179,12.0555,"Jan 28, 15",-0.08190149788093445
2015-01-29,11.9941,12.0227,11.9726,12.0227,114926,114926,0.02148,0.179,11.9969,"Jan 29, 15",-0.08025673587417183
2015-01-30,11.9583,12.0156,11.9583,11.9654,96117,96117,-0.057283,-0.476,11.9836,"Jan 30, 15",-0.0846402178735904
2015-02-02,12.0514,12.0847,11.9869,12.0514,152435,152435,0.085925,0.718,12.0484,"Feb 2, 15",-0.07806116984653991
2015-02-03,12.0585,12.1373,12.0012,12.1015,169692,169692,0.050126,0.416,12.0781,"Feb 3, 15",-0.07422849186799063
2015-02-04,11.9798,12.0657,11.9798,12.037,152534,152534,-0.064445,-0.533,12.0492,"Feb 4, 15",-0.0791627778882785
2015-02-05,12.0514,12.123,12.0514,12.08,125940,125940,0.042963,0.357,12.0827,"Feb 5, 15",-0.07587325387475326
2015-02-06,12.0585,12.123,12.0299,12.0442,74365,74365,-0.035802,-0.296,12.0731,"Feb 6, 15",-0.0786119738674092
2015-02-09,12.0442,12.1731,12.0442,12.1659,123450,123450,0.12173,1.011,12.1355,"Feb 9, 15",-0.06930185590354802
2015-02-10,12.1086,12.1956,12.1086,12.1946,101433,101433,0.028645,0.235,12.1762,"Feb 10, 15",-0.06710628987591612
2015-02-11,12.1917,12.2638,12.1917,12.2566,65195,65195,0.062042,0.509,12.2292,"Feb 11, 15",-0.06236325525176327
2015-02-12,12.2927,12.3576,12.2278,12.3576,300155,300155,0.100997,0.824,12.3309,"Feb 12, 15",-0.05463669884790159
2015-02-13,12.3215,12.372,12.2566,12.2927,112930,112930,-0.064926,-0.525,12.3099,"Feb 13, 15",-0.059601585091571145
2015-02-17,12.3143,12.3169,12.1989,12.2061,72100,72100,-0.086567,-0.704,12.2613,"Feb 17, 15",-0.06622653345369424
2015-02-18,12.1989,12.3215,12.1917,12.2566,124552,124552,0.050496,0.414,12.2731,"Feb 18, 15",-0.06236325525176327
2015-02-19,12.2783,12.2999,12.2278,12.2422,136906,136906,-0.014428,-0.118,12.2623,"Feb 19, 15",-0.06346486329350198
2015-02-20,12.235,12.2639,12.235,12.2494,441117,441117,0.007216,0.059,12.258,"Feb 20, 15",-0.06291405927263269
2015-02-23,12.2999,12.3109,12.2638,12.2783,102227,102227,0.028857,0.236,12.2824,"Feb 23, 15",-0.060703193133309866
2015-02-24,12.2638,12.3504,12.2638,12.2783,109957,109957,0,0,12.3232,"Feb 24, 15",-0.060703193133309866
2015-02-25,12.3215,12.372,12.2783,12.3289,147665,147665,0.050639,0.412,12.3253,"Feb 25, 15",-0.0568322648755335
2015-02-26,12.3504,12.372,12.3071,12.3432,183213,183213,0.014283,0.116,12.3404,"Feb 26, 15",-0.05573830688964031
2015-02-27,12.3432,12.372,12.336,12.3504,94257,94257,0.007218,0.058,12.3618,"Feb 27, 15",-0.05518750286877088
2015-03-02,12.4225,12.4442,12.3648,12.4009,98667,98667,0.050495,0.409,12.4022,"Mar 2, 15",-0.051324224666840036
2015-03-03,12.372,12.5163,12.3648,12.5019,176317,176317,0.100999,0.814,12.4384,"Mar 3, 15",-0.04359766826297836
2015-03-04,12.4658,12.538,12.4514,12.5163,80375,80375,0.014425,0.115,12.5062,"Mar 4, 15",-0.04249606022123964
2015-03-05,12.4803,12.5524,12.4803,12.5235,96503,96503,0.007216,0.058,12.5226,"Mar 5, 15",-0.041945256200370214
2015-03-06,12.5452,12.5452,12.4298,12.4658,74626,74626,-0.057712,-0.461,12.469,"Mar 6, 15",-0.04635933842317048
2015-03-09,12.4947,12.5308,12.4226,12.4803,49092,49092,0.014428,0.116,12.4736,"Mar 9, 15",-0.04525008032558637
2015-03-10,12.4153,12.5019,12.3648,12.4442,89222,89222,-0.03607,-0.289,12.4145,"Mar 10, 15",-0.04801175048577849
