date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-08-24,8.9654,8.987,8.9654,8.9656,1250388,1250388,8.9656,0,8.9692,"Aug 24, 16",0
2016-08-25,8.9654,8.9923,8.9475,8.9744,436793,436793,0.008786,0.098,8.9737,"Aug 25, 16",0.000981529401266957
2016-08-26,8.9744,8.9833,8.9654,8.9654,278190,278190,-0.008966,-0.1,8.9743,"Aug 26, 16",-0.000022307486392381312
2016-08-29,8.9744,9.0281,8.9699,9.0281,122862,122862,0.062758,0.7,9.0094,"Aug 29, 16",0.006971089497635407
2016-08-30,9.0192,9.0371,9.0147,9.0371,110528,110528,0.008966,0.099,9.0276,"Aug 30, 16",0.007974926385294942
2016-08-31,9.0371,9.055,9.0371,9.055,119889,119889,0.01793,0.198,9.0475,"Aug 31, 16",0.009971446417417627
2016-09-01,9.0461,9.0461,8.9923,9.0013,181524,181524,-0.053792,-0.594,9.0251,"Sep 1, 16",0.003981886321049376
2016-09-02,9.0371,9.0371,9.0013,9.016,62853,62853,0.014794,0.164,9.018,"Sep 2, 16",0.005621486570893167
2016-09-06,9.0192,9.055,9.0102,9.0461,91502,91502,0.030033,0.333,9.0339,"Sep 6, 16",0.008978763272954281
2016-09-07,9.055,9.0819,9.0371,9.0819,102285,102285,0.03586,0.396,9.0629,"Sep 7, 16",0.012971803337199848
2016-09-08,9.064,9.0819,9.055,9.0819,50550,50550,0,0,9.0731,"Sep 8, 16",0.012971803337199848
2016-09-09,9.0819,9.0819,9.055,9.055,69330,69330,-0.026895,-0.296,9.0671,"Sep 9, 16",0.009971446417417627
2016-09-12,9.0819,9.1357,9.0729,9.1357,83705,83705,0.080689,0.891,9.1086,"Sep 12, 16",0.018972517176764486
2016-09-13,9.1356,9.1356,9.0999,9.0999,37850,37850,-0.035861,-0.393,9.1155,"Sep 13, 16",0.014979477112518921
2016-09-14,9.055,9.1268,9.055,9.1155,36540,36540,0.015598,0.171,9.0958,"Sep 14, 16",0.016719461051128825
2016-09-15,9.0923,9.1178,9.0731,9.1178,23446,23446,0.002329,0.026,9.0978,"Sep 15, 16",0.016975997144641805
2016-09-16,9.1178,9.1178,9.055,9.055,44407,44407,-0.062755,-0.688,9.0969,"Sep 16, 16",0.009971446417417627
2016-09-19,9.0999,9.1268,9.055,9.055,26084,26084,0,0,9.1035,"Sep 19, 16",0.009971446417417627
2016-09-20,9.0819,9.1178,9.064,9.1178,94801,94801,0.062755,0.693,9.098,"Sep 20, 16",0.016975997144641805
2016-09-21,9.0968,9.1178,9.073,9.1088,55854,55854,-0.008964,-0.098,9.0996,"Sep 21, 16",0.015972160256982268
2016-09-22,9.1056,9.1178,9.0999,9.1117,38516,38516,0.00287,0.032,9.108,"Sep 22, 16",0.016295618809672587
2016-09-23,9.1357,9.1715,9.081,9.1415,86103,86103,0.029765,0.327,9.1207,"Sep 23, 16",0.019619434282145132
2016-09-26,9.064,9.0766,8.9923,9.0461,257216,257216,-0.095391,-1.043,9.0331,"Sep 26, 16",0.008978763272954281
2016-09-27,9.0192,9.0371,8.9833,9.0371,177769,177769,-0.008965,-0.099,9.0175,"Sep 27, 16",0.007974926385294942
2016-09-28,9.0371,9.0909,9.0129,9.0461,217722,217722,0.008965,0.099,9.0463,"Sep 28, 16",0.008978763272954281
2016-09-29,9.0281,9.0909,9.0192,9.0461,100243,100243,0,0,9.0452,"Sep 29, 16",0.008978763272954281
2016-09-30,9.0682,9.0999,9.0281,9.0819,113975,113975,0.03586,0.396,9.0775,"Sep 30, 16",0.012971803337199848
2016-10-03,9.0819,9.0999,9.0461,9.0999,88491,88491,0.017933,0.197,9.086,"Oct 3, 16",0.014979477112518921
2016-10-04,9.073,9.1447,9.038,9.1447,177365,177365,0.044828,0.493,9.0973,"Oct 4, 16",0.019976354064424023
2016-10-05,9.1447,9.1447,9.0371,9.1268,100839,100839,-0.017934,-0.196,9.093,"Oct 5, 16",0.01797983403230114
2016-10-06,9.1268,9.1268,9.064,9.1268,66959,66959,0,0,9.0984,"Oct 6, 16",0.01797983403230114
2016-10-07,9.1447,9.1447,9.055,9.1089,83132,83132,-0.017837,-0.195,9.1129,"Oct 7, 16",0.015983314000178456
2016-10-10,9.1005,9.1356,9.064,9.0909,84333,84333,-0.018024,-0.198,9.082,"Oct 10, 16",0.013975640224859384
2016-10-11,9.0708,9.073,9.0102,9.0102,151757,151757,-0.080688,-0.888,9.0438,"Oct 11, 16",0.004974569465512524
2016-10-12,9.0463,9.0913,9.0192,9.0643,169305,169305,0.054059,0.6,9.0629,"Oct 12, 16",0.011008744534665736
2016-10-13,9.0913,9.0913,9.0372,9.0913,110613,110613,0.027032,0.298,9.0591,"Oct 13, 16",0.014020255197644346
2016-10-14,9.0553,9.0823,9.0372,9.0553,136368,136368,-0.03604,-0.396,9.0483,"Oct 14, 16",0.010004907647006397
2016-10-17,9.0508,9.0553,9.0192,9.0372,67946,67946,-0.018023,-0.199,9.0373,"Oct 17, 16",0.007986080128491134
2016-10-18,9.0372,9.0823,9.0102,9.0733,87294,87294,0.036043,0.399,9.0536,"Oct 18, 16",0.012012581422325272
2016-10-19,9.0823,9.0913,9.0553,9.0599,58871,58871,-0.013425,-0.148,9.0743,"Oct 19, 16",0.010517979834032356
