date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,161.6783,163.9527,161.5854,162.1426,886819,886819,0.928651,0.576,162.6541,"Aug 5, 13",0
2013-08-06,162.3283,163.7213,159.5424,160.6568,1170723,1170723,-1.4858,-0.916,161.6225,"Aug 6, 13",-0.009163538761559167
2013-08-07,158.6137,158.9945,156.1992,157.8708,1533967,1533967,-2.786,-1.734,157.6675,"Aug 7, 13",-0.026345944865815554
2013-08-08,159.3567,165.5322,151.8439,156.6636,3240007,3240007,-1.2072,-0.765,157.7217,"Aug 8, 13",-0.03379124301694919
2013-08-09,159.7281,163.257,157.8708,163.257,2135351,2135351,6.5934,4.209,162.2271,"Aug 9, 13",0.0068729624417026595
2013-08-12,160.2853,162.6998,159.2638,160.7496,1438297,1438297,-2.5074,-1.536,160.5848,"Aug 12, 13",-0.008591203052128193
2013-08-13,161.3997,162.9784,160.3782,160.7496,1297449,1297449,0,0,161.0989,"Aug 13, 13",-0.008591203052128193
2013-08-14,162.6998,166.1358,162.6998,166.1358,1703028,1703028,5.3862,3.351,164.8205,"Aug 14, 13",0.024627704255390022
2013-08-15,166.1358,166.1358,159.7281,160.0067,2068029,2068029,-6.1291,-3.689,162.4572,"Aug 15, 13",-0.013172972432907777
2013-08-16,160.2853,162.9784,158.7995,162.2355,1422440,1422440,2.2288,1.393,160.5113,"Aug 16, 13",0.0005729524504973672
2013-08-19,166.2287,166.2287,163.7213,165.0214,1710100,1710100,2.786,1.717,164.7736,"Aug 19, 13",0.017754741813687535
2013-08-20,162.3283,162.5141,160.8425,161.9569,1415242,1415242,-3.0645,-1.857,161.5767,"Aug 20, 13",-0.0011452881599283416
2013-08-21,164.3714,164.3714,160.7496,162.4212,1912129,1912129,0.464324,0.287,162.3284,"Aug 21, 13",0.0017182406104257087
2013-08-22,161.5854,164.65,160.6568,164.1857,1403593,1403593,1.7644,1.086,163.6723,"Aug 22, 13",0.012600636723476803
2013-08-23,163.9999,164.9286,163.257,164.1857,726669,726669,0,0,163.9189,"Aug 23, 13",0.012600636723476803
2013-08-27,167.0836,167.5161,162.1943,163.7927,1632062,1632062,-0.392964,-0.239,164.014,"Aug 27, 13",0.010176844333321467
2013-08-28,160.3137,160.9155,156.3647,157.3989,2115683,2115683,-6.3937,-3.904,157.7161,"Aug 28, 13",-0.029256345957200575
2013-08-29,157.2109,158.0571,154.8602,156.7408,2630939,2630939,-0.658179,-0.418,156.6618,"Aug 29, 13",-0.03331511891384485
2013-08-30,156.0826,157.681,153.2618,155.1423,1482293,1482293,-1.5984,-1.02,154.891,"Aug 30, 13",-0.043173724857008475
2013-09-02,158.9034,164.4509,158.4332,163.8867,1367678,1367678,8.7444,5.636,162.0672,"Sep 2, 13",0.010756580935546878
2013-09-03,164.5449,165.015,161.5361,162.9465,1115079,1115079,-0.940256,-0.574,163.2188,"Sep 3, 13",0.004957981431159972
2013-09-04,163.1345,164.1688,158.5649,163.8867,1834226,1834226,0.940256,0.577,161.3663,"Sep 4, 13",0.010756580935546878
2013-09-05,164.5449,166.1433,162.4763,165.015,999795,999795,1.1283,0.688,164.9725,"Sep 5, 13",0.017715270385450826
2013-09-06,165.015,167.4597,164.6389,166.8955,1642283,1642283,1.8805,1.14,166.3107,"Sep 6, 13",0.029313086135290857
2013-09-09,167.0836,169.6223,166.5194,168.3059,1005356,1005356,1.4104,0.845,168.14,"Sep 9, 13",0.03801160213293744
2013-09-10,171.2207,176.2041,171.2207,175.922,2657387,2657387,7.6161,4.525,174.0533,"Sep 10, 13",0.08498321847558883
2013-09-11,175.922,176.3921,174.2295,174.8877,1078233,1078233,-1.0343,-0.588,175.1407,"Sep 11, 13",0.0786042656279103
2013-09-12,174.3236,174.9817,171.0327,172.0669,874338,874338,-2.8208,-1.613,172.1745,"Sep 12, 13",0.06120723363261732
2013-09-13,171.5028,172.7251,170.6566,172.255,487995,487995,0.188052,0.109,171.8935,"Sep 13, 13",0.06236732357813436
2013-09-16,175.3578,175.5459,173.6654,175.0758,623071,623071,2.8208,1.638,174.7075,"Sep 16, 13",0.07976435557342734
2013-09-17,175.7339,177.5204,175.3578,175.5459,1346211,1346211,0.470129,0.269,176.0028,"Sep 17, 13",0.0826636553256208
2013-09-18,178.2726,179.1189,176.5802,177.6145,1266445,1266445,2.0686,1.178,177.8731,"Sep 18, 13",0.09542156102097787
2013-09-19,181.6576,182.4098,179.777,180.2472,1450567,1450567,2.6327,1.482,180.6627,"Sep 19, 13",0.11165850307075381
2013-09-20,181.6576,182.8987,180.0591,180.8113,2564004,2564004,0.564154,0.313,181.3444,"Sep 20, 13",0.11513753942517267
2013-09-23,181.4695,182.7859,179.1095,180.5293,1803882,1803882,-0.282077,-0.156,180.1921,"Sep 23, 13",0.11339832961849644
2013-09-24,180.8113,180.8113,178.2726,180.1531,1026838,1026838,-0.376104,-0.208,180.1597,"Sep 24, 13",0.11107814972746217
2013-09-25,179.589,181.2815,179.0248,180.0591,957335,957335,-0.094025,-0.052,180.2328,"Sep 25, 13",0.11049841312523677
2013-09-26,180.9994,182.5978,179.3069,180.9994,1013378,1013378,0.940257,0.522,181.2929,"Sep 26, 13",0.1162976293706899
2013-09-27,181.2815,182.635,179.777,180.7173,793638,793638,-0.282078,-0.156,180.8407,"Sep 27, 13",0.11455780282294727
2013-09-30,177.4264,177.8025,175.386,177.6145,909742,909742,-3.1028,-1.717,177.1378,"Sep 30, 13",0.09542156102097787
2013-10-01,176.7682,179.4009,176.11,178.2726,1318948,1318948,0.658181,0.371,177.9139,"Oct 1, 13",0.09948033397762232
2013-10-02,178.7428,179.9651,176.4862,179.3069,848112,848112,1.0343,0.58,178.6754,"Oct 2, 13",0.10585928682530085
2013-10-03,178.4607,178.9308,177.0503,178.5547,1266054,1266054,-0.752205,-0.42,178.1805,"Oct 3, 13",0.10122016052536478
2013-10-04,179.777,180.9054,179.0248,180.7173,836721,836721,2.1626,1.211,180.322,"Oct 4, 13",0.11455780282294727
2013-10-07,178.1786,178.8556,175.6399,177.6145,483782,483782,-3.1028,-1.717,177.3475,"Oct 7, 13",0.09542156102097787
2013-10-08,177.7085,178.2726,174.4176,174.6056,543982,543982,-3.0088,-1.694,175.4411,"Oct 8, 13",0.07686443908016785
