date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,13.6,14.4782,13.6,14.14,503262,503262,0.59,4.354,14.0743,"Aug 5, 13",0
2013-08-06,14.25,14.5,12.5,12.98,829527,829527,-1.16,-8.204,13.5042,"Aug 6, 13",-0.08203677510608204
2013-08-07,12.87,13.4999,12.42,12.47,991803,991803,-0.51,-3.929,12.8639,"Aug 7, 13",-0.11810466760961809
2013-08-08,13.39,13.47,12.51,12.54,636633,636633,0.07,0.561,12.9022,"Aug 8, 13",-0.11315417256011324
2013-08-09,12.5,13.14,12,12.91,644800,644800,0.37,2.951,12.7144,"Aug 9, 13",-0.08698727015558701
2013-08-12,12.89,14.04,12.8301,13.81,773182,773182,0.9,6.971,13.7267,"Aug 12, 13",-0.023338048090523342
2013-08-13,14,14.55,13.55,13.55,927465,927465,-0.26,-1.883,13.9899,"Aug 13, 13",-0.041725601131541716
2013-08-14,15.17,15.62,14.051,14.21,2896635,2896635,0.66,4.871,14.761,"Aug 14, 13",0.0049504950495049705
2013-08-15,14.53,14.53,13.68,13.92,960844,960844,-0.29,-2.041,13.9954,"Aug 15, 13",-0.015558698727015603
2013-08-16,14.01,14.55,13.85,14.42,566630,566630,0.5,3.592,14.3664,"Aug 16, 13",0.019801980198019757
2013-08-19,14.4,14.46,12.691,12.88,952375,952375,-1.54,-10.68,13.4862,"Aug 19, 13",-0.08910891089108909
2013-08-20,13.13,14,12.906,13.83,579563,579563,0.95,7.376,13.5712,"Aug 20, 13",-0.02192362093352196
2013-08-21,13.41,14.82,13.4,14.54,1473847,1473847,0.71,5.134,14.2657,"Aug 21, 13",0.028288543140028186
2013-08-22,14.8,14.95,13.93,14.66,866755,866755,0.12,0.825,14.3845,"Aug 22, 13",0.03677510608203674
2013-08-23,14.79,14.95,14.41,14.65,377871,377871,-0.01,-0.068,14.6626,"Aug 23, 13",0.03606789250353605
2013-08-26,14.85,15.88,14.82,14.96,1828761,1828761,0.31,2.116,15.2863,"Aug 26, 13",0.05799151343705801
2013-08-27,14.26,14.85,14.1,14.59,635090,635090,-0.37,-2.473,14.5226,"Aug 27, 13",0.03182461103253177
2013-08-28,14.47,14.94,14.1,14.71,408466,408466,0.12,0.822,14.7016,"Aug 28, 13",0.04031117397454033
2013-08-29,15.04,15.5,14.83,15.24,963430,963430,0.53,3.603,15.2063,"Aug 29, 13",0.07779349363507776
2013-08-30,15.56,16.24,15.39,15.95,1202232,1202232,0.71,4.659,15.8918,"Aug 30, 13",0.1280056577086279
2013-09-03,16.48,18.45,16.01,18.27,2147681,2147681,2.32,14.545,17.4448,"Sep 3, 13",0.292079207920792
2013-09-04,18.11,19,17.45,18.89,1629380,1629380,0.62,3.394,18.4135,"Sep 4, 13",0.3359264497878359
2013-09-05,19,19.52,18.56,18.88,890755,890755,-0.01,-0.053,19.0102,"Sep 5, 13",0.3352192362093351
2013-09-06,18.79,18.8,17.75,18.39,1090351,1090351,-0.49,-2.595,18.3072,"Sep 6, 13",0.30056577086280056
2013-09-09,18.9,19.5,18.7,19.41,1056261,1056261,1.02,5.546,19.2666,"Sep 9, 13",0.37270155586987264
2013-09-10,19.9,20.06,18.87,19.15,956869,956869,-0.26,-1.34,19.3877,"Sep 10, 13",0.35431400282885417
2013-09-11,19.1,19.53,18.4,18.62,722539,722539,-0.53,-2.768,18.8455,"Sep 11, 13",0.31683168316831684
2013-09-12,18.59,18.68,17.08,17.97,1097200,1097200,-0.65,-3.491,17.7151,"Sep 12, 13",0.2708628005657707
2013-09-13,17.92,19.13,17.51,19.13,837041,837041,1.16,6.455,18.3768,"Sep 13, 13",0.35289957567185276
2013-09-16,19.6,19.872,18.49,18.72,966241,966241,-0.41,-2.143,19.3137,"Sep 16, 13",0.32390381895332376
2013-09-17,17.6,17.78,16.58,17.67,1947213,1947213,-1.05,-5.609,17.2136,"Sep 17, 13",0.24964639321074972
2013-09-18,17.71,17.95,16.9,17.18,1262944,1262944,-0.49,-2.773,17.2567,"Sep 18, 13",0.21499292786421492
2013-09-19,17.2,17.2997,16.43,16.48,1634507,1634507,-0.7,-4.075,16.7006,"Sep 19, 13",0.16548797736916548
2013-09-20,17.27,18.9,17.01,17.36,6957866,6957866,0.88,5.34,17.9861,"Sep 20, 13",0.22772277227722762
2013-09-23,17.5,17.97,16.82,17.9,1305318,1305318,0.54,3.111,17.4526,"Sep 23, 13",0.26591230551626577
2013-09-24,17.85,19.35,17.8,18.78,1505108,1505108,0.88,4.916,18.7967,"Sep 24, 13",0.32814710042432815
2013-09-25,18.82,20.19,18.82,19.94,1779682,1779682,1.16,6.177,19.7145,"Sep 25, 13",0.4101838755304102
2013-09-26,20.43,21.85,20.2,21.37,2126488,2126488,1.43,7.172,21.1513,"Sep 26, 13",0.5113154172560114
2013-09-27,21.66,22.58,21.5,22.5,1374046,1374046,1.13,5.288,22.9212,"Sep 27, 13",0.5912305516265912
2013-09-30,21.94,23.4,21.78,22.55,1435504,1435504,0.05,0.222,22.6691,"Sep 30, 13",0.5947666195190947
2013-10-01,22.83,23.827,22.6205,23.8,1471304,1471304,1.25,5.543,23.8369,"Oct 1, 13",0.6831683168316831
2013-10-02,23.65,24.2,22.78,24.15,1850318,1850318,0.35,1.471,23.418,"Oct 2, 13",0.7079207920792078
2013-10-03,23.95,24.89,23.09,23.82,968925,968925,-0.33,-1.366,23.9938,"Oct 3, 13",0.6845827439886846
2013-10-04,24.265,24.3,22.66,23.4,1446146,1446146,-0.42,-1.763,23.288,"Oct 4, 13",0.6548797736916547
2013-10-07,23.23,23.75,22.92,23.18,922322,922322,-0.22,-0.94,23.3479,"Oct 7, 13",0.6393210749646392
2013-10-08,23.42,23.98,20.77,21.88,2231289,2231289,-1.3,-5.608,22.2478,"Oct 8, 13",0.5473833097595473
2013-10-09,21.96,22.3799,19.83,20.7,1795110,1795110,-1.18,-5.393,20.5715,"Oct 9, 13",0.4639321074964638
2013-10-10,21.55,22.69,21.43,22.41,1243063,1243063,1.71,8.261,22.2913,"Oct 10, 13",0.5848656294200848
2013-10-11,22.78,23.55,22.41,22.93,1054752,1054752,0.52,2.32,22.9907,"Oct 11, 13",0.6216407355021215
2013-10-14,22.23,23.14,21.78,22.84,789401,789401,-0.09,-0.392,22.5022,"Oct 14, 13",0.6152758132956152
2013-10-15,23.18,23.98,22.44,22.75,1219409,1219409,-0.09,-0.394,23.3188,"Oct 15, 13",0.6089108910891089
2013-10-16,23.23,23.47,22.67,23.29,659905,659905,0.54,2.374,23.046,"Oct 16, 13",0.647100424328147
2013-10-17,24.55,26.25,24.42,26,3243391,3243391,2.71,11.636,25.4763,"Oct 17, 13",0.8387553041018386
2013-10-18,26.87,26.88,26.01,26.2,1772904,1772904,0.2,0.769,26.6742,"Oct 18, 13",0.8528995756718528
2013-10-21,26.74,27.14,25.25,25.53,1945053,1945053,-0.67,-2.557,26.2783,"Oct 21, 13",0.8055162659123055
2013-10-22,25.88,26.74,23.91,26.67,2265755,2265755,1.14,4.465,25.5734,"Oct 22, 13",0.8861386138613861
2013-10-23,26.15,26.22,24.74,24.83,1363219,1363219,-1.84,-6.899,25.2334,"Oct 23, 13",0.7560113154172559
2013-10-24,25.33,26.25,24.92,25.39,1128412,1128412,0.56,2.255,25.4756,"Oct 24, 13",0.7956152758132956
2013-10-25,25.26,25.5699,22.9,23,1893923,1893923,-2.39,-9.413,23.7841,"Oct 25, 13",0.6265912305516266
2013-10-28,23.43,23.46,19.06,20.16,4108842,4108842,-2.84,-12.348,20.7519,"Oct 28, 13",0.4257425742574257
2013-10-29,20.85,22.43,20.66,22.39,2084090,2084090,2.23,11.062,21.8299,"Oct 29, 13",0.5834512022630834
2013-10-30,23.22,24.18,21.19,21.68,2142180,2142180,-0.71,-3.171,22.5018,"Oct 30, 13",0.5332390381895331
2013-10-31,21,22.97,20.66,22.52,1315809,1315809,0.84,3.875,22.1183,"Oct 31, 13",0.5926449787835926
2013-11-01,23.3,23.835,22.73,23.59,1529297,1529297,1.07,4.751,23.2751,"Nov 1, 13",0.6683168316831682
2013-11-04,24.96,26.53,24.76,26.52,2359861,2359861,2.93,12.421,25.6349,"Nov 4, 13",0.8755304101838755
2013-11-05,26.75,26.87,25.11,25.86,1866896,1866896,-0.66,-2.489,26.0366,"Nov 5, 13",0.8288543140028287
2013-11-06,25.98,26.35,24.72,25.18,1184189,1184189,-0.68,-2.63,25.9694,"Nov 6, 13",0.7807637906647806
2013-11-07,24.59,24.849,23.05,23.36,1237301,1237301,-1.82,-7.228,23.8387,"Nov 7, 13",0.6520509193776519
2013-11-08,24.17,26,23.54,25.98,1280962,1280962,2.62,11.216,24.9833,"Nov 8, 13",0.8373408769448373
2013-11-11,26.3,29.39,25.58,28.93,3082186,3082186,2.95,11.355,27.7581,"Nov 11, 13",1.045968882602546
2013-11-12,27.37,28.75,26.88,27.62,1569743,1569743,-1.31,-4.528,27.6832,"Nov 12, 13",0.9533239038189533
2013-11-13,28.3,29.54,28.12,29.19,1900369,1900369,1.57,5.684,29.0521,"Nov 13, 13",1.0643564356435644
2013-11-14,30.18,30.35,28.74,29.24,1318535,1318535,0.05,0.171,29.5023,"Nov 14, 13",1.0678925035360678
2013-11-15,29.92,29.92,29,29.5,1770499,1770499,0.26,0.889,29.4804,"Nov 15, 13",1.0862800565770863
2013-11-18,33.13,34.88,32.44,33.3,6038371,6038371,3.8,12.881,33.5533,"Nov 18, 13",1.3550212164073547
2013-11-19,33.74,34.3,30.83,31.13,3249791,3249791,-2.17,-6.517,32.8104,"Nov 19, 13",1.2015558698727014
2013-11-20,31.98,33.1799,31.68,32.51,1739263,1739263,1.38,4.433,32.4498,"Nov 20, 13",1.2991513437057989
2013-11-21,32.91,33.98,32,33.73,1267191,1267191,1.22,3.753,33.2274,"Nov 21, 13",1.3854314002828851
2013-11-22,34.38,34.43,32.81,33.89,1220733,1220733,0.16,0.474,33.6299,"Nov 22, 13",1.3967468175388966
2013-11-25,34.35,34.35,30.59,30.6,2710103,2710103,-3.29,-9.708,31.8502,"Nov 25, 13",1.1640735502121642
2013-11-26,30.29,32.44,28.73,32.31,3341873,3341873,1.71,5.588,30.9758,"Nov 26, 13",1.2850070721357851
2013-11-27,32.6,32.78,31.17,31.59,1402646,1402646,-0.72,-2.228,31.7572,"Nov 27, 13",1.234087694483734
2013-11-29,31.62,31.73,29.25,29.39,2194797,2194797,-2.2,-6.964,30.0712,"Nov 29, 13",1.0785007072135784
2013-12-02,29.74,31.1,29.6,30.44,1510225,1510225,1.05,3.573,30.4938,"Dec 2, 13",1.1527581329561527
2013-12-03,30.35,30.64,28.51,30.44,2115309,2115309,0,0,29.5833,"Dec 3, 13",1.1527581329561527
2013-12-04,29.71,31.3,29.62,30.91,1337372,1337372,0.47,1.544,30.7519,"Dec 4, 13",1.1859971711456858
2013-12-05,30.8,30.84,29.261,29.52,1141755,1141755,-1.39,-4.497,29.9163,"Dec 5, 13",1.0876944837340876
2013-12-06,29.95,30.0648,27.69,27.88,1800307,1800307,-1.64,-5.556,28.4493,"Dec 6, 13",0.9717114568599715
2013-12-09,27.57,28.21,26,26.08,2699120,2699120,-1.8,-6.456,26.8746,"Dec 9, 13",0.8444130127298443
2013-12-10,25.38,27.8,25.35,27.36,2426772,2426772,1.28,4.908,27.0556,"Dec 10, 13",0.9349363507779348
2013-12-11,27.56,27.6376,25,25.31,2017396,2017396,-2.05,-7.493,25.904,"Dec 11, 13",0.7899575671852898
2013-12-12,24.93,26.61,24.93,25.81,1497619,1497619,0.5,1.976,25.9212,"Dec 12, 13",0.8253182461103251
2013-12-13,26.1,26.67,25.581,25.98,960290,960290,0.17,0.659,26.0735,"Dec 13, 13",0.8373408769448373
2013-12-16,26.2,27.44,26.18,26.85,1201111,1201111,0.87,3.349,26.8399,"Dec 16, 13",0.8988684582743989
2013-12-17,26.96,29.39,26.62,29.36,1889361,1889361,2.51,9.348,28.355,"Dec 17, 13",1.0763790664780764
2013-12-18,29.64,29.7,27.9023,29.14,1790414,1790414,-0.22,-0.749,28.7399,"Dec 18, 13",1.0608203677510608
2013-12-19,29.06,29.9655,28.82,29.36,1640289,1640289,0.22,0.755,29.3441,"Dec 19, 13",1.0763790664780764
2013-12-20,29.64,29.9,27.93,28.7,1291595,1291595,-0.66,-2.248,28.732,"Dec 20, 13",1.0297029702970295
