date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,6.2041,6.2174,6.0975,6.0975,380413,380413,-0.119955,-1.929,6.1337,"Aug 5, 13",0
2013-08-06,6.0842,6.1042,6.0842,6.1042,276889,276889,0.006663,0.109,6.0897,"Aug 6, 13",0.0010988109881097964
2013-08-07,6.1175,6.1175,6.0908,6.0975,210720,210720,-0.006663,-0.109,6.0993,"Aug 7, 13",0
2013-08-08,6.1308,6.1441,6.1042,6.1441,232847,232847,0.046649,0.765,6.1204,"Aug 8, 13",0.007642476424764207
2013-08-09,6.1641,6.1708,6.1375,6.1508,132677,132677,0.006663,0.108,6.1555,"Aug 9, 13",0.008741287412874148
2013-08-12,6.1308,6.1708,6.1176,6.1708,162058,162058,0.01999,0.325,6.1389,"Aug 12, 13",0.012021320213202083
2013-08-13,6.1663,6.173,6.1193,6.1261,201005,201005,-0.044745,-0.725,6.1372,"Aug 13, 13",0.004690446904469038
2013-08-14,6.1059,6.1381,6.012,6.012,269932,269932,-0.11407,-1.862,6.0573,"Aug 14, 13",-0.014022140221402309
2013-08-15,5.9583,5.9784,5.9113,5.9248,352195,352195,-0.08723,-1.451,5.9426,"Aug 15, 13",-0.028323083230832283
2013-08-16,5.9181,5.9583,5.9181,5.9449,278987,278987,0.02013,0.34,5.9343,"Aug 16, 13",-0.025026650266502748
2013-08-19,5.9315,5.9315,5.7906,5.804,600344,600344,-0.140902,-2.37,5.8686,"Aug 19, 13",-0.04813448134481343
2013-08-20,5.8107,5.8375,5.757,5.7906,481600,481600,-0.013422,-0.231,5.801,"Aug 20, 13",-0.05033210332103316
2013-08-21,5.7906,5.8107,5.7637,5.7771,280769,280769,-0.01342,-0.232,5.7799,"Aug 21, 13",-0.05254612546125465
2013-08-22,5.7839,5.8392,5.7771,5.8107,202266,202266,0.033549,0.581,5.8136,"Aug 22, 13",-0.04703567035670363
2013-08-23,5.8107,5.9181,5.804,5.9113,305427,305427,0.100646,1.732,5.8627,"Aug 23, 13",-0.03053710537105377
2013-08-26,5.8979,5.9382,5.8644,5.8644,225874,225874,-0.04697,-0.795,5.9116,"Aug 26, 13",-0.03822878228782293
2013-08-27,5.8174,5.8597,5.7839,5.8308,305765,305765,-0.033545,-0.572,5.835,"Aug 27, 13",-0.043739237392373946
2013-08-28,5.8174,5.8912,5.8174,5.8577,333578,333578,0.026832,0.46,5.8567,"Aug 28, 13",-0.03932759327593272
2013-08-29,5.8375,5.9113,5.8308,5.9046,317301,317301,0.046972,0.802,5.874,"Aug 29, 13",-0.03163591635916357
2013-08-30,5.8979,5.9382,5.8912,5.9382,164569,164569,0.033548,0.568,5.9121,"Aug 30, 13",-0.026125461254612545
2013-09-03,5.9516,5.9583,5.8979,5.9248,282300,282300,-0.013418,-0.226,5.9193,"Sep 3, 13",-0.028323083230832283
2013-09-04,5.965,5.965,5.851,5.851,798083,798083,-0.073806,-1.246,5.8873,"Sep 4, 13",-0.04042640426404267
2013-09-05,5.8375,5.8844,5.8308,5.851,367866,367866,0,0,5.8548,"Sep 5, 13",-0.04042640426404267
2013-09-06,5.851,5.8711,5.8241,5.8442,271632,271632,-0.006709,-0.115,5.8529,"Sep 6, 13",-0.04154161541615421
