date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,1.35,1.469,1.32,1.4601,59245,59245,0.1601,12.315,1.384,"Aug 5, 13",0
2013-08-06,1.46,1.521,1.459,1.46,73180,73180,-0.0001,-0.007,1.4916,"Aug 6, 13",-0.00006848845969453393
2013-08-07,1.44,1.4799,1.3901,1.41,23252,23252,-0.05,-3.425,1.4267,"Aug 7, 13",-0.0343127183069653
2013-08-08,1.41,1.53,1.33,1.52,60798,60798,0.11,7.801,1.4534,"Aug 8, 13",0.041024587357030386
2013-08-09,1.5099,1.5099,1.4799,1.48,17500,17500,-0.04,-2.632,1.4959,"Aug 9, 13",0.013629203479213772
2013-08-12,1.48,1.65,1.48,1.65,87376,87376,0.17,11.486,1.5708,"Aug 12, 13",0.13005958495993422
2013-08-13,1.65,2.1,1.62,2,456068,456068,0.35,21.212,1.8976,"Aug 13, 13",0.36976919389082946
2013-08-14,1.99,1.99,1.82,1.88,128273,128273,-0.12,-6,1.9131,"Aug 14, 13",0.2875830422573796
2013-08-15,1.88,1.881,1.8,1.84,123744,123744,-0.04,-2.128,1.8439,"Aug 15, 13",0.26018765837956315
2013-08-16,1.85,1.88,1.79,1.82,34770,34770,-0.02,-1.087,1.8225,"Aug 16, 13",0.24648996644065482
2013-08-19,1.8,1.96,1.7,1.84,125140,125140,0.02,1.099,1.8507,"Aug 19, 13",0.26018765837956315
2013-08-20,1.83,1.84,1.7901,1.8055,13009,13009,-0.0345,-1.875,1.8224,"Aug 20, 13",0.23655913978494636
2013-08-21,1.82,1.821,1.67,1.6901,87586,87586,-0.1154,-6.392,1.7675,"Aug 21, 13",0.15752345729744538
2013-08-22,1.69,1.69,1.65,1.65,2410,2410,-0.0401,-2.373,1.6792,"Aug 22, 13",0.13005958495993422
2013-08-23,1.65,1.849,1.631,1.7799,41446,41446,0.1299,7.873,1.7419,"Aug 23, 13",0.2190260941031437
2013-08-26,1.76,1.7799,1.69,1.76,11000,11000,-0.0199,-1.118,1.7231,"Aug 26, 13",0.2053968906239299
2013-08-27,1.7001,1.72,1.63,1.71,52175,52175,-0.05,-2.841,1.6742,"Aug 27, 13",0.17115266077665914
2013-08-28,1.7,1.7,1.62,1.67,5450,5450,-0.04,-2.339,1.6495,"Aug 28, 13",0.14375727689884255
2013-08-29,1.62,1.6485,1.62,1.638,2600,2600,-0.032,-1.916,1.6288,"Aug 29, 13",0.12184096979658925
2013-08-30,1.621,1.64,1.6103,1.62,13176,13176,-0.018,-1.099,1.6232,"Aug 30, 13",0.10951304705157192
2013-09-03,1.6101,1.62,1.61,1.61,5010,5010,-0.01,-0.617,1.6115,"Sep 3, 13",0.10266420108211777
2013-09-04,1.66,1.72,1.65,1.72,25300,25300,0.11,6.832,1.7086,"Sep 4, 13",0.17800150674611329
2013-09-05,1.7,1.85,1.7,1.8,85331,85331,0.08,4.651,1.7988,"Sep 5, 13",0.23279227450174653
2013-09-06,1.84,1.86,1.7,1.78,107517,107517,-0.02,-1.111,1.7504,"Sep 6, 13",0.21909458256283823
2013-09-09,1.78,1.9,1.78,1.8799,65193,65193,0.0999,5.612,1.8714,"Sep 9, 13",0.2875145537976851
2013-09-10,1.83,1.831,1.78,1.79,63887,63887,-0.0899,-4.782,1.81,"Sep 10, 13",0.22594342853229238
2013-09-11,1.82,1.82,1.7801,1.7801,6652,6652,-0.0099,-0.553,1.7997,"Sep 11, 13",0.21916307102253274
2013-09-12,1.82,1.97,1.82,1.8601,65889,65889,0.08,4.494,1.9125,"Sep 12, 13",0.273953838778166
2013-09-13,1.8999,1.95,1.86,1.9099,19640,19640,0.0498,2.677,1.9201,"Sep 13, 13",0.3080610917060475
2013-09-16,1.88,1.9,1.84,1.84,44864,44864,-0.0699,-3.66,1.8643,"Sep 16, 13",0.26018765837956315
2013-09-17,1.851,1.851,1.84,1.84,400,400,0,0,1.8478,"Sep 17, 13",0.26018765837956315
2013-09-18,1.8492,1.91,1.83,1.85,27900,27900,0.01,0.543,1.8696,"Sep 18, 13",0.26703650434901727
2013-09-19,1.91,1.91,1.79,1.81,45360,45360,-0.04,-2.162,1.8473,"Sep 19, 13",0.23964112047120067
2013-09-20,1.87,1.88,1.82,1.82,3400,3400,0.01,0.552,1.8392,"Sep 20, 13",0.24648996644065482
2013-09-23,1.86,1.88,1.846,1.88,14496,14496,0.06,3.297,1.8695,"Sep 23, 13",0.2875830422573796
2013-09-24,1.871,1.871,1.71,1.76,25135,25135,-0.12,-6.383,1.7833,"Sep 24, 13",0.2053968906239299
2013-09-25,1.74,1.8,1.74,1.78,13560,13560,0.02,1.136,1.7834,"Sep 25, 13",0.21909458256283823
2013-09-26,1.81,1.81,1.81,1.81,400,400,0.03,1.685,1.81,"Sep 26, 13",0.23964112047120067
