date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-06-27,0.3,0.4,0.3,0.38,1837600,1837600,0.38,0,0.340356,"Jun 27, 17",0
2017-06-28,0.38,0.38,0.35,0.37,281235,281235,-0.01,-2.632,0.353083,"Jun 28, 17",-0.026315789473684233
2017-06-29,0.372,0.372,0.3338,0.36,20100,20100,-0.01,-2.703,0.369471,"Jun 29, 17",-0.05263157894736847
2017-06-30,0.3001,0.3493,0.3001,0.3493,1700,1700,-0.0107,-2.972,0.339529,"Jun 30, 17",-0.08078947368421054
2017-07-03,0.331,0.3451,0.3001,0.3451,29400,29400,-0.0042,-1.202,0.336671,"Jul 3, 17",-0.09184210526315786
2017-07-05,0.3299,0.37,0.3299,0.335,279000,279000,-0.0101,-2.927,0.367658,"Jul 5, 17",-0.1184210526315789
2017-07-06,0.35,0.35,0.3,0.35,10800,10800,0.015,4.478,0.334666,"Jul 6, 17",-0.0789473684210527
2017-07-07,0.368,0.37,0.358,0.37,1300,1300,0.02,5.714,0.364308,"Jul 7, 17",-0.026315789473684233
2017-07-10,0.36,0.36,0.3001,0.3001,20900,20900,-0.0699,-18.892,0.359713,"Jul 10, 17",-0.2102631578947369
2017-07-11,0.36,0.36,0.32,0.36,51300,51300,0.0599,19.96,0.350468,"Jul 11, 17",-0.05263157894736847
2017-07-12,0.3509,0.37,0.3509,0.37,9022,9022,0.01,2.778,0.351747,"Jul 12, 17",-0.026315789473684233
2017-07-13,0.37,0.37,0.37,0.37,5000,5000,0,0,0.37,"Jul 13, 17",-0.026315789473684233
2017-07-14,0.37,0.37,0.37,0.37,100,100,0,0,0.37,"Jul 14, 17",-0.026315789473684233
2017-07-18,0.32,0.37,0.32,0.3668,43535,43535,-0.0032,-0.865,0.364387,"Jul 18, 17",-0.03473684210526313
2017-07-19,0.37,0.37,0.35,0.35,20200,20200,-0.0168,-4.58,0.364851,"Jul 19, 17",-0.0789473684210527
2017-07-20,0.37,0.37,0.37,0.37,10500,10500,0.02,5.714,0.37,"Jul 20, 17",-0.026315789473684233
2017-07-21,,,,0.37,35,35,0,0,,"Jul 21, 17",-0.026315789473684233
2017-07-26,0.38,0.38,0.38,0.38,12800,12800,0.01,2.703,0.38,"Jul 26, 17",0
2017-07-31,0.355,0.355,0.355,0.355,1000,1000,-0.025,-6.579,0.355,"Jul 31, 17",-0.06578947368421058
