date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-12-16,24,32.45,24,26.95,91370,91370,26.95,0,28.545,"Dec 16, 16",0
2016-12-19,26.01,31.5,25.34,31.5,247301,247301,4.55,16.883,29.2734,"Dec 19, 16",0.16883116883116886
2016-12-20,30.05,32.71,30,31.99,366683,366683,0.49,1.556,31.0104,"Dec 20, 16",0.187012987012987
2016-12-21,32.84,33.925,31.15,32.1,94672,94672,0.11,0.344,32.8197,"Dec 21, 16",0.19109461966604832
2016-12-22,31.5,32.882,31.5,31.94,68702,68702,-0.16,-0.498,32.0692,"Dec 22, 16",0.18515769944341381
2016-12-23,32.15,34.99,32.15,33,78423,78423,1.06,3.319,33.0866,"Dec 23, 16",0.22448979591836737
2016-12-27,34,34.2346,32.56,33.25,59121,59121,0.25,0.758,33.4522,"Dec 27, 16",0.2337662337662338
2016-12-28,34,34,32.55,32.85,61739,61739,-0.4,-1.203,33.2563,"Dec 28, 16",0.2189239332096476
2016-12-29,32.1,32.8,31.156,32.5,59611,59611,-0.35,-1.065,32.2863,"Dec 29, 16",0.20593692022263455
2016-12-30,31.75,32.94,31.5,31.95,46246,46246,-0.55,-1.692,31.84,"Dec 30, 16",0.1855287569573284
2017-01-03,31.7,33,31.5,32.2,268290,268290,0.25,0.782,32.1154,"Jan 3, 17",0.19480519480519495
2017-01-04,32.5,35,30.88,33.67,158907,158907,1.47,4.565,33.2643,"Jan 4, 17",0.24935064935064943
2017-01-05,33.15,34.83,33.1497,33.64,128432,128432,-0.03,-0.089,33.9482,"Jan 5, 17",0.24823747680890543
2017-01-06,33.65,36.87,32.5884,36.02,240823,240823,2.38,7.075,35.3049,"Jan 6, 17",0.33654916512059385
2017-01-09,35.5,36.98,34.9,35.91,91845,91845,-0.11,-0.305,36.0554,"Jan 9, 17",0.33246753246753236
2017-01-10,35.54,37.91,34.03,37.55,177800,177800,1.64,4.567,37.2025,"Jan 10, 17",0.3933209647495361
2017-01-11,37.48,37.489,36.01,37.2,127069,127069,-0.35,-0.932,37.141,"Jan 11, 17",0.3803339517625233
