date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,86.62,86.89,85.17,85.57,321402,321402,-1.26,-1.451,85.8071,"Aug 5, 13",0
2013-08-06,85.17,85.5,83.7106,84.67,358877,358877,-0.9,-1.052,84.3445,"Aug 6, 13",-0.010517704803085094
2013-08-07,84.19,85.49,84.09,85.43,217352,217352,0.76,0.898,84.9984,"Aug 7, 13",-0.001636087413813093
2013-08-08,86.1,86.69,85,85.39,185721,185721,-0.04,-0.047,85.4082,"Aug 8, 13",-0.0021035409606169524
2013-08-09,85.28,85.81,84.23,84.91,120423,120423,-0.48,-0.562,84.8816,"Aug 9, 13",-0.007712983522262436
2013-08-12,84.5,85.69,83.83,85.19,114024,114024,0.28,0.33,85.0475,"Aug 12, 13",-0.0044408086946359174
2013-08-13,85.34,85.556,83.92,84.11,260096,260096,-1.08,-1.268,84.2899,"Aug 13, 13",-0.01706205445833813
2013-08-14,83.81,83.97,83.14,83.63,174193,174193,-0.48,-0.571,83.5534,"Aug 14, 13",-0.022671497019983614
2013-08-15,82.91,83.01,81.73,82.55,180090,180090,-1.08,-1.291,82.4167,"Aug 15, 13",-0.035292742783685827
2013-08-16,82.46,83.584,81.78,83.19,165365,165365,0.64,0.775,83.0885,"Aug 16, 13",-0.02781348603482524
2013-08-19,83.17,83.62,82.63,83.05,210819,210819,-0.14,-0.168,83.0999,"Aug 19, 13",-0.029449573448638498
2013-08-20,83.23,84.5,82.78,84.35,162210,162210,1.3,1.565,83.8549,"Aug 20, 13",-0.014257333177515472
2013-08-21,84.16,84.48,83.05,83.38,214265,214265,-0.97,-1.15,83.7729,"Aug 21, 13",-0.02559308168750728
2013-08-22,83.69,84.62,83.21,84.25,170930,170930,0.87,1.043,84.179,"Aug 22, 13",-0.015425967044524872
2013-08-23,84.47,84.9191,83.66,84.81,150386,150386,0.56,0.665,84.5513,"Aug 23, 13",-0.008881617389271835
2013-08-26,85,85.22,84.18,84.23,177896,177896,-0.58,-0.684,84.5607,"Aug 26, 13",-0.015659693817926718
2013-08-27,83.32,83.65,82.09,82.24,138772,138772,-1.99,-2.363,82.6031,"Aug 27, 13",-0.0389155077714152
2013-08-28,82.4,83.01,82.0201,82.5,136395,136395,0.26,0.316,82.5264,"Aug 28, 13",-0.035877059717190525
