date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-06,4.5768,4.5768,4.5768,4.5768,100,100,0.026556,0.584,4.5768,"Aug 6, 13",0
2013-08-08,4.5599,4.5679,4.5059,4.5059,2800,2800,-0.07082,-1.547,4.5561,"Aug 8, 13",-0.01549117287187573
2013-08-09,4.5599,4.5679,4.5591,4.5679,1500,1500,0.061971,1.375,4.5601,"Aug 9, 13",-0.0019445901066248413
2013-08-12,4.5591,4.5591,4.5591,4.5591,100,100,-0.008854,-0.194,4.5591,"Aug 12, 13",-0.003867330886208812
2013-08-14,4.568,4.568,4.568,4.568,400,400,0.008939,0.196,4.568,"Aug 14, 13",-0.001922740779584165
2013-08-15,4.568,4.568,4.568,4.568,200,200,0,0,4.568,"Aug 15, 13",-0.001922740779584165
2013-08-20,4.683,4.683,4.683,4.683,522,522,0.114997,2.517,4.683,"Aug 20, 13",0.023203985317252096
2013-08-21,4.683,4.683,4.683,4.683,200,200,0,0,4.683,"Aug 21, 13",0.023203985317252096
2013-08-22,4.6741,4.6741,4.6653,4.6653,300,300,-0.017706,-0.378,4.6682,"Aug 22, 13",0.019336654431043477
2013-08-23,4.683,4.7362,4.6821,4.6918,3278,3278,0.026558,0.569,4.7225,"Aug 23, 13",0.02512672609683607
2013-08-26,4.7202,4.7202,4.506,4.506,4306,4306,-0.185834,-3.961,4.5834,"Aug 26, 13",-0.015469323544834861
2013-08-27,4.5149,4.5328,4.5149,4.5328,500,500,0.026769,0.594,4.5185,"Aug 27, 13",-0.009613703897920049
2013-08-28,4.4704,4.5417,4.4704,4.5417,200,200,0.008921,0.197,4.5061,"Aug 28, 13",-0.007669113791295402
2013-09-04,4.4971,4.4971,4.4971,4.4971,179,179,-0.044613,-0.982,4.4971,"Sep 4, 13",-0.017413913651459702
2013-09-05,4.5239,4.5239,4.5167,4.5167,200,200,0.019632,0.437,4.5203,"Sep 5, 13",-0.013131445551477071
2013-09-09,4.5506,4.5952,4.5506,4.5952,5100,5100,0.078521,1.738,4.5855,"Sep 9, 13",0.00402027617549374
2013-09-10,4.6755,4.6755,4.6309,4.6309,400,400,0.035688,0.777,4.6644,"Sep 10, 13",0.011820485929033198
2013-09-13,4.5952,4.5953,4.5952,4.5953,200,200,-0.035601,-0.769,4.5953,"Sep 13, 13",0.004042125502534416
2013-09-16,4.6755,4.6755,4.622,4.622,768,768,0.02668,0.581,4.641,"Sep 16, 13",0.009875895822408552
2013-09-17,4.622,4.6399,4.622,4.6399,700,700,0.017845,0.386,4.6373,"Sep 17, 13",0.013786925362698717
2013-09-18,4.6648,4.7023,4.5506,4.5506,15253,15253,-0.089227,-1.923,4.6653,"Sep 18, 13",-0.00572452368467056
2013-09-20,4.5953,4.6845,4.5953,4.6845,1241,1241,0.13384,2.941,4.6126,"Sep 20, 13",0.023531725222863016
2013-09-23,4.6399,4.6399,4.6399,4.6399,100,100,-0.044613,-0.952,4.6399,"Sep 23, 13",0.013786925362698717
2013-09-25,4.6399,4.6399,4.6399,4.6399,100,100,0,0,4.6399,"Sep 25, 13",0.013786925362698717
2013-09-26,4.6399,4.7112,4.6399,4.7112,2700,2700,0.071382,1.538,4.6891,"Sep 26, 13",0.029365495542737152
2013-09-30,4.7023,4.7023,4.7023,4.7023,100,100,-0.008923,-0.189,4.7023,"Sep 30, 13",0.027420905436112506
2013-10-01,4.6572,4.6572,4.6572,4.6572,100,100,-0.04515,-0.96,4.6572,"Oct 1, 13",0.017566858940744435
2013-10-02,4.7112,4.8094,4.6879,4.7202,5336,5336,0.062995,1.353,4.7225,"Oct 2, 13",0.031331934976402666
2013-10-03,,,,4.6666,0,0,-0.053536,-1.134,,"Oct 3, 13",0.019620695682572853
2013-10-04,,,,4.6577,0,0,-0.008922,-0.191,,"Oct 4, 13",0.017676105575948203
2013-10-07,4.7737,4.7737,4.6488,4.6934,900,900,0.035692,0.766,4.7142,"Oct 7, 13",0.025476315329487662
2013-10-08,4.7915,4.7915,4.7112,4.7202,800,800,0.026766,0.57,4.7525,"Oct 8, 13",0.031331934976402666
2013-10-09,4.7737,4.7737,4.6309,4.6845,1100,1100,-0.035691,-0.756,4.701,"Oct 9, 13",0.023531725222863016
