date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,16.9521,17.1692,16.7822,17.1692,178659,178659,0.188777,1.112,16.9239,"Aug 5, 13",0
2013-08-06,17.0843,17.1504,16.4424,16.6595,45901,45901,-0.509697,-2.969,16.758,"Aug 6, 13",-0.029686881159285156
2013-08-07,16.5746,16.7067,16.2914,16.3292,144815,144815,-0.330359,-1.983,16.4098,"Aug 7, 13",-0.04892481886168254
2013-08-08,16.4991,16.7681,16.2584,16.669,301403,301403,0.339798,2.081,16.606,"Aug 8, 13",-0.029133564755492367
2013-08-09,16.6218,16.6218,16.1272,16.2065,101032,101032,-0.462503,-2.775,16.3822,"Aug 9, 13",-0.05607133704540699
2013-08-12,16.0743,16.5368,15.9422,16.3197,81729,81729,0.113266,0.699,16.1988,"Aug 12, 13",-0.04947813526547533
2013-08-13,16.3197,16.6171,16.0932,16.4896,43707,43707,0.169899,1.041,16.2865,"Aug 13, 13",-0.039582508212380345
2013-08-14,16.5274,16.7256,16.282,16.3103,103943,103943,-0.179338,-1.088,16.4842,"Aug 14, 13",-0.050025627286070316
2013-08-15,16.1026,16.3292,15.3759,15.4136,123565,123565,-0.896689,-5.498,15.8473,"Aug 15, 13",-0.10225287142091649
2013-08-16,15.3475,15.9233,15.3475,15.81,104164,104164,0.396431,2.572,15.7447,"Aug 16, 13",-0.07916501642476059
2013-08-19,15.8572,15.9327,15.3759,15.3853,75215,75215,-0.424747,-2.687,15.6586,"Aug 19, 13",-0.10390117186589935
2013-08-20,15.4042,16.0838,15.4042,15.7912,85939,85939,0.40587,2.638,15.6723,"Aug 20, 13",-0.08026000046595066
2013-08-21,15.7157,16.046,15.6024,15.7723,67005,67005,-0.018878,-0.12,15.8513,"Aug 21, 13",-0.08136080889033855
2013-08-22,16.518,17.6601,16.0932,17.4335,173230,173230,1.6612,10.533,17.1606,"Aug 22, 13",0.015393844791836466
2013-08-23,18.0848,19.6705,18.047,19.0476,332513,332513,1.614,9.258,18.6884,"Aug 23, 13",0.10940521398783865
2013-08-26,18.9909,20.5173,18.9909,19.8027,447646,447646,0.755106,3.964,19.876,"Aug 26, 13",0.1533851315145727
2013-08-27,19.4346,19.6516,18.7278,18.8777,200202,200202,-0.925005,-4.671,19.1847,"Aug 27, 13",0.09950958693474365
2013-08-28,18.9249,19.1891,18.4907,18.7455,115897,115897,-0.132144,-0.7,18.8702,"Aug 28, 13",0.09180975234722642
2013-08-29,18.6417,19.3402,18.502,19.0853,119707,119707,0.339798,1.813,19.0683,"Aug 29, 13",0.11160100645341658
2013-08-30,19.057,19.057,18.3868,18.4152,173390,173390,-0.670157,-3.511,18.6984,"Aug 30, 13",0.07257181464482904
2013-09-03,18.5567,18.9249,18.3972,18.7455,155111,155111,0.330359,1.794,18.6882,"Sep 3, 13",0.09180975234722642
2013-09-04,18.7738,18.9908,18.519,18.5379,78817,78817,-0.207654,-1.108,18.7333,"Sep 4, 13",0.07971833282855348
2013-09-05,18.6417,18.7455,18.2028,18.2547,97829,97829,-0.283165,-1.527,18.34,"Sep 5, 13",0.06322367961232904
2013-09-06,18.2925,18.3538,17.8677,17.9338,128172,128172,-0.32092,-1.758,18.0994,"Sep 6, 13",0.04453323393052684
2013-09-09,18.1131,18.4435,17.9574,18.2547,159565,159565,0.32092,1.789,18.1506,"Sep 9, 13",0.06322367961232904
2013-09-10,18.4057,18.4529,18.0565,18.1414,91415,91415,-0.113266,-0.62,18.2362,"Sep 10, 13",0.05662465344919978
2013-09-11,18.1414,18.4435,17.7167,17.9243,159924,159924,-0.217093,-1.197,18.0634,"Sep 11, 13",0.043979917526733844
2013-09-12,17.8866,18.132,17.509,17.5845,132308,132308,-0.339798,-1.896,17.7347,"Sep 12, 13",0.024188663420543675
2013-09-13,17.5279,17.5657,17.207,17.3391,91198,91198,-0.245409,-1.396,17.3427,"Sep 13, 13",0.009895627053094984
2013-09-16,17.5185,17.6789,17.2919,17.4618,202702,202702,0.122705,0.708,17.4855,"Sep 16, 13",0.017042145236819434
2013-09-17,17.4618,17.509,17.3391,17.4241,115875,115875,-0.037756,-0.216,17.4424,"Sep 17, 13",0.01484635277124148
2013-09-18,17.4146,17.594,17.1504,17.4241,137704,137704,0,0,17.3109,"Sep 18, 13",0.01484635277124148
2013-09-19,17.4335,17.6223,17.0937,17.4902,79688,79688,0.066072,0.379,17.3968,"Sep 19, 13",0.018696270065000204
2013-09-20,17.5845,17.6978,17.2731,17.4146,203641,203641,-0.075511,-0.432,17.4949,"Sep 20, 13",0.014293036367448692
2013-09-23,17.3863,17.409,16.4519,16.971,153956,153956,-0.443625,-2.547,16.9244,"Sep 23, 13",-0.01154392749807795
2013-09-24,16.9427,17.2353,16.5085,17.0371,66572,66572,0.066072,0.389,16.9362,"Sep 24, 13",-0.007694010204319433
2013-09-25,17.0371,17.2919,17.0006,17.1598,136588,136588,0.122705,0.72,17.1298,"Sep 25, 13",-0.0005474920205949846
2013-09-26,17.2636,17.358,16.6407,17.3014,58163,58163,0.141582,0.825,17.2389,"Sep 26, 13",0.007699834587517239
2013-09-27,17.1409,17.6412,16.9903,17.5279,74326,74326,0.226532,1.309,17.442,"Sep 27, 13",0.02089206253057795
2013-09-30,17.2731,17.5373,17.0465,17.4052,101130,101130,-0.122704,-0.7,17.3566,"Sep 30, 13",0.013745544346853706
2013-10-01,17.3863,17.8771,17.3391,17.6506,71712,71712,0.245409,1.41,17.5564,"Oct 1, 13",0.028038580714302395
2013-10-02,17.4713,17.594,17.3108,17.3486,96754,96754,-0.302042,-1.711,17.4108,"Oct 2, 13",0.010448943456887981
2013-10-03,17.2731,17.4014,16.6218,16.8766,124979,124979,-0.471942,-2.72,17.0873,"Oct 3, 13",-0.017042145236819434
2013-10-04,16.8389,17.2731,16.8389,17.056,55640,55640,0.179338,1.063,17.05,"Oct 4, 13",-0.006593201779931452
2013-10-07,16.8672,16.9238,16.3009,16.5085,105903,105903,-0.547452,-3.21,16.5615,"Oct 7, 13",-0.03848169978799237
2013-10-08,16.4613,16.4887,15.9705,16.1121,64462,64462,-0.396431,-2.401,16.1273,"Oct 8, 13",-0.061569554784148266
2013-10-09,16.2065,16.2065,15.81,16.046,164668,164668,-0.066072,-0.41,16.064,"Oct 9, 13",-0.06541947207790699
2013-10-10,16.3386,16.518,16.197,16.3292,56192,56192,0.283165,1.765,16.3524,"Oct 10, 13",-0.04892481886168254
2013-10-11,16.2348,16.2348,15.8761,16.1687,80265,80265,-0.16046,-0.983,16.002,"Oct 11, 13",-0.058272953894182536
2013-10-14,16.0649,16.6029,16.0649,16.4802,96406,96406,0.311481,1.926,16.5098,"Oct 14, 13",-0.04013000023297533
2013-10-15,16.4141,16.6029,16.0932,16.0932,83549,83549,-0.386992,-2.348,16.2457,"Oct 15, 13",-0.06267036320853625
2013-10-16,16.2159,16.4132,16.0177,16.0838,103991,103991,-0.009439,-0.059,16.1242,"Oct 16, 13",-0.06321785522913123
2013-10-17,16.0555,16.2631,15.9233,16.2348,92393,92393,0.151022,0.939,16.141,"Oct 17, 13",-0.054423036600424024
2013-10-18,16.3952,17.122,16.282,17.0654,107722,107722,0.830617,5.116,16.7755,"Oct 18, 13",-0.006045709759336467
2013-10-21,17.1598,17.2731,16.7634,16.8106,93677,93677,-0.254849,-1.493,16.9078,"Oct 21, 13",-0.02088623814738014
2013-10-22,16.9427,17.0843,16.6595,16.9616,91267,91267,0.151022,0.898,16.8917,"Oct 22, 13",-0.012091419518672934
2013-10-23,16.8861,17.0267,16.7539,16.82,31751,31751,-0.141583,-0.835,16.8493,"Oct 23, 13",-0.020338746126785157
2013-10-24,16.9238,17.1692,16.7634,17.0465,60003,60003,0.226532,1.347,16.9963,"Oct 24, 13",-0.007146518183724242
2013-10-25,17.1504,17.1504,16.9521,17.0276,73290,73290,-0.018878,-0.111,17.0137,"Oct 25, 13",-0.008247326608112223
2013-10-28,17.0748,17.1315,16.8011,17.0465,107564,107564,0.018878,0.111,16.9639,"Oct 28, 13",-0.007146518183724242
2013-10-29,17.1504,17.1877,16.971,17.1598,77183,77183,0.113266,0.664,16.9631,"Oct 29, 13",-0.0005474920205949846
2013-10-30,17.2259,17.2353,16.9333,17.0371,77686,77686,-0.122705,-0.715,17.0452,"Oct 30, 13",-0.007694010204319433
2013-10-31,17.0465,17.0748,16.4896,16.7539,142886,142886,-0.283165,-1.662,16.818,"Oct 31, 13",-0.024188663420543675
2013-11-01,16.7634,16.9049,16.5651,16.7539,97495,97495,0,0,16.8158,"Nov 1, 13",-0.024188663420543675
2013-11-04,16.7822,16.9427,16.7539,16.9144,58970,58970,0.16046,0.958,16.8694,"Nov 4, 13",-0.014840528388043676
2013-11-05,16.8861,16.9427,16.7539,16.8672,35674,35674,-0.047194,-0.279,16.8408,"Nov 5, 13",-0.017589637257414418
2013-11-06,16.9427,16.9993,16.7917,16.8577,61290,61290,-0.009439,-0.056,16.8922,"Nov 6, 13",-0.018142953661207207
2013-11-07,16.9238,16.9238,16.3575,16.4424,90245,90245,-0.415308,-2.464,16.5663,"Nov 7, 13",-0.04233161708175109
2013-11-08,16.4708,16.6029,16.2065,16.584,76200,76200,0.141582,0.861,16.4794,"Nov 8, 13",-0.03408429047363887
2013-11-11,16.584,17.4241,16.518,17.3297,58140,58140,0.745668,4.496,21.0416,"Nov 11, 13",0.009348135032499998
2013-11-12,17.3297,17.7922,17.1504,17.6884,77930,77930,0.358675,2.07,17.4773,"Nov 12, 13",0.030240197563078153
2013-11-13,17.5845,17.8488,17.5159,17.8016,90121,90121,0.113266,0.64,17.6823,"Nov 13, 13",0.0368333993430096
2013-11-14,17.7639,17.8771,17.056,17.2919,100878,100878,-0.509696,-2.863,17.3867,"Nov 14, 13",0.007146518183724242
2013-11-15,17.2636,18.7455,17.1504,18.5567,229493,229493,1.2648,7.314,18.2226,"Nov 15, 13",0.08081331686974345
2013-11-18,19.3024,22.1152,19.2741,21.3601,655876,655876,2.8033,15.107,21.1126,"Nov 18, 13",0.24409407543741113
2013-11-19,21.3034,21.4639,20.6805,21.3789,258202,258202,0.018878,0.088,21.0507,"Nov 19, 13",0.2451890594786013
2013-11-20,21.4639,21.681,20.6805,21.5677,136119,136119,0.188777,0.883,21.3145,"Nov 20, 13",0.25618549495608406
2013-11-21,22.2756,24.5032,21.7943,22.5305,477021,477021,0.96276,4.464,23.342,"Nov 21, 13",0.31226265638468886
2013-11-22,22.8703,22.9364,21.9455,22.3511,193875,193875,-0.179338,-0.796,22.4207,"Nov 22, 13",0.3018137129278009
2013-11-25,22.6626,24.6825,22.6532,23.2195,348446,348446,0.868373,3.885,23.8154,"Nov 25, 13",0.35239265661766417
2013-11-26,23.3233,24.1823,23.3233,23.8708,282519,282519,0.651279,2.805,23.8914,"Nov 26, 13",0.3903268643850616
2013-11-27,24.0407,24.3805,24.0124,24.22,136723,136723,0.349237,1.463,24.2436,"Nov 27, 13",0.41066561051184675
2013-11-29,24.2955,24.3711,23.9935,24.1823,76302,76302,-0.037756,-0.156,24.2008,"Nov 29, 13",0.408469818046269
2013-12-02,24.0879,24.3994,23.6065,24.069,228714,228714,-0.113265,-0.468,24.0699,"Dec 2, 13",0.4018707918831395
2013-12-03,24.0973,24.3522,23.7387,23.9746,182745,182745,-0.094389,-0.392,24.0397,"Dec 3, 13",0.396372574144398
2013-12-04,23.9086,24.1351,23.0718,23.8614,126658,126658,-0.113266,-0.472,23.5984,"Dec 4, 13",0.3897793723644666
2013-12-05,23.9463,23.9897,22.9184,23.0591,102184,102184,-0.8023,-3.362,23.2427,"Dec 5, 13",0.343050345968362
2013-12-06,23.2667,24.0784,23.0119,23.295,108412,108412,0.23597,1.023,23.615,"Dec 6, 13",0.3567900659320179
2013-12-09,23.295,23.5782,22.4833,23.2573,129586,129586,-0.037755,-0.162,22.968,"Dec 9, 13",0.35459427346643996
2013-12-10,23.2384,23.4366,22.7853,22.9836,98170,98170,-0.273726,-1.177,23.1025,"Dec 10, 13",0.3386529366540083
2013-12-11,23.0779,23.3422,21.9803,22.5777,219061,219061,-0.40587,-1.766,22.5869,"Dec 11, 13",0.3150117652540596
2013-12-12,22.5966,23.2762,22.1436,22.908,119931,119931,0.330359,1.463,22.7021,"Dec 12, 13",0.334249702956457
2013-12-13,22.9269,23.4083,22.5966,23.2101,84080,84080,0.302043,1.319,23.0516,"Dec 13, 13",0.3518451645970692
2013-12-16,23.3139,23.7009,22.9081,22.9364,124554,124554,-0.273726,-1.179,23.2099,"Dec 16, 13",0.33590382778463757
2013-12-17,23.0024,23.2478,22.5031,22.7004,103977,103977,-0.235971,-1.029,22.7851,"Dec 17, 13",0.32215828343778385
2013-12-18,22.8137,23.3139,22.2558,22.9458,170739,170739,0.24541,1.081,22.7356,"Dec 18, 13",0.3364513198052325
2013-12-19,22.842,23.1157,22.2756,22.757,71912,71912,-0.188777,-0.823,22.7426,"Dec 19, 13",0.32545488432774977
2013-12-20,22.8703,24.1162,22.6909,23.4177,375358,375358,0.660718,2.903,23.3912,"Dec 20, 13",0.36393658411574215
2013-12-23,23.3139,24.0501,22.9458,23.918,162951,162951,0.500258,2.136,23.6098,"Dec 23, 13",0.39307597325443233
2013-12-24,24.1351,25.0318,23.7575,23.8897,117882,117882,-0.028316,-0.118,24.2864,"Dec 24, 13",0.39142767280944957
2013-12-26,23.9652,24.3239,23.7387,23.7953,90351,90351,-0.094389,-0.395,24.0311,"Dec 26, 13",0.3859294550707081
2013-12-27,23.767,23.8142,22.908,22.9741,78467,78467,-0.821178,-3.451,23.1443,"Dec 27, 13",0.3380996202502155
2013-12-30,22.9741,23.4366,22.4248,22.9552,141899,141899,-0.018877,-0.082,22.8984,"Dec 30, 13",0.33699881182582775
2013-12-31,22.9552,23.2478,22.2662,22.3417,159729,159729,-0.613524,-2.673,22.6323,"Dec 31, 13",0.3012662209072059
2014-01-02,22.3417,22.7853,21.8886,22.1435,157988,157988,-0.198216,-0.887,21.7403,"Jan 2, 14",0.2897222934091279
2014-01-03,22.219,22.6154,21.8509,22.1718,108582,108582,0.028317,0.128,22.2186,"Jan 3, 14",0.2913705938541109
2014-01-06,22.0491,22.2096,20.6238,21.0486,222117,222117,-1.1232,-5.066,21.3113,"Jan 6, 14",0.2259511217762039
2014-01-07,21.1902,22.0302,21.1902,21.6149,169505,169505,0.56633,2.691,21.6987,"Jan 7, 14",0.2589346038254548
2014-01-08,21.6149,22.5777,21.2657,21.3695,278543,278543,-0.24541,-1.135,22.0678,"Jan 8, 14",0.2446415674580061
2014-01-09,21.4167,21.4733,19.9065,20.2746,269778,269778,-1.0949,-5.124,20.683,"Jan 9, 14",0.1808703958250821
2014-01-10,20.2935,20.7088,19.8215,20.1991,321983,321983,-0.075511,-0.372,20.3193,"Jan 10, 14",0.1764729865107286
2014-01-13,20.1802,20.3848,19.831,19.9726,161086,161086,-0.226532,-1.121,19.9947,"Jan 13, 14",0.1632807585676677
2014-01-14,20.1141,20.1802,19.9159,20.0858,152634,152634,0.113266,0.567,20.0495,"Jan 14, 14",0.16987396034759913
2014-01-15,20.2557,20.4067,20.0386,20.0953,85513,85513,0.009439,0.047,20.2176,"Jan 15, 14",0.17042727675139213
2014-01-16,20.0575,20.0575,19.662,19.7743,131528,131528,-0.32092,-1.597,19.865,"Jan 16, 14",0.15173100668639192
2014-01-17,19.68,19.7272,18.7836,19.1042,220395,220395,-0.670157,-3.389,19.092,"Jan 17, 14",0.11270181487780437
