date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,41.2889,41.4422,40.6861,40.8708,1157809,1157809,-0.592331,-1.429,40.8733,"Aug 5, 13",0
2013-08-06,40.8429,41.0311,40.613,40.6757,870659,870659,-0.195121,-0.477,40.7636,"Aug 6, 13",-0.004773579181224825
2013-08-07,40.7314,40.8151,40.3482,40.7036,991831,991831,0.027875,0.069,40.6766,"Aug 7, 13",-0.004090940231167511
2013-08-08,40.8778,41.045,40.2158,40.7175,1149929,1149929,0.013938,0.034,40.5811,"Aug 8, 13",-0.0037508441234329042
2013-08-09,40.5781,40.5788,39.8534,40.2158,1578406,1578406,-0.50174,-1.232,40.1011,"Aug 9, 13",-0.016026111551523364
2013-08-12,40.1879,40.9893,40.0764,40.9405,1197371,1197371,0.724734,1.802,40.808,"Aug 12, 13",0.0017053740078490616
2013-08-13,41.052,41.4701,40.5224,41.3586,1440523,1440523,0.418117,1.021,41.1381,"Aug 13, 13",0.011935171320355853
2013-08-14,41.5552,41.5552,41.0426,41.2673,1005955,1005955,-0.09129,-0.221,41.3202,"Aug 14, 13",0.009701302641494564
2013-08-15,40.9303,40.9513,40.0245,40.0736,1381723,1381723,-1.1937,-2.893,40.2349,"Aug 15, 13",-0.0195053681356862
2013-08-16,39.7998,40.1789,39.5189,39.7015,2473831,2473831,-0.372155,-0.929,39.7885,"Aug 16, 13",-0.02860966753770417
2013-08-19,39.6453,39.8419,39.5048,39.547,1109773,1109773,-0.15448,-0.389,39.6505,"Aug 19, 13",-0.03238987247619341
2013-08-20,39.6593,39.8278,39.1046,39.568,1520093,1520093,0.021064,0.053,39.5779,"Aug 20, 13",-0.03187605821270943
2013-08-21,39.6172,39.6873,38.922,39.238,1092004,1092004,-0.330026,-0.834,39.3094,"Aug 21, 13",-0.03995028235317153
2013-08-22,39.4557,39.9121,39.3504,39.6242,1014983,1014983,0.386202,0.984,39.6204,"Aug 22, 13",-0.030500993374242755
2013-08-23,39.7155,39.8524,39.3433,39.7927,771549,771549,0.168524,0.425,39.7343,"Aug 23, 13",-0.026378245593430986
2013-08-26,39.891,39.9999,39.54,39.6031,771667,771667,-0.189593,-0.476,39.8023,"Aug 26, 13",-0.031017254372314826
2013-08-27,38.9081,39.3012,38.3743,38.3884,1374315,1374315,-1.2148,-3.067,38.6712,"Aug 27, 13",-0.060737739412979566
2013-08-28,38.4867,38.8027,38.4094,38.5148,993330,993330,0.12639,0.329,38.5838,"Aug 28, 13",-0.05764506689372367
2013-08-29,38.5148,39.0625,38.4094,38.8588,611137,611137,0.344072,0.893,38.8678,"Aug 29, 13",-0.04922829991093887
2013-08-30,39.0835,39.231,38.5499,38.7254,892114,892114,-0.133417,-0.343,38.722,"Aug 30, 13",-0.05249224385135603
2013-09-03,39.1818,39.6242,38.6973,38.8869,1241540,1241540,0.1615,0.417,39.0542,"Sep 3, 13",-0.0485407674917057
2013-09-04,38.8167,41.3165,38.8167,41.0216,3239351,3239351,2.1346,5.489,40.6202,"Sep 4, 13",0.003689675758732315
2013-09-05,41.0496,41.2112,40.5651,41.1058,1776366,1776366,0.084261,0.205,40.9163,"Sep 5, 13",0.005749826281844237
2013-09-06,41.3727,41.7308,40.7266,41.2603,1545817,1545817,0.154481,0.376,41.3399,"Sep 6, 13",0.009530031220333298
2013-09-09,41.3235,41.5131,40.9935,41.3586,1272060,1272060,0.098306,0.238,41.3158,"Sep 9, 13",0.011935171320355853
