date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-09-23,19.25,19.5,19.25,19.4,87285,87285,19.4,0,19.4278,"Sep 23, 13",0
2013-09-24,21,23,21,22.9,64945,64945,3.5,18.041,21.7038,"Sep 24, 13",0.18041237113402064
2013-09-25,24,24,21.95,23.05,118323,118323,0.15,0.655,22.92,"Sep 25, 13",0.18814432989690735
2013-09-26,23.1,24.5,23.1,24.5,192436,192436,1.45,6.291,23.6667,"Sep 26, 13",0.2628865979381444
2013-09-27,24.75,26.25,24.65,25.5,193618,193618,1,4.082,25.195,"Sep 27, 13",0.31443298969072175
2013-09-30,26.5,26.5,25,25,32213,32213,-0.5,-1.961,25.3602,"Sep 30, 13",0.2886597938144331
2013-10-01,25.5,25.75,25.25,25.65,160844,160844,0.65,2.6,25.4436,"Oct 1, 13",0.32216494845360827
2013-10-02,25.65,26.05,25.5,25.65,27776,27776,0,0,25.7319,"Oct 2, 13",0.32216494845360827
2013-10-03,25.5,28,25.5,28,22165,22165,2.35,9.162,25.9723,"Oct 3, 13",0.44329896907216504
2013-10-04,27,28.12,27,28.05,136088,136088,0.05,0.179,29.2243,"Oct 4, 13",0.44587628865979395
2013-10-07,29,30,28.75,29,10286,10286,0.95,3.387,29.0255,"Oct 7, 13",0.4948453608247424
2013-10-08,29,29,28,28,7700,7700,-1,-3.448,28.4156,"Oct 8, 13",0.44329896907216504
2013-10-09,27.5,27.5,26.5,27,4360,4360,-1,-3.571,27.1649,"Oct 9, 13",0.39175257731958774
2013-10-10,26.9,27.5,26.9,27,10816,10816,0,0,27.0089,"Oct 10, 13",0.39175257731958774
2013-10-11,27.5,27.5,26.75,27,81182,81182,0,0,27.0233,"Oct 11, 13",0.39175257731958774
2013-10-14,27.5,27.5,25.5,25.5,6132,6132,-1.5,-5.556,26.7101,"Oct 14, 13",0.31443298969072175
2013-10-15,25.5,26.75,25.5,26,5570,5570,0.5,1.961,26.3402,"Oct 15, 13",0.34020618556701043
2013-10-16,26.5,26.5,25.55,25.75,1250,1250,-0.25,-0.962,25.782,"Oct 16, 13",0.3273195876288661
2013-10-17,26.5,27.25,25.55,25.55,23308,23308,-0.2,-0.777,25.9281,"Oct 17, 13",0.31701030927835067
2013-10-18,26,26,24.64,25.05,49286,49286,-0.5,-1.957,25.209,"Oct 18, 13",0.291237113402062
2013-10-21,25,25.25,24.5,24.5,18896,18896,-0.55,-2.196,24.9617,"Oct 21, 13",0.2628865979381444
2013-10-22,24.25,24.5,23.5,23.5,78211,78211,-1,-4.082,33.7386,"Oct 22, 13",0.2113402061855671
