date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-11-20,3.26,3.4078,3.05,3.19,532852,532852,3.19,0,3.1967,"Nov 20, 15",0
2015-11-23,3.05,3.16,2.96,2.99,257619,257619,-0.2,-6.27,3.021,"Nov 23, 15",-0.06269592476489019
2015-11-24,2.91,2.92,2.36,2.43,173238,173238,-0.56,-18.729,2.6184,"Nov 24, 15",-0.238244514106583
2015-11-25,2.5,2.76,2.47,2.61,114458,114458,0.18,7.407,2.5987,"Nov 25, 15",-0.18181818181818185
2015-11-27,2.73,2.78,2.68,2.78,30763,30763,0.17,6.513,2.7652,"Nov 27, 15",-0.12852664576802514
2015-11-30,2.75,2.77,2.51,2.51,40475,40475,-0.27,-9.712,2.5909,"Nov 30, 15",-0.21316614420062702
2015-12-01,2.46,2.59,2.35,2.48,129567,129567,-0.03,-1.195,2.4645,"Dec 1, 15",-0.2225705329153605
2015-12-02,2.48,2.57,2.42,2.47,17764,17764,-0.01,-0.403,2.463,"Dec 2, 15",-0.22570532915360494
2015-12-03,2.55,2.75,2.42,2.7,138965,138965,0.23,9.312,2.5615,"Dec 3, 15",-0.15360501567398113
2015-12-04,2.78,2.7999,2.55,2.67,16196,16196,-0.03,-1.111,2.6551,"Dec 4, 15",-0.16300940438871475
2015-12-07,2.82,3,2.72,2.85,229943,229943,0.18,6.742,2.8499,"Dec 7, 15",-0.10658307210031344
2015-12-08,2.82,2.93,2.62,2.93,114054,114054,0.08,2.807,2.773,"Dec 8, 15",-0.0815047021943573
2015-12-09,2.85,2.9,2.83,2.89,55081,55081,-0.04,-1.365,2.884,"Dec 9, 15",-0.09404388714733537
2015-12-10,3,3.95,3,3.13,2170274,2170274,0.24,8.304,3.5175,"Dec 10, 15",-0.018808777429467103
2015-12-11,2.98,3.1499,2.85,3.07,241916,241916,-0.06,-1.917,3.0007,"Dec 11, 15",-0.037617554858934206
2015-12-14,3.63,3.8,3.27,3.57,1239958,1239958,0.5,16.287,3.4963,"Dec 14, 15",0.1191222570532915
2015-12-15,5.17,5.7,4.31,4.47,10378559,10378559,0.9,25.21,4.9311,"Dec 15, 15",0.40125391849529773
2015-12-16,4.1,4.25,4.01,4.04,876604,876604,-0.43,-9.62,4.122,"Dec 16, 15",0.26645768025078376
2015-12-17,4.28,4.38,3.55,3.75,1052590,1052590,-0.29,-7.178,3.9807,"Dec 17, 15",0.17554858934169282
2015-12-18,3.7,3.85,3.38,3.72,445986,445986,-0.03,-0.8,3.6297,"Dec 18, 15",0.16614420062695934
