date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-05-08,15,15.23,14.51,15,5433455,5433455,15,0,15.008,"May 8, 14",0
2014-05-09,15.5,15.6995,15,15.01,174490,174490,0.01,0.067,15.0766,"May 9, 14",0.0006666666666666524
2014-05-12,14.98,15.2,14.98,15.13,87551,87551,0.12,0.799,15.1432,"May 12, 14",0.008666666666666718
2014-05-13,15.05,15.13,15,15,34934,34934,-0.13,-0.859,15.0685,"May 13, 14",0
2014-05-14,15.01,15.1,14.85,15.1,70848,70848,0.1,0.667,14.9848,"May 14, 14",0.006666666666666643
2014-05-15,15.2,15.205,14.931,15.08,50168,50168,-0.02,-0.132,15.0885,"May 15, 14",0.005333333333333338
2014-05-16,15,15.05,14.95,15,49531,49531,-0.08,-0.531,14.9823,"May 16, 14",0
2014-05-19,14.99,15,14.9,14.99,124440,124440,-0.01,-0.067,14.9734,"May 19, 14",-0.0006666666666666524
2014-05-20,15,15.14,14.93,15,171944,171944,0.01,0.067,14.9852,"May 20, 14",0
2014-05-21,15.01,15.19,15.01,15.05,74532,74532,0.05,0.333,15.0886,"May 21, 14",0.003333333333333381
2014-05-22,15.05,15.07,14.9,14.99,115294,115294,-0.06,-0.399,14.9855,"May 22, 14",-0.0006666666666666524
2014-05-23,15.04,15.05,14.91,15,85815,85815,0.01,0.067,14.9777,"May 23, 14",0
2014-05-27,15.06,15.06,14.91,15,135157,135157,0,0,15.0074,"May 27, 14",0
2014-05-28,14.91,15.09,14.9,14.9,123860,123860,-0.1,-0.667,14.9499,"May 28, 14",-0.006666666666666643
2014-05-29,14.9,15.04,14.9,14.94,101793,101793,0.04,0.268,14.9514,"May 29, 14",-0.004000000000000033
2014-05-30,14.96,14.99,14.925,14.95,149011,149011,0.01,0.067,14.9542,"May 30, 14",-0.003333333333333381
2014-06-02,15,15,13.945,14.9,355454,355454,-0.05,-0.334,14.8794,"Jun 2, 14",-0.006666666666666643
2014-06-03,14.85,14.955,14.65,14.7,121118,121118,-0.2,-1.342,14.827,"Jun 3, 14",-0.02000000000000005
2014-06-04,14.59,14.78,14.44,14.59,74852,74852,-0.11,-0.748,14.5928,"Jun 4, 14",-0.02733333333333334
2014-06-05,15.1,15.1,14.59,15.05,245664,245664,0.46,3.153,14.9379,"Jun 5, 14",0.003333333333333381
2014-06-06,14.96,15.1,13.71,14.6,105141,105141,-0.45,-2.99,14.853,"Jun 6, 14",-0.02666666666666669
2014-06-09,14.69,14.86,14.55,14.76,172070,172070,0.16,1.096,14.7217,"Jun 9, 14",-0.016000000000000014
2014-06-10,14.67,14.88,14.53,14.73,50115,50115,-0.03,-0.203,14.6696,"Jun 10, 14",-0.01799999999999997
2014-06-11,14.7,15.03,14.62,14.9,156711,156711,0.17,1.154,14.813,"Jun 11, 14",-0.006666666666666643
2014-06-12,14.62,15.04,14.62,14.82,117597,117597,-0.08,-0.537,14.9028,"Jun 12, 14",-0.011999999999999981
2014-06-13,14.65,14.9,14.65,14.9,74559,74559,0.08,0.54,14.8422,"Jun 13, 14",-0.006666666666666643
2014-06-16,14.78,15.1,14.72,14.87,163332,163332,-0.03,-0.201,14.8779,"Jun 16, 14",-0.008666666666666718
2014-06-17,14.81,15.67,14.76,15.66,168090,168090,0.79,5.313,15.1231,"Jun 17, 14",0.04400000000000001
2014-06-18,15.77,16.42,15.262,16.23,405060,405060,0.57,3.64,15.8371,"Jun 18, 14",0.08200000000000003
2014-06-19,15.96,16.49,15.02,15.44,204500,204500,-0.79,-4.868,15.4891,"Jun 19, 14",0.0293333333333333
2014-06-20,15.41,15.56,15.04,15.52,446969,446969,0.08,0.518,15.4611,"Jun 20, 14",0.03466666666666664
2014-06-23,15.43,15.59,15.26,15.42,78720,78720,-0.1,-0.644,15.4198,"Jun 23, 14",0.027999999999999994
2014-06-24,15.5,15.57,14.97,15.09,167196,167196,-0.33,-2.14,15.1448,"Jun 24, 14",0.005999999999999991
2014-06-25,15.06,15.595,14.97,14.97,57815,57815,-0.12,-0.795,15.0899,"Jun 25, 14",-0.0019999999999999575
2014-06-26,14.94,15.23,14.8,14.89,65018,65018,-0.08,-0.534,15.0039,"Jun 26, 14",-0.007333333333333295
2014-06-27,14.86,15.095,14.05,14.05,1140508,1140508,-0.84,-5.641,14.8691,"Jun 27, 14",-0.06333333333333328
2014-06-30,14.32,15.1,14.065,14.88,329018,329018,0.83,5.907,14.5293,"Jun 30, 14",-0.007999999999999948
2014-07-01,14.86,15,14.53,14.85,118566,118566,-0.03,-0.202,14.782,"Jul 1, 14",-0.010000000000000024
2014-07-02,14.8,15.07,14.75,15.04,53770,53770,0.19,1.279,14.9865,"Jul 2, 14",0.0026666666666666098
2014-07-03,15.04,15.255,15,15.15,20208,20208,0.11,0.731,15.0671,"Jul 3, 14",0.010000000000000024
2014-07-07,15.21,15.58,15,15.14,54094,54094,-0.01,-0.066,15.144,"Jul 7, 14",0.00933333333333337
2014-07-08,15.11,15.3,15,15.28,73340,73340,0.14,0.925,15.2069,"Jul 8, 14",0.018666666666666623
2014-07-09,15.3,15.7,15.07,15.62,62473,62473,0.34,2.225,15.4315,"Jul 9, 14",0.041333333333333284
2014-07-10,15.34,15.761,15.25,15.73,168936,168936,0.11,0.704,15.5814,"Jul 10, 14",0.0486666666666667
2014-07-11,15.66,16.45,15.59,15.82,104757,104757,0.09,0.572,15.9746,"Jul 11, 14",0.05466666666666668
2014-07-14,15.9,16.2,15.9,16.06,32958,32958,0.24,1.517,16.0372,"Jul 14, 14",0.07066666666666659
2014-07-15,16.01,16.1,15.94,16.02,53414,53414,-0.04,-0.249,16.0166,"Jul 15, 14",0.06799999999999998
2014-07-16,16.1,16.4775,15.5,16.06,91151,91151,0.04,0.25,16.1208,"Jul 16, 14",0.07066666666666659
2014-07-17,16,16.13,15.66,15.82,66313,66313,-0.24,-1.494,15.8862,"Jul 17, 14",0.05466666666666668
2014-07-18,15.79,16.25,15.67,15.9,72329,72329,0.08,0.506,15.9038,"Jul 18, 14",0.060000000000000026
2014-07-21,15.81,16.12,15.5,15.91,105550,105550,0.01,0.063,15.8303,"Jul 21, 14",0.060666666666666674
2014-07-22,15.98,16.1,15.5,15.74,83528,83528,-0.17,-1.069,15.6607,"Jul 22, 14",0.04933333333333335
2014-07-23,15.7,15.91,15.55,15.6,63066,63066,-0.14,-0.889,15.7237,"Jul 23, 14",0.03999999999999997
2014-07-24,15.67,15.94,15.5,15.87,69593,69593,0.27,1.731,15.6913,"Jul 24, 14",0.05799999999999995
2014-07-25,15.74,16.28,15.74,16.19,74194,74194,0.32,2.016,16.0142,"Jul 25, 14",0.07933333333333342
2014-07-28,16.25,16.37,15.88,16.3,73357,73357,0.11,0.679,16.1153,"Jul 28, 14",0.08666666666666671
2014-07-29,16.23,17.1602,16.23,17.01,68520,68520,0.71,4.356,16.7384,"Jul 29, 14",0.1340000000000001
2014-07-30,17.14,17.54,17.14,17.47,41210,41210,0.46,2.704,17.4602,"Jul 30, 14",0.1646666666666666
2014-07-31,17.39,17.978,16.63,16.97,98160,98160,-0.5,-2.862,17.1419,"Jul 31, 14",0.13133333333333325
2014-08-01,17.03,17.05,16.5,16.89,41119,41119,-0.08,-0.471,16.8517,"Aug 1, 14",0.12600000000000003
2014-08-04,16.87,17.152,16.63,16.84,50572,50572,-0.05,-0.296,16.8506,"Aug 4, 14",0.12266666666666666
2014-08-05,16.87,17,16.58,16.66,82885,82885,-0.18,-1.069,16.8354,"Aug 5, 14",0.11066666666666668
2014-08-06,16.6,17.456,16.6,16.98,111413,111413,0.32,1.921,16.9094,"Aug 6, 14",0.13200000000000003
2014-08-07,16.86,16.86,16.27,16.56,100738,100738,-0.42,-2.473,16.5518,"Aug 7, 14",0.10399999999999991
2014-08-08,16.5,16.59,15.86,15.92,133798,133798,-0.64,-3.865,16.0442,"Aug 8, 14",0.06133333333333333
2014-08-11,15.94,16.3,15.6,15.78,74435,74435,-0.14,-0.879,15.9487,"Aug 11, 14",0.051999999999999956
2014-08-12,15.56,15.61,14.55,14.74,95892,95892,-1.04,-6.591,14.9364,"Aug 12, 14",-0.01733333333333332
2014-08-13,14.7,15.03,14.36,14.61,62042,62042,-0.13,-0.882,14.6732,"Aug 13, 14",-0.026000000000000037
2014-08-14,14.64,14.78,14.13,14.34,59494,59494,-0.27,-1.848,14.3159,"Aug 14, 14",-0.04400000000000001
2014-08-15,14.47,15,14.21,14.93,95636,95636,0.59,4.114,14.5732,"Aug 15, 14",-0.004666666666666685
2014-08-18,15.06,15.38,14.82,14.99,290759,290759,0.06,0.402,15.1282,"Aug 18, 14",-0.0006666666666666524
2014-08-19,14.96,15.19,14.51,14.57,31758,31758,-0.42,-2.802,14.7785,"Aug 19, 14",-0.02866666666666665
2014-08-20,14.56,14.56,13.82,14.08,51610,51610,-0.49,-3.363,14.063,"Aug 20, 14",-0.06133333333333333
2014-08-21,14.15,14.67,13.94,14.17,101214,101214,0.09,0.639,14.2375,"Aug 21, 14",-0.05533333333333334
2014-08-22,14.11,14.37,13.96,13.99,113548,113548,-0.18,-1.27,14.0295,"Aug 22, 14",-0.06733333333333331
2014-08-25,14.02,14.18,13.9,14.03,77984,77984,0.04,0.286,14.0812,"Aug 25, 14",-0.0646666666666667
2014-08-26,14.055,14.58,14.055,14.43,47074,47074,0.4,2.851,14.3591,"Aug 26, 14",-0.03800000000000002
2014-08-27,14.37,14.99,14.37,14.78,237375,237375,0.35,2.426,14.7387,"Aug 27, 14",-0.01466666666666671
2014-08-28,14.75,14.82,14.15,14.16,61532,61532,-0.62,-4.195,14.4703,"Aug 28, 14",-0.05599999999999999
2014-08-29,14.21,14.38,14.1,14.21,16324,16324,0.05,0.353,14.23,"Aug 29, 14",-0.05266666666666661
2014-09-02,14.28,14.49,14.15,14.35,80498,80498,0.14,0.985,14.3022,"Sep 2, 14",-0.043333333333333356
2014-09-03,14.42,15,14.34,14.96,418719,418719,0.61,4.251,14.4613,"Sep 3, 14",-0.0026666666666666098
2014-09-04,14.94,14.94,14.41,14.58,64948,64948,-0.38,-2.54,14.7075,"Sep 4, 14",-0.027999999999999994
2014-09-05,14.62,14.8,14.13,14.34,98694,98694,-0.24,-1.646,14.394,"Sep 5, 14",-0.04400000000000001
2014-09-08,14.635,15.09,14.355,14.4,84769,84769,0.06,0.418,14.6205,"Sep 8, 14",-0.03999999999999997
2014-09-09,14.4,14.68,13.82,13.96,90484,90484,-0.44,-3.056,14.1738,"Sep 9, 14",-0.06933333333333327
2014-09-10,14.19,14.66,13.66,13.73,131204,131204,-0.23,-1.648,14.0538,"Sep 10, 14",-0.08466666666666664
2014-09-11,13.73,14.27,13.55,13.84,100977,100977,0.11,0.801,13.8653,"Sep 11, 14",-0.07733333333333334
2014-09-12,13.89,14.818,13.86,14.11,140400,140400,0.27,1.951,14.2595,"Sep 12, 14",-0.05933333333333337
2014-09-15,14.05,14.2,13.65,14.04,72739,72739,-0.07,-0.496,13.9514,"Sep 15, 14",-0.06400000000000006
2014-09-16,13.94,14.17,13.742,14.07,67936,67936,0.03,0.214,14.0246,"Sep 16, 14",-0.06199999999999998
2014-09-17,14.04,14.4,13.786,14.18,169865,169865,0.11,0.782,14.1044,"Sep 17, 14",-0.05466666666666668
2014-09-18,14.23,14.55,13.77,14.4,84670,84670,0.22,1.551,14.2366,"Sep 18, 14",-0.03999999999999997
2014-09-19,14.42,14.67,13.99,14.14,124844,124844,-0.26,-1.806,14.198,"Sep 19, 14",-0.0573333333333333
2014-09-22,14.12,14.12,13.67,14,56194,56194,-0.14,-0.99,13.9444,"Sep 22, 14",-0.06666666666666667
2014-09-23,13.99,13.99,13.23,13.63,110306,110306,-0.37,-2.643,13.5907,"Sep 23, 14",-0.09133333333333328
2014-09-24,13.62,13.75,13.052,13.5,91932,91932,-0.13,-0.954,13.5526,"Sep 24, 14",-0.1
2014-09-25,13.36,13.61,13.24,13.52,111559,111559,0.02,0.148,13.4591,"Sep 25, 14",-0.0986666666666667
2014-09-26,13.5,13.55,13.04,13.26,161469,161469,-0.26,-1.923,13.2583,"Sep 26, 14",-0.11600000000000002
2014-09-29,13.17,13.38,12.31,12.96,173341,173341,-0.3,-2.262,12.7531,"Sep 29, 14",-0.13599999999999995
