date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-06,34.773,34.773,25.4712,25.4712,600,600,0.057954,0.228,27.0924,"Aug 6, 13",0
2013-08-07,25.0221,25.0221,25.0221,25.0221,100,100,-0.449153,-1.763,25.0221,"Aug 7, 13",-0.01763167813059461
2013-08-08,25.0752,25.0752,25.0752,25.0752,100,100,0.053129,0.212,25.0752,"Aug 8, 13",-0.01554697069631587
2013-08-12,25.519,25.5292,25.519,25.5292,528,528,0.453979,1.81,25.5273,"Aug 12, 13",0.0022770815666321113
2013-08-13,25.5485,25.5678,25.5292,25.5678,600,600,0.038634,0.151,25.5517,"Aug 13, 13",0.0037925186092527515
2013-08-14,25.8093,25.8093,25.6934,25.6934,200,200,0.125572,0.491,25.7513,"Aug 14, 13",0.008723578001821698
2013-08-15,25.0462,25.0462,25.0462,25.0462,100,100,-0.647166,-2.519,25.0462,"Aug 15, 13",-0.016685511479631925
2013-08-16,24.969,25.1332,24.969,25.1332,325,325,0.086934,0.347,25.0321,"Aug 16, 13",-0.013269889129683759
2013-08-20,25.4131,25.4131,25.4131,25.4131,100,100,0.279923,1.114,25.4131,"Aug 20, 13",-0.002281007569333192
2013-08-21,25.5774,25.5774,25.3457,25.3553,1800,1800,-0.057763,-0.227,25.5299,"Aug 21, 13",-0.004550237130563141
2013-08-22,25.5002,25.5582,25.5002,25.5582,1600,1600,0.202842,0.8,25.5075,"Aug 22, 13",0.003415622349948167
2013-08-23,25.8721,25.8721,25.8532,25.8532,200,200,0.294992,1.154,25.8626,"Aug 23, 13",0.014997330318163317
2013-08-26,26.0218,26.1281,26.0218,26.0218,1279,1279,0.16865,0.652,26.0809,"Aug 26, 13",0.021616570872200733
2013-08-28,25.5002,25.5968,25.5002,25.5968,650,650,-0.425004,-1.633,25.5663,"Aug 28, 13",0.004931059392568947
2013-08-29,25.8866,25.8866,25.7996,25.7996,200,200,0.202843,0.792,25.8431,"Aug 29, 13",0.012892992870379174
2013-09-04,26.1184,26.1184,26.1184,26.1184,100,100,0.318751,1.235,26.1184,"Sep 4, 13",0.025409089481453626
2013-09-05,26.611,26.611,26.611,26.611,100,100,0.492618,1.886,26.611,"Sep 5, 13",0.04474857878702225
2013-09-06,26.8042,26.9394,26.669,26.9394,3350,3350,0.328414,1.234,26.7578,"Sep 6, 13",0.05764157165740128
2013-09-09,28.1661,28.1661,28.1661,28.1661,200,200,1.2267,4.554,28.1661,"Sep 9, 13",0.10580184679167061
2013-09-10,27.8667,27.8667,27.8377,27.8377,600,600,-0.328412,-1.166,27.8522,"Sep 10, 13",0.09290885392129158
2013-09-11,27.8571,28.1081,27.8571,27.973,500,500,0.13523,0.486,28.0038,"Sep 11, 13",0.09822073557586605
2013-09-12,28.3593,28.3593,28.0695,28.0695,1450,1450,0.096588,0.345,28.2951,"Sep 12, 13",0.10200932818241787
2013-09-13,27.7701,27.7701,27.7701,27.7701,100,100,-0.299431,-1.067,27.7701,"Sep 13, 13",0.09025487609535475
2013-09-16,28.2821,28.2821,28.1082,28.1082,10000,10000,0.33807,1.217,28.2711,"Sep 16, 13",0.10352869122773958
2013-09-18,28.3014,28.7457,28.3014,28.7457,880,880,0.637506,2.268,28.6444,"Sep 18, 13",0.1285569584471874
2013-09-19,29.5281,29.5281,29.0934,29.0934,650,650,0.347729,1.21,29.2316,"Sep 19, 13",0.14220766983887684
2013-09-20,29.0838,29.0838,28.8325,28.8326,983,983,-0.260797,-0.896,28.9624,"Sep 20, 13",0.13196865479443448
2013-09-23,28.4559,28.4559,28.4559,28.4559,100,100,-0.376708,-1.307,28.4559,"Sep 23, 13",0.11717940261942901
2013-09-24,28.6203,28.7167,28.6203,28.6974,1200,1200,0.24148,0.849,28.6604,"Sep 24, 13",0.12666069914256095
2013-09-25,28.9872,29.0623,28.9688,29.0623,2450,2450,0.364923,1.272,28.9997,"Sep 25, 13",0.14098668299883793
2013-09-26,29.252,29.4412,29.0741,29.4122,6090,6090,0.349856,1.204,29.271,"Sep 26, 13",0.15472376644995128
2013-09-27,29.3156,29.3349,29.3156,29.3338,400,400,-0.078336,-0.266,29.325,"Sep 27, 13",0.1516457803322969
2013-09-30,29.4701,29.4701,29.4701,29.4701,300,300,0.136289,0.465,29.4701,"Sep 30, 13",0.15699692201388232
2013-10-01,29.5088,29.8179,28.9002,29.8179,8950,8950,0.347731,1.18,29.4707,"Oct 1, 13",0.17065155940827295
2013-10-02,30.2332,30.2912,30.2332,30.2912,2732,2732,0.473301,1.587,30.289,"Oct 2, 13",0.1892333301925312
2013-10-03,31.3247,31.3247,29.937,30.2042,3871,3871,-0.086932,-0.287,30.284,"Oct 3, 13",0.18581770784258303
2013-10-04,30.5133,30.9857,30.5133,30.8697,1400,1400,0.665515,2.203,30.7889,"Oct 4, 13",0.2119452558183361
2013-10-07,31.2667,31.2667,30.6582,30.6968,2480,2480,-0.1729,-0.56,30.7781,"Oct 7, 13",0.20515719714815164
2013-10-08,30.6389,30.6389,28.943,28.943,5126,5126,-1.7538,-5.713,29.8709,"Oct 8, 13",0.13630296177643778
2013-10-09,28.4946,29.161,28.3593,28.9485,1797,1797,0.005504,0.019,28.86,"Oct 9, 13",0.13651889192499764
2013-10-10,29.7985,29.8855,29.7599,29.8758,4793,4793,0.927281,3.203,29.8516,"Oct 10, 13",0.172924714972204
2013-10-11,29.7502,30.3395,29.7502,30.3298,8867,8867,0.453982,1.52,30.321,"Oct 11, 13",0.19074876723515183
2013-10-14,29.9531,30.5133,29.9531,30.5114,1600,1600,0.181592,0.599,30.4475,"Oct 14, 13",0.19787838814033099
2013-10-15,30.8224,30.8224,30.0883,30.3395,3140,3140,-0.171932,-0.564,30.4194,"Oct 15, 13",0.19112958949715764
2013-10-16,30.5134,30.6775,30.5134,30.6003,2729,2729,0.260795,0.86,30.5973,"Oct 16, 13",0.20136860454159997
2013-10-17,33.5077,33.5077,30.5887,30.8012,600,600,0.200912,0.657,31.1817,"Oct 17, 13",0.20925594396808953
2013-10-18,31.9429,32.2307,31.6531,32.1341,9318,9318,1.333,4.328,31.9092,"Oct 18, 13",0.26158563397091605
2013-10-21,32.4065,32.4452,32.3099,32.3099,5506,5506,0.175798,0.547,32.3768,"Oct 21, 13",0.26848754671943215
2013-10-22,32.5513,32.5513,31.7497,32.1245,22923,22923,-0.185458,-0.574,32.1185,"Oct 22, 13",0.26120873771161146
2013-10-23,31.9719,31.9719,30.4747,30.5104,7075,7075,-1.614,-5.024,30.6985,"Oct 23, 13",0.1978391281133202
2013-10-24,31.0455,31.5082,30.7558,30.9287,9202,9202,0.418244,1.371,30.9733,"Oct 24, 13",0.214261597411979
2013-10-25,30.4573,30.4573,30.1076,30.1076,13460,13460,-0.821031,-2.655,30.3055,"Oct 25, 13",0.18202518923333028
2013-10-28,29.2962,29.2962,28.736,28.7457,8620,8620,-1.3619,-4.524,29.0081,"Oct 28, 13",0.1285569584471874
