date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,22.7655,22.7655,22.5635,22.715,197954,197954,-0.094647,-0.415,22.6743,"Aug 5, 13",0
2013-08-06,22.715,22.7339,22.3048,22.5509,327476,327476,-0.164053,-0.722,22.4899,"Aug 6, 13",-0.007224301122606263
2013-08-07,22.4689,22.4689,21.8947,22.2733,377292,377292,-0.277627,-1.231,22.1633,"Aug 7, 13",-0.019445300462249654
2013-08-08,22.3427,22.614,22.1786,22.5509,252193,252193,0.277627,1.246,22.4471,"Aug 8, 13",-0.007224301122606263
2013-08-09,22.5888,22.715,22.4121,22.6077,372197,372197,0.056787,0.252,22.5731,"Aug 9, 13",-0.00472375082544568
2013-08-12,22.6014,22.6834,22.3742,22.5446,207321,207321,-0.063096,-0.279,22.5173,"Aug 12, 13",-0.007501650891481434
2013-08-13,22.5004,22.5004,22.1597,22.3112,209980,209980,-0.233461,-1.036,22.3028,"Aug 13, 13",-0.017776799471714743
2013-08-14,22.4121,22.8222,22.084,22.4184,357529,357529,0.107268,0.481,22.4402,"Aug 14, 13",-0.013057451023552786
2013-08-15,22.267,22.4941,22.1913,22.3932,235385,235385,-0.02524,-0.113,22.3483,"Aug 15, 13",-0.014166850099053474
2013-08-16,22.5131,22.5131,22.3238,22.3806,183580,183580,-0.01262,-0.056,22.4343,"Aug 16, 13",-0.014721549636803817
2013-08-19,22.3995,22.5383,22.2165,22.3932,210522,210522,0.01262,0.056,22.3741,"Aug 19, 13",-0.014166850099053474
2013-08-20,22.431,22.4878,22.2417,22.3616,186286,186286,-0.031547,-0.141,22.3781,"Aug 20, 13",-0.015558001320713211
2013-08-21,22.4437,22.7718,22.3806,22.7591,218594,218594,0.397509,1.778,22.6013,"Aug 21, 13",0.0019414483821263593
2013-08-22,22.7781,22.8727,22.7087,22.7781,345457,345457,0.018931,0.083,22.8317,"Aug 22, 13",0.002777900066035598
2013-08-23,22.8285,22.8664,22.6456,22.8475,201076,201076,0.069405,0.305,22.8184,"Aug 23, 13",0.005833149900946523
2013-08-26,22.8538,22.8538,22.715,22.7718,133059,133059,-0.075716,-0.331,22.7709,"Aug 26, 13",0.002500550297160426
2013-08-27,22.715,22.715,22.4689,22.6456,168695,168695,-0.126193,-0.554,22.6072,"Aug 27, 13",-0.0030552498349107698
2013-08-28,22.7655,22.8285,22.6456,22.7276,201044,201044,0.082024,0.362,22.7298,"Aug 28, 13",0.0005546995377503437
2013-08-29,22.8033,22.8222,22.5951,22.6393,179377,179377,-0.088333,-0.389,22.7131,"Aug 29, 13",-0.003332599603786098
2013-08-30,22.7339,22.8159,22.3995,22.4437,203317,203317,-0.195602,-0.864,22.6286,"Aug 30, 13",-0.01194364957076822
2013-09-03,22.5762,22.6771,22.3742,22.5888,195288,195288,0.145122,0.647,22.5287,"Sep 3, 13",-0.005555800132071352
2013-09-04,22.7024,22.7087,22.5572,22.6708,207286,207286,0.082026,0.363,22.6328,"Sep 4, 13",-0.0019458507594100822
2013-09-05,22.5762,22.6266,22.4626,22.5698,192356,192356,-0.100956,-0.445,22.5411,"Sep 5, 13",-0.00639225181598059
2013-09-06,22.5635,22.6329,22.4563,22.5257,131851,131851,-0.044166,-0.196,22.5425,"Sep 6, 13",-0.008333700198106949
2013-09-09,22.5004,22.6771,22.5004,22.6456,152933,152933,0.119885,0.532,22.5779,"Sep 9, 13",-0.0030552498349107698
2013-09-10,22.5888,22.7024,22.3742,22.6708,249978,249978,0.025237,0.111,22.5439,"Sep 10, 13",-0.0019458507594100822
2013-09-11,22.6203,22.6897,22.3238,22.6266,245989,245989,-0.04417,-0.195,22.5267,"Sep 11, 13",-0.0038917015188201644
2013-09-12,22.5383,22.6456,22.4058,22.4815,180157,180157,-0.145119,-0.641,22.4982,"Sep 12, 13",-0.010279550957517031
2013-09-13,22.5446,22.5572,22.3932,22.5194,262972,262972,0.037856,0.168,22.4925,"Sep 13, 13",-0.008611049966982122
2013-09-16,22.6393,22.6834,22.5635,22.5698,207693,207693,0.050477,0.224,22.6242,"Sep 16, 13",-0.00639225181598059
2013-09-17,22.614,22.6645,22.3238,22.349,289179,289179,-0.220839,-0.978,22.5302,"Sep 17, 13",-0.016112700858463554
2013-09-18,22.4247,22.614,22.3175,22.5004,305968,305968,0.151435,0.678,22.4665,"Sep 18, 13",-0.009447501650891517
2013-09-19,22.5068,22.7844,22.4437,22.715,287875,287875,0.214529,0.953,22.6036,"Sep 19, 13",0
2013-09-20,22.7781,22.7781,22.532,22.6266,156692,156692,-0.088339,-0.389,22.6494,"Sep 20, 13",-0.0038917015188201644
2013-09-23,22.6393,22.6519,22.5194,22.5383,191223,191223,-0.088334,-0.39,22.6037,"Sep 23, 13",-0.007779000660356606
2013-09-24,22.6077,22.715,22.5131,22.5509,215991,215991,0.01262,0.056,22.6263,"Sep 24, 13",-0.007224301122606263
2013-09-25,22.5951,22.649,22.45,22.5635,142507,142507,0.012621,0.056,22.5658,"Sep 25, 13",-0.006669601584855762
2013-09-26,22.5698,22.7276,22.5698,22.6266,185062,185062,0.063093,0.28,22.6576,"Sep 26, 13",-0.0038917015188201644
2013-09-27,22.6266,22.6639,22.5888,22.614,148518,148518,-0.012614,-0.056,22.6214,"Sep 27, 13",-0.004446401056570508
2013-09-30,22.5446,22.662,22.5131,22.6203,139334,139334,0.006306,0.028,22.5906,"Sep 30, 13",-0.004169051287695336
2013-10-01,22.6456,22.9926,22.5509,22.9674,451717,451717,0.347036,1.534,22.8105,"Oct 1, 13",0.011111600264142703
2013-10-02,22.9257,22.9257,22.6306,22.6819,236096,236096,-0.285453,-1.243,22.7685,"Oct 2, 13",-0.0014571868809157393
2013-10-03,22.6819,22.8102,22.4895,22.6883,166504,166504,0.006416,0.028,22.6335,"Oct 3, 13",-0.0011754347347566882
2013-10-04,22.7396,22.7396,22.4831,22.5857,199590,199590,-0.102632,-0.452,22.7936,"Oct 4, 13",-0.005692273827867076
2013-10-07,22.5087,22.7012,22.4639,22.6114,134455,134455,0.025657,0.114,22.6042,"Oct 7, 13",-0.004560862865947618
2013-10-08,22.6114,22.637,22.2072,22.2714,217149,217149,-0.339973,-1.504,22.4067,"Oct 8, 13",-0.019528945630640546
2013-10-09,22.3933,22.3965,22.0789,22.2136,217197,217197,-0.057732,-0.259,20.9334,"Oct 9, 13",-0.022073519700638356
2013-10-10,22.3868,22.5472,22.1174,22.1623,364114,364114,-0.051315,-0.231,22.2608,"Oct 10, 13",-0.02433193924719355
2013-10-11,22.1623,22.8038,22.1623,22.5215,385404,385404,0.359215,1.621,22.4858,"Oct 11, 13",-0.008518600044023782
2013-10-14,22.4702,22.5729,22.3548,22.4253,221955,221955,-0.096219,-0.427,22.4641,"Oct 14, 13",-0.01275368699097512
2013-10-15,22.3868,22.4766,22.1367,22.2585,211880,211880,-0.166778,-0.744,22.2822,"Oct 15, 13",-0.02009685230024206
2013-10-16,22.3099,22.3831,22.1303,22.2136,227733,227733,-0.044903,-0.202,22.2642,"Oct 16, 13",-0.022073519700638356
2013-10-17,22.2329,22.6819,22.2136,22.6562,263543,263543,0.442605,1.992,22.4243,"Oct 17, 13",-0.0025885978428351977
2013-10-18,22.7653,23.0604,22.6498,22.9962,209743,209743,0.339972,1.501,22.8725,"Oct 18, 13",0.012379484921857887
2013-10-21,23.0347,23.0527,22.7268,23.0219,186756,186756,0.02566,0.112,22.9184,"Oct 21, 13",0.013510895883777189
2013-10-22,23.0924,23.2785,22.977,23.2336,353973,353973,0.21168,0.919,23.1154,"Oct 22, 13",0.022830728593440427
2013-10-23,23.1373,23.3105,23.0604,23.2849,280107,280107,0.051318,0.221,23.2653,"Oct 23, 13",0.02508914813999562
2013-10-24,23.2849,23.3747,23.1694,23.3554,189467,189467,0.070559,0.303,23.2802,"Oct 24, 13",0.0281928241250275
2013-10-25,23.4132,23.5607,23.2592,23.4132,188470,188470,0.057732,0.247,23.4063,"Oct 25, 13",0.03073739819502531
2013-10-28,23.5158,23.5286,23.1245,23.2721,174417,174417,-0.141121,-0.603,23.3423,"Oct 28, 13",0.024525643847677674
2013-10-29,23.3554,23.5094,23.163,23.2143,205754,205754,-0.057732,-0.248,23.3219,"Oct 29, 13",0.02198106977768002
2013-10-30,23.3554,23.5607,23.3187,23.4773,146990,146990,0.262998,1.133,23.4821,"Oct 30, 13",0.033559322033898296
2013-10-31,23.5286,23.5544,23.208,23.4517,147964,147964,-0.025655,-0.109,23.4429,"Oct 31, 13",0.03243231344926256
2013-11-01,23.4966,23.7531,23.4132,23.6698,229160,229160,0.218091,0.93,23.6024,"Nov 1, 13",0.042033898305084694
2013-11-04,23.8109,23.8686,23.426,23.8686,200525,200525,0.198853,0.84,23.669,"Nov 4, 13",0.05078582434514642
2013-11-05,23.6954,24.0097,23.6377,24.0097,190091,190091,0.14112,0.591,23.8388,"Nov 5, 13",0.056997578692493896
2013-11-06,24.029,24.0546,23.8408,23.9135,116382,116382,-0.096217,-0.401,23.9147,"Nov 6, 13",0.05276249174554256
2013-11-07,23.7852,23.8943,23.6377,23.6505,184429,184429,-0.262999,-1.1,23.7266,"Nov 7, 13",0.04118423948932429
2013-11-08,23.5864,23.612,23.4196,23.503,169496,169496,-0.147533,-0.624,23.5123,"Nov 8, 13",0.03469073299581775
2013-11-11,23.4773,23.6569,23.2271,23.2656,126012,126012,-0.23734,-1.01,23.39,"Nov 11, 13",0.02423948932423506
2013-11-12,23.3426,23.3554,23.163,23.2207,188766,188766,-0.044902,-0.193,23.279,"Nov 12, 13",0.022262821923838914
2013-11-13,23.1566,23.4132,22.9641,23.3298,192325,192325,0.109048,0.47,23.1843,"Nov 13, 13",0.027065815540391763
2013-11-14,23.4773,23.7146,23.3876,23.7082,132756,132756,0.378458,1.622,23.5815,"Nov 14, 13",0.043724411182038375
2013-11-15,23.8622,23.9583,23.6505,23.9392,183044,183044,0.230925,0.974,23.8297,"Nov 15, 13",0.05389390270746202
2013-11-18,23.9584,23.9584,23.7531,23.798,152120,152120,-0.141121,-0.589,23.8313,"Nov 18, 13",0.04767774598283066
2013-11-19,23.7403,23.8021,23.1726,23.3234,242300,242300,-0.474678,-1.995,23.4039,"Nov 19, 13",0.02678406339423287
2013-11-20,23.3234,23.6569,23.3234,23.4132,128750,128750,0.089805,0.385,23.464,"Nov 20, 13",0.03073739819502531
2013-11-21,23.4196,23.6184,23.4003,23.612,233629,233629,0.198851,0.849,23.5464,"Nov 21, 13",0.03948932423508688
2013-11-22,23.612,23.9045,23.4901,23.6826,204545,204545,0.070562,0.299,23.7137,"Nov 22, 13",0.04259740259740264
2013-11-25,23.8943,23.9097,23.7147,23.7147,144762,144762,0.032072,0.135,23.8014,"Nov 25, 13",0.04401056570548099
