date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-01-05,0.65,0.65,0.51,0.55,5700,5700,0.55,0,0.635263,"Jan 5, 18",0
2018-01-10,0.5,0.51,0.5,0.51,200,200,-0.04,-7.273,0.505,"Jan 10, 18",-0.07272727272727278
2018-01-12,0.65,0.7,0.65,0.7,10000,10000,0.19,37.255,0.675,"Jan 12, 18",0.27272727272727254
2018-01-24,0.6,0.63,0.6,0.63,60100,60100,-0.07,-10,0.627454,"Jan 24, 18",0.14545454545454536
2018-01-29,0.65,0.65,0.65,0.65,5000,5000,0.02,3.175,0.65,"Jan 29, 18",0.18181818181818177
2018-02-09,0.51,0.51,0.51,0.51,200,200,-0.14,-21.538,0.51,"Feb 9, 18",-0.07272727272727278
2018-02-12,0.51,0.51,0.51,0.51,100,100,0,0,0.51,"Feb 12, 18",-0.07272727272727278
2018-02-22,0.59,0.6319,0.59,0.6319,200300,200300,0.1219,23.902,0.590063,"Feb 22, 18",0.14890909090909085
2018-02-28,0.65,0.65,0.65,0.65,300,300,0.0181,2.864,0.65,"Feb 28, 18",0.18181818181818177
2018-03-05,0.65,0.65,0.65,0.65,6000,6000,0,0,0.65,"Mar 5, 18",0.18181818181818177
2018-03-07,0.63,0.63,0.63,0.63,400000,400000,-0.02,-3.077,0.63,"Mar 7, 18",0.14545454545454536
2018-03-09,0.65,0.65,0.65,0.65,7500,7500,0.02,3.175,0.65,"Mar 9, 18",0.18181818181818177
2018-03-12,0.65,0.65,0.65,0.65,53600,53600,0,0,0.65,"Mar 12, 18",0.18181818181818177
2018-03-15,0.7,0.7,0.7,0.7,700,700,0.05,7.692,0.7,"Mar 15, 18",0.27272727272727254
2018-03-16,0.7,0.7,0.7,0.7,20000,20000,0,0,0.7,"Mar 16, 18",0.27272727272727254
2018-03-21,0.7,0.7,0.7,0.7,10000,10000,0,0,0.7,"Mar 21, 18",0.27272727272727254
2018-03-22,0.7088,0.72,0.7088,0.72,7000,7000,0.02,2.857,0.71728,"Mar 22, 18",0.3090909090909089
2018-03-26,0.65,0.65,0.65,0.65,6706,6706,-0.07,-9.722,0.65,"Mar 26, 18",0.18181818181818177
2018-03-28,0.75,0.75,0.75,0.75,2525,2525,0.1,15.385,0.75,"Mar 28, 18",0.36363636363636354
2018-04-19,0.65,0.65,0.65,0.65,31000,31000,-0.1,-13.333,0.65,"Apr 19, 18",0.18181818181818177
2018-04-20,0.65,0.65,0.65,0.65,7000,7000,0,0,0.65,"Apr 20, 18",0.18181818181818177
2018-04-30,0.65,0.65,0.65,0.65,5000,5000,0,0,0.65,"Apr 30, 18",0.18181818181818177
2018-05-02,0.65,0.65,0.6432,0.65,20500,20500,0,0,0.648557,"May 2, 18",0.18181818181818177
2018-05-08,0.65,0.65,0.65,0.65,300,300,0,0,0.65,"May 8, 18",0.18181818181818177
2018-05-11,0.56,0.5893,0.56,0.5844,1800,1800,-0.0656,-10.092,0.58115,"May 11, 18",0.06254545454545452
2018-05-14,0.601,0.601,0.601,0.601,15000,15000,0.0166,2.841,0.601,"May 14, 18",0.0927272727272726
2018-05-16,0.65,0.65,0.65,0.65,7775,7775,0.049,8.153,0.65,"May 16, 18",0.18181818181818177
2018-06-18,0.7,0.7,0.7,0.7,7000,7000,0.05,7.692,0.7,"Jun 18, 18",0.27272727272727254
2018-06-19,0.725,0.725,0.7,0.7,427000,427000,0,0,0.700124,"Jun 19, 18",0.27272727272727254
2018-06-20,0.72,0.72,0.71,0.71,26000,26000,0.01,1.429,0.713077,"Jun 20, 18",0.29090909090909073
2018-07-09,0.75,0.75,0.75,0.75,300,300,0.04,5.634,0.75,Jul 9,0.36363636363636354
2018-07-11,0.78,0.801,0.78,0.801,175500,175500,0.051,6.8,0.78012,Jul 11,0.4563636363636363
2018-07-12,0.81,0.81,0.81,0.81,300,300,0.009,1.124,0.81,Jul 12,0.4727272727272727
2018-07-13,0.81,0.81,0.81,0.81,100,100,0,0,0.81,Jul 13,0.4727272727272727
2018-07-16,0.811,0.811,0.81,0.81,600,600,0,0,0.810833,Jul 16,0.4727272727272727
2018-07-17,0.81,0.81,0.8,0.8,110000,110000,-0.01,-1.235,0.800909,Jul 17,0.45454545454545453
2018-07-18,0.81,0.81,0.8,0.8,15100,15100,0,0,0.800066,Jul 18,0.45454545454545453
2018-07-24,0.9,0.9,0.9,0.9,2500,2500,0.1,12.5,0.9,Jul 24,0.6363636363636362
