date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-12-07,41,41,41,41,229,229,41,0,41,"Dec 7, 16",0
2016-12-19,,,,41,44,44,0,0,,"Dec 19, 16",0
2016-12-21,,,,41,1,1,0,0,,"Dec 21, 16",0
2016-12-30,,,,41,170,170,0,0,,"Dec 30, 16",0
2017-01-03,,,,41,8,8,0,0,,"Jan 3, 17",0
2017-01-04,,,,41,42,42,0,0,,"Jan 4, 17",0
2017-01-05,,,,41,48,48,0,0,,"Jan 5, 17",0
2017-01-06,,,,41,124,124,0,0,,"Jan 6, 17",0
2017-01-25,,,,41,1,1,0,0,,"Jan 25, 17",0
2017-01-26,,,,41,16,16,0,0,,"Jan 26, 17",0
2017-02-01,,,,41,52,52,0,0,,"Feb 1, 17",0
2017-02-02,,,,41,31,31,0,0,,"Feb 2, 17",0
2017-02-03,,,,41,11,11,0,0,,"Feb 3, 17",0
2017-02-07,,,,41,10,10,0,0,,"Feb 7, 17",0
2017-02-15,,,,41,20,20,0,0,,"Feb 15, 17",0
2017-02-21,,,,41,22,22,0,0,,"Feb 21, 17",0
2017-03-07,,,,41,1,1,0,0,,"Mar 7, 17",0
2017-03-09,,,,41,11,11,0,0,,"Mar 9, 17",0
2017-03-10,,,,41,40,40,0,0,,"Mar 10, 17",0
2017-03-16,,,,41,3,3,0,0,,"Mar 16, 17",0
2017-03-22,,,,41,60,60,0,0,,"Mar 22, 17",0
2017-03-28,,,,41,155,155,0,0,,"Mar 28, 17",0
2017-03-29,,,,41,55,55,0,0,,"Mar 29, 17",0
2017-03-30,,,,41,39,39,0,0,,"Mar 30, 17",0
2017-04-04,,,,41,84,84,0,0,,"Apr 4, 17",0
2017-04-05,,,,41,55,55,0,0,,"Apr 5, 17",0
2017-04-06,,,,41,1,1,0,0,,"Apr 6, 17",0
2017-04-07,,,,41,9,9,0,0,,"Apr 7, 17",0
2017-04-19,46.927,46.927,46.927,46.927,216,216,5.927,14.456,46.927,"Apr 19, 17",0.1445609756097561
2017-04-20,,,,46.927,26,26,0,0,,"Apr 20, 17",0.1445609756097561
2017-04-21,,,,46.927,9,9,0,0,,"Apr 21, 17",0.1445609756097561
2017-04-24,,,,46.927,7,7,0,0,,"Apr 24, 17",0.1445609756097561
2017-04-25,48.4666,48.4666,48.46,48.46,511,511,1.533,3.267,48.4652,"Apr 25, 17",0.18195121951219514
2017-04-26,,,,48.46,45,45,0,0,,"Apr 26, 17",0.18195121951219514
2017-04-27,,,,48.46,87,87,0,0,,"Apr 27, 17",0.18195121951219514
2017-04-28,,,,48.46,15,15,0,0,,"Apr 28, 17",0.18195121951219514
2017-05-08,50.1701,50.1701,50.1701,50.1701,100,100,1.7101,3.529,50.1701,"May 8, 17",0.22366097560975604
2017-05-09,,,,50.1701,2,2,0,0,,"May 9, 17",0.22366097560975604
2017-05-11,,,,50.1701,6,6,0,0,,"May 11, 17",0.22366097560975604
2017-05-12,,,,50.1701,1,1,0,0,,"May 12, 17",0.22366097560975604
2017-05-15,,,,50.1701,99,99,0,0,,"May 15, 17",0.22366097560975604
2017-05-16,,,,50.1701,1,1,0,0,,"May 16, 17",0.22366097560975604
2017-05-17,,,,50.1701,14,14,0,0,,"May 17, 17",0.22366097560975604
2017-05-18,,,,50.1701,4,4,0,0,,"May 18, 17",0.22366097560975604
2017-05-19,,,,50.1701,8,8,0,0,,"May 19, 17",0.22366097560975604
2017-05-24,,,,50.1701,18,18,0,0,,"May 24, 17",0.22366097560975604
2017-05-25,,,,50.1701,2,2,0,0,,"May 25, 17",0.22366097560975604
2017-05-26,,,,50.1701,21,21,0,0,,"May 26, 17",0.22366097560975604
2017-05-31,,,,50.1701,1,1,0,0,,"May 31, 17",0.22366097560975604
2017-06-01,,,,50.1701,10,10,0,0,,"Jun 1, 17",0.22366097560975604
2017-06-05,,,,50.1701,2,2,0,0,,"Jun 5, 17",0.22366097560975604
2017-06-06,53.3018,53.4599,53.3018,53.4599,499,499,3.2898,6.557,53.3364,"Jun 6, 17",0.30389999999999995
2017-06-07,,,,53.4599,16,16,0,0,,"Jun 7, 17",0.30389999999999995
2017-06-08,,,,53.4599,30,30,0,0,,"Jun 8, 17",0.30389999999999995
