date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-03-24,22.6497,22.6497,22.344,22.5687,313638,313638,22.5687,0,22.5484,"Mar 24, 16",0
2016-03-28,22.6856,22.6856,22.4878,22.5687,249174,249174,0,0,22.5423,"Mar 28, 16",0
2016-03-29,22.7036,22.7036,22.5328,22.6317,394418,394418,0.06294,0.279,22.5834,"Mar 29, 16",0.002791476691169577
2016-03-30,22.6137,22.6677,22.5598,22.6587,281504,281504,0.026975,0.119,22.6195,"Mar 30, 16",0.003987823844528035
2016-03-31,22.6587,22.9014,22.6497,22.9014,393047,393047,0.242771,1.071,22.7754,"Mar 31, 16",0.014741655478605285
2016-04-01,23.0633,23.1532,22.6677,22.7486,124739,124739,-0.152856,-0.667,22.8077,"Apr 1, 16",0.007971216773673271
2016-04-04,22.7036,22.8385,22.5058,22.5867,137822,137822,-0.161846,-0.711,22.6344,"Apr 4, 16",0.0007975647689056384
2016-04-05,22.6946,22.7036,22.5776,22.6946,203474,203474,0.107898,0.478,22.6459,"Apr 5, 16",0.005578522466956513
2016-04-06,22.7036,22.8384,22.6587,22.7216,225349,225349,0.026973,0.119,22.7509,"Apr 6, 16",0.006774869620314814
2016-04-07,22.8205,22.8205,22.6587,22.7216,176753,176753,0,0,22.7297,"Apr 7, 16",0.006774869620314814
2016-04-08,22.7486,22.9914,22.6856,22.7306,252646,252646,0.008993,0.04,22.7281,"Apr 8, 16",0.0071736520047676324
2016-04-11,22.8115,22.8205,22.7396,22.7396,102580,102580,0.008992,0.04,22.7906,"Apr 11, 16",0.007572434389220452
2016-04-12,22.7845,22.9014,22.7486,22.7576,203437,203437,0.017982,0.079,22.79,"Apr 12, 16",0.00836999915812609
2016-04-13,22.7756,22.8115,22.7126,22.7935,248095,248095,0.035966,0.158,22.7588,"Apr 13, 16",0.009960697780554568
2016-04-14,22.7935,22.9014,22.7845,22.9014,106493,106493,0.107898,0.473,22.8503,"Apr 14, 16",0.014741655478605285
2016-04-15,22.9194,23.1081,22.9014,23.0183,74720,74720,0.116889,0.51,22.9577,"Apr 15, 16",0.01992139556110898
2016-04-18,23.0183,23.0183,22.8385,22.8835,122260,122260,-0.134782,-0.586,22.8894,"Apr 18, 16",0.013948521625082604
2016-04-19,22.9284,23.0723,22.8475,23.0183,96997,96997,0.134782,0.589,22.9405,"Apr 19, 16",0.01992139556110898
2016-04-20,23.1442,23.1532,22.9464,23.0273,122684,122684,0.008994,0.039,23.0445,"Apr 20, 16",0.020320177945561797
2016-04-21,23.0453,23.1082,22.9824,23.0273,141191,141191,0,0,23.0376,"Apr 21, 16",0.020320177945561797
2016-04-22,22.9734,23.1082,22.9734,23.0992,49341,49341,0.071843,0.312,23.0801,"Apr 22, 16",0.023506006105801395
2016-04-25,23.1082,23.1082,22.9734,23.0903,108035,108035,-0.008902,-0.039,23.0485,"Apr 25, 16",0.023111654636731375
2016-04-26,23.0363,23.0992,22.9914,23.0183,98536,98536,-0.071935,-0.312,23.0209,"Apr 26, 16",0.01992139556110898
2016-04-27,23.0003,23.1981,22.9756,23.0903,104767,104767,0.071935,0.313,23.0369,"Apr 27, 16",0.023111654636731375
2016-04-28,23.0992,23.1892,22.9914,23.1532,75701,75701,0.06294,0.273,23.1234,"Apr 28, 16",0.025898700412518155
2016-04-29,23.1531,23.2881,23.1531,23.1982,96005,96005,0.044957,0.194,23.2209,"Apr 29, 16",0.02789261233478225
2016-05-02,23.1982,23.2881,23.1622,23.1982,63669,63669,0,0,23.2239,"May 2, 16",0.02789261233478225
2016-05-03,23.378,23.6028,23.1532,23.396,91813,91813,0.197814,0.853,23.3044,"May 3, 16",0.03665696296197836
2016-05-04,23.1802,23.5847,23.1802,23.4679,103077,103077,0.071933,0.307,23.3555,"May 4, 16",0.03984279112221796
2016-05-05,23.6028,23.6028,23.315,23.3781,92989,92989,-0.089826,-0.383,23.404,"May 5, 16",0.03586382910845552
2016-05-06,23.387,23.7646,23.2881,23.6298,59124,59124,0.251673,1.077,23.5369,"May 6, 16",0.047016443126985594
2016-05-09,23.6298,23.6298,23.4051,23.4589,73716,73716,-0.17084,-0.723,23.4923,"May 9, 16",0.03944400873776514
2016-05-10,23.4949,23.5398,23.4381,23.5397,78718,78718,0.080835,0.345,23.4963,"May 10, 16",0.04302418836707476
2016-05-11,23.2431,23.5308,23.2431,23.4229,68181,68181,-0.116801,-0.496,23.4299,"May 11, 16",0.03784887919995386
2016-05-12,23.4679,23.4679,23.378,23.405,33810,33810,-0.017982,-0.077,23.43,"May 12, 16",0.03705574534643118
