date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-04-20,23.3434,23.5768,23.088,23.5768,36224,36224,23.5768,0,23.3871,"Apr 20, 18",0
2018-04-23,23.5768,23.6838,22.5361,23.3644,64215,64215,-0.212425,-0.901,23.2867,"Apr 23, 18",-0.009008856163686286
2018-04-24,21.5634,23.246,21.5634,22.7598,43224,43224,-0.604592,-2.588,22.4535,"Apr 24, 18",-0.03465270944318144
2018-04-25,23.3434,23.3434,22.3804,23.0807,8297,8297,0.32097,1.41,22.7038,"Apr 25, 18",-0.021041871670455636
2018-04-26,23.2461,23.2461,22.3754,22.7889,44913,44913,-0.291791,-1.264,22.6251,"Apr 26, 18",-0.03341844525126383
2018-04-27,22.7357,22.7403,22.3999,22.5847,13646,13646,-0.204255,-0.896,22.5865,"Apr 27, 18",-0.0420795018832071
2018-04-30,23.0646,23.0646,22.6819,22.8193,5949,5949,0.234576,1.039,22.7774,"Apr 30, 18",-0.0321290421091921
2018-05-01,22.6033,22.6033,22.4021,22.4758,4425,4425,-0.343516,-1.505,22.4877,"May 1, 18",-0.046698449323063315
2018-05-02,22.5248,22.8836,22.3285,22.7113,30975,30975,0.235553,1.048,22.5295,"May 2, 18",-0.03670981642971045
2018-05-03,22.6534,22.6622,22.3776,22.5739,11625,11625,-0.137406,-0.605,22.6011,"May 3, 18",-0.04253757931525909
2018-05-04,22.672,22.672,22.4758,22.563,8509,8509,-0.010894,-0.048,22.569,"May 4, 18",-0.0429998982050151
2018-05-07,22.7211,22.7702,22.5837,22.672,16126,16126,0.109041,0.483,22.6962,"May 7, 18",-0.0383767093074547
2018-05-08,22.7702,23.0745,22.7015,22.991,56370,56370,0.318979,1.407,22.9311,"May 8, 18",-0.024846459231108505
2018-05-09,23.0156,23.1628,22.9174,23.153,27960,27960,0.161944,0.704,23.0599,"May 9, 18",-0.017975297750330833
2018-05-10,23.1039,23.2217,22.9665,22.991,12641,12641,-0.161944,-0.699,23.0742,"May 10, 18",-0.024846459231108505
2018-05-11,23.0646,23.0646,22.8683,22.8683,2862,2862,-0.122684,-0.534,22.9329,"May 11, 18",-0.03005072783414192
2018-05-14,23.0646,23.0646,22.8683,22.8683,13968,13968,0,0,23.0124,"May 14, 18",-0.03005072783414192
2018-05-15,22.8194,22.8194,22.623,22.623,14933,14933,-0.245368,-1.073,22.7215,"May 15, 18",-0.04045502358250473
2018-05-16,23.0646,23.0646,22.6745,22.9027,6862,6862,0.27972,1.236,22.8619,"May 16, 18",-0.02859166638390279
2018-05-17,22.8683,22.9174,22.8683,22.9174,3400,3400,0.014722,0.064,22.916,"May 17, 18",-0.02796817210138772
2018-05-18,22.9174,22.9174,22.8193,22.8683,206597,206597,-0.049074,-0.214,22.8592,"May 18, 18",-0.03005072783414192
2018-05-21,22.9175,23.0632,22.9175,22.9855,6240,6240,0.117188,0.512,22.9756,"May 21, 18",-0.025079739404838673
2018-05-22,23.2413,24.7528,23.0645,23.4965,3434,3434,0.510956,2.223,23.2806,"May 22, 18",-0.003405890536459469
2018-05-23,23.1235,23.153,23.0646,23.0646,1870,1870,-0.431849,-1.838,23.1119,"May 23, 18",-0.02172474636082929
2018-05-24,23.3885,23.4082,23.0646,23.0646,3730,3730,0,0,23.2734,"May 24, 18",-0.02172474636082929
2018-05-25,22.8104,22.9884,22.8104,22.8708,717,717,-0.193841,-0.84,22.8727,"May 25, 18",-0.029944691391537426
2018-05-29,22.9766,23.1628,22.9766,23.1628,5251,5251,0.291988,1.277,23.0797,"May 29, 18",-0.017559634895320735
2018-05-30,22.9665,23.1372,22.8782,22.9665,3735,3735,-0.196294,-0.847,22.9629,"May 30, 18",-0.02588561636863352
2018-05-31,22.623,23.081,22.623,22.8683,8612,8612,-0.098148,-0.427,22.9231,"May 31, 18",-0.03005072783414192
2018-06-01,22.672,22.9174,22.672,22.8193,7988,7988,-0.049073,-0.215,22.8436,"Jun 1, 18",-0.0321290421091921
2018-06-04,22.9272,23.1628,22.9272,23.0156,6800,6800,0.196294,0.86,23.053,"Jun 4, 18",-0.02380306063587932
2018-06-05,23.0156,23.0156,22.672,22.8683,6190,6190,-0.147221,-0.64,22.9346,"Jun 5, 18",-0.03005072783414192
2018-06-06,22.7996,22.9606,22.7996,22.8193,6247,6247,-0.049073,-0.215,22.859,"Jun 6, 18",-0.0321290421091921
2018-06-07,22.7996,22.8537,22.5739,22.5739,8830,8830,-0.245369,-1.075,22.6853,"Jun 7, 18",-0.04253757931525909
2018-06-08,22.5739,23.4072,21.72,22.6132,13688,13688,0.039259,0.174,22.6079,"Jun 8, 18",-0.040870686437514826
2018-06-11,22.672,22.8095,22.4267,22.4365,6517,6517,-0.176665,-0.781,22.5768,"Jun 11, 18",-0.04836534220080757
2018-06-12,22.4267,22.7309,22.0832,22.4733,14920,14920,0.036805,0.164,22.3703,"Jun 12, 18",-0.046804485765667966
