date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,40.5869,40.6237,39.9991,40.293,1887905,1887905,-0.339832,-0.836,40.2798,"Aug 5, 13",0
2013-08-06,40.2104,40.3757,39.6593,39.8614,2008510,2008510,-0.431678,-1.071,39.8509,"Aug 6, 13",-0.010711537984265157
2013-08-07,39.6501,39.8889,39.0899,39.742,2084311,2084311,-0.119398,-0.3,39.6162,"Aug 7, 13",-0.013674831856650086
2013-08-08,40.2196,40.5318,39.4113,39.8522,2151060,2151060,0.110212,0.277,39.8705,"Aug 8, 13",-0.010939865485319928
2013-08-09,39.7787,40.0726,39.6409,39.7787,1473969,1473969,-0.073474,-0.184,39.8399,"Aug 9, 13",-0.012764003673094548
2013-08-12,39.3287,39.5858,39.1909,39.3195,1619914,1619914,-0.459234,-1.154,39.3824,"Aug 12, 13",-0.024160524160524194
2013-08-13,39.5307,39.7787,39.1128,39.6317,1502182,1502182,0.31228,0.794,39.549,"Aug 13, 13",-0.016412280048643615
2013-08-14,39.5399,39.7603,39.2276,39.448,1729966,1729966,-0.183697,-0.464,39.4634,"Aug 14, 13",-0.020971384607748216
2013-08-15,39.0623,39.2552,38.8235,39.1541,2750781,2750781,-0.293906,-0.745,39.0789,"Aug 15, 13",-0.028265455538182802
2013-08-16,39.0623,40.2379,39.0072,39.9991,2773581,2773581,0.844989,2.158,39.9241,"Aug 16, 13",-0.007294070930434585
2013-08-19,39.8338,39.9991,39.1771,39.2644,2218123,2218123,-0.734772,-1.837,39.4172,"Aug 19, 13",-0.025528007346189097
2013-08-20,39.3838,39.8246,38.7868,39.6226,1714774,1714774,0.358199,0.912,39.4048,"Aug 20, 13",-0.01663812572903484
2013-08-21,39.5215,40.2563,39.2735,39.696,2237639,2237639,0.073481,0.185,39.7142,"Aug 21, 13",-0.01481646936192394
2013-08-22,39.9991,41.1839,39.8797,40.8257,2315150,2315150,1.1297,2.846,40.7466,"Aug 22, 13",0.01322065867520409
