date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-06-25,6.12,7.19,5.97,6.77,2066942,2066942,6.77,0,6.2283,"Jun 25, 15",0
2015-06-26,6.6,6.77,6.18,6.43,306285,306285,-0.34,-5.022,6.3626,"Jun 26, 15",-0.050221565731166894
2015-06-29,6.12,6.35,6.02,6.15,120116,120116,-0.28,-4.355,6.2021,"Jun 29, 15",-0.09158050221565721
2015-06-30,6.24,6.39,6.13,6.19,21459,21459,0.04,0.65,6.2154,"Jun 30, 15",-0.08567208271787286
2015-07-01,6.36,6.38,6.13,6.32,65586,65586,0.13,2.1,6.2585,"Jul 1, 15",-0.06646971935007376
2015-07-02,6.49,6.73,6.47,6.67,54910,54910,0.35,5.538,6.5459,"Jul 2, 15",-0.014771048744460806
2015-07-06,6.57,7.21,6.4,6.87,160094,160094,0.2,2.999,6.7751,"Jul 6, 15",0.014771048744460936
2015-07-07,7.12,7.4999,6.76,6.89,37357,37357,0.02,0.291,7.0922,"Jul 7, 15",0.017725258493353047
2015-07-08,7.38,7.38,6.522,7.15,71685,71685,0.26,3.774,6.9785,"Jul 8, 15",0.05612998522895137
2015-07-09,7.15,7.15,6.5001,7,29099,29099,-0.15,-2.098,6.9117,"Jul 9, 15",0.033973412112260036
2015-07-10,6.97,7,6.8,6.91,17701,17701,-0.09,-1.286,6.8886,"Jul 10, 15",0.020679468242245286
2015-07-13,6.87,6.95,6.69,6.88,38922,38922,-0.03,-0.434,6.7909,"Jul 13, 15",0.01624815361890699
2015-07-14,6.8,7.08,6.7501,7,67552,67552,0.12,1.744,6.9586,"Jul 14, 15",0.033973412112260036
2015-07-15,6.89,7.1,6.74,6.99,22355,22355,-0.01,-0.143,6.9492,"Jul 15, 15",0.03249630723781398
2015-07-16,7.25,7.25,6.7261,7.13,33848,33848,0.14,2.003,6.9967,"Jul 16, 15",0.05317577548005913
2015-07-17,7.2,7.5,7,7.47,52965,52965,0.34,4.769,7.2117,"Jul 17, 15",0.10339734121122603
2015-07-20,6.98,7.66,6.7546,6.91,134335,134335,-0.56,-7.497,7.3255,"Jul 20, 15",0.020679468242245286
2015-07-21,7.16,7.68,7.0101,7.33,76988,76988,0.42,6.078,7.2668,"Jul 21, 15",0.08271787296898088
2015-07-22,7.26,7.3,7,7.19,57238,57238,-0.14,-1.91,7.1343,"Jul 22, 15",0.062038404726735726
2015-07-23,7.3,7.3,6.96,7.17,66581,66581,-0.02,-0.278,7.1246,"Jul 23, 15",0.059084194977843486
2015-07-24,7.01,7.4492,7.01,7.18,35953,35953,0.01,0.139,7.2356,"Jul 24, 15",0.06056129985228954
2015-07-27,7.11,7.45,6.0805,6.53,135064,135064,-0.65,-9.053,6.6187,"Jul 27, 15",-0.03545051698670596
2015-07-28,6.4,6.74,6.4,6.71,82134,82134,0.18,2.757,6.5414,"Jul 28, 15",-0.008862629246676457
2015-07-29,6.8,7.2,6.49,7.2,81597,81597,0.49,7.303,6.9343,"Jul 29, 15",0.06351550960118178
2015-07-30,7.27,7.49,7.09,7.27,156565,156565,0.07,0.972,7.269,"Jul 30, 15",0.07385524372230429
