date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-11-11,5,5,5,5,120,120,5,0,5,"Nov 11, 15",0
2015-11-16,3.5,3.5,3,3,53085,53085,-2,-40,3.0012,"Nov 16, 15",-0.4
2015-11-17,3,3.5,2.99,3.5,58300,58300,0.5,16.667,3.0081,"Nov 17, 15",-0.3
2015-11-18,3.5,3.6,3.5,3.55,28283,28283,0.05,1.429,3.5213,"Nov 18, 15",-0.29000000000000004
2015-11-19,3.5,3.66,3.5,3.65,10613,10613,0.1,2.817,3.6317,"Nov 19, 15",-0.27
2015-11-20,3.95,4,3.7495,3.75,68550,68550,0.1,2.74,3.9487,"Nov 20, 15",-0.25
2015-11-23,3.75,3.75,3.75,3.75,526,526,0,0,3.75,"Nov 23, 15",-0.25
2015-11-24,3.75,3.8,3.5,3.8,17383,17383,0.05,1.333,3.6878,"Nov 24, 15",-0.24000000000000005
2015-11-25,3.8,3.95,3.66,3.95,11500,11500,0.15,3.947,3.87,"Nov 25, 15",-0.20999999999999996
2015-11-27,3.99,3.99,3.75,3.75,2000,2000,-0.2,-5.063,3.91,"Nov 27, 15",-0.25
2015-11-30,3.5,3.5,3.5,3.5,500,500,-0.25,-6.667,3.5,"Nov 30, 15",-0.3
2015-12-01,3.95,3.95,3.95,3.95,1100,1100,0.45,12.857,3.95,"Dec 1, 15",-0.20999999999999996
2015-12-02,4.12,4.25,4,4,11491,11491,0.05,1.266,4.1813,"Dec 2, 15",-0.2
2015-12-03,4,4,3.8,3.8,5607,5607,-0.2,-5,3.9313,"Dec 3, 15",-0.24000000000000005
2015-12-04,3.99,3.99,3.51,3.51,11570,11570,-0.29,-7.632,3.9664,"Dec 4, 15",-0.29800000000000004
2015-12-08,3.6,3.77,3.6,3.77,580,580,0.26,7.407,3.6293,"Dec 8, 15",-0.246
2015-12-09,3.75,3.75,3.75,3.75,1000,1000,-0.02,-0.531,3.75,"Dec 9, 15",-0.25
2015-12-10,3.94,3.94,3.94,3.94,179,179,0.19,5.067,3.94,"Dec 10, 15",-0.21200000000000002
2015-12-11,3.61,3.61,3.61,3.61,942,942,-0.33,-8.376,3.61,"Dec 11, 15",-0.278
2015-12-14,3.94,3.95,3.94,3.95,5000,5000,0.34,9.418,3.946,"Dec 14, 15",-0.20999999999999996
2015-12-15,3.7,3.7,3.6995,3.6995,2500,2500,-0.2505,-6.342,3.6998,"Dec 15, 15",-0.2601
2015-12-16,3.65,3.65,3.65,3.65,700,700,-0.0495,-1.338,3.65,"Dec 16, 15",-0.27
2015-12-18,3.945,3.95,3.94,3.95,10600,10600,0.3,8.219,3.9408,"Dec 18, 15",-0.20999999999999996
2015-12-21,3.94,3.94,3.94,3.94,121,121,-0.01,-0.253,3.94,"Dec 21, 15",-0.21200000000000002
