date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-05-25,25.335,25.3351,25.335,25.3351,600,600,25.3351,0,25.3351,"May 25, 17",0
2017-05-26,25.3053,25.3053,25.3053,25.3053,101,101,-0.029888,-0.118,25.3053,"May 26, 17",-0.0011762337626455629
2017-05-31,25.2156,25.2156,25.2156,25.2156,204,204,-0.089664,-0.354,25.2156,"May 31, 17",-0.004716776330071804
2017-06-02,25.7337,25.7337,25.7337,25.7337,400,400,0.51806,2.055,25.7337,"Jun 2, 17",0.0157331133486743
2017-06-07,25.688,25.688,25.688,25.688,200,200,-0.045629,-0.177,25.688,"Jun 7, 17",0.013929291773073648
2017-06-08,,,,25.688,2,2,0,0,,"Jun 8, 17",0.013929291773073648
2017-06-13,,,,25.688,1,1,0,0,,"Jun 13, 17",0.013929291773073648
2017-06-14,25.5444,25.5743,25.5444,25.5643,1763,1763,-0.123737,-0.482,25.5664,"Jun 14, 17",0.009046737530145874
2017-06-16,,,,25.5643,20,20,0,0,,"Jun 16, 17",0.009046737530145874
2017-06-19,,,,25.5643,3,3,0,0,,"Jun 19, 17",0.009046737530145874
2017-06-26,26.0459,26.0459,26.0459,26.0459,100,100,0.481597,1.884,26.0459,"Jun 26, 17",0.028055938204309395
2017-07-07,25.6739,25.6739,25.6739,25.6739,200,200,-0.372007,-1.428,25.6739,"Jul 7, 17",0.013372751637056854
2017-07-10,25.8731,25.8731,25.8731,25.8731,964,964,0.199254,0.776,25.8731,"Jul 10, 17",0.021235361218230844
2017-07-11,25.903,25.903,25.903,25.903,549,549,0.029888,0.116,25.903,"Jul 11, 17",0.022415542074039497
2017-07-17,26.2318,26.2318,26.2318,26.2318,664,664,0.328769,1.269,26.2318,"Jul 17, 17",0.035393584394772436
2017-07-24,,,,26.2318,45,45,0,0,,"Jul 24, 17",0.035393584394772436
2017-07-28,26.2418,26.2418,26.2418,26.2418,373,373,0.009963,0.038,26.2418,"Jul 28, 17",0.03578829371109649
2017-07-31,,,,26.2418,30,30,0,0,,"Jul 31, 17",0.03578829371109649
2017-08-07,,,,26.2418,4,4,0,0,,"Aug 7, 17",0.03578829371109649
2017-08-09,,,,26.2418,1,1,0,0,,"Aug 9, 17",0.03578829371109649
2017-08-10,,,,26.2418,1,1,0,0,,"Aug 10, 17",0.03578829371109649
2017-08-11,,,,26.2418,39,39,0,0,,"Aug 11, 17",0.03578829371109649
2017-08-18,,,,26.2418,38,38,0,0,,"Aug 18, 17",0.03578829371109649
2017-08-24,,,,26.2418,5,5,0,0,,"Aug 24, 17",0.03578829371109649
2017-08-25,,,,26.2418,38,38,0,0,,"Aug 25, 17",0.03578829371109649
2017-09-05,26.6801,26.6801,26.6801,26.6801,310,310,0.438359,1.67,26.6801,"Sep 5, 17",0.05308840304557704
2017-09-11,,,,26.6801,1,1,0,0,,"Sep 11, 17",0.05308840304557704
2017-09-15,,,,26.6801,2,2,0,0,,"Sep 15, 17",0.05308840304557704
2017-09-20,,,,26.6801,8,8,0,0,,"Sep 20, 17",0.05308840304557704
2017-09-28,26.8693,26.8992,26.8693,26.8992,1000,1000,0.219079,0.821,26.8842,"Sep 28, 17",0.06173648416623577
2017-09-29,,,,26.8992,80,80,0,0,,"Sep 29, 17",0.06173648416623577
2017-10-02,,,,26.8992,15,15,0,0,,"Oct 2, 17",0.06173648416623577
2017-10-04,27.238,27.238,27.238,27.238,505,505,0.338832,1.26,27.238,"Oct 4, 17",0.07510923580329262
2017-10-05,27.3177,27.3177,27.3177,27.3177,730,730,0.079701,0.293,27.3177,"Oct 5, 17",0.0782550690543948
2017-10-12,,,,27.3177,68,68,0,0,,"Oct 12, 17",0.0782550690543948
2017-10-13,27.3725,27.4571,27.3725,27.4571,523,523,0.139379,0.51,27.4194,"Oct 13, 17",0.08375731692395134
2017-10-16,,,,27.4571,1,1,0,0,,"Oct 16, 17",0.08375731692395134
2017-10-17,,,,27.4571,1,1,0,0,,"Oct 17, 17",0.08375731692395134
2017-10-19,27.5967,27.5967,27.5967,27.5967,296,296,0.139577,0.508,27.5967,"Oct 19, 17",0.08926745897983421
2017-10-23,,,,27.5967,5,5,0,0,,"Oct 23, 17",0.08926745897983421
2017-10-24,,,,27.5967,8,8,0,0,,"Oct 24, 17",0.08926745897983421
2017-10-25,27.3803,27.3803,27.3803,27.3803,525,525,-0.21639,-0.784,27.3803,"Oct 25, 17",0.080725949374583
2017-10-30,,,,27.3803,1,1,0,0,,"Oct 30, 17",0.080725949374583
2017-10-31,,,,27.3803,1,1,0,0,,"Oct 31, 17",0.080725949374583
2017-11-01,,,,27.3803,18,18,0,0,,"Nov 1, 17",0.080725949374583
2017-11-06,27.766,27.7932,27.766,27.7932,400,400,0.412954,1.508,27.7796,"Nov 6, 17",0.09702349704560069
2017-11-13,,,,27.7932,35,35,0,0,,"Nov 13, 17",0.09702349704560069
2017-11-17,28.055,28.055,28.055,28.055,1117,1117,0.26172,0.942,28.055,"Nov 17, 17",0.10735698694696287
2017-11-20,,,,28.055,34,34,0,0,,"Nov 20, 17",0.10735698694696287
2017-11-21,28.3438,28.3438,28.3438,28.3438,617,617,0.288819,1.029,28.3438,"Nov 21, 17",0.11875619200239987
2017-11-27,28.4834,28.4834,28.3837,28.3837,300,300,0.03995,0.141,28.4335,"Nov 27, 17",0.12033108217453257
2017-11-28,,,,28.3837,61,61,0,0,,"Nov 28, 17",0.12033108217453257
2017-11-30,28.6129,28.6353,28.6129,28.6353,206,206,0.251558,0.886,28.6241,"Nov 30, 17",0.13026196857324424
2017-12-01,,,,28.6353,6,6,0,0,,"Dec 1, 17",0.13026196857324424
2017-12-04,,,,28.6353,3,3,0,0,,"Dec 4, 17",0.13026196857324424
2017-12-05,,,,28.6353,1,1,0,0,,"Dec 5, 17",0.13026196857324424
2017-12-06,,,,28.6353,1,1,0,0,,"Dec 6, 17",0.13026196857324424
2017-12-07,28.6228,28.6228,28.6228,28.6228,600,600,-0.012453,-0.043,28.6228,"Dec 7, 17",0.12976858192783927
2017-12-12,,,,28.6228,6,6,0,0,,"Dec 12, 17",0.12976858192783927
2017-12-13,29.0612,29.0612,29.0313,29.0313,1455,1455,0.408471,1.427,29.044,"Dec 13, 17",0.14589245749967442
2017-12-15,,,,29.0313,6,6,0,0,,"Dec 15, 17",0.14589245749967442
2017-12-18,29.5203,29.5203,29.5203,29.5203,250,250,0.488969,1.684,29.5203,"Dec 18, 17",0.16519374306791756
2017-12-19,29.4895,29.4895,29.4448,29.4448,340,340,-0.075517,-0.256,29.4729,"Dec 19, 17",0.16221368772967149
2017-12-21,29.4597,29.4597,29.3501,29.3501,1100,1100,-0.094646,-0.321,29.3601,"Dec 21, 17",0.15847579050408328
2017-12-22,29.3302,29.38,29.3218,29.38,1681,1681,0.029888,0.102,29.3417,"Dec 22, 17",0.15965597135989193
2017-12-26,,,,29.38,10,10,-0.000002,0,,"Dec 26, 17",0.15965597135989193
2017-12-27,29.34,29.34,29.34,29.34,250,250,-0.04,-0.136,29.34,"Dec 27, 17",0.158077134094596
2017-12-28,,,,29.34,5,5,0,0,,"Dec 28, 17",0.158077134094596
2017-12-29,29.46,29.46,29.39,29.39,1045,1045,0.05,0.17,29.419,"Dec 29, 17",0.160050680676216
2018-01-02,29.47,29.47,29.47,29.47,107,107,0.08,0.272,29.47,"Jan 2, 18",0.16320835520680788
2018-01-03,29.96,29.96,29.785,29.93,1324,1324,0.46,1.561,29.8652,"Jan 3, 18",0.1813649837577116
2018-01-04,,,,29.93,51,51,0,0,,"Jan 4, 18",0.1813649837577116
2018-01-05,30.25,30.25,30.2375,30.2375,705,705,0.3075,1.027,30.2437,"Jan 5, 18",0.1935022952346744
2018-01-08,,,,30.2375,3,3,0,0,,"Jan 8, 18",0.1935022952346744
2018-01-09,,,,30.2375,99,99,0,0,,"Jan 9, 18",0.1935022952346744
2018-01-11,,,,30.2375,4,4,0,0,,"Jan 11, 18",0.1935022952346744
2018-01-12,30.778,30.778,30.778,30.778,353,353,0.5405,1.788,30.778,"Jan 12, 18",0.2148363337819862
2018-01-16,,,,30.778,2,2,0,0,,"Jan 16, 18",0.2148363337819862
2018-01-17,,,,30.778,3,3,0,0,,"Jan 17, 18",0.2148363337819862
2018-01-19,30.9101,30.92,30.9101,30.92,201,201,0.142,0.461,30.9151,"Jan 19, 18",0.220441206073787
2018-01-22,,,,30.92,1,1,0,0,,"Jan 22, 18",0.220441206073787
2018-01-24,,,,30.92,6,6,0,0,,"Jan 24, 18",0.220441206073787
2018-01-26,31.8,31.89,31.8,31.8775,480,480,0.9575,3.097,31.8558,"Jan 26, 18",0.25823462311180934
2018-01-29,,,,31.8775,75,75,0,0,,"Jan 29, 18",0.25823462311180934
2018-01-30,31.18,31.333,31.1342,31.333,1696,1696,-0.5445,-1.708,31.2829,"Jan 30, 18",0.23674270083796778
2018-01-31,31.52,31.52,31.37,31.37,2821,2821,0.037,0.118,31.4011,"Jan 31, 18",0.23820312530836665
2018-02-01,,,,31.37,72,72,0,0,,"Feb 1, 18",0.23820312530836665
2018-02-02,31.08,31.08,30.82,30.82,6226,6226,-0.55,-1.753,30.9212,"Feb 2, 18",0.21649411291054702
2018-02-05,29.68,29.68,29.68,29.68,300,300,-1.14,-3.699,29.68,"Feb 5, 18",0.17149725084961176
2018-02-06,29.5882,29.914,29.335,29.914,2208,2208,0.234,0.788,29.4908,"Feb 6, 18",0.1807334488515933
2018-02-07,30.27,30.27,30,30,219,219,0.086,0.287,30.1438,"Feb 7, 18",0.18412794897197957
2018-02-08,29.229,29.229,28.98,28.98,3290,3290,-1.02,-3.4,29.1943,"Feb 8, 18",0.14386759870693228
2018-02-09,29.15,29.15,29.15,29.15,304,304,0.17,0.587,29.15,"Feb 9, 18",0.15057765708444007
2018-02-12,29.15,29.15,29.15,29.15,355,355,0,0,29.15,"Feb 12, 18",0.15057765708444007
2018-02-14,29.7,29.7,29.7,29.7,1214,1214,0.55,1.887,29.7,"Feb 14, 18",0.17228666948225974
2018-02-15,30.07,30.07,30.07,30.07,629,629,0.37,1.246,30.07,"Feb 15, 18",0.1868909141862475
2018-02-21,30.5,30.5,30.5,30.5,101,101,0.43,1.43,30.5,"Feb 21, 18",0.2038634147881792
2018-02-23,,,,30.5,13,13,0,0,,"Feb 23, 18",0.2038634147881792
2018-02-26,31.02,31.02,30.9885,30.9885,1612,1612,0.4885,1.602,31.0061,"Feb 26, 18",0.22314496489060623
2018-02-28,30.44,30.44,30.44,30.44,164,164,-0.5485,-1.77,30.44,"Feb 28, 18",0.2014951588902353
2018-03-05,,,,30.44,2,2,0,0,,"Mar 5, 18",0.2014951588902353
2018-03-06,,,,30.44,2,2,0,0,,"Mar 6, 18",0.2014951588902353
2018-03-07,30.24,30.24,30.24,30.24,100,100,-0.2,-0.657,30.24,"Mar 7, 18",0.19360097256375533
2018-03-09,31.21,31.21,31.21,31.21,218,218,0.97,3.208,31.21,"Mar 9, 18",0.23188777624718276
2018-03-12,31.66,31.66,31.5599,31.5599,680,680,0.3499,1.121,31.6427,"Mar 12, 18",0.24569865522535922
2018-03-14,31.1448,31.1448,31.1448,31.1448,102,102,-0.4151,-1.315,31.1448,"Mar 14, 18",0.2293142715047503
2018-03-15,,,,31.1448,7,7,0,0,,"Mar 15, 18",0.2293142715047503
2018-03-16,,,,31.1448,90,90,0,0,,"Mar 16, 18",0.2293142715047503
2018-03-19,,,,31.1448,2,2,0,0,,"Mar 19, 18",0.2293142715047503
2018-03-20,,,,31.1448,3,3,0,0,,"Mar 20, 18",0.2293142715047503
2018-03-21,30.795,30.98,30.795,30.98,200,200,-0.1648,-0.529,30.8875,"Mar 21, 18",0.2228094619717309
2018-03-22,30,30,30,30,390,390,-0.98,-3.163,30,"Mar 22, 18",0.18412794897197957
2018-03-23,29.4592,29.4592,29.2,29.2,1217,1217,-0.8,-2.667,29.3917,"Mar 23, 18",0.15255120366606006
2018-03-26,29.6346,29.6346,29.6343,29.6343,866,866,0.4343,1.487,29.6344,"Mar 26, 18",0.1696934292740111
2018-03-27,29.37,29.37,29.37,29.37,100,100,-0.2643,-0.892,29.37,"Mar 27, 18",0.15926126204356802
2018-03-28,29.29,29.29,29.29,29.29,100,100,-0.08,-0.272,29.29,"Mar 28, 18",0.156103587512976
2018-04-02,29.19,29.19,29.19,29.19,672,672,-0.1,-0.341,29.19,"Apr 2, 18",0.15215649434973616
2018-04-06,,,,29.19,22,22,0,0,,"Apr 6, 18",0.15215649434973616
2018-04-09,,,,29.19,4,4,0,0,,"Apr 9, 18",0.15215649434973616
2018-04-10,,,,29.19,2,2,0,0,,"Apr 10, 18",0.15215649434973616
2018-04-12,,,,29.19,14,14,0,0,,"Apr 12, 18",0.15215649434973616
2018-04-18,,,,29.19,12,12,0,0,,"Apr 18, 18",0.15215649434973616
2018-04-20,,,,29.19,3,3,0,0,,"Apr 20, 18",0.15215649434973616
2018-04-24,29.94,29.94,29.9001,29.9001,351,351,0.7101,2.433,29.9228,"Apr 24, 18",0.1801848029019028
2018-04-25,29.925,29.925,29.925,29.925,200,200,0.0249,0.083,29.925,"Apr 25, 18",0.18116762909954964
2018-04-27,,,,29.925,3,3,0,0,,"Apr 27, 18",0.18116762909954964
