date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,46.482,46.7812,46.288,46.7408,2727058,2727058,0.258727,0.557,46.5231,"Aug 5, 13",0
2013-08-06,46.8297,46.9833,45.8837,45.9161,3399062,3399062,-0.824695,-1.764,46.1606,"Aug 6, 13",-0.017644113921884093
2013-08-07,45.7948,46.0616,45.1884,45.4309,2814861,2814861,-0.485115,-1.057,45.4674,"Aug 7, 13",-0.028024766371136114
2013-08-08,45.6978,46.1505,45.4875,45.8433,2480739,2480739,0.412348,0.908,45.8768,"Aug 8, 13",-0.019201639680963972
2013-08-09,45.819,45.9969,45.1803,45.3824,2419989,2419989,-0.460858,-1.005,45.4893,"Aug 9, 13",-0.029062403724369357
2013-08-12,45.245,46.1586,45.148,45.625,2964799,2964799,0.242559,0.534,45.7637,"Aug 12, 13",-0.023872077499743266
2013-08-13,45.9484,46.0454,45.2854,45.8837,3188111,3188111,0.258726,0.567,45.7772,"Aug 13, 13",-0.0183372984630131
2013-08-14,45.7139,46.0454,45.5603,45.8271,2013665,2013665,-0.056597,-0.123,45.8269,"Aug 14, 13",-0.0195482319515284
2013-08-15,45.4956,46.0373,45.0509,45.7948,3158270,3158270,-0.03234,-0.071,45.649,"Aug 15, 13",-0.020239277034197062
2013-08-16,45.7624,46.1344,45.528,45.528,2619209,2619209,-0.266813,-0.583,45.7687,"Aug 16, 13",-0.025947352206209594
2013-08-19,45.5199,46.4901,45.5199,45.9565,4868012,4868012,0.428519,0.941,46.1314,"Aug 19, 13",-0.01677977270393322
2013-08-20,46.0373,46.3769,45.811,45.9646,2433591,2433591,0.008083,0.018,46.1222,"Aug 20, 13",-0.016606476568651003
2013-08-21,45.8756,45.9161,45.1641,45.3663,3534043,3534043,-0.598308,-1.302,45.5209,"Aug 21, 13",-0.029406856536473437
2013-08-22,45.5441,46.3284,45.5441,45.8756,3031404,3031404,0.509372,1.123,45.9768,"Aug 22, 13",-0.01851059459829531
2013-08-23,46.0373,46.4497,45.9322,46.0858,4298030,4298030,0.210214,0.458,46.2277,"Aug 23, 13",-0.014013452914798231
2013-08-26,46.102,46.4497,45.4148,45.5684,6544953,6544953,-0.517455,-1.123,45.9511,"Aug 26, 13",-0.02508301098825872
2013-08-27,45.0429,45.5037,43.9513,44.1211,5943496,5943496,-1.4473,-3.176,44.64,"Aug 27, 13",-0.05604739328381204
2013-08-28,44.2424,45.5037,44.2343,45.2612,4277639,4277639,1.14,2.584,45.0736,"Aug 28, 13",-0.031655427378221974
2013-08-29,45.1965,46.1909,45.156,45.8676,3386467,3386467,0.606394,1.34,45.9072,"Aug 29, 13",-0.01868175127511718
2013-08-30,45.8595,46.0697,45.2458,45.5603,2793109,2793109,-0.307241,-0.67,45.6301,"Aug 30, 13",-0.025256307123540933
2013-09-03,46.1344,46.9671,46.0778,46.8297,7055291,7055291,1.2694,2.786,46.6531,"Sep 3, 13",0.0019019785711841136
2013-09-04,47.1369,47.6665,46.8863,47.5008,5885672,5885672,0.671072,1.433,47.4107,"Sep 4, 13",0.016259884298086426
2013-09-05,47.6786,48.0667,47.5412,47.622,3639326,3639326,0.121281,0.255,47.7615,"Sep 5, 13",0.0188529079519392
2013-09-06,47.6786,48.188,46.9186,47.8969,4198635,4198635,0.274898,0.577,47.7842,"Sep 6, 13",0.024734279259233948
2013-09-09,48.4144,49.7485,48.3821,49.7242,6921517,6921517,1.8273,3.815,49.2819,"Sep 9, 13",0.06382860370383055
2013-09-10,50.8723,51.1715,50.5489,50.9451,7238064,7238064,1.2209,2.455,50.9305,"Sep 10, 13",0.08994925204532221
2013-09-11,50.9289,51.7293,50.7915,51.3251,5036101,5036101,0.380004,0.746,51.3391,"Sep 11, 13",0.0980791941943655
2013-09-12,51.3413,51.5272,50.3751,50.8157,5217657,5217657,-0.50937,-0.992,50.8978,"Sep 12, 13",0.08718079279772703
2013-09-13,51.0098,51.4383,50.541,51.3736,3169295,3169295,0.557882,1.098,51.1345,"Sep 13, 13",0.09911683154759873
2013-09-16,51.8587,52.3277,51.2849,51.4625,4524366,4524366,0.088936,0.173,51.8677,"Sep 16, 13",0.1010188101187827
2013-09-17,51.4383,52.0366,51.4383,51.9476,3320973,3320973,0.485112,0.943,51.8147,"Sep 17, 13",0.11139732310957454
2013-09-18,52.0858,52.6142,51.3704,52.5492,5154687,5154687,0.601565,1.158,52.1056,"Sep 18, 13",0.12426830520658609
2013-09-19,52.8906,53.5951,52.8256,53.3296,5883709,5883709,0.78043,1.485,53.2157,"Sep 19, 13",0.14096463903056855
2013-09-20,53.541,53.541,52.7068,52.9232,5423084,5423084,-0.406472,-0.762,52.962,"Sep 20, 13",0.1322698798480129
2013-09-23,52.6142,53.289,52.3541,52.663,4403102,4403102,-0.260147,-0.492,52.7347,"Sep 23, 13",0.12670300893437847
2013-09-24,52.5736,54.0613,52.5329,53.7361,6047041,6047041,1.0731,2.038,53.6413,"Sep 24, 13",0.14966153767158458
2013-09-25,53.7768,54.167,53.4109,53.5898,5316254,5316254,-0.146331,-0.272,53.7529,"Sep 25, 13",0.14653150994420286
2013-09-26,53.8987,54.7531,53.8581,54.3865,4791905,4791905,0.796693,1.487,54.4068,"Sep 26, 13",0.1635765754972101
2013-09-27,54.1832,54.2889,53.2565,53.5573,5319745,5319745,-0.829213,-1.525,53.5839,"Sep 27, 13",0.14583618594461364
2013-09-30,52.4029,54.3621,52.1915,53.9963,6634194,6634194,0.438996,0.82,53.6308,"Sep 30, 13",0.15522840858521886
2013-10-01,54.3214,54.5003,53.7524,54.4434,3531368,3531368,0.447123,0.828,54.2243,"Oct 1, 13",0.1647939273611063
2013-10-02,54.2076,54.484,53.7849,54.1507,3162430,3162430,-0.292662,-0.538,54.1079,"Oct 2, 13",0.1585317324478828
2013-10-03,54.3702,54.5969,53.4109,53.6548,5123400,5123400,-0.495901,-0.916,53.8698,"Oct 3, 13",0.1479221579433814
2013-10-04,53.6873,54.232,53.5817,53.9475,3139551,3139551,0.292665,0.545,53.9897,"Oct 4, 13",0.1541843528566049
2013-10-07,53.4109,53.9719,53.167,53.4028,2081797,2081797,-0.544679,-1.01,53.597,"Oct 7, 13",0.1425307226234895
2013-10-08,53.4435,53.9394,51.6143,52.2972,5543742,5543742,-1.1056,-2.07,52.6604,"Oct 8, 13",0.1188768698866942
2013-10-09,52.6549,53.2077,51.9314,52.7687,4134240,4134240,0.471512,0.902,51.6369,"Oct 9, 13",0.12896441652688875
2013-10-10,53.5654,54.1914,53.541,53.8824,2923428,2923428,1.1137,2.111,53.8934,"Oct 10, 13",0.15279156539896616
2013-10-11,54.1263,55.5653,54.1019,55.549,4493222,4493222,1.6665,3.093,55.0233,"Oct 11, 13",0.1884477800979016
2013-10-14,55.11,56.0205,54.8336,56.0043,3837405,3837405,0.455256,0.82,55.2519,"Oct 14, 13",0.1981887344675316
2013-10-15,56.305,57.4107,56.0855,56.1831,6465568,6465568,0.178849,0.319,56.6792,"Oct 15, 13",0.2020140861945025
2013-10-16,56.7115,57.0773,56.289,56.5245,4424010,4424010,0.341437,0.608,56.6907,"Oct 16, 13",0.20931819737787977
2013-10-17,56.3782,57.7196,56.1099,57.6952,5987250,5987250,1.1707,2.071,57.162,"Oct 17, 13",0.2343648375723137
2013-10-18,58.4106,59.4024,58.3781,58.9553,8659212,8659212,1.2601,2.184,59.5716,"Oct 18, 13",0.26132415363023315
2013-10-21,59.126,59.5406,58.6057,59.5325,5342117,5342117,0.577194,0.979,59.0729,"Oct 21, 13",0.2736731078629377
2013-10-22,59.0528,59.7438,57.1505,59.2235,8133472,8133472,-0.30892,-0.519,58.7452,"Oct 22, 13",0.2670621812206894
