date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,15.8419,16.0048,15.8419,15.9951,5527,5527,-0.019387,-0.121,15.9249,"Aug 5, 13",0
2013-08-06,16.0539,16.4798,16.0048,16.1308,32351,32351,0.135717,0.848,16.1424,"Aug 6, 13",0.008483848178504663
2013-08-07,16.2762,16.5234,16.2181,16.4798,17026,17026,0.348982,2.163,16.4569,"Aug 7, 13",0.03030303030303031
2013-08-08,16.8191,17.0227,16.441,16.9645,24047,24047,0.484702,2.941,16.7389,"Aug 8, 13",0.06060606060606062
2013-08-09,16.3829,16.7997,16.1793,16.4701,19975,19975,-0.494395,-2.914,16.6284,"Aug 9, 13",0.02969659458209063
2013-08-12,16.538,16.7222,16.5186,16.6252,6053,6053,0.155104,0.942,16.6269,"Aug 12, 13",0.03939331420247443
2013-08-13,16.7512,17.0421,16.5089,17.0324,38264,38264,0.407149,2.449,16.9226,"Aug 13, 13",0.06485111065263727
2013-08-14,17.0808,17.0808,16.8288,16.8773,660872,660872,-0.155105,-0.911,16.9649,"Aug 14, 13",0.05515439103225369
2013-08-15,16.887,17.1972,16.7396,16.8579,57830,57830,-0.019388,-0.115,17.0955,"Aug 15, 13",0.05394151959037455
2013-08-16,16.8482,17.3523,16.8288,16.8773,48832,48832,0.019388,0.115,16.9414,"Aug 16, 13",0.05515439103225369
2013-08-19,17.0324,17.0518,16.8094,16.9451,14392,14392,0.067859,0.402,16.9766,"Aug 19, 13",0.05939318916418148
2013-08-20,17.0581,17.0581,16.7134,16.8579,4308,4308,-0.087247,-0.515,16.8518,"Aug 20, 13",0.05394151959037455
2013-08-21,16.7222,16.8191,16.6616,16.7222,10212,10212,-0.135715,-0.805,16.7618,"Aug 21, 13",0.04545767141186989
2013-08-22,16.792,16.8579,16.664,16.8288,16511,16511,0.106633,0.638,16.701,"Aug 22, 13",0.05212221242755596
2013-08-23,16.7222,16.8676,16.7222,16.7706,9601,9601,-0.058162,-0.346,16.7834,"Aug 23, 13",0.04848359810191877
2013-08-26,16.8676,16.8676,16.6543,16.7609,3742,3742,-0.009694,-0.058,16.7128,"Aug 26, 13",0.04787716238097909
2013-08-27,16.5574,16.5574,16.3926,16.4798,5369,5369,-0.281129,-1.677,16.4903,"Aug 27, 13",0.03030303030303031
2013-08-28,16.5574,16.7706,16.2375,16.2375,8464,8464,-0.242349,-1.471,16.4725,"Aug 28, 13",0.015154641108839578
2013-08-29,16.3829,16.59,16.3829,16.4023,4630,4630,0.164798,1.015,16.4536,"Aug 29, 13",0.025457796450162835
2013-08-30,16.4701,16.5186,16.1211,16.3441,53604,53604,-0.058164,-0.355,16.4357,"Aug 30, 13",0.021819182124525646
2013-09-03,16.3635,16.7416,16.2472,16.3247,81028,81028,-0.019388,-0.119,16.3258,"Sep 3, 13",0.02060631068264651
2013-09-04,16.3674,16.3674,16.1211,16.3538,12554,12554,0.029082,0.178,16.3,"Sep 4, 13",0.022425617845465106
2013-09-05,16.3635,16.4893,16.3635,16.4798,7883,7883,0.126021,0.771,16.4199,"Sep 5, 13",0.03030303030303031
2013-09-06,16.4798,16.4798,16.1308,16.4701,25632,25632,-0.009693,-0.059,16.459,"Sep 6, 13",0.02969659458209063
2013-09-09,16.4798,16.6349,16.4798,16.538,24737,24737,0.067858,0.412,16.5229,"Sep 9, 13",0.03394164462866749
2013-09-10,16.5477,16.5574,16.3441,16.3635,24589,24589,-0.174493,-1.055,16.4126,"Sep 10, 13",0.023032053566404562
2013-09-11,16.315,16.6737,16.315,16.4798,23645,23645,0.116328,0.711,16.514,"Sep 11, 13",0.03030303030303031
2013-09-12,16.4701,16.6155,16.4701,16.6155,14189,14189,0.135718,0.824,16.4926,"Sep 12, 13",0.038786878481534975
2013-09-13,16.7028,16.7028,16.1987,16.6543,15090,15090,0.038774,0.233,16.4841,"Sep 13, 13",0.04121262136529302
2013-09-16,16.7512,16.7512,16.4895,16.4895,8079,8079,-0.164799,-0.99,16.5986,"Sep 16, 13",0.030909466023969767
2013-09-17,16.4604,16.6252,16.4604,16.5864,16747,16747,0.096942,0.588,16.6117,"Sep 17, 13",0.03696757131871638
2013-09-18,16.8676,17.1196,16.6252,16.9354,30408,30408,0.348985,2.104,16.9104,"Sep 18, 13",0.058786753443242024
2013-09-19,16.9548,17.0711,16.5768,17.0615,23218,23218,0.126021,0.744,16.9606,"Sep 19, 13",0.06667041781545585
2013-09-20,17.1196,17.1584,16.9645,17.013,6919,6919,-0.04847,-0.284,17.0246,"Sep 20, 13",0.06363823921075835
2013-09-23,17.1487,17.1487,16.7319,16.7706,194784,194784,-0.242348,-1.424,16.9402,"Sep 23, 13",0.04848359810191877
2013-09-24,16.6155,17.139,16.5095,16.8773,10014,10014,0.106632,0.636,16.8284,"Sep 24, 13",0.05515439103225369
2013-09-25,16.9645,17.1099,16.5089,16.916,16721,16721,0.038775,0.23,16.8833,"Sep 25, 13",0.05757388200136289
2013-09-26,16.8579,17.0905,16.6252,16.8579,358768,358768,-0.058163,-0.344,16.8239,"Sep 26, 13",0.05394151959037455
2013-09-27,16.8579,17.1002,16.8579,17.0711,8931,8931,0.213268,1.265,17.0355,"Sep 27, 13",0.0672706016217467
2013-09-30,17.013,17.1196,16.8385,16.8385,26325,26325,-0.232657,-1.363,16.9852,"Sep 30, 13",0.05272864814849541
2013-10-01,16.8094,17.1002,16.538,16.5477,56452,56452,-0.29082,-1.727,16.6767,"Oct 1, 13",0.034548080349606956
2013-10-02,16.5477,16.9451,16.3829,16.9257,70852,70852,0.378066,2.285,16.5871,"Oct 2, 13",0.058180317722302345
