date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-10-09,55.0175,55.6356,53.5751,55.0861,309408,309408,55.0861,0,55.0687,"Oct 9, 17",0
2017-10-10,55.93,57.8925,55.4983,56.0674,261559,261559,0.981228,1.781,56.6061,"Oct 10, 17",0.017813931282120124
2017-10-11,56.4304,57.7943,56.4304,57.3037,462941,462941,1.2363,2.205,57.2403,"Oct 11, 17",0.04025697952841093
2017-10-12,57.3626,57.4999,56.2195,56.4206,177800,177800,-0.883104,-1.541,56.5931,"Oct 12, 17",0.02422571211249296
2017-10-13,56.7346,58.491,56.7346,57.8925,261700,261700,1.4718,2.609,57.8699,"Oct 13, 17",0.050945701365680204
2017-10-16,58.0887,59.8942,57.5,59.6489,115022,115022,1.7564,3.034,59.432,"Oct 16, 17",0.08283033287889315
2017-10-17,59.7362,61.5328,59.7362,60.9735,409804,409804,1.3247,2.221,60.8457,"Oct 17, 17",0.10687632633277722
2017-10-18,61.2188,61.3268,60.0119,61.1599,216679,216679,0.186433,0.306,60.9927,"Oct 18, 17",0.11026012006658664
2017-10-19,60.6693,61.6092,60.5222,61.1109,117698,117698,-0.049061,-0.08,61.2163,"Oct 19, 17",0.10937060347347151
2017-10-20,60.8165,61.5034,60.581,61.4739,136269,136269,0.363054,0.594,61.224,"Oct 20, 17",0.11596028762246735
2017-10-23,61.7781,62.1412,61.4543,62.0038,81134,81134,0.529863,0.862,61.9004,"Oct 23, 17",0.12557977420801247
2017-10-24,62.3472,62.6318,62.0381,62.3276,113057,113057,0.323805,0.522,62.3402,"Oct 24, 17",0.13145784508251618
2017-10-25,62.2099,62.6318,60.895,61.5819,62180,62180,-0.745733,-1.196,61.6414,"Oct 25, 17",0.1179208548072925
2017-10-26,61.2483,62.0921,61.2483,61.7879,77572,77572,0.206057,0.335,61.9055,"Oct 26, 17",0.12166045517834805
2017-10-27,61.5328,62.4895,60.8067,62.1902,291812,291812,0.402305,0.651,62.045,"Oct 27, 17",0.1289635679418219
2017-10-30,62.3276,62.5631,62.0627,62.2589,146970,146970,0.068685,0.11,62.2217,"Oct 30, 17",0.13021070651216904
2017-10-31,62.1019,62.5631,61.5917,62.1117,246597,246597,-0.147183,-0.236,62.029,"Oct 31, 17",0.12753852605285176
2017-11-01,62.308,62.308,61.1354,61.3758,52501,52501,-0.735922,-1.185,61.414,"Nov 1, 17",0.11417943909625107
