date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-09-24,10.9535,11.2436,10.3668,10.5731,4739188,4739188,10.5731,0,10.6948,"Sep 24, 14",0
2014-09-25,10.4764,10.5344,10.3152,10.4764,446927,446927,-0.096705,-0.915,10.4545,"Sep 25, 14",-0.00914585126405692
2014-09-26,10.4764,10.8826,10.4442,10.8116,291701,291701,0.335245,3.2,10.7032,"Sep 26, 14",0.02255724432758606
2014-09-29,10.889,10.889,10.6376,10.773,173961,173961,-0.038684,-0.358,10.7441,"Sep 29, 14",0.018906470193226162
2014-09-30,10.7085,10.9793,10.6376,10.8761,116047,116047,0.103154,0.958,10.8228,"Sep 30, 14",0.02865763115831677
2014-10-01,10.8245,10.9019,10.3861,10.5409,217184,217184,-0.335245,-3.082,10.6578,"Oct 1, 14",-0.0030454644333260407
2014-10-02,10.5989,10.6827,10.4442,10.4764,90021,90021,-0.06447,-0.612,10.5437,"Oct 2, 14",-0.00914585126405692
2014-10-03,10.4828,10.6698,10.3861,10.4764,100496,100496,0,0,10.4875,"Oct 3, 14",-0.00914585126405692
2014-10-06,10.4571,10.5989,10.4571,10.5409,102899,102899,0.06447,0.615,10.5641,"Oct 6, 14",-0.0030454644333260407
2014-10-07,10.5409,10.6247,10.4506,10.5409,106671,106671,0,0,10.553,"Oct 7, 14",-0.0030454644333260407
2014-10-08,10.5795,10.6182,10.5086,10.5924,108294,108294,0.051573,0.489,10.5781,"Oct 8, 14",0.001825387067179865
2014-10-09,10.5731,10.6215,9.8317,10.1411,284721,284721,-0.451288,-4.26,10.1826,"Oct 9, 14",-0.04085840481977853
2014-10-10,10.1218,10.1536,9.5432,9.606,137304,137304,-0.535104,-5.277,9.9465,"Oct 10, 14",-0.09146797060464767
2014-10-13,9.548,9.98,9.548,9.7543,46471,46471,0.148282,1.544,9.8475,"Oct 13, 14",-0.07744180987600605
2014-10-14,9.7221,9.8962,9.6705,9.7479,30502,30502,-0.006446,-0.066,9.7882,"Oct 14, 14",-0.0780471195770399
2014-10-15,9.6705,9.7737,9.2837,9.2901,172711,172711,-0.457737,-4.696,9.4457,"Oct 15, 14",-0.12134567912911062
