date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,16.2,16.43,16.18,16.23,3468829,3468829,0.01,0.062,16.2594,"Aug 5, 13",0
2013-08-06,16.23,16.28,16.05,16.08,970128,970128,-0.15,-0.924,16.129,"Aug 6, 13",-0.009242144177449299
2013-08-07,16,16.11,15.89,15.97,1245086,1245086,-0.11,-0.684,16.0102,"Aug 7, 13",-0.01601971657424521
2013-08-08,16.04,16.2199,15.9,16.13,1813244,1813244,0.16,1.002,16.0688,"Aug 8, 13",-0.006161429451632866
2013-08-09,15.67,15.73,15.2,15.44,7094875,7094875,-0.69,-4.278,15.4732,"Aug 9, 13",-0.04867529266789901
2013-08-12,15.4,15.7201,15.38,15.58,2392415,2392415,0.14,0.907,15.5986,"Aug 12, 13",-0.04004929143561308
2013-08-13,15.53,15.6101,15.14,15.36,2137778,2137778,-0.22,-1.412,15.3697,"Aug 13, 13",-0.053604436229205236
2013-08-14,15.35,15.44,15.22,15.22,1523578,1523578,-0.14,-0.911,15.3147,"Aug 14, 13",-0.06223043746149105
2013-08-15,15.1,15.11,14.79,14.84,1902446,1902446,-0.38,-2.497,14.9047,"Aug 15, 13",-0.08564386937769566
2013-08-16,14.85,14.945,14.75,14.75,719404,719404,-0.09,-0.606,14.8214,"Aug 16, 13",-0.09118915588416515
2013-08-19,14.72,15.15,14.72,14.96,1692724,1692724,0.21,1.424,15.0073,"Aug 19, 13",-0.07825015403573626
2013-08-20,15.09,15.26,15.01,15.07,945411,945411,0.11,0.735,15.1179,"Aug 20, 13",-0.07147258163894024
2013-08-21,15,15.22,14.98,15.12,1282315,1282315,0.05,0.332,15.1055,"Aug 21, 13",-0.06839186691312392
2013-08-22,15.08,15.26,14.9,15.2,874818,874818,0.08,0.529,15.1892,"Aug 22, 13",-0.06346272335181768
2013-08-23,15.24,15.36,15.07,15.36,1220910,1220910,0.16,1.053,15.2479,"Aug 23, 13",-0.053604436229205236
2013-08-26,15.34,15.6403,15.23,15.53,1863690,1863690,0.17,1.107,15.5254,"Aug 26, 13",-0.043130006161429514
2013-08-27,15.42,15.45,15.14,15.195,2497261,2497261,-0.335,-2.157,15.2962,"Aug 27, 13",-0.06377079482439926
2013-08-28,15.14,15.24,14.97,14.99,1378678,1378678,-0.205,-1.349,15.0677,"Aug 28, 13",-0.07640172520024646
2013-08-29,14.93,15.36,14.9,14.93,1931754,1931754,-0.06,-0.4,15.1245,"Aug 29, 13",-0.08009858287122616
2013-08-30,14.95,14.9503,14.5,14.54,1158655,1158655,-0.39,-2.612,14.6089,"Aug 30, 13",-0.10412815773259404
2013-09-03,14.91,14.92,14.42,14.59,2291030,2291030,0.05,0.344,14.6445,"Sep 3, 13",-0.1010474430067776
2013-09-04,14.55,14.63,14.3101,14.49,2719513,2719513,-0.1,-0.685,14.4891,"Sep 4, 13",-0.10720887245841036
2013-09-05,14.32,14.61,14.318,14.45,1229996,1229996,-0.04,-0.276,14.4916,"Sep 5, 13",-0.10967344423906353
2013-09-06,14.5,14.505,14.22,14.41,1082532,1082532,-0.04,-0.277,14.4091,"Sep 6, 13",-0.11213801601971658
2013-09-09,14.45,14.76,14.43,14.7,1060605,1060605,0.29,2.012,14.6399,"Sep 9, 13",-0.09426987060998158
2013-09-10,14.7,14.91,14.66,14.86,1123471,1123471,0.16,1.088,14.7932,"Sep 10, 13",-0.08441158348736913
2013-09-11,14.87,14.96,14.79,14.88,725598,725598,0.02,0.135,14.8768,"Sep 11, 13",-0.08317929759704248
2013-09-12,14.87,15.085,14.779,14.83,952045,952045,-0.05,-0.336,14.9281,"Sep 12, 13",-0.08626001232285892
2013-09-13,14.82,14.91,14.69,14.86,983263,983263,0.03,0.202,14.8218,"Sep 13, 13",-0.08441158348736913
2013-09-16,15.03,15.03,14.68,14.72,1675667,1675667,-0.14,-0.942,14.7754,"Sep 16, 13",-0.09303758471965494
2013-09-17,14.72,14.73,14.55,14.67,1512102,1512102,-0.05,-0.34,14.6482,"Sep 17, 13",-0.09611829944547137
2013-09-18,14.69,14.77,14.35,14.65,2067762,2067762,-0.02,-0.136,14.5546,"Sep 18, 13",-0.0973505853357979
2013-09-19,14.73,15.08,14.57,15.01,1801605,1801605,0.36,2.457,14.8679,"Sep 19, 13",-0.07516943930991994
2013-09-20,15.07,15.36,15.02,15.12,5221683,5221683,0.11,0.733,15.1613,"Sep 20, 13",-0.06839186691312392
2013-09-23,15.21,15.21,14.73,14.78,1556613,1556613,-0.34,-2.249,14.8692,"Sep 23, 13",-0.08934072704867535
2013-09-24,14.91,15.315,14.81,15.14,3764788,3764788,0.36,2.436,15.1255,"Sep 24, 13",-0.06715958102279727
2013-09-25,15.12,15.21,14.9,14.9,1315989,1315989,-0.24,-1.585,15.0175,"Sep 25, 13",-0.08194701170671596
2013-09-26,14.88,15.16,14.83,15.02,1264341,1264341,0.12,0.805,15.0548,"Sep 26, 13",-0.07455329636475667
2013-09-27,14.92,14.98,14.79,14.87,1053208,1053208,-0.15,-0.999,14.8861,"Sep 27, 13",-0.08379544054220586
2013-09-30,14.75,15,14.68,14.87,1623277,1623277,0,0,14.8683,"Sep 30, 13",-0.08379544054220586
2013-10-01,14.89,15.24,14.85,15.08,2812098,2812098,0.21,1.412,15.0671,"Oct 1, 13",-0.07085643869377697
2013-10-02,15.01,15.13,14.9176,15.13,1217593,1217593,0.05,0.332,15.0416,"Oct 2, 13",-0.06777572396796054
2013-10-03,15.09,15.15,14.64,14.77,3246661,3246661,-0.36,-2.379,14.8907,"Oct 3, 13",-0.08995686999383862
2013-10-04,14.81,15.12,14.76,15.03,1323156,1323156,0.26,1.76,15.0682,"Oct 4, 13",-0.07393715341959341
2013-10-07,14.9,15.18,14.8201,14.975,1420327,1420327,-0.055,-0.366,15.0449,"Oct 7, 13",-0.07732593961799142
2013-10-08,14.96,15.01,14.37,14.61,2530843,2530843,-0.365,-2.437,14.5829,"Oct 8, 13",-0.09981515711645107
2013-10-09,14.68,14.68,14.23,14.28,2245535,2245535,-0.33,-2.259,14.5043,"Oct 9, 13",-0.12014787430683925
2013-10-10,14.36,14.53,14.17,14.3,2712029,2712029,0.02,0.14,14.2947,"Oct 10, 13",-0.1189155884165126
2013-10-11,14.25,14.48,14.05,14.19,2930621,2930621,-0.11,-0.769,14.1332,"Oct 11, 13",-0.12569316081330875
2013-10-14,14.09,14.445,14.075,14.41,1722484,1722484,0.22,1.55,14.2755,"Oct 14, 13",-0.11213801601971658
2013-10-15,14.37,14.465,14.28,14.33,1330681,1330681,-0.08,-0.555,15.351,"Oct 15, 13",-0.11706715958102282
2013-10-16,14.4,14.63,14.4,14.62,1193544,1193544,0.29,2.024,14.5471,"Oct 16, 13",-0.0991990141712878
2013-10-17,14.52,14.68,14.4,14.649,1191368,1191368,0.029,0.198,14.5969,"Oct 17, 13",-0.0974121996303143
2013-10-18,14.67,14.95,14.61,14.95,879490,879490,0.301,2.055,14.8055,"Oct 18, 13",-0.07886629698089964
2013-10-21,14.98,15.08,14.84,15.04,1493204,1493204,0.09,0.602,14.9789,"Oct 21, 13",-0.07332101047443014
2013-10-22,15.06,15.17,14.65,14.7,2525947,2525947,-0.34,-2.261,14.8313,"Oct 22, 13",-0.09426987060998158
2013-10-23,14.62,14.72,14.3875,14.42,1878543,1878543,-0.28,-1.905,14.4488,"Oct 23, 13",-0.11152187307455333
2013-10-24,14.47,14.72,14.43,14.62,2266999,2266999,0.2,1.387,14.5045,"Oct 24, 13",-0.0991990141712878
2013-10-25,14.71,14.83,14.63,14.71,640302,640302,0.09,0.616,14.7187,"Oct 25, 13",-0.0936537276648182
2013-10-28,14.68,14.685,14.43,14.565,1141237,1141237,-0.145,-0.986,14.5359,"Oct 28, 13",-0.10258780036968582
2013-10-29,14.48,14.57,14.07,14.22,3526872,3526872,-0.345,-2.369,14.2146,"Oct 29, 13",-0.12384473197781884
2013-10-30,14.22,14.3,13.905,13.95,1854950,1854950,-0.27,-1.899,14.0204,"Oct 30, 13",-0.14048059149722741
2013-10-31,13.91,13.96,13.72,13.83,1263260,1263260,-0.12,-0.86,13.8397,"Oct 31, 13",-0.1478743068391867
2013-11-01,13.87,14.2,13.8,14.18,2136218,2136218,0.35,2.531,14.0453,"Nov 1, 13",-0.12630930375847202
2013-11-04,14.22,14.6,14.22,14.53,1391392,1391392,0.35,2.468,14.5235,"Nov 4, 13",-0.10474430067775731
2013-11-05,14.52,14.56,14.35,14.44,819241,819241,-0.09,-0.619,14.4707,"Nov 5, 13",-0.1102895871842268
2013-11-06,14.48,14.58,14.28,14.44,1399578,1399578,0,0,14.3928,"Nov 6, 13",-0.1102895871842268
2013-11-07,14.48,14.49,14.145,14.18,2308314,2308314,-0.26,-1.801,14.2401,"Nov 7, 13",-0.12630930375847202
2013-11-08,15.18,15.43,13.98,14.49,5438984,5438984,0.31,2.186,14.5692,"Nov 8, 13",-0.10720887245841036
2013-11-11,14.47,14.56,14.24,14.32,1200983,1200983,-0.17,-1.173,14.3866,"Nov 11, 13",-0.11768330252618608
2013-11-12,14.24,14.43,14.1,14.37,2395281,2395281,0.05,0.349,14.2883,"Nov 12, 13",-0.11460258780036976
2013-11-13,14.33,14.54,14.22,14.53,1261990,1261990,0.16,1.113,14.4032,"Nov 13, 13",-0.10474430067775731
