date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-06-15,22.145,22.2161,22.0384,22.065,140280,140280,22.065,0,22.1146,"Jun 15, 16",0
2016-06-16,21.6296,22.1717,21.6296,22.145,188966,188966,0.079978,0.362,22.0541,"Jun 16, 16",0.003625651484250999
2016-06-17,22.1717,22.225,22.1273,22.1628,95348,95348,0.017772,0.08,22.167,"Jun 17, 16",0.004432358939496915
2016-06-20,22.2161,22.2161,22.1717,22.2161,103583,103583,0.053318,0.241,22.1981,"Jun 20, 16",0.0068479492408792
2016-06-21,22.1095,22.225,22.1095,22.2161,123475,123475,0,0,22.2105,"Jun 21, 16",0.0068479492408792
2016-06-22,22.2161,22.5805,22.2161,22.3494,190222,190222,0.133297,0.6,22.3005,"Jun 22, 16",0.012889191026512484
2016-06-23,22.305,22.4027,22.2872,22.3316,130499,130499,-0.017772,-0.08,22.3651,"Jun 23, 16",0.01208248357126673
2016-06-24,22.305,22.4383,22.1406,22.2606,101676,101676,-0.071092,-0.318,22.2648,"Jun 24, 16",0.00886471787899383
2016-06-27,22.2161,22.3139,21.7718,22.145,92909,92909,-0.115523,-0.519,22.0701,"Jun 27, 16",0.003625651484250999
2016-06-28,22.4383,22.4383,22.1273,22.225,65213,65213,0.079978,0.361,22.249,"Jun 28, 16",0.007251302968502159
2016-06-29,22.305,22.536,22.2429,22.3672,88030,88030,0.142182,0.64,22.3648,"Jun 29, 16",0.0136958984817584
2016-06-30,22.4738,23.2381,22.225,22.6604,144705,144705,0.293253,1.311,22.6034,"Jun 30, 16",0.02698391117153854
2016-07-01,22.6604,22.9804,22.2428,22.3672,83490,83490,-0.293253,-1.294,22.6643,"Jul 1, 16",0.0136958984817584
2016-07-05,22.5538,22.5538,22.2161,22.2339,59337,59337,-0.133296,-0.596,22.2893,"Jul 5, 16",0.0076546566961249556
2016-07-06,22.3583,22.4443,22.2517,22.2606,46159,46159,0.026659,0.12,22.3367,"Jul 6, 16",0.00886471787899383
2016-07-07,22.3494,22.5538,22.2976,22.536,74222,74222,0.27548,1.238,22.4747,"Jul 7, 16",0.021346023113528213
2016-07-08,22.5271,22.6604,22.5005,22.5982,95409,95409,0.062205,0.276,22.558,"Jul 8, 16",0.024164967142533297
2016-07-11,22.616,22.7936,22.4027,22.4383,108571,108571,-0.159956,-0.708,22.592,"Jul 11, 16",0.016918196238386602
2016-07-12,22.4472,22.5183,22.2694,22.2961,79930,79930,-0.142183,-0.634,22.4014,"Jul 12, 16",0.010473600725130199
2016-07-13,22.3672,22.496,22.2961,22.4383,111180,111180,0.142183,0.638,22.3826,"Jul 13, 16",0.016918196238386602
