date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-06-14,20.2186,20.2186,19.6827,19.8857,14375,14375,19.8857,0,19.9429,"Jun 14, 16",0
2016-06-15,19.8938,19.8938,19.8532,19.8532,650,650,-0.032477,-0.163,19.86,"Jun 15, 16",-0.0016343402545547234
2016-06-16,19.8938,19.8938,19.7782,19.8126,2200,2200,-0.040683,-0.205,19.8644,"Jun 16, 16",-0.0036760083879370685
2016-06-17,19.8938,19.8938,19.8126,19.8126,2800,2800,0.000081,0,19.8846,"Jun 17, 16",-0.0036760083879370685
2016-06-20,19.8126,19.9344,19.8126,19.9344,1600,1600,0.121798,0.615,19.8279,"Jun 20, 16",0.0024489960122097885
2016-06-21,19.8938,20.0156,19.8126,19.837,4400,4400,-0.097438,-0.489,19.8907,"Jun 21, 16",-0.0024489960122097885
2016-06-22,20.2917,20.2917,19.9101,20.0156,3910,3910,0.178639,0.901,19.9969,"Jun 22, 16",0.0065323322789743
2016-06-23,20.2917,20.2917,19.9263,19.9263,1890,1890,-0.089318,-0.446,20.0274,"Jun 23, 16",0.002041668133382345
2016-06-24,20.2916,20.2916,18.0425,20.0156,2600,2600,0.089318,0.448,19.7633,"Jun 24, 16",0.0065323322789743
2016-06-27,20.0156,20.0156,19.6502,19.8126,2238,2238,-0.202999,-1.014,19.7329,"Jun 27, 16",-0.0036760083879370685
2016-06-28,20.2511,20.2674,19.9536,19.9536,570,570,0.140961,0.711,20.0608,"Jun 28, 16",0.0034145139472083774
2016-06-29,19.8938,19.8938,19.8938,19.8938,400,400,-0.05976,-0.299,19.8938,"Jun 29, 16",0.00040732787882744314
2016-06-30,19.8938,19.8938,19.8938,19.8938,100,100,0,0,19.8938,"Jun 30, 16",0.00040732787882744314
2016-07-01,19.8175,19.8175,19.7639,19.7639,1400,1400,-0.12992,-0.653,19.778,"Jul 1, 16",-0.006125004400146857
2016-07-05,19.7639,19.8938,18.0344,19.7314,12570,12570,-0.032478,-0.164,19.2842,"Jul 5, 16",-0.007759344654701581
2016-07-06,19.569,19.7314,19.5528,19.7314,3858,3858,0,0,19.5689,"Jul 6, 16",-0.007759344654701581
2016-07-07,19.7314,19.7314,19.4472,19.569,3280,3280,-0.1624,-0.823,19.5241,"Jul 7, 16",-0.015926017188230782
2016-07-08,19.6096,19.6096,19.6096,19.6096,100,100,0.0406,0.207,19.6096,"Jul 8, 16",-0.013884349054848437
2016-07-11,19.5124,19.5124,19.293,19.4554,3000,3000,-0.15428,-0.787,19.3703,"Jul 11, 16",-0.021638664970305244
2016-07-12,19.6015,19.6015,19.0818,19.4878,2112,2112,0.03248,0.167,19.2427,"Jul 12, 16",-0.020009353454995295
2016-07-13,19.7897,19.7897,18.916,18.916,2356,2356,-0.571804,-2.934,19.1016,"Jul 13, 16",-0.04876368445666985
2016-07-14,18.9325,20.3255,18.916,20.1112,11350,11350,1.1951,6.318,19.4758,"Jul 14, 16",0.011339806996987799
2016-07-15,19.9463,19.986,19.7732,19.7732,960,960,-0.337933,-1.68,19.9018,"Jul 15, 16",-0.005657331650381969
2016-07-18,19.6991,19.7815,19.2869,19.7815,2200,2200,0.008241,0.042,19.6805,"Jul 18, 16",-0.005239946293064802
2016-07-19,19.4848,19.7732,19.2045,19.5342,2506,2506,-0.247268,-1.25,19.5038,"Jul 19, 16",-0.017676018445415623
2016-07-20,19.4518,19.4518,19.2128,19.2128,3649,3649,-0.321449,-1.646,19.3693,"Jul 20, 16",-0.03383838637815106
2016-07-21,19.2045,19.3693,18.9655,19.3611,3574,3574,0.14836,0.772,19.1999,"Jul 21, 16",-0.026380766078136525
2016-07-22,19.4106,19.4106,19.0562,19.4023,1390,1390,0.041212,0.213,19.3175,"Jul 22, 16",-0.024308925509285546
2016-07-25,19.4518,19.8227,18.9573,19.1633,6673,6673,-0.239026,-1.232,19.1335,"Jul 25, 16",-0.036327612304319204
2016-07-26,19.0479,19.1343,18.9655,18.982,3549,3549,-0.18133,-0.946,19.0397,"Jul 26, 16",-0.0454447165551125
2016-07-27,19.0068,19.0068,18.9573,18.9573,298,298,-0.024645,-0.13,18.9821,"Jul 27, 16",-0.0466868151485741
2016-07-28,19.1633,19.1633,19.122,19.1221,1638,1638,0.164763,0.869,19.1322,"Jul 28, 16",-0.03839945287317018
2016-07-29,19.1633,19.1633,18.9737,19.1204,2015,2015,-0.001649,-0.009,19.0855,"Jul 29, 16",-0.03848494144033149
2016-08-01,19.1633,20.0287,19.1633,19.6084,8381,8381,0.487944,2.552,19.2886,"Aug 1, 16",-0.013944693925785883
2016-08-02,19.2622,19.732,19.1221,19.732,7740,7740,0.123635,0.631,19.2324,"Aug 2, 16",-0.007729172219232947
2016-08-03,19.8969,19.8969,19.724,19.724,225,225,-0.007996,-0.041,19.8009,"Aug 3, 16",-0.008131471358815617
2016-08-04,19.6991,19.9711,19.6991,19.7568,2635,2635,0.032722,0.166,19.7141,"Aug 4, 16",-0.006482044886526578
2016-08-08,19.9875,19.9875,19.7403,19.8639,781,781,0.107151,0.542,19.8468,"Aug 8, 16",-0.0010962651553628453
2016-08-09,19.6943,19.6943,19.6943,19.6943,585,585,-0.169627,-0.854,19.6943,"Aug 9, 16",-0.00962500691451654
2016-08-10,19.9628,19.9628,19.6578,19.6991,3050,3050,0.004781,0.024,19.7134,"Aug 10, 16",-0.00938362743076676
2016-08-11,19.7916,19.7916,19.7403,19.7403,575,575,0.041211,0.209,19.7817,"Aug 11, 16",-0.007311786861915781
2016-08-12,19.6661,19.6661,19.5342,19.5342,867,867,-0.206057,-1.044,19.6223,"Aug 12, 16",-0.017676018445415623
2016-08-15,19.3695,19.3695,19.3694,19.3694,600,600,-0.164846,-0.844,19.3694,"Aug 15, 16",-0.025963380720819537
2016-08-17,19.8095,19.8095,19.7369,19.7369,1339,1339,0.367523,1.897,19.7927,"Aug 17, 16",-0.0074827639962385725
2016-08-18,19.7568,19.9628,19.7155,19.8639,1301,1301,0.127015,0.644,19.7733,"Aug 18, 16",-0.0010962651553628453
2016-08-19,19.7815,19.7815,19.6991,19.7732,1900,1900,-0.090665,-0.456,19.7372,"Aug 19, 16",-0.005657331650381969
2016-08-22,19.8062,19.8062,19.765,19.765,2842,2842,-0.008244,-0.042,19.7858,"Aug 22, 16",-0.0060696882684541835
2016-08-23,19.6996,19.7419,19.6996,19.7419,794,794,-0.023078,-0.117,19.7214,"Aug 23, 16",-0.007231327033999246
2016-08-24,19.7403,19.7403,19.7403,19.7403,100,100,-0.001648,-0.008,19.7403,"Aug 24, 16",-0.007311786861915781
2016-08-25,19.7814,19.7814,19.7814,19.7814,900,900,0.041129,0.208,19.7814,"Aug 25, 16",-0.005244975032309574
2016-08-29,19.6044,19.8062,19.6044,19.8062,230,230,0.02481,0.125,19.6922,"Aug 29, 16",-0.003997847699603205
2016-08-30,19.7746,19.7746,19.7746,19.7746,100,100,-0.031569,-0.159,19.7746,"Aug 30, 16",-0.005586929300954979
2016-08-31,19.7732,19.7732,19.6991,19.6991,850,850,-0.075581,-0.382,19.7209,"Aug 31, 16",-0.00938362743076676
2016-09-01,19.2013,19.7568,19.2013,19.7568,550,550,0.057695,0.293,19.3567,"Sep 1, 16",-0.006482044886526578
2016-09-02,19.6743,19.6991,19.5233,19.6991,761,761,-0.057695,-0.292,19.6453,"Sep 2, 16",-0.00938362743076676
2016-09-06,19.6166,19.6166,19.5753,19.5753,430,430,-0.123717,-0.628,19.5945,"Sep 6, 16",-0.015609206615809418
2016-09-07,19.4389,19.4389,19.4389,19.4389,275,275,-0.13641,-0.697,19.4389,"Sep 7, 16",-0.022468406945694627
2016-09-08,19.6496,19.6496,19.2965,19.2965,575,575,-0.142426,-0.733,19.526,"Sep 8, 16",-0.029629331630266882
2016-09-09,19.6908,19.6908,19.6908,19.6908,217,217,0.39431,2.043,19.6908,"Sep 9, 16",-0.009801012788083926
2016-09-13,,,,19.6908,101,101,0,0,,"Sep 13, 16",-0.009801012788083926
2016-09-14,19.6991,19.6991,19.5631,19.5631,520,520,-0.127672,-0.648,19.5915,"Sep 14, 16",-0.01622271280367306
2016-09-15,19.5507,19.5507,19.5507,19.5507,650,650,-0.012446,-0.064,19.5507,"Sep 15, 16",-0.016846276470026244
2016-09-16,19.6208,19.6208,19.6166,19.6166,490,490,0.065937,0.337,19.6189,"Sep 16, 16",-0.013532337307713667
2016-09-19,19.1386,19.4353,18.9737,19.4353,1125,1125,-0.181329,-0.924,19.1071,"Sep 19, 16",-0.022649441558506785
2016-09-20,19.2457,19.2457,19.2457,19.2457,800,800,-0.189655,-0.976,19.2457,"Sep 20, 16",-0.03218393116661725
2016-09-21,19.0809,19.0809,18.9155,19.0314,1800,1800,-0.214218,-1.113,19.0261,"Sep 21, 16",-0.04296051936818913
2016-09-22,18.9737,18.9737,18.9737,18.9737,1514,1514,-0.057697,-0.303,18.9737,"Sep 22, 16",-0.04586210191242949
2016-09-23,18.9573,18.9573,18.9573,18.9573,100,100,-0.016482,-0.087,18.9573,"Sep 23, 16",-0.0466868151485741
2016-09-26,18.9902,18.9902,18.9573,18.9573,300,300,0,0,18.9792,"Sep 26, 16",-0.0466868151485741
2016-09-27,19.6743,19.6991,19.5342,19.5754,835,835,0.61817,3.261,19.6208,"Sep 27, 16",-0.015604177876564646
2016-09-28,19.4106,19.4106,19.3694,19.3694,2153,2153,-0.206057,-1.053,19.3716,"Sep 28, 16",-0.025963380720819537
2016-09-29,19.3694,19.5754,19.3694,19.5754,920,920,0.206057,1.064,19.5462,"Sep 29, 16",-0.015604177876564646
2016-09-30,18.9985,19.4394,18.9573,19.4394,980,980,-0.135997,-0.695,19.032,"Sep 30, 16",-0.022443263249470765
2016-10-03,19.4435,19.4931,19.4435,19.4931,1298,1298,0.053657,0.276,19.4891,"Oct 3, 16",-0.01974283027502183
2016-10-04,19.3694,19.4837,18.982,19.4106,3845,3845,-0.082506,-0.423,19.357,"Oct 4, 16",-0.02389154015196856
2016-10-05,19.6232,20.0205,19.5655,19.7815,9115,9115,0.370903,1.911,19.7599,"Oct 5, 16",-0.005239946293064802
2016-10-07,19.7032,19.7032,19.7032,19.7032,136,136,-0.078302,-0.396,19.7032,"Oct 7, 16",-0.00917744912173074
2016-10-10,19.934,19.9381,19.8145,19.8145,828,828,0.111272,0.565,19.8666,"Oct 10, 16",-0.0035804623422862176
2016-10-11,19.6991,19.6991,19.6991,19.6991,855,855,-0.115392,-0.582,19.6991,"Oct 11, 16",-0.00938362743076676
2016-10-13,19.6339,20.0473,19.6339,20.0051,981,981,0.305992,1.553,19.8954,"Oct 13, 16",0.006004314658271967
2016-10-14,20.1739,20.1739,20.1739,20.1739,517,517,0.168819,0.844,20.1739,"Oct 14, 16",0.014492826503467305
2016-10-17,20.1738,20.1739,20.1738,20.1739,721,721,0,0,20.1738,"Oct 17, 16",0.014492826503467305
2016-10-18,20.1739,20.1739,19.8362,19.9206,4769,4769,-0.253228,-1.255,20.0937,"Oct 18, 16",0.001755029996429614
2016-10-19,20.0051,20.0051,19.8362,19.8362,1552,1552,-0.084409,-0.424,19.9012,"Oct 19, 16",-0.002489225926167966
2016-10-20,20.1739,20.1739,20.1739,20.1739,101,101,0.337637,1.702,20.1739,"Oct 20, 16",0.014492826503467305
2016-10-24,20.1739,20.1739,20.1739,20.1739,2050,2050,0,0,20.1739,"Oct 24, 16",0.014492826503467305
2016-10-25,20.1317,20.1317,20.1317,20.1317,357,357,-0.042204,-0.209,20.1317,"Oct 25, 16",0.012370698542168426
2016-10-26,20.0895,20.0895,19.1481,20.0895,1055,1055,-0.042206,-0.21,19.6226,"Oct 26, 16",0.010248570580869726
2016-10-27,19.8393,19.9291,19.8362,19.9291,1337,1337,-0.160377,-0.798,19.894,"Oct 27, 16",0.002182472832236146
2016-10-28,19.9628,19.9628,19.9628,19.9628,650,650,0.033764,0.169,19.9628,"Oct 28, 16",0.0038771579577284933
2016-11-01,19.8165,19.8278,19.8165,19.8278,418,418,-0.135056,-0.677,19.8221,"Nov 1, 16",-0.0029116400227299044
2016-11-02,19.7706,19.7706,19.7518,19.7518,1562,1562,-0.075968,-0.383,19.7668,"Nov 2, 16",-0.006733481848765725
2016-11-03,20.2498,20.2498,20.2498,20.2498,150,150,0.498016,2.521,20.2498,"Nov 3, 16",0.01830963959025835
2016-11-07,20.2213,20.2583,20.2213,20.2583,735,735,0.008441,0.042,20.239,"Nov 7, 16",0.018737082426064887
2016-11-08,,,,20.2583,78,78,0,0,,"Nov 8, 16",0.018737082426064887
2016-11-09,19.1859,20.1009,19.1859,20.1009,600,600,-0.157425,-0.777,19.3384,"Nov 9, 16",0.010821846854775009
2016-11-10,20.0557,20.0557,19.4236,19.4236,780,780,-0.677216,-3.369,19.7976,"Nov 10, 16",-0.023237804050146565
2016-11-11,19.6674,19.6674,19.6674,19.6674,122,122,0.243775,1.255,19.6674,"Nov 11, 16",-0.010977737771363304
2016-11-14,20.1739,20.1739,19.2131,19.2131,840,840,-0.454294,-2.31,19.622,"Nov 14, 16",-0.03382330016041674
2016-11-15,19.261,19.261,19.261,19.261,236,236,0.047862,0.249,19.261,"Nov 15, 16",-0.03141453406216531
2016-11-16,19.7985,20.1697,19.2285,19.2285,1670,1670,-0.032499,-0.169,19.4546,"Nov 16, 16",-0.03304887431672003
2016-11-18,19.8353,19.8353,19.8353,19.8353,140,140,0.60682,3.156,19.8353,"Nov 18, 16",-0.0025344845793710945
2016-11-21,19.8362,19.8447,19.4756,19.8447,2596,2596,0.00937,0.047,19.7017,"Nov 21, 16",-0.0020617830903614342
2016-11-22,20.1654,20.1654,19.9206,20.1654,850,850,0.320757,1.616,20.0958,"Nov 22, 16",0.014065383667660773
2016-11-23,19.4226,19.4226,19.4142,19.4142,562,562,-0.751245,-3.725,19.4163,"Nov 23, 16",-0.023710505539156223
2016-11-28,19.4226,19.4226,18.9921,19.0196,2103,2103,-0.394614,-2.033,19.2715,"Nov 28, 16",-0.04355391059907368
2016-11-29,,,,19.0196,75,75,0,0,,"Nov 29, 16",-0.04355391059907368
2016-12-01,,,,19.0196,132,132,0,0,,"Dec 1, 16",-0.04355391059907368
2016-12-05,20.1317,20.1739,20.1317,20.1739,465,465,1.1543,6.069,20.1517,"Dec 5, 16",0.014492826503467305
2016-12-06,,,,20.1739,117,117,0,0,,"Dec 6, 16",0.014492826503467305
2016-12-08,20.1739,20.5031,19.0369,20.5031,2167,2167,0.329197,1.632,20.1574,"Dec 8, 16",0.031047436097296044
2016-12-12,20.2287,20.2582,20.2287,20.2582,200,200,-0.244871,-1.194,20.2435,"Dec 12, 16",0.018732053686820113
2016-12-13,20.2498,20.2498,20.2498,20.2498,600,600,-0.008357,-0.041,20.2498,"Dec 13, 16",0.01830963959025835
2016-12-14,20.2161,20.2161,19.3973,19.4733,1936,1936,-0.776567,-3.835,19.6487,"Dec 14, 16",-0.020738520645489054
2016-12-15,19.4986,19.4986,19.4564,19.4564,618,618,-0.016883,-0.087,19.47,"Dec 15, 16",-0.021588377577857525
2016-12-16,19.6802,19.6802,19.507,19.507,300,300,0.050645,0.26,19.6225,"Dec 16, 16",-0.019043835519996704
2016-12-19,19.4986,19.8056,19.4986,19.8056,250,250,0.298557,1.531,19.6828,"Dec 19, 16",-0.004028020135072017
2016-12-20,19.583,19.641,19.0934,19.1675,3394,3394,-0.638134,-3.222,19.3834,"Dec 20, 16",-0.036116405256038236
