date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,50.7434,51.2557,50.5136,50.686,123120,123120,-0.028727,-0.057,50.8457,"Aug 5, 13",0
2013-08-06,50.6764,50.9163,50.4076,50.686,198067,198067,-0.000004,0,50.6545,"Aug 6, 13",0
2013-08-07,50.6764,50.9029,49.678,50.206,181241,181241,-0.47998,-0.947,50.2018,"Aug 7, 13",-0.009470070630943394
2013-08-08,50.4364,51.0219,49.774,50.8971,168986,168986,0.691172,1.377,50.5345,"Aug 8, 13",0.0041648581462337105
2013-08-09,50.7244,51.5691,50.686,50.8203,141024,141024,-0.076798,-0.151,51.1056,"Aug 9, 13",0.002649646845282784
2013-08-12,50.8299,51.7515,50.5132,51.4923,91134,91134,0.671975,1.322,51.4676,"Aug 12, 13",0.015907745728603564
2013-08-13,51.4923,52.4235,50.7148,51.5787,75309,75309,0.086396,0.168,51.451,"Aug 13, 13",0.017612358442173338
2013-08-14,51.6267,52.0587,51.5787,51.6363,147566,147566,0.057597,0.112,51.7289,"Aug 14, 13",0.01874876691788657
2013-08-15,51.2043,51.3099,49.8028,49.8796,90661,90661,-1.7567,-3.402,50.374,"Aug 15, 13",-0.015909718659984935
2013-08-16,49.5916,50.3404,49.5916,49.6972,64536,64536,-0.182394,-0.366,49.8086,"Aug 16, 13",-0.019508345499743472
2013-08-19,49.8508,50.4652,49.3324,49.3804,76951,76951,-0.316784,-0.637,49.7826,"Aug 19, 13",-0.025758592116166167
2013-08-20,49.582,50.3212,49.2268,50.2444,303554,303554,0.863962,1.75,49.8497,"Aug 20, 13",-0.008712464980468002
2013-08-21,49.8604,50.6668,49.558,50.0428,113894,113894,-0.201591,-0.401,50.089,"Aug 21, 13",-0.012689894645464234
2013-08-22,50.1676,50.925,50.1445,50.8491,67648,67648,0.806369,1.611,50.6849,"Aug 22, 13",0.003217851083139329
2013-08-23,51.0027,51.6267,50.9067,51.2523,102934,102934,0.403183,0.793,51.2671,"Aug 23, 13",0.011172710413131797
2013-08-26,51.3387,51.7515,50.7436,50.8299,85723,85723,-0.422384,-0.824,51.032,"Aug 26, 13",0.002839048257901632
2013-08-27,50.0812,51.1947,49.582,49.918,124784,124784,-0.91196,-1.794,50.0008,"Aug 27, 13",-0.015152113009509542
2013-08-28,49.9948,50.6092,49.5628,49.678,96089,96089,-0.239991,-0.481,50.0462,"Aug 28, 13",-0.01988714832498131
2013-08-29,49.678,50.0716,49.5724,49.8508,83066,83066,0.17279,0.348,49.8272,"Aug 29, 13",-0.01647792289784162
2013-08-30,49.726,49.8412,48.6124,48.7276,101634,101634,-1.1232,-2.253,49.0168,"Aug 30, 13",-0.03863788817424925
2013-09-03,49.438,50.7915,49.1788,50.5132,99866,99866,1.7855,3.664,49.9466,"Sep 3, 13",-0.003409225427139689
2013-09-04,50.6572,52.0107,50.0332,51.6363,178110,178110,1.1232,2.223,51.5717,"Sep 4, 13",0.01874876691788657
2013-09-05,51.5595,52.289,51.3963,51.6459,147350,147350,0.009599,0.019,51.8525,"Sep 5, 13",0.018938168330505416
2013-09-06,51.9627,52.3082,50.7148,51.4251,95763,95763,-0.220794,-0.428,51.6113,"Sep 6, 13",0.014581935840271485
2013-09-09,51.6267,52.0395,51.4251,51.8667,68194,68194,0.441584,0.859,51.8634,"Sep 9, 13",0.023294400820739487
2013-09-10,52.0587,52.4907,51.6555,52.4235,87065,87065,0.55678,1.073,52.3289,"Sep 10, 13",0.03427968275263381
2013-09-11,52.1739,52.4043,51.9723,52.2891,90512,90512,-0.134394,-0.256,52.2587,"Sep 11, 13",0.03162806297596965
2013-09-12,52.4331,52.4331,52.0107,52.2219,109172,109172,-0.067199,-0.129,52.2397,"Sep 12, 13",0.030302253087637572
2013-09-13,52.5003,53.0183,52.5003,52.6635,98793,98793,0.441581,0.846,52.7413,"Sep 13, 13",0.039014718068105574
2013-09-16,53.441,54.1898,52.8939,53.5466,85660,85660,0.883165,1.677,53.6535,"Sep 16, 13",0.05643767509766007
2013-09-17,53.5274,54.5258,53.3854,54.5162,89750,89750,0.969561,1.811,53.9623,"Sep 17, 13",0.07556721777216584
2013-09-18,54.5354,54.8032,53.4986,54.3434,89974,89974,-0.172792,-0.317,54.1326,"Sep 18, 13",0.07215799234502629
2013-09-19,54.4586,54.6122,53.8154,54.6026,87239,87239,0.259188,0.477,54.2806,"Sep 19, 13",0.07727183048573576
2013-09-20,54.641,56.7145,54.497,56.6089,312434,312434,2.0063,3.674,55.9316,"Sep 20, 13",0.11685475279169788
2013-09-23,56.6761,57.9721,56.1001,57.6649,151583,151583,1.056,1.865,57.4464,"Sep 23, 13",0.13768890817977356
2013-09-24,57.6649,59.6712,57.5881,59.0088,151008,151008,1.3439,2.331,59.0638,"Sep 24, 13",0.16420313301503375
2013-09-25,59.2104,59.7662,57.5113,57.5881,198280,198280,-1.4207,-2.408,58.5792,"Sep 25, 13",0.1361736968788225
2013-09-26,57.8857,58.5672,57.1945,58.1065,116206,116206,0.518379,0.9,58.1353,"Sep 26, 13",0.14640137316024143
2013-09-27,57.6073,58.6143,57.2713,57.6457,87653,87653,-0.460782,-0.793,57.6534,"Sep 27, 13",0.13731010535453572
2013-09-30,56.9353,57.7513,56.6477,57.5535,142032,142032,-0.092158,-0.16,57.4652,"Sep 30, 13",0.13549106262084204
2013-10-01,57.5977,59.2776,57.5017,59.2488,138678,138678,1.6953,2.946,58.6102,"Oct 1, 13",0.1689381683305055
2013-10-02,58.9704,59.1624,58.5672,58.884,201459,201459,-0.364784,-0.616,58.8738,"Oct 2, 13",0.16174091465098844
2013-10-03,58.9992,59.2296,58.4136,58.9224,166644,166644,0.038397,0.065,58.8063,"Oct 3, 13",0.16249852030146397
2013-10-04,58.7688,60.5928,58.5576,60.4776,301106,301106,1.5551,2.639,60.3682,"Oct 4, 13",0.19318154914572075
2013-10-07,60.0744,60.7751,59.7032,60.3048,126565,126565,-0.172792,-0.286,60.3306,"Oct 7, 13",0.18977232371858108
2013-10-08,60.1704,60.3528,59.172,59.5368,134083,134083,-0.767969,-1.273,59.6408,"Oct 8, 13",0.17462021070907152
2013-10-09,59.796,60.6311,59.6328,60.324,189323,189323,0.787168,1.322,60.207,"Oct 9, 13",0.19015112654381877
2013-10-10,61.0919,62.6087,60.6695,62.2919,137789,137789,1.9679,3.262,62.2277,"Oct 10, 13",0.2289764431993055
2013-10-11,61.7639,63.1654,61.6775,62.8487,178406,178406,0.556776,0.894,62.8633,"Oct 11, 13",0.23996172513119995
2013-10-14,62.6087,63.9181,62.4455,63.3478,158528,158528,0.499181,0.794,63.9234,"Oct 14, 13",0.24980862565599968
2013-10-15,63.2902,63.6358,62.7623,63.1079,177544,177544,-0.23999,-0.379,63.1234,"Oct 15, 13",0.2450755632719094
2013-10-16,63.6742,64.4012,62.1776,62.4167,145667,145667,-0.691174,-1.095,62.8177,"Oct 16, 13",0.2314386615633508
2013-10-17,62.3015,62.7047,61.6679,62.5895,210910,210910,0.172794,0.277,62.4547,"Oct 17, 13",0.2348478869904905
2013-10-18,63.8182,63.943,63.0503,63.127,170344,170344,0.537578,0.859,63.2788,"Oct 18, 13",0.24545239316576575
2013-10-21,63.4054,64.0678,62.6855,63.0311,159504,159504,-0.095995,-0.152,63.2024,"Oct 21, 13",0.2435603519709585
2013-10-22,63.127,63.3574,62.4839,62.6375,146853,146853,-0.393585,-0.624,62.8066,"Oct 22, 13",0.23579489405358486
2013-10-23,63.1174,65.1526,62.0231,62.4263,257225,257225,-0.21119,-0.337,63.0661,"Oct 23, 13",0.23162806297596966
2013-10-24,62.9063,63.8836,61.9943,63.0119,312483,312483,0.585575,0.938,63.2348,"Oct 24, 13",0.24318154914572065
2013-10-25,63.2998,63.5206,62.6951,62.9639,110506,110506,-0.047999,-0.076,63.0261,"Oct 25, 13",0.2422345420826264
2013-10-28,62.9639,63.5878,62.7047,62.9063,120457,120457,-0.057596,-0.091,63.0532,"Oct 28, 13",0.24109813360691318
2013-10-29,63.2038,63.3574,62.8007,63.2614,287081,287081,0.355187,0.565,63.812,"Oct 29, 13",0.2481040129424299
2013-10-30,62.3399,63.7414,62.3399,62.8391,152074,152074,-0.422386,-0.668,63.1088,"Oct 30, 13",0.23977232371858112
2013-10-31,62.5991,63.3814,61.5886,62.6183,187828,187828,-0.220789,-0.351,62.573,"Oct 31, 13",0.23541609122834703
2013-11-01,62.3687,63.4246,61.9559,62.4455,190383,190383,-0.172791,-0.276,62.7592,"Nov 1, 13",0.2320068658012075
2013-11-04,59.5368,63.2614,59.5368,63.0215,165710,165710,0.575972,0.922,62.8365,"Nov 4, 13",0.24337095055833965
2013-11-05,62.8868,63.9641,62.3655,63.3485,240034,240034,0.327024,0.519,63.5462,"Nov 5, 13",0.24982243617566985
2013-11-06,63.8006,64.3969,63.2042,63.4062,111906,111906,0.057711,0.091,63.5019,"Nov 6, 13",0.25096081758276445
2013-11-07,63.7525,63.9833,62.2616,62.9782,158625,158625,-0.428029,-0.675,62.8684,"Nov 7, 13",0.24251667127017323
2013-11-08,62.9637,63.7909,62.7329,63.4543,253117,253117,0.476123,0.756,63.4672,"Nov 8, 13",0.25190979757724036
2013-11-11,63.5312,64.319,63.26,63.7621,257302,257302,0.307798,0.485,63.9883,"Nov 11, 13",0.2579824803693327
2013-11-12,63.4928,64.1468,63.3196,63.7813,165749,165749,0.019234,0.03,63.6615,"Nov 12, 13",0.2583612831945705
2013-11-13,63.5697,65.1159,63.3485,64.8298,181676,181676,1.0484,1.644,64.4245,"Nov 13, 13",0.27904746872903774
2013-11-14,64.9836,65.907,64.9452,65.0606,139796,139796,0.230848,0.356,65.2979,"Nov 14, 13",0.28360099435741615
2013-11-15,64.9644,65.657,64.9259,65.5608,109441,109441,0.50017,0.769,65.2631,"Nov 15, 13",0.29346959712741194
2013-11-18,66.0128,67.0132,65.8782,66.3495,221975,221975,0.788728,1.203,66.4959,"Nov 18, 13",0.309030106932881
2013-11-19,66.3014,66.9507,64.8682,65.0991,161537,161537,-1.2504,-1.885,65.6896,"Nov 19, 13",0.2843605729392733
2013-11-20,65.2145,66.186,64.8395,65.5992,132044,132044,0.500172,0.768,65.6345,"Nov 20, 13",0.29422720277788733
2013-11-21,66.0994,67.927,65.5992,67.9077,229353,229353,2.3085,3.519,67.2513,"Nov 21, 13",0.3397723237185812
