date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,95.9597,95.9597,94.7072,95.751,309767,309767,-0.275175,-0.287,95.5388,"Aug 5, 13",0
2013-08-06,95.0773,95.0773,93.8912,94.2612,214170,214170,-1.4897,-1.556,94.2572,"Aug 6, 13",-0.015559106432308826
2013-08-07,93.9386,94.5363,93.2175,93.7868,348549,348549,-0.474436,-0.503,93.7888,"Aug 7, 13",-0.020513623878601846
2013-08-08,94.6066,95.1627,93.0467,93.6919,508726,508726,-0.094888,-0.101,94.0462,"Aug 8, 13",-0.021504736242963528
2013-08-09,93.6255,94.6692,92.4716,94.1094,279732,279732,0.417504,0.446,93.9169,"Aug 9, 13",-0.01714446846508142
2013-08-12,93.6824,95.4094,93.189,93.8437,314813,314813,-0.265685,-0.282,94.3883,"Aug 12, 13",-0.019919374210191083
2013-08-13,93.8437,93.9955,92.9518,93.3124,285003,285003,-0.53137,-0.566,93.5013,"Aug 13, 13",-0.02546814132489486
2013-08-14,93.4642,93.6445,92.6609,93.0182,227882,227882,-0.294151,-0.315,93.2072,"Aug 14, 13",-0.028540694091967828
2013-08-15,91.8606,91.9175,90.4373,90.7599,409955,409955,-2.2583,-2.428,91.1086,"Aug 15, 13",-0.052125826362126794
2013-08-16,90.8453,91.6044,90.4278,91.3387,236795,236795,0.578812,0.638,91.2132,"Aug 16, 13",-0.04608098087748433
2013-08-19,91.1299,92.1908,90.7314,91.7277,284291,284291,0.389042,0.426,91.6701,"Aug 19, 13",-0.042018360121565373
2013-08-20,91.5759,94.6598,91.2723,93.7014,338757,338757,1.9737,2.152,93.4983,"Aug 20, 13",-0.02140552056897576
2013-08-21,93.3788,93.8247,91.3102,92.3635,401687,401687,-1.3379,-1.428,92.301,"Aug 21, 13",-0.035378220592996446
2013-08-22,92.7525,94.0145,92.5627,93.4357,135528,135528,1.0722,1.161,93.3832,"Aug 22, 13",-0.02418042631408557
2013-08-23,93.7963,94.6787,91.481,92.3065,153812,153812,-1.1292,-1.208,92.0629,"Aug 23, 13",-0.0359735146369229
2013-08-26,92.663,92.6706,91.6816,92.2152,232676,232676,-0.091378,-0.099,92.3139,"Aug 26, 13",-0.0369270294827209
2013-08-27,91.0718,92.2914,90.8621,91.6339,246452,246452,-0.581228,-0.63,91.5779,"Aug 27, 13",-0.042997984355254856
2013-08-28,91.5958,93.0251,91.1671,91.7483,149908,149908,0.11434,0.125,92.1819,"Aug 28, 13",-0.04180321876533931
2013-08-29,91.3671,92.4439,90.5382,90.7955,241979,241979,-0.952832,-1.039,91.2041,"Aug 29, 13",-0.05175402867855167
2013-08-30,90.7478,91.6816,89.9855,91.5196,529073,529073,0.724153,0.798,91.2135,"Aug 30, 13",-0.0441917055696547
2013-09-03,92.2152,93.2061,89.814,90.6049,588285,588285,-0.914719,-0.999,90.9788,"Sep 3, 13",-0.05374460841140044
2013-09-04,90.2619,91.1289,90.2047,90.4334,385310,385310,-0.171512,-0.189,90.5882,"Sep 4, 13",-0.05553571242075799
2013-09-05,90.6621,90.8336,89.8045,90.4429,424882,424882,0.009529,0.011,90.5008,"Sep 5, 13",-0.055436496746770376
2013-09-06,91.1575,91.8531,90.0713,90.4334,578962,578962,-0.009529,-0.011,90.504,"Sep 6, 13",-0.05553571242075799
2013-09-09,90.5191,92.32,90.4905,92.1771,436464,436464,1.7437,1.928,91.8991,"Sep 9, 13",-0.03732493655418752
2013-09-10,93.1204,94.8926,92.3695,94.6354,376669,376669,2.4583,2.667,94.2461,"Sep 10, 13",-0.011651053252707549
2013-09-11,94.8164,95.7597,94.6735,95.1213,243023,243023,0.485948,0.513,95.209,"Sep 11, 13",-0.006576432622113604
2013-09-12,94.9307,95.3595,94.5782,95.2071,319386,319386,0.085753,0.09,95.1774,"Sep 12, 13",-0.005680358429677056
2013-09-13,94.9593,95.169,93.0346,94.7116,236573,236573,-0.495474,-0.52,94.3452,"Sep 13, 13",-0.010855239109774316
2013-09-16,95.5024,95.6549,93.8445,94.1399,386650,386650,-0.571699,-0.604,94.5017,"Sep 16, 13",-0.016825933932804956
2013-09-17,94.0256,94.3305,93.4253,93.7302,303893,303893,-0.409716,-0.435,93.9033,"Sep 17, 13",-0.02110474042046567
2013-09-18,93.835,94.3495,93.1489,94.2161,613345,613345,0.485943,0.518,93.9181,"Sep 18, 13",-0.016030119789871723
2013-09-19,94.4353,95.1975,93.1585,93.5206,420600,420600,-0.695568,-0.738,93.9336,"Sep 19, 13",-0.023293751501289834
2013-09-20,94.1971,94.3019,91.653,91.6911,590225,590225,-1.8294,-1.956,92.1546,"Sep 20, 13",-0.042400601560297006
2013-09-23,90.5954,91.8531,90.5954,91.7292,284103,284103,0.038112,0.042,91.4473,"Sep 23, 13",-0.04200269448883039
2013-09-24,91.7578,93.1394,90.986,91.6054,235887,235887,-0.123866,-0.135,91.8914,"Sep 24, 13",-0.04329563137721801
2013-09-25,91.6149,93.3776,90.9717,92.5296,166019,166019,0.924246,1.009,92.4259,"Sep 25, 13",-0.0336435128614845
2013-09-26,92.7964,93.7969,91.9579,92.6821,177536,177536,0.152454,0.165,92.5592,"Sep 26, 13",-0.03205084020010234
2013-09-27,92.3962,92.6725,91.653,92.3676,177852,177852,-0.314435,-0.339,92.3516,"Sep 27, 13",-0.03533540119685443
2013-09-30,91.5863,93.7492,91.491,93.5396,486922,486922,1.172,1.269,93.1735,"Sep 30, 13",-0.023095320153314447
2013-10-01,93.7588,95.3643,93.4157,94.9689,610178,610178,1.4292,1.528,94.8109,"Oct 1, 13",-0.008168060907980071
2013-10-02,93.9398,94.7402,93.5968,94.7211,221190,221190,-0.247735,-0.261,94.3399,"Oct 2, 13",-0.010756023435786547
2013-10-03,94.7116,94.845,91.9484,93.33,520465,520465,-1.3911,-1.469,93.6474,"Oct 3, 13",-0.025284331234138615
2013-10-04,93.1966,93.7778,92.6058,93.2156,222126,222126,-0.11434,-0.123,94.0944,"Oct 4, 13",-0.02647909682405416
2013-10-07,92.339,93.6921,91.9007,93.2442,225470,225470,0.028584,0.031,92.9771,"Oct 7, 13",-0.02618040542657516
2013-10-08,93.3109,93.3109,90.7573,90.7573,349984,349984,-2.4869,-2.667,91.4345,"Oct 8, 13",-0.052152980125533974
2013-10-09,90.6144,91.5482,89.5758,90.319,402862,402862,-0.438301,-0.483,88.543,"Oct 9, 13",-0.05673047801067354
2013-10-10,91.6054,92.7011,91.1099,92.1104,319298,319298,1.7913,1.983,92.1108,"Oct 10, 13",-0.038021535023132984
2013-10-11,92.32,94.0065,91.3386,93.2156,192377,192377,1.1053,1.2,93.0134,"Oct 11, 13",-0.02647909682405416
2013-10-14,92.8536,93.5015,91.8055,93.4824,209411,209411,0.266793,0.286,93.1465,"Oct 14, 13",-0.023692702948272148
2013-10-15,93.1204,93.1204,91.1004,91.5291,216552,216552,-1.9533,-2.089,91.7933,"Oct 15, 13",-0.044092489895666935
2013-10-16,91.6244,92.5487,91.4529,91.8626,208623,208623,0.333491,0.364,91.9984,"Oct 16, 13",-0.04060949755093946
2013-10-17,91.5101,93.2633,91.2909,92.7964,267258,267258,0.933773,1.016,92.6116,"Oct 17, 13",-0.03085711898570249
2013-10-18,93.2156,93.3681,92.7297,92.9107,172136,172136,0.114341,0.123,92.9561,"Oct 18, 13",-0.02966339777130264
2013-10-21,93.2061,93.3205,92.339,92.8631,158252,158252,-0.047641,-0.051,92.766,"Oct 21, 13",-0.030160520516757022
2013-10-22,93.5587,95.4453,93.5587,95.0451,379464,379464,2.182,2.35,94.6455,"Oct 22, 13",-0.007372246765046837
2013-10-23,95.0165,95.5596,93.2919,93.3681,265870,265870,-1.677,-1.764,94.0343,"Oct 23, 13",-0.024886424162671998
2013-10-24,93.2252,94.1971,93.1871,93.854,404642,404642,0.485942,0.52,93.7398,"Oct 24, 13",-0.01981180353207805
2013-10-25,94.4829,95.0546,93.997,95.0451,379194,379194,1.191,1.269,94.416,"Oct 25, 13",-0.007372246765046837
