date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,45.8,47.7,45.2005,46.25,41864,209320,0.25,0.543,46.4262,"Aug 5, 13",0
2013-08-06,46.4,46.575,45.25,46.15,12840,64198,-0.1,-0.216,46.0161,"Aug 6, 13",-0.002162162162162193
2013-08-07,46.25,46.65,45.55,45.85,10356,51778,-0.3,-0.65,46.1095,"Aug 7, 13",-0.008648648648648618
2013-08-08,46,46.1,41.05,43.85,57713,288567,-2,-4.362,43.3952,"Aug 8, 13",-0.05189189189189186
2013-08-09,43.9,45,43.05,43.45,16062,80312,-0.4,-0.912,44.2998,"Aug 9, 13",-0.06054054054054048
2013-08-12,43.1,43.7,42.35,42.8,12530,62648,-0.65,-1.496,42.8356,"Aug 12, 13",-0.07459459459459465
2013-08-13,43.1,43.55,42.3,42.45,6925,34624,-0.35,-0.818,42.9122,"Aug 13, 13",-0.0821621621621621
2013-08-14,42.55,42.65,41.15,41.6,17814,89070,-0.85,-2.002,41.5338,"Aug 14, 13",-0.10054054054054051
2013-08-15,41.2,41.6,40.5,40.9,15890,79449,-0.7,-1.683,40.9834,"Aug 15, 13",-0.1156756756756757
2013-08-16,40.7,41.15,38.3505,39.1,34351,171755,-1.8,-4.401,39.5312,"Aug 16, 13",-0.15459459459459457
2013-08-19,39,40.75,39,39.55,14165,70826,0.45,1.151,39.7111,"Aug 19, 13",-0.14486486486486494
2013-08-20,39.65,41,39.65,40.6,7546,37729,1.05,2.655,40.5266,"Aug 20, 13",-0.12216216216216214
2013-08-21,40.35,40.8995,39,40.45,20926,104632,-0.15,-0.369,39.9282,"Aug 21, 13",-0.12540540540540535
2013-08-22,40.7,42.35,39.9,42.05,7816,39080,1.6,3.956,41.3337,"Aug 22, 13",-0.09081081081081087
2013-08-23,42.05,42.25,41.05,41.95,7169,35845,-0.1,-0.238,41.8502,"Aug 23, 13",-0.09297297297297291
2013-08-26,41.85,43.55,41.5,42.2,16398,81988,0.25,0.596,42.4587,"Aug 26, 13",-0.0875675675675675
2013-08-27,42,42,40.1,40.3,16761,83803,-1.9,-4.502,40.575,"Aug 27, 13",-0.12864864864864872
2013-08-28,40.45,43.6,40.325,42.95,27235,136176,2.65,6.576,42.3385,"Aug 28, 13",-0.07135135135135129
2013-08-29,42.9,45.5,42.9,44.95,32237,161187,2,4.657,44.6233,"Aug 29, 13",-0.028108108108108047
2013-08-30,44.95,46.45,44.0505,45,100025,500127,0.05,0.111,44.9986,"Aug 30, 13",-0.02702702702702703
2013-09-03,44.95,46.45,44,45.6,16492,82459,0.6,1.333,45.2041,"Sep 3, 13",-0.014054054054054023
2013-09-04,45.4,45.75,45.05,45.55,24325,121627,-0.05,-0.11,45.4493,"Sep 4, 13",-0.015135135135135197
2013-09-05,45.75,46.642,45.5,46,22487,112437,0.45,0.988,45.9728,"Sep 5, 13",-0.005405405405405406
2013-09-06,46.35,47.1495,45.15,45.6,17662,88310,-0.4,-0.87,45.7412,"Sep 6, 13",-0.014054054054054023
2013-09-09,45.5,46.9,44.75,45.15,19257,96287,-0.45,-0.987,45.3772,"Sep 9, 13",-0.023783783783783815
2013-09-10,45.3,46.85,44.9,45.9,22342,111710,0.75,1.661,45.3821,"Sep 10, 13",-0.007567567567567599
2013-09-11,45.75,45.75,44.8,44.95,10712,53559,-0.95,-2.07,45.044,"Sep 11, 13",-0.028108108108108047
2013-09-12,44.95,46.2,44,44.45,9338,46689,-0.5,-1.112,44.8133,"Sep 12, 13",-0.038918918918918854
2013-09-13,44.4,45.05,43.9,44.6,5530,27651,0.15,0.337,44.482,"Sep 13, 13",-0.035675675675675644
2013-09-16,44.75,44.896,42.35,42.6,25195,125974,-2,-4.484,43.0532,"Sep 16, 13",-0.07891891891891889
2013-09-17,42.7905,43.095,42.15,42.85,16222,81108,0.25,0.587,42.5512,"Sep 17, 13",-0.07351351351351348
2013-09-18,42.8,43.9,42.0405,43.55,14054,70270,0.7,1.634,42.89,"Sep 18, 13",-0.05837837837837844
2013-09-19,43.55,44.05,42.65,43.75,8929,44647,0.2,0.459,43.272,"Sep 19, 13",-0.05405405405405406
2013-09-20,43.8,45.7,43.65,45.65,36380,181900,1.9,4.343,44.7522,"Sep 20, 13",-0.012972972972973004
2013-09-23,45.95,50.5915,45.75,49.35,49484,247420,3.7,8.105,48.7805,"Sep 23, 13",0.06702702702702706
2013-09-24,49.4,50.1,47.75,48.65,55464,277319,-0.7,-1.418,49.4977,"Sep 24, 13",0.05189189189189186
2013-09-25,49,49.9,48.75,49,16357,81783,0.35,0.719,49.2154,"Sep 25, 13",0.05945945945945946
2013-09-26,49.25,52.95,48.5,52.45,54749,273743,3.45,7.041,51.9431,"Sep 26, 13",0.13405405405405413
2013-09-27,52.75,57.1995,52.75,54.2,60922,304610,1.75,3.337,54.8316,"Sep 27, 13",0.17189189189189194
2013-09-30,53.85,59.1995,53.5025,57.5,111523,557617,3.3,6.089,60.7424,"Sep 30, 13",0.24324324324324326
2013-10-01,57.5,60,57.25,59.65,78621,393107,2.15,3.739,59.6088,"Oct 1, 13",0.2897297297297297
2013-10-02,59.6,64.25,59.5,63.3,93146,465731,3.65,6.119,61.9875,"Oct 2, 13",0.3686486486486486
2013-10-03,63.5,64.25,58,60.7,64770,323849,-2.6,-4.107,61.0203,"Oct 3, 13",0.3124324324324325
2013-10-04,61.25,62.05,60.8,61.5,19858,99288,0.8,1.318,61.434,"Oct 4, 13",0.32972972972972975
2013-10-07,61.05,61.05,59.0005,59.4,29057,145284,-2.1,-3.415,59.6921,"Oct 7, 13",0.2843243243243243
2013-10-08,59.6,60.1,56.95,58.75,40187,200937,-0.65,-1.094,58.356,"Oct 8, 13",0.2702702702702703
2013-10-09,58.65,58.95,53.9,56.9,49045,245226,-1.85,-3.149,56.1868,"Oct 9, 13",0.23027027027027025
2013-10-10,57.55,62.5,57.5,62.3,38418,192088,5.4,9.49,60.3427,"Oct 10, 13",0.347027027027027
2013-10-11,63.1,63.75,60.344,61.85,19632,98158,-0.45,-0.722,62.0227,"Oct 11, 13",0.33729729729729735
2013-10-14,61.65,63.4,59.25,60.4,23669,118345,-1.45,-2.344,61.3276,"Oct 14, 13",0.30594594594594593
2013-10-15,60.4,60.4,57,58.2,35123,175613,-2.2,-3.642,57.8848,"Oct 15, 13",0.25837837837837846
2013-10-16,58.65,60.4495,57.6,60.25,14568,72839,2.05,3.522,59.2833,"Oct 16, 13",0.3027027027027027
2013-10-17,59.8,60.4,59.15,60.05,23056,115280,-0.2,-0.332,59.8972,"Oct 17, 13",0.29837837837837833
2013-10-18,60.45,61.55,59.45,60,28457,142285,-0.05,-0.083,60.3014,"Oct 18, 13",0.2972972972972973
2013-10-21,60.25,60.95,59.15,59.8,19286,96432,-0.2,-0.333,59.9096,"Oct 21, 13",0.2929729729729729
2013-10-22,60,60.1,58.35,59.55,22025,110126,-0.25,-0.418,59.6053,"Oct 22, 13",0.2875675675675675
2013-10-23,59.15,60.95,59,60.5,19534,97670,0.95,1.595,60.0909,"Oct 23, 13",0.3081081081081081
2013-10-24,60.5,60.7,59.75,60.05,13877,69387,-0.45,-0.744,60.3081,"Oct 24, 13",0.29837837837837833
2013-10-25,60.3,60.95,59.2,59.35,12507,62536,-0.7,-1.166,59.6981,"Oct 25, 13",0.2832432432432433
2013-10-28,59.35,59.4,56.15,58.45,18989,94944,-0.9,-1.516,57.8867,"Oct 28, 13",0.26378378378378387
2013-10-29,58.5,59.65,57.7,59.25,26205,131027,0.8,1.369,58.6582,"Oct 29, 13",0.2810810810810811
2013-10-30,59.85,64.25,58.85,60.55,63578,317890,1.3,2.194,61.1871,"Oct 30, 13",0.30918918918918914
2013-10-31,60.7,61,56.35,56.8,61597,307983,-3.75,-6.193,57.4557,"Oct 31, 13",0.22810810810810805
2013-11-01,57.5,57.5,52.65,53.95,60252,301262,-2.85,-5.018,54.8101,"Nov 1, 13",0.16648648648648653
2013-11-04,53.95,54.3,51.55,52.425,44327,221635,-1.525,-2.827,52.7549,"Nov 4, 13",0.13351351351351345
2013-11-05,52,53.7,51.75,53.05,17244,86221,0.625,1.192,52.7799,"Nov 5, 13",0.14702702702702697
2013-11-06,53.45,53.45,50.65,52.2,27420,137100,-0.85,-1.602,52.0065,"Nov 6, 13",0.12864864864864872
2013-11-07,52.3,53.4995,50.4,50.5,27044,135220,-1.7,-3.257,51.0488,"Nov 7, 13",0.0918918918918919
2013-11-08,50.65,54,50.65,53.6,13098,65490,3.1,6.139,53.1701,"Nov 8, 13",0.15891891891891896
2013-11-11,53.3,56.1,53.3,55.55,16359,81794,1.95,3.638,55.0032,"Nov 11, 13",0.20108108108108103
2013-11-12,55.55,55.85,53.975,55.65,19223,96117,0.1,0.18,54.8739,"Nov 12, 13",0.20324324324324322
2013-11-13,55.3,56.1,53.65,55.95,12782,63912,0.3,0.539,55.2321,"Nov 13, 13",0.20972972972972978
2013-11-14,55.7,56.8,54.75,56.225,10781,53903,0.275,0.492,55.8469,"Nov 14, 13",0.2156756756756757
