date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,41.45,41.45,39.55,39.75,1926735,9633674,-1.7,-4.101,40.2206,"Aug 5, 13",0
2013-08-06,39.95,40.15,34.2,36.75,1976785,9883925,-3,-7.547,36.8715,"Aug 6, 13",-0.07547169811320754
2013-08-07,36.75,38.65,36.5,38.35,1100377,5501884,1.6,4.354,37.6563,"Aug 7, 13",-0.035220125786163486
2013-08-08,39.3,39.4,37.25,37.4,968431,4842153,-0.95,-2.477,37.7364,"Aug 8, 13",-0.05911949685534595
2013-08-09,37.65,38.55,36.75,37.35,995701,4978503,-0.05,-0.134,37.6121,"Aug 9, 13",-0.060377358490566004
2013-08-12,37.55,37.9,35,35.5,3087881,15439403,-1.85,-4.953,36.1886,"Aug 12, 13",-0.1069182389937107
2013-08-13,35.5,35.75,33.65,34.3,1629166,8145829,-1.2,-3.38,34.4087,"Aug 13, 13",-0.1371069182389938
2013-08-14,43.1,43.5,37.1,37.95,9627923,48139614,3.65,10.641,39.9766,"Aug 14, 13",-0.045283018867924456
2013-08-15,35.3,35.9,32,33.2,3889286,19446430,-4.75,-12.516,34.1154,"Aug 15, 13",-0.1647798742138364
2013-08-16,33.75,33.9,28.6,28.85,5001805,25009026,-4.35,-13.102,30.5343,"Aug 16, 13",-0.27421383647798736
2013-08-19,30.6,32.35,29.7,31.85,3147361,15736805,3,10.399,31.3059,"Aug 19, 13",-0.19874213836477983
2013-08-20,32.25,32.55,29.85,30.305,2112289,10561443,-1.545,-4.851,30.8335,"Aug 20, 13",-0.23761006289308176
2013-08-21,30.75,30.8375,29.4,30,1559721,7798607,-0.305,-1.006,30.1631,"Aug 21, 13",-0.24528301886792453
2013-08-22,30.1,30.4,29.35,29.45,1108613,5543066,-0.55,-1.833,29.6975,"Aug 22, 13",-0.2591194968553459
2013-08-23,29.35,29.35,26.85,27.6,3091557,15457786,-1.85,-6.282,27.7241,"Aug 23, 13",-0.30566037735849055
2013-08-26,26.9,29.65,26.85,28.9,2367174,11835869,1.3,4.71,28.5175,"Aug 26, 13",-0.27295597484276735
2013-08-27,30.75,31,29,29.6,2586435,12932177,0.7,2.422,29.8039,"Aug 27, 13",-0.2553459119496855
2013-08-28,29.5,29.6,28.6,28.975,1104753,5523763,-0.625,-2.111,29.0163,"Aug 28, 13",-0.27106918238993705
2013-08-29,28.3,29.825,27.75,29.35,816606,4083029,0.375,1.294,29.2879,"Aug 29, 13",-0.2616352201257861
2013-08-30,29.5,29.5,28.6,28.95,536038,2680188,-0.4,-1.363,28.9238,"Aug 30, 13",-0.27169811320754716
2013-09-03,29.05,29.55,28.65,29.5,706115,3530576,0.55,1.9,29.016,"Sep 3, 13",-0.2578616352201258
2013-09-04,29.6,30.25,28.9,30.25,818565,4092827,0.75,2.542,29.8068,"Sep 4, 13",-0.2389937106918239
2013-09-05,30.1,31.55,29.85,31.5,947473,4737363,1.25,4.132,30.9832,"Sep 5, 13",-0.20754716981132076
2013-09-06,30,30.2,27.6,29.3,1963489,9817443,-2.2,-6.984,29.1104,"Sep 6, 13",-0.2628930817610063
2013-09-09,29.45,30,28.975,29.9,866878,4334390,0.6,2.048,29.6095,"Sep 9, 13",-0.2477987421383648
2013-09-10,29.95,30.45,29.35,30.25,978810,4894052,0.35,1.171,30.0559,"Sep 10, 13",-0.2389937106918239
2013-09-11,30.05,30.1405,29.25,29.4,726281,3631404,-0.85,-2.81,29.5149,"Sep 11, 13",-0.2603773584905661
2013-09-12,29.2,29.7,28.85,29.3,732553,3662766,-0.1,-0.34,29.2622,"Sep 12, 13",-0.2628930817610063
2013-09-13,29.35,29.65,28.8,29.425,421731,2108654,0.125,0.427,29.3453,"Sep 13, 13",-0.259748427672956
2013-09-16,29.6,30.1,29.3,29.5,634746,3173732,0.075,0.255,29.6225,"Sep 16, 13",-0.2578616352201258
2013-09-17,29.35,29.5,28.75,29.35,1237272,6186362,-0.15,-0.508,29.0788,"Sep 17, 13",-0.2616352201257861
