date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,31.558,31.6416,31.149,31.5272,3974942,1987471,-0.105545,-0.334,31.4548,"Aug 5, 13",0
2013-08-06,31.5272,32.1869,31.0039,31.2766,7383618,3691809,-0.25067,-0.795,31.4175,"Aug 6, 13",-0.007948691923164828
2013-08-07,31.2678,31.7955,31.1358,31.5404,5624830,2812415,0.263863,0.844,31.4947,"Aug 7, 13",0.000418686086934495
2013-08-08,31.6152,32.4991,31.5624,31.8791,5427268,2713634,0.338624,1.074,32.021,"Aug 8, 13",0.011161790453957234
2013-08-09,31.9846,32.288,31.8835,32.2089,4739356,2369678,0.329828,1.035,32.1255,"Aug 9, 13",0.021622598898728695
2013-08-12,32.0726,32.4244,31.8615,32.1253,4768864,2384432,-0.083556,-0.259,32.1798,"Aug 12, 13",0.018970920348143898
2013-08-13,32.2749,33.0137,32.1077,32.9565,4176524,2088262,0.831172,2.587,32.5878,"Aug 13, 13",0.04533545636783469
2013-08-14,32.8817,33.1984,32.3936,32.4068,6723868,3361934,-0.549719,-1.668,32.8498,"Aug 14, 13",0.027899718338450494
2013-08-15,32.2221,32.2265,31.0391,31.0787,8014980,4007490,-1.3281,-4.098,31.4172,"Aug 15, 13",-0.014225811362886625
2013-08-16,31.0699,31.0699,30.2695,30.784,7379482,3689741,-0.294648,-0.948,30.7076,"Aug 16, 13",-0.023573295440127942
2013-08-19,30.7663,31.3724,30.5407,30.5495,6253356,3126678,-0.234485,-0.762,30.8417,"Aug 19, 13",-0.03101131721180448
2013-08-20,30.5495,31.7087,30.3239,31.4078,6651056,3325528,0.858308,2.81,31.0503,"Aug 20, 13",-0.0037872059681798207
2013-08-21,31.3061,32.2883,31.076,31.7883,5060814,2530407,0.380485,1.211,31.6765,"Aug 21, 13",0.008281737674135318
2013-08-22,31.9786,33.5094,31.837,33.12,7022850,3511425,1.3317,4.189,32.6942,"Aug 22, 13",0.050521454490090996
2013-08-23,33.2129,33.881,33.0404,33.2085,7869808,3934904,0.088486,0.267,33.4119,"Aug 23, 13",0.053328554391128935
2013-08-26,33.2926,33.6731,33.0492,33.0979,5877374,2938687,-0.110607,-0.333,33.2626,"Aug 26, 13",0.049820472480905445
2013-08-27,32.6865,32.9515,32.1644,32.3414,6439548,3219774,-0.756548,-2.286,32.5713,"Aug 27, 13",0.02582531908954806
2013-08-28,32.4387,32.9807,32.3369,32.7572,4333368,2166684,0.415879,1.286,32.758,"Aug 28, 13",0.03901393082798336
2013-08-29,32.6599,33.0758,32.3856,32.5758,3831480,1915740,-0.181395,-0.554,32.7387,"Aug 29, 13",0.03326016899692965
2013-08-30,32.7086,33.0315,31.9476,32.0803,4815562,2407781,-0.495517,-1.521,32.2842,"Aug 30, 13",0.01754358141541274
2013-09-03,32.5714,32.9829,32.3635,32.4918,4477394,2238697,0.411457,1.283,32.6458,"Sep 3, 13",0.030595802989164825
2013-09-04,32.3546,32.7263,32.16,32.5891,3637150,1818575,0.097332,0.3,32.5465,"Sep 4, 13",0.0336820269481591
2013-09-05,32.6378,32.8944,31.8768,31.8989,4892066,2446033,-0.690184,-2.118,32.2269,"Sep 5, 13",0.01178981958435892
2013-09-06,31.9741,32.1732,31.1778,31.3459,6013582,3006791,-0.553031,-1.734,31.5557,"Sep 6, 13",-0.0057505899667588695
2013-09-09,31.3503,31.4123,30.6778,30.7973,7780138,3890069,-0.548611,-1.75,30.8767,"Sep 9, 13",-0.023151437488898495
2013-09-10,30.7354,30.7707,30.0452,30.1292,8854066,4427033,-0.668062,-2.169,30.1921,"Sep 10, 13",-0.04434266284351289
2013-09-11,30.1646,30.2531,29.4877,29.9567,7547068,3773534,-0.172547,-0.573,29.7672,"Sep 11, 13",-0.04981412875231543
2013-09-12,29.9191,30.0009,29.4789,29.6116,5362218,2681109,-0.34509,-1.152,29.6335,"Sep 12, 13",-0.06076023243421558
2013-09-13,29.7841,30.3416,29.6957,30.0363,5797472,2898736,0.424729,1.434,30.1049,"Sep 13, 13",-0.04728932477352889
2013-09-16,30.231,30.3284,29.5983,29.6204,4384350,2192175,-0.415883,-1.385,29.8479,"Sep 16, 13",-0.060481108376259245
2013-09-17,29.5895,29.8549,29.0055,29.293,6659444,3329722,-0.327397,-1.105,29.2213,"Sep 17, 13",-0.07086579207795178
2013-09-18,29.3019,29.4789,28.917,29.3152,8218064,4109032,0.022123,0.076,29.2393,"Sep 18, 13",-0.07016163820447105
2013-09-19,29.5585,29.8859,28.8196,28.9391,9785426,4892713,-0.376062,-1.283,29.124,"Sep 19, 13",-0.08209101981780814
2013-09-20,28.9391,29.1116,28.4834,28.5409,10427068,5213534,-0.398184,-1.376,28.7198,"Sep 20, 13",-0.09472138344033089
2013-09-23,28.5144,28.5763,27.8419,27.8684,7327834,3663917,-0.672488,-2.356,27.9849,"Sep 23, 13",-0.11605217082392345
2013-09-24,27.8773,28.6206,27.6561,28.4524,9000330,4500165,0.584004,2.096,28.2856,"Sep 24, 13",-0.09752848334136871
2013-09-25,28.5542,28.917,28.1472,28.5232,8645512,4322756,0.070787,0.249,28.5582,"Sep 25, 13",-0.09528280342053849
2013-09-26,28.5144,28.7312,28.1626,28.3772,6170722,3085361,-0.146,-0.512,28.4568,"Sep 26, 13",-0.0999137252911772
2013-09-27,28.5365,29.032,28.4524,28.7312,7105566,3552783,0.353942,1.247,28.7954,"Sep 27, 13",-0.08868532568702578
2013-09-30,28.2047,28.5675,27.8906,28.4569,9147714,4573857,-0.274306,-0.955,28.3322,"Sep 30, 13",-0.0973857494480956
2013-10-01,28.3816,28.6471,28.0388,28.4436,6648726,3324363,-0.013271,-0.047,28.4224,"Oct 1, 13",-0.09780760739932505
2013-10-02,28.2976,29.1736,28.2976,28.9081,8029354,4014677,0.464547,1.633,28.9046,"Oct 2, 13",-0.08307429774924507
2013-10-03,28.7577,29.0276,28.5807,28.8595,5098144,2549072,-0.048667,-0.168,28.8105,"Oct 3, 13",-0.08461582379659469
2013-10-04,28.6869,29.0851,28.3949,28.8595,5138224,2569112,0,0,28.9351,"Oct 4, 13",-0.08461582379659469
2013-10-07,28.6958,28.8097,27.9436,28.2799,5025476,2512738,-0.579579,-2.008,28.368,"Oct 7, 13",-0.10299994925017125
2013-10-08,28.2622,28.3064,27.6516,27.6516,6712528,3356264,-0.628247,-2.222,27.8418,"Oct 8, 13",-0.12292877261539249
2013-10-09,27.6649,27.6649,27.1296,27.4747,7421992,3710996,-0.17697,-0.64,26.8459,"Oct 9, 13",-0.12853980055317318
2013-10-10,28.041,29.1603,27.8773,28.8949,8428440,4214220,1.4202,5.169,28.4627,"Oct 10, 13",-0.08349298383617958
2013-10-11,28.8904,30.0363,28.771,29.7532,8976910,4488455,0.858309,2.97,29.6416,"Oct 11, 13",-0.05626887259255503
2013-10-14,29.4302,29.8107,29.1515,29.7266,4481888,2240944,-0.026546,-0.089,29.48,"Oct 14, 13",-0.05711258849501381
2013-10-15,29.9567,30.5849,29.8704,30.2797,9239226,4619613,0.553033,1.86,30.2938,"Oct 15, 13",-0.039569007079601176
2013-10-16,30.6867,30.6867,30.1779,30.5053,6032796,3016398,0.225636,0.745,30.4186,"Oct 16, 13",-0.03241328123017592
2013-10-17,30.4168,31.1424,30.315,31.0495,6378586,3189293,0.544186,1.784,31.076,"Oct 17, 13",-0.015151995737014458
2013-10-18,31.2707,31.2972,30.9212,31.2972,5053226,2526613,0.247759,0.798,31.1605,"Oct 18, 13",-0.007295287878403424
2013-10-21,31.4078,31.6556,31.1601,31.3813,4219218,2109609,0.084061,0.269,31.3959,"Oct 21, 13",-0.004627750006343761
2013-10-22,31.5826,32.3856,31.5826,32.0759,7307100,3653550,0.694609,2.213,32.0541,"Oct 22, 13",0.017404019386434464
2013-10-23,31.9874,33.2483,31.8458,31.8945,10102428,5051214,-0.181396,-0.566,32.5575,"Oct 23, 13",0.011650257555380756
2013-10-24,31.8547,31.8547,30.5407,30.6203,10598204,5299102,-1.2742,-3.995,30.9357,"Oct 24, 13",-0.02876563729097415
2013-10-25,30.7132,31.0893,30.2708,30.9212,6272858,3136429,0.30085,0.983,32.3847,"Oct 25, 13",-0.019221497627445558
2013-10-28,31.138,32.1157,31.1026,31.5008,5950754,2975377,0.57958,1.874,31.6898,"Oct 28, 13",-0.0008373721738688773
2013-10-29,31.5317,32.0582,31.2309,31.3326,3767966,1883983,-0.168122,-0.534,31.503,"Oct 29, 13",-0.006172447917988315
2013-10-30,31.4034,32.1113,30.9743,32.0803,7796204,3898102,0.747699,2.386,31.7317,"Oct 30, 13",0.01754358141541274
2013-10-31,32.014,33.182,31.6689,31.7043,9671360,4835680,-0.376062,-1.172,32.4408,"Oct 31, 13",0.005617371666370606
2013-11-01,31.7839,31.8768,31.0362,31.3503,7031678,3515839,-0.35394,-1.116,31.3526,"Nov 1, 13",-0.005611027937780705
2013-11-04,31.399,31.7485,31.0495,31.7175,4843860,2421930,0.367213,1.171,31.3723,"Nov 4, 13",0.006036057753305101
2013-11-05,31.5008,31.6291,31.1601,31.2884,5071602,2535801,-0.429155,-1.353,31.3605,"Nov 5, 13",-0.007574411936359754
2013-11-06,31.4963,31.837,31.0229,31.1468,5272584,2636292,-0.141573,-0.452,31.4211,"Nov 6, 13",-0.0120657717780203
2013-11-07,30.9964,31.4477,30.6955,31.1601,8184850,4092425,0.013272,0.043,31.1929,"Nov 7, 13",-0.011643913826790855
2013-11-08,31.1468,31.8016,30.8769,31.6998,5051304,2525652,0.539759,1.732,31.4314,"Nov 8, 13",0.005474637773097491
2013-11-11,31.7043,31.9653,31.3238,31.9432,3816186,1908093,0.243334,0.768,31.7181,"Nov 11, 13",0.01319495546702531
2013-11-12,31.9874,32.9254,31.8768,32.744,6765118,3382559,0.800793,2.507,32.6736,"Nov 12, 13",0.03859524474104897
2013-11-13,32.6289,33.2572,32.4033,33.2262,5727108,2863554,0.482246,1.473,32.8945,"Nov 13, 13",0.053889974371336434
2013-11-14,33.3501,35.1286,33.3501,34.8897,13853060,6926530,1.6635,5.007,34.5716,"Nov 14, 13",0.10665393691796281
2013-11-15,34.9119,35.1729,34.3942,34.8809,9418500,4709250,-0.008849,-0.025,34.7044,"Nov 15, 13",0.10637481286000648
2013-11-18,35.0232,35.2545,34.3338,34.4405,6700796,3350398,-0.440357,-1.262,34.759,"Nov 18, 13",0.09240592250501153
2013-11-19,34.4628,35.4725,34.1292,35.0632,10812860,5406430,0.622716,1.808,35.1017,"Nov 19, 13",0.11215712146971508
2013-11-20,35.1433,35.21,34.1826,34.4272,5747980,2873990,-0.636059,-1.814,34.5545,"Nov 20, 13",0.09198406455378208
2013-11-21,34.3471,35.1255,34.1692,35.041,5360642,2680321,0.613819,1.783,34.827,"Nov 21, 13",0.11145296759623424
2013-11-22,35.2723,35.7749,35.2634,35.6949,6741284,3370642,0.653848,1.866,35.5643,"Nov 22, 13",0.13219378822096464
2013-11-25,35.8283,36.5177,35.468,36.3754,9178436,4589218,0.680538,1.907,36.1674,"Nov 25, 13",0.15377832474815392
2013-11-26,36.5578,37.0604,36.2642,36.2731,9426522,4713261,-0.102304,-0.281,36.5773,"Nov 26, 13",0.1505335075744119
2013-11-27,36.2731,38.0968,36.2731,37.5141,11929234,5964617,1.241,3.421,39.2778,"Nov 27, 13",0.18989634347484072
2013-11-29,37.6475,37.6475,36.749,36.8024,3893736,1946868,-0.711672,-1.897,37.0679,"Nov 29, 13",0.1673221852876246
2013-12-02,37.2917,39.2488,37.1049,38.8796,12023246,6011623,2.0772,5.644,38.5078,"Dec 2, 13",0.2332081504224924
2013-12-03,38.6616,39.271,38.4259,38.6928,9650498,4825249,-0.186815,-0.48,38.8009,"Dec 3, 13",0.2272831079195107
2013-12-04,37.4029,38.1813,36.58,37.0337,14658188,7329094,-1.6591,-4.288,37.2712,"Dec 4, 13",0.1746587074018626
2013-12-05,37.5719,37.9856,36.838,37.2961,10253670,5126835,0.262434,0.709,37.3748,"Dec 5, 13",0.18298167931183237
2013-12-06,37.6742,39.5245,37.6564,38.7862,12493130,6246565,1.4901,3.995,38.7162,"Dec 6, 13",0.23024562917100155
2013-12-09,39.0397,39.5023,37.9944,38.0523,12114364,6057182,-0.733912,-1.892,38.8153,"Dec 9, 13",0.2069673171103048
2013-12-10,37.9544,39.1687,37.0248,38.9241,10818942,5409471,0.871798,2.291,38.5376,"Dec 10, 13",0.2346196300337487
2013-12-11,38.7862,38.9152,37.8788,38.2435,6910404,3455202,-0.680535,-1.748,38.268,"Dec 11, 13",0.21303192164226437
2013-12-12,38.3014,38.6261,37.5617,38.119,6871122,3435561,-0.124545,-0.326,38.061,"Dec 12, 13",0.2090829505950417
2013-12-13,38.1635,38.2569,37.1493,37.901,7494304,3747152,-0.217946,-0.572,37.7626,"Dec 13, 13",0.20216828643203338
2013-12-16,38.0033,38.8529,38.0033,38.4081,9189118,4594559,0.507065,1.338,38.4413,"Dec 16, 13",0.21825281027176524
2013-12-17,38.3992,38.6883,37.9767,38.2925,5618602,2809301,-0.115647,-0.301,38.3756,"Dec 17, 13",0.21458613514679376
2013-12-18,38.4615,39.2532,37.9989,38.884,7971948,3985974,0.591578,1.545,38.5696,"Dec 18, 13",0.23334771245147046
2013-12-19,38.7595,39.0531,38.0345,38.1234,6993166,3496583,-0.760601,-1.956,38.4953,"Dec 19, 13",0.20922251262401975
2013-12-20,38.03,39.1732,38.0078,38.8129,11516678,5758339,0.689433,1.808,38.7867,"Dec 20, 13",0.2310925169377553
2013-12-23,39.2265,40.0094,39.0709,39.4845,4918230,2459115,0.671642,1.73,39.5275,"Dec 23, 13",0.2523947575426932
2013-12-24,39.4623,39.7558,39.1683,39.7425,1793480,896740,0.257981,0.653,39.6031,"Dec 24, 13",0.2605781674236849
2013-12-26,39.6491,39.9471,39.5557,39.827,2618436,1309218,0.084513,0.213,39.7932,"Dec 26, 13",0.2632583927529244
2013-12-27,39.9782,39.9782,39.0397,39.6446,3128834,1564417,-0.182367,-0.458,39.4876,"Dec 27, 13",0.25747291227892094
2013-12-30,39.6224,39.7959,38.9152,39.3644,3245118,1622559,-0.280222,-0.707,39.2818,"Dec 30, 13",0.24858534852444883
2013-12-31,39.6669,40.899,39.6446,40.8011,6417606,3208803,1.4367,3.65,40.5766,"Dec 31, 13",0.2941555228501103
2014-01-02,40.6944,40.8411,39.5112,39.8003,6070238,3035119,-1.0008,-2.453,39.9967,"Jan 2, 14",0.26241150498617066
2014-01-03,39.9382,40.1428,39.0442,39.2577,4357374,2178687,-0.542652,-1.363,39.4215,"Jan 3, 14",0.24520096932172852
2014-01-06,39.3911,40.0361,39.1998,39.4578,4191576,2095788,0.200159,0.51,39.4957,"Jan 6, 14",0.25154786977593946
