date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-04-22,45.7235,45.7235,45.6673,45.6673,321,321,45.6673,0,45.6955,"Apr 22, 16",0
2016-04-25,45.7617,45.7805,45.7617,45.7805,1216,1216,0.113225,0.248,45.7633,"Apr 25, 16",0.0024787977393015614
2016-04-26,45.8843,45.8843,45.873,45.873,210,210,0.092467,0.202,45.8787,"Apr 26, 16",0.004504317093412578
2016-04-27,46.1013,46.1013,46.1013,46.1013,115,115,0.228337,0.498,46.1013,"Apr 27, 16",0.009503517834424295
2016-04-28,,,,46.1013,34,34,0,0,,"Apr 28, 16",0.009503517834424295
2016-04-29,46.073,46.073,45.271,45.271,235,235,-0.830315,-1.801,45.672,"Apr 29, 16",-0.008677981838208008
2016-05-02,45.4503,46.1863,45.4219,46.1863,1851,1851,0.915234,2.022,45.9132,"May 2, 16",0.011364805889553476
2016-05-03,45.3465,45.3465,45.2242,45.3276,3804,3804,-0.858621,-1.859,45.319,"May 3, 16",-0.007438582968557383
2016-05-04,44.6766,44.6766,44.6766,44.6766,215,215,-0.651043,-1.436,44.6766,"May 4, 16",-0.02169385972019359
2016-05-05,,,,44.6766,24,24,0,0,,"May 5, 16",-0.02169385972019359
2016-05-10,45.0634,45.0634,45.0634,45.0634,1201,1201,0.386851,0.866,45.0634,"May 10, 16",-0.013223904194029336
2016-05-11,45.0823,45.0823,45.0823,45.0823,224,224,0.01887,0.042,45.0823,"May 11, 16",-0.012810041320594844
2016-05-12,45.1388,45.1388,45.1388,45.1388,210,210,0.056518,0.125,45.1388,"May 12, 16",-0.011572832201597072
2016-05-13,44.7993,44.7993,44.7868,44.7868,313,313,-0.352033,-0.78,44.7908,"May 13, 16",-0.019280754500484984
2016-05-16,44.6294,44.6294,44.5634,44.5634,420,420,-0.223431,-0.499,44.6088,"May 16, 16",-0.024172657459494998
2016-05-17,,,,44.5634,64,64,0,0,,"May 17, 16",-0.024172657459494998
2016-05-18,44.552,44.5634,44.552,44.5634,400,400,0,0,44.5549,"May 18, 16",-0.024172657459494998
2016-05-19,44.1105,44.1105,43.8125,43.9972,1034,1034,-0.566123,-1.27,43.9308,"May 19, 16",-0.03657102565730836
2016-05-20,44.3086,44.3086,44.3086,44.3086,214,214,0.311368,0.708,44.3086,"May 20, 16",-0.029752142123576367
2016-05-23,44.3463,44.3463,44.3463,44.3463,160,160,0.037646,0.085,44.3463,"May 23, 16",-0.028926606127360234
2016-05-24,44.8842,44.8842,44.8752,44.8752,426,426,0.528949,1.193,44.8797,"May 24, 16",-0.017345014923150655
2016-05-26,45.4503,45.5069,45.4126,45.5069,916,916,0.631699,1.408,45.455,"May 26, 16",-0.0035123600475612895
2016-05-27,45.3842,45.422,45.3465,45.422,2182,2182,-0.084917,-0.187,45.3953,"May 27, 16",-0.00537145835203746
2016-05-31,45.3937,45.6956,45.3559,45.3559,2997,2997,-0.066048,-0.145,45.5094,"May 31, 16",-0.006818883533731993
2016-06-02,45.6107,45.7427,45.6107,45.7427,250,250,0.386756,0.853,45.6694,"Jun 2, 16",0.0016510719924322636
2016-06-03,,,,45.7427,20000,20000,0,0,,"Jun 3, 16",0.0016510719924322636
2016-06-06,46.2523,46.4787,46.2523,46.4787,203,203,0.736055,1.609,46.3655,"Jun 6, 16",0.017767636799197812
2016-06-07,,,,46.4787,51,51,0,0,,"Jun 7, 16",0.017767636799197812
2016-06-08,46.6437,46.6437,46.6437,46.6437,160,160,0.164932,0.355,46.6437,"Jun 8, 16",0.02138072537680146
2016-06-09,,,,46.6437,131,131,0,0,,"Jun 9, 16",0.02138072537680146
2016-06-10,45.5635,45.5635,45.5635,45.5635,243,243,-1.0802,-2.316,45.5635,"Jun 10, 16",-0.002272961177910664
2016-06-13,45.0163,45.0163,44.8747,44.8747,747,747,-0.688783,-1.512,44.9328,"Jun 13, 16",-0.01735596367641617
2016-06-14,44.5822,44.5822,44.2803,44.2897,1795,1795,-0.584997,-1.304,44.3134,"Jun 14, 16",-0.03016600499701086
2016-06-15,45.054,45.2333,44.5728,44.5728,1800,1800,0.283063,0.639,45.1866,"Jun 15, 16",-0.023966820898104257
2016-06-16,44.6482,44.6482,44.6482,44.6482,100,100,0.07539,0.169,44.6482,"Jun 16, 16",-0.022315748905671992
2016-06-17,,,,44.6482,81,81,0,0,,"Jun 17, 16",-0.022315748905671992
2016-06-21,45.6673,45.6673,45.6673,45.6673,147,147,1.0191,2.283,45.6673,"Jun 21, 16",0
2016-06-22,46.038,46.0571,46.0161,46.0571,696,696,0.389786,0.854,46.0334,"Jun 22, 16",0.008535648045757053
2016-06-23,46.4286,46.562,46.4286,46.562,1255,1255,0.504866,1.096,46.5381,"Jun 23, 16",0.019591699093224262
2016-06-24,44.5711,44.5711,44.1996,44.1996,658,658,-2.3624,-5.074,44.3885,"Jun 24, 16",-0.03213897033544792
2016-06-27,43.1994,43.1994,43.1994,43.1994,100,100,-1.0002,-2.263,43.1994,"Jun 27, 16",-0.05404085636768542
2016-06-28,43.8947,44.2472,43.8947,44.2424,1202,1202,1.0431,2.415,44.2081,"Jun 28, 16",-0.031201757055923908
2016-06-29,,,,44.2424,2,2,0,0,,"Jun 29, 16",-0.031201757055923908
2016-06-30,45.6284,45.6475,45.1902,45.457,23400,23400,1.2145,2.745,45.401,"Jun 30, 16",-0.004605045623454783
2016-07-01,,,,45.457,59,59,0,0,,"Jul 1, 16",-0.004605045623454783
2016-07-06,45.0854,45.0854,45.0854,45.0854,300,300,-0.3716,-0.817,45.0854,"Jul 6, 16",-0.01274215905034888
2016-07-07,45.2187,45.2187,45.2187,45.2187,201,201,0.133361,0.296,45.2187,"Jul 7, 16",-0.00982322142977577
2016-07-08,45.7999,45.7999,45.7999,45.7999,102,102,0.581166,1.285,45.7999,"Jul 8, 16",0.0029036093660015725
2016-07-11,46.3429,46.3429,46.3237,46.3237,469,469,0.523822,1.144,46.3382,"Jul 11, 16",0.01437352328690343
2016-07-12,46.6667,46.6667,46.6667,46.6667,480,480,0.343024,0.74,46.6667,"Jul 12, 16",0.021884368027012796
2016-07-13,46.7048,46.7525,46.6286,46.6762,880,880,0.00943,0.02,46.681,"Jul 13, 16",0.022092394339056704
2016-07-14,46.8668,46.8668,46.8668,46.8668,400,400,0.19061,0.408,46.8668,"Jul 14, 16",0.026266059083852135
2016-07-15,46.727,46.7333,46.6841,46.7333,862,862,-0.133456,-0.285,46.7267,"Jul 15, 16",0.023342741961972845
2016-07-18,46.6963,46.6963,46.6963,46.6963,326,326,-0.037055,-0.079,46.6963,"Jul 18, 16",0.022532534220328408
2016-07-21,46.9144,46.9144,46.9144,46.9144,100,100,0.21814,0.467,46.9144,"Jul 21, 16",0.027308380394724524
2016-07-22,46.9716,47.0668,46.9716,47.0668,1337,1337,0.152413,0.325,47.0133,"Jul 22, 16",0.03064556039003846
2016-07-25,,,,47.0668,34,34,0,0,,"Jul 25, 16",0.03064556039003846
2016-07-26,47.1907,47.1907,47.0763,47.0763,310,310,0.009525,0.02,47.1272,"Jul 26, 16",0.030853586702082367
2016-07-27,,,,47.0763,54,54,0,0,,"Jul 27, 16",0.030853586702082367
2016-07-29,47.2764,47.2764,47.2764,47.2764,440,440,0.200042,0.425,47.2764,"Jul 29, 16",0.035235277758921706
2016-08-02,,,,47.2764,41,41,0,0,,"Aug 2, 16",0.035235277758921706
2016-08-03,46.8887,46.8887,46.8573,46.8573,200,200,-0.419135,-0.887,46.873,"Aug 3, 16",0.026058032771808383
2016-08-04,47.1621,47.2096,47.1621,47.2096,420,420,0.352358,0.752,47.1952,"Aug 4, 16",0.03377252432265548
2016-08-05,47.2478,47.2478,47.2478,47.2478,275,275,0.038199,0.081,47.2478,"Aug 5, 16",0.03460900907213697
2016-08-08,,,,47.2478,41,41,0,0,,"Aug 8, 16",0.03460900907213697
2016-08-09,,,,47.2478,26,26,0,0,,"Aug 9, 16",0.03460900907213697
2016-08-10,47.5488,47.5488,47.5488,47.5488,408,408,0.301015,0.637,47.5488,"Aug 10, 16",0.04120015853794735
2016-08-11,47.7526,47.7526,47.7526,47.7526,374,374,0.203756,0.429,47.7526,"Aug 11, 16",0.04566287036895117
2016-08-12,47.8669,47.8669,47.8669,47.8669,105,105,0.114309,0.239,47.8669,"Aug 12, 16",0.04816575536543662
2016-08-15,47.9717,47.9717,47.9717,47.9717,243,243,0.104783,0.219,47.9717,"Aug 15, 16",0.050460614049878165
2016-08-16,47.8193,47.8194,47.8172,47.8172,802,802,-0.154507,-0.322,47.8182,"Aug 16, 16",0.0470774492908493
2016-08-17,47.6003,47.7717,47.6003,47.7717,250,250,-0.045438,-0.095,47.6689,"Aug 17, 16",0.046081112743692
2016-08-18,48.048,48.1337,47.8479,48.1337,2498,2498,0.361979,0.758,47.8908,"Aug 18, 16",0.05400801010788902
2016-08-19,47.867,47.9051,47.8003,47.9051,10306,10306,-0.228619,-0.475,47.8252,"Aug 19, 16",0.04900224011491812
2016-08-22,48.048,48.2671,48.048,48.2385,735,735,0.333403,0.696,48.1912,"Aug 22, 16",0.05630286879233072
2016-08-23,48.3147,48.3147,48.3147,48.3147,210,210,0.076205,0.158,48.3147,"Aug 23, 16",0.05797145878998769
2016-08-24,48.1909,48.1909,48.1909,48.1909,550,550,-0.123834,-0.256,48.1909,"Aug 24, 16",0.05526054748145833
2016-08-26,48.1623,48.1623,47.6176,48.0003,58251,58251,-0.190517,-0.395,47.8275,"Aug 26, 16",0.0510868827366629
2016-08-29,47.7527,47.7765,47.6193,47.6955,5151,5151,-0.304823,-0.635,47.6986,"Aug 29, 16",0.04441252274603503
2016-08-30,47.6384,48.2194,47.6384,48.2194,4737,4737,0.523917,1.098,47.9743,"Aug 30, 16",0.05588462641758989
2016-08-31,47.6003,47.6003,47.1932,47.3526,8140,8140,-0.866845,-1.798,47.2621,"Aug 31, 16",0.036903867756578675
