date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-06-28,14.25,14.7,14,14,2701309,2701309,14,0,14.282,"Jun 28, 17",0
2017-06-29,13.85,13.9,12.71,13.52,1009442,1009442,-0.48,-3.429,13.1412,"Jun 29, 17",-0.034285714285714315
2017-06-30,13.5,14.25,13.1434,13.97,114406,114406,0.45,3.328,13.8712,"Jun 30, 17",-0.002142857142857097
2017-07-03,13.94,14,13.085,13.82,7660,7660,-0.15,-1.074,13.5397,"Jul 3, 17",-0.012857142857142836
2017-07-05,13.78,14.09,13.1837,13.99,93744,93744,0.17,1.23,13.5979,"Jul 5, 17",-0.0007142857142856991
2017-07-06,14.3,14.3,13.065,13.35,146968,146968,-0.64,-4.575,13.4122,"Jul 6, 17",-0.04642857142857145
2017-07-07,13.54,13.67,13.05,13.29,33055,33055,-0.06,-0.449,13.3709,"Jul 7, 17",-0.050714285714285774
2017-07-10,13.29,13.4853,13.03,13.27,31224,31224,-0.02,-0.15,13.2094,"Jul 10, 17",-0.05214285714285717
2017-07-11,13.14,13.8293,13.1,13.81,64135,64135,0.54,4.069,13.625,"Jul 11, 17",-0.013571428571428536
2017-07-12,13.99,14.05,13.61,14.03,35231,35231,0.22,1.593,13.8663,"Jul 12, 17",0.002142857142857097
2017-07-13,14.1499,14.1499,13.75,14.1,126971,126971,0.07,0.499,13.8624,"Jul 13, 17",0.0071428571428571175
2017-07-14,14.1,14.25,13.8196,14.05,31940,31940,-0.05,-0.355,14.0973,"Jul 14, 17",0.003571428571428622
2017-07-17,14.1,14.2689,13.85,14.15,149452,149452,0.1,0.712,14.0695,"Jul 17, 17",0.01071428571428574
2017-07-18,14.01,14.25,13.8539,14.15,35021,35021,0,0,14.1413,"Jul 18, 17",0.01071428571428574
2017-07-19,14,14.28,13.82,14.25,129496,129496,0.1,0.707,14.0936,"Jul 19, 17",0.017857142857142856
2017-07-20,14.1,14.2317,13.85,14.19,13617,13617,-0.06,-0.421,14.0899,"Jul 20, 17",0.013571428571428536
