date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,226.65,229.35,226.61,229.08,105919,105919,1.87,0.823,228.1528,"Aug 5, 13",0
2013-08-06,227.48,229.57,226.08,229,146981,146981,-0.08,-0.035,228.5031,"Aug 6, 13",-0.00034922297887206435
2013-08-07,228.15,228.9814,225.5001,228.69,184337,184337,-0.31,-0.135,228.3057,"Aug 7, 13",-0.0017024620220011122
2013-08-08,228.65,229.684,227.42,228.5,176511,176511,-0.19,-0.083,228.5974,"Aug 8, 13",-0.0025318665968221254
2013-08-09,228.1,229.87,227.92,228.21,42370,42370,-0.29,-0.127,228.8422,"Aug 9, 13",-0.003797799895233126
2013-08-12,227.74,229.9341,227.59,229.88,50153,50153,1.67,0.732,229.0864,"Aug 12, 13",0.0034922297887200232
2013-08-13,229.98,230.6,228.7,230.39,70986,70986,0.51,0.222,229.9054,"Aug 13, 13",0.005718526279029045
2013-08-14,230.9,230.91,228.17,229.61,69611,69611,-0.78,-0.339,229.4716,"Aug 14, 13",0.0023136022350270695
2013-08-15,226.25,228.61,224.61,225.11,85282,85282,-4.5,-1.96,225.9761,"Aug 15, 13",-0.01733019032652348
2013-08-16,224.89,227.49,223.72,225.71,81042,81042,0.6,0.267,225.6709,"Aug 16, 13",-0.014711017984983431
2013-08-19,224.73,226.3595,224,224.05,50514,50514,-1.66,-0.735,224.8681,"Aug 19, 13",-0.021957394796577618
2013-08-20,224.29,226.29,222.86,225.33,34352,34352,1.28,0.571,225.2009,"Aug 20, 13",-0.016369827134625457
2013-08-21,224.19,226.45,223.17,223.44,51296,51296,-1.89,-0.839,224.4054,"Aug 21, 13",-0.024620220010476753
2013-08-22,223.46,231.03,223.28,230.25,79563,79563,6.81,3.048,228.9226,"Aug 22, 13",0.005107386066003088
2013-08-23,231.52,231.55,226.77,229,43553,43553,-1.25,-0.543,228.5223,"Aug 23, 13",-0.00034922297887206435
