date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,9.0613,9.0613,8.9932,8.9936,51783,51783,-0.075322,-0.831,9.0344,"Aug 5, 13",0
2013-08-06,9.0159,9.0386,8.8418,8.8645,134979,134979,-0.129071,-1.435,8.9158,"Aug 6, 13",-0.014354652197118073
2013-08-07,8.7964,8.9099,8.7888,8.8569,112581,112581,-0.00757,-0.085,8.8523,"Aug 7, 13",-0.015199697562711388
2013-08-08,8.8645,8.9932,8.8645,8.9175,96728,96728,0.06056,0.684,8.9243,"Aug 8, 13",-0.008461572673901472
2013-08-09,8.8872,8.9856,8.8645,8.9637,74140,74140,0.046182,0.518,8.9349,"Aug 9, 13",-0.00332458637253173
2013-08-12,9.0311,9.0462,8.9175,8.9478,124026,124026,-0.015899,-0.177,8.9854,"Aug 12, 13",-0.005092510229496513
2013-08-13,8.9421,8.9497,8.8355,8.8431,80001,80001,-0.104643,-1.169,8.884,"Aug 13, 13",-0.016734122042341325
2013-08-14,8.8279,8.8584,8.7899,8.8127,80972,80972,-0.030434,-0.344,8.8304,"Aug 14, 13",-0.020114303504714593
2013-08-15,8.7747,8.7899,8.6605,8.729,135692,135692,-0.083721,-0.95,8.7296,"Aug 15, 13",-0.02942092154420938
2013-08-16,8.6757,8.6932,8.554,8.5844,235361,235361,-0.144593,-1.656,8.6253,"Aug 16, 13",-0.04549902152641881
2013-08-19,8.5616,8.7214,8.5616,8.7214,161270,161270,0.136985,1.596,8.6195,"Aug 19, 13",-0.030265966909802697
2013-08-20,8.7214,8.9497,8.6986,8.9193,203786,203786,0.197872,2.269,8.8126,"Aug 20, 13",-0.008261430350471548
2013-08-21,8.8736,8.9497,8.866,8.904,149297,149297,-0.015225,-0.171,8.8959,"Aug 21, 13",-0.009962640099626488
2013-08-22,8.8584,8.9573,8.8508,8.904,93653,93653,0,0,8.9071,"Aug 22, 13",-0.009962640099626488
2013-08-23,8.9345,8.9725,8.8812,8.9725,82391,82391,0.068495,0.769,8.9268,"Aug 23, 13",-0.0023461127913183334
2013-08-26,9.003,9.1019,8.9269,9.0334,143283,143283,0.060884,0.679,9.0312,"Aug 26, 13",0.004425369151396506
2013-08-27,8.9725,9.0562,8.8546,8.866,133652,133652,-0.167432,-1.853,8.9487,"Aug 27, 13",-0.01418786692759307
2013-08-28,8.8508,8.9497,8.8508,8.8888,99904,99904,0.022837,0.258,8.903,"Aug 28, 13",-0.011652730830813121
