date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,21.9606,22.0989,21.7511,21.9467,25913,25913,0.027932,0.127,21.9269,"Aug 5, 13",0
2013-08-06,21.786,22.2609,21.786,22.205,71133,71133,0.258361,1.177,22.1258,"Aug 6, 13",0.011769423193464093
2013-08-07,22.3656,22.4145,22.226,22.3656,64233,64233,0.1606,0.723,22.3385,"Aug 7, 13",0.01908715205475086
2013-08-08,22.5472,22.6938,22.4564,22.624,44860,44860,0.258364,1.155,22.5595,"Aug 8, 13",0.030861131741901922
2013-08-09,22.596,22.7357,22.3439,22.624,28199,28199,0,0,22.6209,"Aug 9, 13",0.030861131741901922
2013-08-12,22.8195,22.8335,22.5541,22.5541,93622,93622,-0.069831,-0.309,22.7351,"Aug 12, 13",0.027676142654704278
2013-08-13,22.5611,22.7286,22.4145,22.4773,42987,42987,-0.076808,-0.341,22.5702,"Aug 13, 13",0.02417675550310524
2013-08-14,22.5192,22.6379,22.2748,22.2748,39057,39057,-0.202499,-0.901,22.4617,"Aug 14, 13",0.01494985578697477
2013-08-15,22.3307,22.3377,21.6394,21.7372,54191,54191,-0.53767,-2.414,21.893,"Aug 15, 13",-0.009545854274218833
2013-08-16,21.5835,21.9327,21.409,21.8139,53948,53948,0.076743,0.353,21.812,"Aug 16, 13",-0.006051023616306761
2013-08-19,21.814,23.1407,21.0598,21.0948,42456,42456,-0.719152,-3.297,21.3377,"Aug 19, 13",-0.03881676971936558
2013-08-20,21.0529,21.2623,20.9481,20.9551,35705,35705,-0.139654,-0.662,21.0814,"Aug 20, 13",-0.045182191400073735
2013-08-21,20.9481,21.0598,20.599,20.6479,58897,58897,-0.30724,-1.466,20.8726,"Aug 21, 13",-0.05917974000647022
2013-08-22,20.6409,20.9411,20.6409,20.7037,23012,23012,0.055866,0.271,20.8077,"Aug 22, 13",-0.05663721652913643
2013-08-23,20.8015,20.9691,20.6689,20.9202,18953,18953,0.216463,1.046,20.8899,"Aug 23, 13",-0.046772407696829076
2013-08-26,20.9551,21.1925,20.5641,20.5641,29569,29569,-0.356122,-1.702,20.8609,"Aug 26, 13",-0.06299808171615778
2013-08-27,20.2429,20.2429,19.7332,19.8379,70739,70739,-0.726199,-3.531,19.9237,"Aug 27, 13",-0.09608733887099194
2013-08-28,19.7052,19.8937,19.4107,19.4119,70180,70180,-0.425945,-2.147,19.7372,"Aug 28, 13",-0.11549800197751829
2013-08-29,19.3421,19.3561,18.9179,19.0139,64467,64467,-0.398015,-2.05,19.1734,"Aug 29, 13",-0.1336328468516907
2013-08-30,19.0488,19.3633,18.8952,19.3561,33389,33389,0.342152,1.799,19.1358,"Aug 30, 13",-0.11804052545485191
2013-09-03,19.4119,21.8768,19.4119,19.8518,61014,61014,0.495775,2.561,19.8263,"Sep 3, 13",-0.09545398624850202
2013-09-04,19.8169,19.8798,19.6563,19.7261,30734,30734,-0.125693,-0.633,19.7653,"Sep 4, 13",-0.10118149881303344
2013-09-05,19.803,19.8937,19.5516,19.6703,17906,17906,-0.05586,-0.283,19.6636,"Sep 5, 13",-0.10372402229036706
2013-09-06,19.6912,20.1605,19.6912,19.9705,52769,52769,0.300257,1.526,20.0008,"Sep 6, 13",-0.0900454282420591
2013-09-09,20.0194,20.8713,20.0194,20.7526,43108,43108,0.782062,3.916,20.5353,"Sep 9, 13",-0.054409091116204206
2013-09-10,21.011,21.2973,20.8853,21.1297,31662,31662,0.377068,1.817,21.1005,"Sep 10, 13",-0.03722655342261024
2013-09-11,21.2693,21.395,21.1195,21.2281,46302,46302,0.098456,0.466,21.2508,"Sep 11, 13",-0.03274296363462382
2013-09-12,21.1576,21.3392,20.6339,20.7037,54439,54439,-0.524399,-2.47,21.0337,"Sep 12, 13",-0.05663721652913643
2013-09-13,20.8992,21.1436,20.7107,20.9202,32852,32852,0.216463,1.046,20.8958,"Sep 13, 13",-0.046772407696829076
2013-09-16,21.2135,21.3322,20.7736,20.8504,60552,60552,-0.069827,-0.334,21.1253,"Sep 16, 13",-0.04995284029033975
2013-09-17,20.7805,21.1575,20.613,20.9342,42934,42934,0.083792,0.402,20.8375,"Sep 17, 13",-0.04613449858065218
2013-09-18,20.8364,21.8559,20.7933,21.7448,60492,60492,0.81069,3.873,21.241,"Sep 18, 13",-0.009199560754008504
2013-09-19,21.8978,22.0346,21.7442,21.821,29515,29515,0.076183,0.35,21.8041,"Sep 19, 13",-0.005727512564531268
2013-09-20,21.8768,22.0584,21.2135,21.3112,46419,46419,-0.509808,-2.336,21.5888,"Sep 20, 13",-0.028956517380745186
2013-09-23,21.4439,21.5835,20.7805,20.7945,47243,47243,-0.516721,-2.425,21.0893,"Sep 23, 13",-0.0524999202613605
2013-09-24,20.7107,21.1017,20.5501,20.5571,26227,26227,-0.237411,-1.142,20.74,"Sep 24, 13",-0.06331703627424631
2013-09-25,20.5222,20.7456,20.4174,20.7317,36041,36041,0.174568,0.849,20.6065,"Sep 25, 13",-0.05536139829678265
2013-09-26,20.8085,21.1576,20.6688,20.6758,33850,33850,-0.055862,-0.269,20.8646,"Sep 26, 13",-0.057908478267803404
2013-09-27,20.7386,20.8504,20.599,20.613,52159,52159,-0.062844,-0.304,20.6838,"Sep 27, 13",-0.060769956303225556
2013-09-30,20.3267,20.6182,20.2638,20.3616,31425,31425,-0.251378,-1.22,20.4074,"Sep 30, 13",-0.07222498143228825
2013-10-01,20.4663,20.6339,20.3336,20.599,29835,29835,0.237413,1.166,20.5226,"Oct 1, 13",-0.06140786541940245
2013-10-02,20.5711,20.9062,20.5711,20.7736,36668,36668,0.174568,0.847,20.7405,"Oct 2, 13",-0.05345222744193895
2013-10-03,20.7736,20.7736,20.5292,20.592,38350,38350,-0.181551,-0.874,20.6163,"Oct 3, 13",-0.06172681997749097
2013-10-04,20.7805,21.108,20.6339,20.6339,47893,47893,0.041897,0.203,20.7721,"Oct 4, 13",-0.05981764912264711
2013-10-07,20.8205,20.9783,20.7417,20.8205,34202,34202,0.186561,0.904,20.8247,"Oct 7, 13",-0.051315231902746235
2013-10-08,20.7919,20.928,20.3473,20.419,51072,51072,-0.40143,-1.928,20.5634,"Oct 8, 13",-0.06960955405596282
2013-10-09,20.4549,20.4549,20.1538,20.1824,53394,53394,-0.236597,-1.159,20.0744,"Oct 9, 13",-0.08039021811935274
2013-10-10,20.4262,20.6341,20.1896,20.4692,26806,26806,0.286785,1.421,20.4195,"Oct 10, 13",-0.06732219422509986
2013-10-11,20.4764,20.6986,20.3043,20.5624,25544,25544,0.093207,0.455,20.519,"Oct 11, 13",-0.0630755421088364
2013-10-14,20.4907,20.627,20.4406,20.5768,19061,19061,0.014338,0.07,20.5138,"Oct 14, 13",-0.062419407017911634
2013-10-15,20.627,20.6485,20.3975,20.5839,58931,58931,0.007169,0.035,20.5795,"Oct 15, 13",-0.06209589596613614
2013-10-16,20.6126,20.8492,20.4843,20.5911,58688,58688,0.00717,0.035,20.6128,"Oct 16, 13",-0.06176782842067368
2013-10-17,20.5409,20.8313,20.4076,20.6485,56802,56802,0.057356,0.279,20.6111,"Oct 17, 13",-0.059152401044348414
2013-10-18,20.6771,20.9854,20.6771,20.7919,81925,81925,0.143394,0.694,20.8228,"Oct 18, 13",-0.05261838909722198
2013-10-21,20.8134,20.9926,20.5624,20.5696,49743,49743,-0.222259,-1.069,20.7742,"Oct 21, 13",-0.06274747456337393
2013-10-22,20.5696,21.0356,20.5122,20.8349,40525,40525,0.265277,1.29,20.832,"Oct 22, 13",-0.05065909681182131
2013-10-23,20.799,21.0284,20.6341,20.67,52679,52679,-0.164903,-0.791,20.7865,"Oct 23, 13",-0.058172754901648
2013-10-24,20.7632,20.9998,20.67,20.67,44318,44318,0,0,20.837,"Oct 24, 13",-0.058172754901648
2013-10-25,20.7632,20.7919,20.6062,20.6986,32118,32118,0.028679,0.139,20.7625,"Oct 25, 13",-0.05686959770717242
2013-10-28,20.799,21.0786,20.7703,20.8277,34829,34829,0.129053,0.623,20.927,"Oct 28, 13",-0.050987164357283773
2013-10-29,20.8205,20.9639,20.8062,20.8994,26652,26652,0.071696,0.344,21.3449,"Oct 29, 13",-0.047720158383720554
2013-10-30,20.8707,20.9432,20.7847,20.9424,26522,26522,0.043017,0.206,20.8663,"Oct 30, 13",-0.04576086609832005
2013-10-31,20.8134,20.8852,20.5983,20.6125,18780,18780,-0.329873,-1.575,20.7162,"Oct 31, 13",-0.060792738771660394
2013-11-01,20.6126,20.8564,20.5553,20.6298,26176,26176,0.017278,0.084,20.6846,"Nov 1, 13",-0.06000446536381326
2013-11-04,20.5696,20.8349,20.5696,20.6485,15545,15545,0.018641,0.09,20.6846,"Nov 4, 13",-0.059152401044348414
