date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-05-28,3.75,3.75,3.5,3.5,2500,2500,3.5,0,3.7,"May 28, 15",0
2015-06-08,4,4,4,4,350,350,0.5,14.286,4,"Jun 8, 15",0.14285714285714285
2015-07-10,4,4,4,4,1000,1000,0,0,4,"Jul 10, 15",0.14285714285714285
2015-07-13,4.25,4.25,4.25,4.25,100,100,0.25,6.25,4.25,"Jul 13, 15",0.21428571428571427
2015-07-16,3.5,3.5,3.5,3.5,200,200,-0.75,-17.647,3.5,"Jul 16, 15",0
2015-07-30,4,4,4,4,2500,2500,0.5,14.286,4,"Jul 30, 15",0.14285714285714285
2015-08-11,4.2,4.2,4.2,4.2,4000,4000,0.2,5,4.2,"Aug 11, 15",0.20000000000000004
2015-10-29,4.4,4.4,4.4,4.4,2500,2500,0.2,4.762,4.4,"Oct 29, 15",0.25714285714285723
2015-10-30,4.65,4.65,4.65,4.65,2600,2600,0.25,5.682,4.65,"Oct 30, 15",0.3285714285714287
2015-11-02,4.7,4.7,4.7,4.7,1000,1000,0.05,1.075,4.7,"Nov 2, 15",0.3428571428571429
2015-11-03,4.7,4.7,4.7,4.7,1200,1200,0,0,4.7,"Nov 3, 15",0.3428571428571429
2015-11-04,4.7,4.72,4.7,4.72,1200,1200,0.02,0.426,4.7117,"Nov 4, 15",0.3485714285714285
2015-11-05,4.75,4.75,4.75,4.75,1700,1700,0.03,0.636,4.75,"Nov 5, 15",0.35714285714285715
2015-11-06,4.75,4.75,4.75,4.75,1000,1000,0,0,4.75,"Nov 6, 15",0.35714285714285715
2015-11-09,4.8,4.8,4.8,4.8,1000,1000,0.05,1.053,4.8,"Nov 9, 15",0.3714285714285714
2015-11-10,4.82,4.82,4.82,4.82,1000,1000,0.02,0.417,4.82,"Nov 10, 15",0.3771428571428572
2015-11-11,4.82,4.85,4.82,4.85,1000,1000,0.03,0.622,4.835,"Nov 11, 15",0.3857142857142856
2015-11-18,4.85,4.85,4.85,4.85,100,100,0,0,4.85,"Nov 18, 15",0.3857142857142856
2015-11-23,4.85,4.85,4.85,4.85,1000,1000,0,0,4.85,"Nov 23, 15",0.3857142857142856
2015-11-25,4.82,4.85,4.82,4.85,1500,1500,0,0,4.832,"Nov 25, 15",0.3857142857142856
2015-11-27,4.85,4.85,4.85,4.85,1500,1500,0,0,4.85,"Nov 27, 15",0.3857142857142856
2015-12-03,4.85,4.85,4.85,4.85,500,500,0,0,4.85,"Dec 3, 15",0.3857142857142856
2015-12-07,4.86,4.86,4.86,4.86,500,500,0.01,0.206,4.86,"Dec 7, 15",0.3885714285714287
2015-12-08,4.85,4.85,4.85,4.85,500,500,-0.01,-0.206,4.85,"Dec 8, 15",0.3857142857142856
2015-12-10,4.85,4.85,4.85,4.85,800,800,0,0,4.85,"Dec 10, 15",0.3857142857142856
2015-12-11,4.85,4.86,4.85,4.86,1530,1530,0.01,0.206,4.8565,"Dec 11, 15",0.3885714285714287
2015-12-15,4.86,4.86,4.86,4.86,1560,1560,0,0,4.86,"Dec 15, 15",0.3885714285714287
2015-12-17,4.86,4.86,4.86,4.86,500,500,0,0,4.86,"Dec 17, 15",0.3885714285714287
