date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,60.699,61.055,60.4366,60.8302,1390842,1390842,-0.037478,-0.062,60.7424,"Aug 5, 13",0
2013-08-06,60.8302,60.8676,59.6027,60.0993,1433763,1433763,-0.730863,-1.201,60.0438,"Aug 6, 13",-0.012015413396635198
2013-08-07,59.8276,60.0056,59.2466,59.7432,1832859,1832859,-0.356057,-0.592,59.6802,"Aug 7, 13",-0.01786941354787583
2013-08-08,59.9025,60.4085,59.1623,59.9494,1567610,1567610,0.206137,0.345,59.7616,"Aug 8, 13",-0.01447964991073514
2013-08-09,60.015,60.0993,59.5277,59.8088,838381,838381,-0.140548,-0.234,59.8578,"Aug 9, 13",-0.016791001837902882
2013-08-12,59.4996,59.9681,59.2185,59.4247,863737,863737,-0.384172,-0.642,59.4408,"Aug 12, 13",-0.02310529967022953
2013-08-13,59.4528,59.8838,58.9561,59.7339,984265,984265,0.30921,0.52,59.5384,"Aug 13, 13",-0.01802229813480803
2013-08-14,59.6776,59.8463,59.003,59.0124,1056767,1056767,-0.72149,-1.208,59.2157,"Aug 14, 13",-0.029883183024221494
2013-08-15,58.7219,59.3309,58.2347,59.0311,888403,888403,0.018741,0.032,58.9257,"Aug 15, 13",-0.029575769930067563
2013-08-16,58.572,59.0405,58.319,58.7032,1528027,1528027,-0.327951,-0.556,58.7189,"Aug 16, 13",-0.034966184559642996
2013-08-19,58.7313,59.1248,57.888,57.9161,1191123,1191123,-0.787081,-1.341,58.3455,"Aug 19, 13",-0.047905481159029525
2013-08-20,58.0379,58.8156,57.8973,58.319,966052,966052,0.402909,0.696,58.494,"Aug 20, 13",-0.0412821263122593
2013-08-21,58.3284,58.5813,57.813,57.8973,1015615,1015615,-0.42165,-0.723,58.1438,"Aug 21, 13",-0.04821453817347299
2013-08-22,58.0192,58.7969,57.8247,58.5532,622737,622737,0.6559,1.133,58.5243,"Aug 22, 13",-0.037432064994032586
2013-08-23,58.6282,59.0967,58.066,58.9936,860701,860701,0.440393,0.752,58.8177,"Aug 23, 13",-0.03019224003866496
2013-08-26,59.1435,59.687,58.7781,58.8812,713521,713521,-0.112441,-0.191,59.2074,"Aug 26, 13",-0.032040006444167504
2013-08-27,58.1316,58.9749,57.4054,57.5038,1890521,1890521,-1.3774,-2.339,57.9534,"Aug 27, 13",-0.054683364513021485
2013-08-28,57.5038,58.1691,57.5038,57.8599,2073862,2073862,0.356063,0.619,57.923,"Aug 28, 13",-0.04882936436178074
2013-08-29,57.813,58.0566,57.3726,57.4851,1349586,1349586,-0.374802,-0.648,57.6227,"Aug 29, 13",-0.05499077760717531
2013-08-30,57.635,57.9442,57.1571,57.56,1581358,1581358,0.074961,0.13,57.4829,"Aug 30, 13",-0.053759481310270155
2013-09-03,58.1878,58.4595,57.7662,58.2628,1398923,1398923,0.702749,1.221,58.1603,"Sep 3, 13",-0.04220600951501063
2013-09-04,58.1878,58.8343,57.9161,58.675,1054693,1054693,0.412282,0.708,58.5595,"Sep 4, 13",-0.03542977008130831
2013-09-05,58.7969,59.2466,58.5813,58.9374,1045651,1045651,0.262362,0.447,58.9794,"Sep 5, 13",-0.03111612324141629
2013-09-06,59.1248,59.7995,58.6844,58.9468,1497416,1497416,0.00937,0.016,59.2648,"Sep 6, 13",-0.03096159473419444
2013-09-09,59.1998,60.1087,59.0686,60.0899,1675213,1675213,1.1431,1.939,59.8624,"Sep 9, 13",-0.012169941903856929
2013-09-10,60.3429,60.9894,59.8369,60.9613,2180122,2180122,0.871411,1.45,60.6326,"Sep 10, 13",0.002155179499656479
2013-09-11,61.3736,62.0201,61.0738,62.0014,1918747,1918747,1.0401,1.706,61.651,"Sep 11, 13",0.019253594431713178
2013-09-12,61.9733,63.0227,61.9358,62.5449,2135784,2135784,0.543461,0.877,62.5077,"Sep 12, 13",0.02818830120565115
2013-09-13,62.5449,62.8447,62.2075,62.3294,1611873,1611873,-0.215513,-0.345,62.4542,"Sep 13, 13",0.02464565298157826
2013-09-16,62.8447,62.8916,61.5235,61.7484,1578720,1578720,-0.580942,-0.932,61.904,"Sep 16, 13",0.015094476099042891
2013-09-17,61.636,62.1138,61.383,61.9358,1244776,1244776,0.187401,0.303,61.893,"Sep 17, 13",0.01817518272174023
2013-09-18,61.9358,63.6786,61.6735,63.5006,1363235,1363235,1.5648,2.526,62.8893,"Sep 18, 13",0.04389924741329144
2013-09-19,63.5943,64.119,63.0883,63.1914,1248655,1248655,-0.30921,-0.487,63.4491,"Sep 19, 13",0.038816245877869936
