date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,14.1057,14.2947,14.0068,14.1687,3373859,3373859,0.008999,0.064,14.173,"Aug 5, 13",0
2013-08-06,14.1237,14.1507,13.7369,13.7729,4625816,4625816,-0.395824,-2.794,13.8332,"Aug 6, 13",-0.027934814061981658
2013-08-07,13.7369,13.9438,13.6379,13.9078,3970589,3970589,0.134941,0.98,13.8217,"Aug 7, 13",-0.01841382766238254
2013-08-08,13.9798,14.1957,13.8651,14.0788,2526746,2526746,0.170923,1.229,14.0604,"Aug 8, 13",-0.0063449716628907445
2013-08-09,14.0248,14.1327,13.8269,14.0158,2388065,2388065,-0.062972,-0.447,13.9829,"Aug 9, 13",-0.010791392294282392
2013-08-12,13.8988,14.0967,13.8808,14.0068,3518112,3518112,-0.008996,-0.064,14.0126,"Aug 12, 13",-0.011426595241624092
2013-08-13,14.0428,14.3846,13.9438,14.2587,3338802,3338802,0.251886,1.798,14.2398,"Aug 13, 13",0.006352029473416747
2013-08-14,14.2767,14.3486,14.0788,14.1237,1955565,1955565,-0.134938,-0.946,14.1624,"Aug 14, 13",-0.0031760147367083736
2013-08-15,14.0248,14.2092,13.9708,14.1327,2785445,2785445,0.008993,0.064,14.1256,"Aug 15, 13",-0.0025408117893666736
2013-08-16,14.1057,14.1777,13.9438,14.0608,2562698,2562698,-0.071966,-0.509,14.0582,"Aug 16, 13",-0.007615377557574019
2013-08-19,13.9888,14.0788,13.9079,13.9708,2593165,2593165,-0.089961,-0.64,13.9734,"Aug 19, 13",-0.013967407030990765
2013-08-20,13.9348,14.3126,13.8628,14.1777,2515646,2515646,0.206911,1.481,14.1578,"Aug 20, 13",0.0006352029473416997
2013-08-21,14.1147,14.1417,13.8449,13.8628,2378727,2378727,-0.314862,-2.221,13.944,"Aug 21, 13",-0.02158984239909091
2013-08-22,13.8988,14.3126,13.8808,14.2227,2241774,2241774,0.359841,2.596,14.2035,"Aug 22, 13",0.003811217684050073
2013-08-23,14.2587,14.4026,14.1057,14.3037,2594805,2594805,0.080964,0.569,14.269,"Aug 23, 13",0.00952804421012512
2013-08-26,14.3216,14.4476,14.2317,14.2407,2064824,2064824,-0.062974,-0.44,14.3242,"Aug 26, 13",0.005081623578733473
2013-08-27,14.0608,14.1867,13.8359,13.8359,2426605,2426605,-0.404817,-2.843,13.9529,"Aug 27, 13",-0.023488393430589883
2013-08-28,13.8808,14.2587,13.8449,14.1327,2115523,2115523,0.296864,2.146,14.1274,"Aug 28, 13",-0.0025408117893666736
2013-08-29,14.1057,14.1237,13.8988,13.9438,1767668,1767668,-0.188915,-1.337,14.0032,"Aug 29, 13",-0.015873015873015865
2013-08-30,13.9618,14.0158,13.8179,13.8538,2867060,2867060,-0.089961,-0.645,13.9,"Aug 30, 13",-0.02222504534643261
2013-09-03,14.0608,14.1597,13.7639,13.8718,2790095,2790095,0.017995,0.13,13.929,"Sep 3, 13",-0.02095463945174921
2013-09-04,13.8448,14.1063,13.7185,14.0612,4547484,4547484,0.189407,1.365,13.9812,"Sep 4, 13",-0.00758714631547001
2013-09-05,14.1154,14.6746,14.1154,14.5573,4227871,4227871,0.496066,3.528,14.5295,"Sep 5, 13",0.027426651704108372
2013-09-06,14.5573,14.643,14.3408,14.395,2709958,2709958,-0.162348,-1.115,14.4794,"Sep 6, 13",0.015971825220380147
2013-09-09,14.4401,14.7106,14.4401,14.6926,2580402,2580402,0.297638,2.068,14.6268,"Sep 9, 13",0.036975869345811624
2013-09-10,14.7106,14.8279,14.5663,14.8008,2673723,2673723,0.108236,0.737,14.7502,"Sep 10, 13",0.04461242033496377
2013-09-11,14.7918,14.8008,14.431,14.7828,3752137,3752137,-0.018042,-0.122,14.6222,"Sep 11, 13",0.04334201444028037
2013-09-12,14.8008,14.882,14.6475,14.7377,2995108,2995108,-0.045097,-0.305,14.749,"Sep 12, 13",0.040158941893046
2013-09-13,14.6926,14.8008,14.5483,14.7648,2549323,2549323,0.02706,0.184,14.697,"Sep 13, 13",0.042071608545596974
2013-09-16,14.8369,14.8865,14.6114,14.6836,3257502,3257502,-0.081175,-0.55,14.7361,"Sep 16, 13",0.036340666398469924
2013-09-17,14.6746,14.7287,14.5393,14.5754,2672124,2672124,-0.108232,-0.737,14.6091,"Sep 17, 13",0.028704115409317773
2013-09-18,14.6024,14.9406,14.4761,14.8369,3004869,3004869,0.261562,1.795,14.7431,"Sep 18, 13",0.04716028993485645
2013-09-19,14.882,14.9812,14.7738,14.8369,2565261,2565261,0,0,14.8659,"Sep 19, 13",0.04716028993485645
2013-09-20,14.882,14.9361,14.5799,14.7557,9020636,9020636,-0.081176,-0.547,14.7494,"Sep 20, 13",0.041429347787729276
2013-09-23,14.6655,14.7377,14.5483,14.5663,2542819,2542819,-0.189408,-1.284,14.6058,"Sep 23, 13",0.02806185465145007
2013-09-24,14.5844,14.864,14.4581,14.6655,3633710,3633710,0.099216,0.681,14.6998,"Sep 24, 13",0.03506320269326052
2013-09-25,14.7197,15.0804,14.7103,14.7557,3094882,3094882,0.090192,0.615,14.892,"Sep 25, 13",0.041429347787729276
2013-09-26,14.8099,14.9542,14.6926,14.8189,2743556,2743556,0.063137,0.428,14.8233,"Sep 26, 13",0.04588988404017305
2013-09-27,14.7197,14.855,14.5483,14.8099,2984560,2984560,-0.009019,-0.061,14.774,"Sep 27, 13",0.04525468109283148
2013-09-30,14.6024,14.6655,14.4356,14.4852,4368118,4368118,-0.324699,-2.192,14.5406,"Sep 30, 13",0.022337970314849024
2013-10-01,14.4852,14.9361,14.4852,14.891,2620826,2620826,0.405871,2.802,14.8172,"Oct 1, 13",0.05097856542943253
2013-10-02,14.7738,15.1797,14.6565,15.1797,3915701,3915701,0.288623,1.938,15.3129,"Oct 2, 13",0.07135446441804831
2013-10-03,15.1436,15.4953,15.0714,15.4412,6098728,6098728,0.261562,1.723,15.2849,"Oct 3, 13",0.08981063894358698
2013-10-04,15.4593,15.8651,15.2608,15.7389,4480510,4480510,0.297642,1.928,15.6606,"Oct 4, 13",0.11082174087954434
2013-10-07,15.4773,15.4953,15.2924,15.3059,3444791,3444791,-0.432931,-2.751,15.3878,"Oct 7, 13",0.08026142130188373
2013-10-08,15.3691,15.5585,15.1255,15.1436,4050611,4050611,-0.16235,-1.061,15.2754,"Oct 8, 13",0.0688065948181555
2013-10-09,15.1526,15.2428,14.864,15.1255,3708152,3708152,-0.018039,-0.119,14.2476,"Oct 9, 13",0.06752913111294623
2013-10-10,15.2969,15.4773,15.2338,15.4593,2642016,2642016,0.333719,2.206,15.3761,"Oct 10, 13",0.09108810264879638
2013-10-11,15.342,15.5179,15.2338,15.4142,2822311,2822311,-0.045099,-0.292,15.3772,"Oct 11, 13",0.08790503010156188
2013-10-14,15.2969,15.6487,15.2253,15.5945,2178340,2178340,0.180388,1.17,15.383,"Oct 14, 13",0.10063026247997352
2013-10-15,15.5044,15.5495,15.2698,15.342,4327487,4327487,-0.252543,-1.619,15.393,"Oct 15, 13",0.08280929090177654
2013-10-16,15.4863,15.7208,15.4412,15.7028,2862175,2862175,0.360775,2.352,15.5949,"Oct 16, 13",0.10827387127965167
2013-10-17,15.6667,15.82,15.5585,15.7749,2553870,2553870,0.072158,0.46,15.7233,"Oct 17, 13",0.11336255266891114
2013-10-18,16.0004,16.1628,15.9373,16.0545,3263460,3263460,0.2796,1.772,16.0557,"Oct 18, 13",0.1330961908996592
2013-10-21,15.9192,16.1988,15.8155,15.8651,4962644,4962644,-0.189406,-1.18,16.019,"Oct 21, 13",0.1197286977633799
2013-10-22,15.9643,16.1357,15.8832,16.0816,4595056,4595056,0.216463,1.364,16.019,"Oct 22, 13",0.13500885755221032
2013-10-23,15.784,15.8291,15.0985,15.2067,6839006,6839006,-0.874879,-5.44,15.3029,"Oct 23, 13",0.07326007326007328
2013-10-24,15.1797,15.2789,14.7918,15.0534,5415984,5415984,-0.153331,-1.008,15.0492,"Oct 24, 13",0.06244044972368675
2013-10-25,15.0804,15.1887,15.0173,15.1165,2763991,2763991,0.063135,0.419,15.0841,"Oct 25, 13",0.06689392816560454
2013-10-28,15.1797,15.4683,15.1346,15.4502,3829377,3829377,0.333716,2.208,15.3533,"Oct 28, 13",0.09044584189092869
2013-10-29,15.4232,15.9192,15.3961,15.9012,5916136,5916136,0.450973,2.919,15.7356,"Oct 29, 13",0.12227656736327257
2013-10-30,15.9373,16.2981,15.6802,15.7749,7086028,7086028,-0.126271,-0.794,15.9318,"Oct 30, 13",0.11336255266891114
2013-10-31,15.7659,15.82,15.4322,15.7659,5396481,5396481,-0.00902,-0.057,15.6995,"Oct 31, 13",0.11272734972156943
2013-11-01,15.82,16.0365,15.6667,16.0004,5993157,5993157,0.234505,1.487,15.8845,"Nov 1, 13",0.12927791540508302
2013-11-04,16.0545,16.271,15.9283,16.1898,3786668,3786668,0.189406,1.184,16.1452,"Nov 4, 13",0.14264540854136246
2013-11-05,16.1087,16.1402,15.8832,16.0726,4360873,4360873,-0.117254,-0.724,16.0203,"Nov 5, 13",0.1343736546048686
2013-11-06,16.1718,16.3071,15.9689,16.1628,3237249,3237249,0.090196,0.561,16.125,"Nov 6, 13",0.14073979969933736
2013-11-07,16.2169,16.2439,15.5269,15.5585,3637235,3637235,-0.604301,-3.739,15.7391,"Nov 7, 13",0.09808945069060683
2013-11-08,15.6036,16.1808,15.6036,16.1628,4102387,4102387,0.604301,3.884,15.9874,"Nov 8, 13",0.14073979969933736
2013-11-11,16.2259,16.5326,16.1087,16.3612,3240829,3240829,0.198427,1.228,16.4228,"Nov 11, 13",0.15474249578295826
2013-11-12,16.289,16.289,15.7749,15.8832,3360250,3360250,-0.478029,-2.922,15.9385,"Nov 12, 13",0.1210061614685893
2013-11-13,15.7298,15.8922,15.5179,15.8832,3079855,3079855,0,0,15.746,"Nov 13, 13",0.1210061614685893
2013-11-14,15.9012,16.0004,15.7749,15.9283,2927444,2927444,0.045097,0.284,15.903,"Nov 14, 13",0.12418923401582367
2013-11-15,16.0726,16.1898,15.9463,16.0455,2234477,2234477,0.117254,0.736,16.0678,"Nov 15, 13",0.1324609879523175
2013-11-18,16.0816,16.0906,15.5404,15.5765,2415023,2415023,-0.469011,-2.923,15.726,"Nov 18, 13",0.0993598565852901
2013-11-19,15.5404,15.6847,15.4142,15.5495,2634493,2634493,-0.027057,-0.174,15.5249,"Nov 19, 13",0.09745424774326514
2013-11-20,15.5765,15.6938,15.4547,15.5314,1786888,1786888,-0.018039,-0.116,15.5904,"Nov 20, 13",0.09617678403805574
2013-11-21,15.6306,15.6847,15.5404,15.6396,1421987,1421987,0.108233,0.697,15.63,"Nov 21, 13",0.10381333502720788
