date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,30.54,30.92,30.47,30.74,325623,325623,0.15,0.49,30.7289,"Aug 5, 13",0
2013-08-06,30.57,30.84,30.08,30.26,173633,173633,-0.48,-1.561,30.5205,"Aug 6, 13",-0.015614834092387668
2013-08-07,30.36,30.49,30.08,30.18,102478,102478,-0.08,-0.264,30.2675,"Aug 7, 13",-0.018217306441119022
2013-08-08,28.92,30.46,28.2801,30.05,1107748,1107748,-0.13,-0.431,29.9543,"Aug 8, 13",-0.022446324007807345
2013-08-09,30.47,31.28,30.33,31.02,9222499,9222499,0.97,3.228,30.7487,"Aug 9, 13",0.009108653220559568
2013-08-12,30.99,31.62,30.87,31.6,933104,933104,0.58,1.87,31.3575,"Aug 12, 13",0.027976577748861517
2013-08-13,31.45,32.31,31.28,32.22,912890,912890,0.62,1.962,31.9178,"Aug 13, 13",0.04814573845152897
2013-08-14,32.06,32.7,31.6,32.44,637081,637081,0.22,0.683,32.2276,"Aug 14, 13",0.05530253741053999
2013-08-15,32.17,32.84,31.66,32.79,737287,737287,0.35,1.079,32.2999,"Aug 15, 13",0.06668835393623945
2013-08-16,32.92,32.93,31.92,31.97,1779236,1779236,-0.82,-2.501,32.1187,"Aug 16, 13",0.04001301236174367
2013-08-19,32.44,32.48,31.14,31.46,901623,901623,-0.51,-1.595,31.8973,"Aug 19, 13",0.02342225113858173
2013-08-20,31.21,31.66,30.965,31.46,471103,471103,0,0,31.4056,"Aug 20, 13",0.02342225113858173
2013-08-21,31.17,31.95,31.06,31.8,399526,399526,0.34,1.081,31.5883,"Aug 21, 13",0.03448275862068973
2013-08-22,31.73,32.49,31.58,32.42,312719,312719,0.62,1.95,32.2119,"Aug 22, 13",0.0546519193233573
2013-08-23,32.22,32.27,31.62,31.78,637904,637904,-0.64,-1.974,31.8061,"Aug 23, 13",0.03383214053350692
2013-08-26,31.93,31.93,31.57,31.69,470528,470528,-0.09,-0.283,31.6728,"Aug 26, 13",0.03090435914118422
2013-08-27,31.4,31.5,31.02,31.21,622801,622801,-0.48,-1.515,31.2495,"Aug 27, 13",0.015289525048796436
2013-08-28,31.1,31.32,30.86,31.1,413288,413288,-0.11,-0.352,31.1516,"Aug 28, 13",0.011711125569290924
2013-08-29,30.97,31.26,30.83,31.21,341335,341335,0.11,0.354,31.0898,"Aug 29, 13",0.015289525048796436
2013-08-30,31.13,31.26,30.91,31.09,379151,379151,-0.12,-0.384,31.0524,"Aug 30, 13",0.011385816525699461
2013-09-03,31.35,32.06,31.01,31.46,498107,498107,0.37,1.19,31.5449,"Sep 3, 13",0.02342225113858173
2013-09-04,31.92,32.04,30.95,31.16,571295,571295,-0.3,-0.954,31.3874,"Sep 4, 13",0.013662979830839354
2013-09-05,31.07,31.52,30.88,31.15,564396,564396,-0.01,-0.032,31.0789,"Sep 5, 13",0.013337670787247891
2013-09-06,31.37,31.52,30.87,31.31,186235,186235,0.16,0.514,31.2706,"Sep 6, 13",0.018542615484710485
2013-09-09,31.43,31.74,30.98,31.19,485060,485060,-0.12,-0.383,31.2295,"Sep 9, 13",0.014638906961613626
2013-09-10,31.43,31.94,31.2,31.75,370820,370820,0.56,1.795,31.6666,"Sep 10, 13",0.03285621340273265
2013-09-11,31.6,32.07,31.21,31.8,348486,348486,0.05,0.157,31.6984,"Sep 11, 13",0.03448275862068973
2013-09-12,31.93,32.189,31.84,31.88,440665,440665,0.08,0.252,31.9893,"Sep 12, 13",0.03708523096942097
2013-09-13,31.98,32.61,31.745,32.57,375006,375006,0.69,2.164,32.3487,"Sep 13, 13",0.05953155497722843
2013-09-16,32.76,32.89,32.09,32.3,325414,325414,-0.27,-0.829,32.4959,"Sep 16, 13",0.05074821080026021
2013-09-17,32.25,33.26,32.1,33.18,458400,458400,0.88,2.724,32.8691,"Sep 17, 13",0.07937540663630453
2013-09-18,33.05,33.24,32.42,33.06,210604,210604,-0.12,-0.362,32.8358,"Sep 18, 13",0.07547169811320767
2013-09-19,33.01,33.56,32.86,33.19,297634,297634,0.13,0.393,33.2571,"Sep 19, 13",0.07970071567989588
2013-09-20,33.14,33.16,32.63,33.05,486996,486996,-0.14,-0.422,33.0116,"Sep 20, 13",0.0751463890696161
2013-09-23,33.06,33.674,32.76,32.84,212382,212382,-0.21,-0.635,33.0121,"Sep 23, 13",0.06831489915419665
2013-09-24,32.69,32.9375,31.81,31.94,553992,553992,-0.9,-2.741,32.2031,"Sep 24, 13",0.039037085230969513
2013-09-25,31.83,32.085,31.4101,31.65,615194,615194,-0.29,-0.908,31.6003,"Sep 25, 13",0.029603122966818482
2013-09-26,31.6,31.84,31.125,31.27,644059,644059,-0.38,-1.201,31.5084,"Sep 26, 13",0.017241379310344866
2013-09-27,31.12,31.31,30.47,31.02,359105,359105,-0.25,-0.799,30.9462,"Sep 27, 13",0.009108653220559568
2013-09-30,30.73,30.976,30.19,30.85,924030,924030,-0.17,-0.548,30.6849,"Sep 30, 13",0.0035783994795056274
2013-10-01,30.86,31.17,30.56,30.83,1035592,1035592,-0.02,-0.065,30.8261,"Oct 1, 13",0.002927781392322702
2013-10-02,30.15,31.4,29.86,31.34,1862481,1862481,0.51,1.654,30.4512,"Oct 2, 13",0.019518542615484757
2013-10-03,31.21,31.42,30.4,30.54,398889,398889,-0.8,-2.553,30.6573,"Oct 3, 13",-0.006506180871828214
2013-10-04,30.98,31.97,30.7,31.25,1053070,1053070,0.71,2.325,31.162,"Oct 4, 13",0.016590761223162057
2013-10-07,31.15,31.32,30.79,30.85,417784,417784,-0.4,-1.28,31.0018,"Oct 7, 13",0.0035783994795056274
2013-10-08,30.82,31.05,29.82,30.2,1213091,1213091,-0.65,-2.107,30.1049,"Oct 8, 13",-0.017566688353936214
2013-10-09,30.15,30.585,30,30.32,808182,808182,0.12,0.397,30.2555,"Oct 9, 13",-0.013662979830839238
2013-10-10,30.68,30.985,30.31,30.89,343915,343915,0.57,1.88,30.8319,"Oct 10, 13",0.004879635653871247
2013-10-11,30.96,31.516,30.61,30.74,382157,382157,-0.15,-0.486,30.9278,"Oct 11, 13",0
2013-10-14,30.52,30.674,29.96,30.48,356268,356268,-0.26,-0.846,30.3205,"Oct 14, 13",-0.008458035133376644
2013-10-15,30.48,30.82,29.94,30.16,564595,564595,-0.32,-1.05,30.1377,"Oct 15, 13",-0.01886792452830183
2013-10-16,30.23,30.23,29.5,29.93,865320,865320,-0.23,-0.763,29.8984,"Oct 16, 13",-0.02635003253090432
2013-10-17,29.98,30.17,28.57,29.81,1292275,1292275,-0.12,-0.401,29.4945,"Oct 17, 13",-0.030253741054001294
2013-10-18,30.49,30.655,29.83,30.06,1015687,1015687,0.25,0.839,30.1673,"Oct 18, 13",-0.022121014964215997
2013-10-21,31.17,31.63,30.68,31.22,1364667,1364667,1.16,3.859,31.0505,"Oct 21, 13",0.015614834092387782
2013-10-22,31.26,32.03,31.09,31.99,787476,787476,0.77,2.466,31.6738,"Oct 22, 13",0.040663630448926485
2013-10-23,31.98,32.6,31.638,32.35,713210,713210,0.36,1.125,32.155,"Oct 23, 13",0.05237475601821741
2013-10-24,32.69,33.5,32.33,32.87,1389407,1389407,0.52,1.607,32.7528,"Oct 24, 13",0.0692908262849707
2013-10-25,32.68,33.3,32.34,32.44,1265478,1265478,-0.43,-1.308,32.9007,"Oct 25, 13",0.05530253741053999
2013-10-28,32.69,33.2999,31.8,32.06,1616085,1616085,-0.38,-1.171,32.4643,"Oct 28, 13",0.04294079375406649
2013-10-29,33.3,33.42,31.302,32.23,3081054,3081054,0.17,0.53,32.2485,"Oct 29, 13",0.048471047495120316
2013-10-30,32.25,32.91,31.8001,32.12,494267,494267,-0.11,-0.341,32.4553,"Oct 30, 13",0.0448926480156148
