date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-03-19,21.05,22.45,20.51,21.12,588736,588736,21.12,0,21.1453,"Mar 19, 15",0
2015-03-20,21.03,21.7,21.03,21.7,33810,33810,0.58,2.746,21.3544,"Mar 20, 15",0.02746212121212113
2015-03-23,21.7,21.88,21.35,21.39,13514,13514,-0.31,-1.429,21.5493,"Mar 23, 15",0.012784090909090889
2015-03-24,21.45,22.3499,21.351,22.3,43841,43841,0.91,4.254,21.9845,"Mar 24, 15",0.055871212121212106
2015-03-25,22.4,22.4,21.8,22,38660,38660,-0.3,-1.345,22.0102,"Mar 25, 15",0.041666666666666616
2015-03-26,22,22.069,21.56,22,17066,17066,0,0,21.9888,"Mar 26, 15",0.041666666666666616
2015-03-27,22.15,22.15,21.6,21.61,15586,15586,-0.39,-1.773,21.8451,"Mar 27, 15",0.0232007575757575
2015-03-30,21.29,21.5548,21.25,21.5548,8892,8892,-0.0552,-0.255,21.4253,"Mar 30, 15",0.02058712121212117
2015-03-31,21.72,21.95,21.6,21.95,7113,7113,0.3952,1.833,21.7852,"Mar 31, 15",0.03929924242424234
2015-04-01,22,22,21.5,21.58,10457,10457,-0.37,-1.686,21.7211,"Apr 1, 15",0.0217803030303029
2015-04-02,21.58,22,21.34,21.65,12109,12109,0.07,0.324,21.5091,"Apr 2, 15",0.025094696969696854
2015-04-06,21.43,21.7075,21.352,21.495,2552,2552,-0.155,-0.716,21.643,"Apr 6, 15",0.017755681818181816
2015-04-07,21.2601,21.76,21.2601,21.75,3281,3281,0.255,1.186,21.5284,"Apr 7, 15",0.029829545454545407
2015-04-08,21.76,21.9,21.4207,21.9,6325,6325,0.15,0.69,21.7385,"Apr 8, 15",0.036931818181818066
2015-04-09,21.999,22.05,21.7001,22,24795,24795,0.1,0.457,21.94,"Apr 9, 15",0.041666666666666616
2015-04-10,22,22.24,21.95,22.1,23348,23348,0.1,0.455,22.0416,"Apr 10, 15",0.04640151515151517
2015-04-13,22.18,22.33,22,22.15,19681,19681,0.05,0.226,22.1914,"Apr 13, 15",0.048768939393939274
2015-04-14,22.25,22.25,21.7623,21.99,21220,21220,-0.16,-0.722,21.9897,"Apr 14, 15",0.0411931818181817
2015-04-15,22,22.25,21.95,22.1,42204,42204,0.11,0.5,22.0111,"Apr 15, 15",0.04640151515151517
