date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,33.3315,33.424,32.9529,33.2473,1648663,1648663,-0.201909,-0.604,33.2247,"Aug 5, 13",0
2013-08-06,33.0454,33.1885,32.4313,32.7426,4488088,4488088,-0.504766,-1.518,32.6903,"Aug 6, 13",-0.015180180044695348
2013-08-07,32.5659,32.995,32.3051,32.8856,2209049,2209049,0.143014,0.437,32.7439,"Aug 7, 13",-0.010879078902647917
2013-08-08,33.0539,33.4156,32.894,33.1127,1648891,1648891,0.227147,0.691,33.0915,"Aug 8, 13",-0.004048449046990464
2013-08-09,33.2305,33.5923,32.8351,33.5839,3110148,3110148,0.471118,1.423,33.3701,"Aug 9, 13",0.010124130380512015
2013-08-12,33.3904,34.0129,33.2305,33.954,3439115,3439115,0.370163,1.102,33.7632,"Aug 12, 13",0.021255861378217115
2013-08-13,33.954,34.2485,33.8531,33.9204,3103552,3103552,-0.033652,-0.099,33.9628,"Aug 13, 13",0.020245252997987746
2013-08-14,33.6343,33.8951,32.995,33.0034,2378242,2378242,-0.916996,-2.703,33.2055,"Aug 14, 13",-0.007335934045772244
2013-08-15,32.8772,33.0959,32.608,32.8435,1510982,1510982,-0.15984,-0.484,32.8771,"Aug 15, 13",-0.012145347140970963
2013-08-16,32.8688,32.9108,32.2462,32.5238,1903814,1903814,-0.319687,-0.973,32.5172,"Aug 16, 13",-0.021761165568331905
2013-08-19,32.5238,32.5827,31.7415,31.9938,2496508,2496508,-0.530006,-1.63,32.0634,"Aug 19, 13",-0.03770230966123572
2013-08-20,32.0527,32.3388,31.6069,32.2631,2037143,2037143,0.269211,0.841,32.1551,"Aug 20, 13",-0.029602403804218726
2013-08-21,32.12,32.1831,31.5396,31.5648,2189924,2189924,-0.698264,-2.164,31.7899,"Aug 21, 13",-0.05060561308737855
2013-08-22,31.59,32.4986,31.5816,32.3135,1657372,1657372,0.748739,2.372,32.2304,"Aug 22, 13",-0.028086491233874782
2013-08-23,32.4229,32.7089,31.9686,32.65,1762323,1762323,0.336514,1.041,32.5512,"Aug 23, 13",-0.01796536861639905
2013-08-26,32.7005,33.1464,32.3977,32.507,1196779,1196779,-0.14302,-0.438,32.7387,"Aug 26, 13",-0.022266469758446695
2013-08-27,32.1705,32.4397,32.0948,32.12,1718018,1718018,-0.386989,-1.19,32.2174,"Aug 27, 13",-0.033906512709302866
2013-08-28,32.2126,32.5407,32.1794,32.2715,1834313,1834313,0.15143,0.471,32.3502,"Aug 28, 13",-0.02934975170916133
2013-08-29,32.1369,32.2463,31.6069,31.6489,2197310,2197310,-0.622545,-1.929,31.8336,"Aug 29, 13",-0.04807608437376874
2013-08-30,31.691,31.7835,31.2325,31.2956,2866109,2866109,-0.353337,-1.116,31.4004,"Aug 30, 13",-0.058702511181359156
2013-09-03,31.7667,31.9434,30.917,31.161,2814945,2814945,-0.134605,-0.43,31.2522,"Sep 3, 13",-0.0627509602283494
2013-09-04,31.1694,31.8677,31.1021,31.6742,3094927,3094927,0.513181,1.647,31.6185,"Sep 4, 13",-0.04731512032556038
2013-09-05,31.8677,32.6164,31.7583,32.2042,3660290,3660290,0.530005,1.673,32.3243,"Sep 5, 13",-0.03137397623265656
2013-09-06,32.3472,32.9277,32.2294,32.8099,3836795,3836795,0.605719,1.881,32.7289,"Sep 6, 13",-0.01315595552120033
2013-09-09,32.8604,33.1885,32.8519,33.1043,4294440,4294440,0.294451,0.897,33.0496,"Sep 9, 13",-0.004301101142047645
2013-09-10,32.507,33.424,32.1537,33.2305,4133847,4133847,0.126191,0.381,32.9663,"Sep 10, 13",-0.0005053041901147906
2013-09-11,33.2053,33.4997,33.0034,33.2894,2196145,2196145,0.05889,0.177,33.2888,"Sep 11, 13",0.0012662682383230458
2013-09-12,33.2642,33.4408,33.0454,33.0959,1590904,1590904,-0.193495,-0.581,33.2442,"Sep 12, 13",-0.00455375323710504
2013-09-13,33.0202,33.0875,32.5996,32.6416,2451930,2451930,-0.454291,-1.373,32.7431,"Sep 13, 13",-0.018218020711456444
2013-09-16,32.9781,33.0286,32.5743,32.9361,2812653,2812653,0.294448,0.902,32.8603,"Sep 16, 13",-0.009360158569267262
2013-09-17,32.9361,33.138,32.5743,32.5743,2994974,2994974,-0.36175,-1.098,32.7502,"Sep 17, 13",-0.020242245234951464
2013-09-18,32.5911,33.138,32.5491,33.1296,3027878,3027878,0.555244,1.705,32.923,"Sep 18, 13",-0.003540137093839176
2013-09-19,33.2305,33.2305,32.364,32.6669,4395892,4395892,-0.462702,-1.397,32.6393,"Sep 19, 13",-0.017457056663247976
