date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-06-30,21.5651,21.6512,21.436,21.5221,1014400,1014400,21.5221,0,21.53,"Jun 30, 16",0
2016-07-01,21.6254,21.9525,21.3671,21.7804,274992,274992,0.258264,1.2,21.6453,"Jul 1, 16",0.012001616942584692
2016-07-05,21.7804,21.9525,21.393,21.7804,494551,494551,0,0,21.7091,"Jul 5, 16",0.012001616942584692
2016-07-06,21.7632,22.1764,21.591,21.7804,672023,672023,0,0,21.7149,"Jul 6, 16",0.012001616942584692
2016-07-07,21.7373,21.8234,21.6512,21.7545,324121,324121,-0.025826,-0.119,21.7466,"Jul 7, 16",0.010798202777610082
2016-07-08,21.7804,21.9095,21.7545,21.8923,536002,536002,0.13774,0.633,21.8254,"Jul 8, 16",0.017200923701683413
2016-07-11,21.7545,21.9095,21.7545,21.9095,480582,480582,0.017219,0.079,21.8291,"Jul 11, 16",0.018000102220508366
2016-07-12,21.8665,21.8665,21.7459,21.762,288237,288237,-0.147469,-0.673,21.7992,"Jul 12, 16",0.011146681782911623
2016-07-13,21.7373,21.8062,21.6685,21.8062,322525,322525,0.044163,0.203,21.7369,"Jul 13, 16",0.013200384720821958
2016-07-14,21.7373,21.8062,21.7373,21.7373,147139,147139,-0.068871,-0.316,21.7637,"Jul 14, 16",0.009999024258785294
2016-07-15,21.7373,21.7718,21.6254,21.6951,197906,197906,-0.042183,-0.194,21.6851,"Jul 15, 16",0.00803824905562198
2016-07-18,21.6943,21.7632,21.6771,21.7253,121793,121793,0.030131,0.139,21.7263,"Jul 18, 16",0.009441457850302828
2016-07-19,21.6943,21.7718,21.6857,21.7718,115747,115747,0.046488,0.214,21.7313,"Jul 19, 16",0.011602027683172214
2016-07-20,21.7373,21.8578,21.7373,21.8234,117919,117919,0.051653,0.237,21.7973,"Jul 20, 16",0.013999563239646746
2016-07-21,21.8578,21.8837,21.8235,21.8837,95521,95521,0.060262,0.276,21.8641,"Jul 21, 16",0.0168013344422711
2016-07-22,21.9095,21.9525,21.8234,21.9525,110510,110510,0.068784,0.314,21.8979,"Jul 22, 16",0.01999804851757042
2016-07-25,21.9525,21.9957,21.8665,21.9439,79371,79371,-0.008523,-0.039,21.9418,"Jul 25, 16",0.019598459258157945
2016-07-26,21.9536,22.0386,21.9095,21.9095,139892,139892,-0.034435,-0.157,21.9609,"Jul 26, 16",0.018000102220508366
2016-07-27,21.9534,22.1678,21.9534,22.0558,156352,156352,0.146263,0.668,22.0221,"Jul 27, 16",0.02479776601725683
2016-07-28,22.0559,22.1333,22.0128,22.1333,81158,81158,0.077567,0.352,22.0682,"Jul 28, 16",0.028398715738705806
2016-07-29,22.1354,22.2624,22.0559,22.1678,81598,81598,0.034436,0.156,22.17,"Jul 29, 16",0.030001719163092893
2016-08-01,22.1678,22.2194,22.0989,22.1592,38901,38901,-0.00861,-0.039,22.1599,"Aug 1, 16",0.029602129903680417
2016-08-02,22.0903,22.2108,21.9698,22.0903,49953,49953,-0.068871,-0.311,22.0891,"Aug 2, 16",0.02640076944164375
2016-08-03,22.2193,22.2279,22.0688,22.1893,53346,53346,0.099002,0.448,22.1586,"Aug 3, 16",0.03100069231162392
2016-08-04,22.1333,22.3055,22.0472,22.0731,103007,103007,-0.116218,-0.524,22.1538,"Aug 4, 16",0.02560159092281896
2016-08-05,22.1247,22.1935,22.0559,22.1535,45952,45952,0.080405,0.364,22.143,"Aug 5, 16",0.029337285859651376
2016-08-08,22.1592,22.1935,22.1333,22.185,71222,71222,0.031508,0.142,22.1628,"Aug 8, 16",0.030800897681917683
2016-08-09,22.0903,22.383,22.0903,22.2968,138210,138210,0.111831,0.504,22.2557,"Aug 9, 16",0.035995558054279224
2016-08-10,22.2512,22.3743,22.2194,22.2969,70616,70616,0.000086,0,22.2763,"Aug 10, 16",0.036000204441016564
2016-08-11,22.3313,22.3313,22.1333,22.1333,94296,94296,-0.163569,-0.734,22.2229,"Aug 11, 16",0.028398715738705806
2016-08-12,22.2539,22.2883,22.1549,22.2366,40424,40424,0.103306,0.467,22.2286,"Aug 12, 16",0.033198433238392215
2016-08-15,22.2797,22.2797,22.2022,22.2539,28133,28133,0.017216,0.077,22.2511,"Aug 15, 16",0.03400225814395451
2016-08-16,22.2539,22.3186,22.1936,22.2108,43999,43999,-0.043043,-0.193,22.2291,"Aug 16, 16",0.031999665460154945
2016-08-17,22.2108,22.2969,22.2108,22.2883,38391,38391,0.077481,0.349,22.264,"Aug 17, 16",0.03560061518160409
2016-08-18,22.2883,22.2883,22.228,22.2452,64064,64064,-0.043046,-0.193,22.267,"Aug 18, 16",0.03359802249780469
2016-08-19,22.2194,22.383,22.2108,22.3141,41444,41444,0.06887,0.31,22.2621,"Aug 19, 16",0.03679938295984136
2016-08-22,22.3141,22.3485,22.2452,22.3031,30324,30324,-0.011017,-0.049,22.2957,"Aug 22, 16",0.036288280418732485
2016-08-23,22.383,22.426,22.3141,22.3374,45342,45342,0.034263,0.154,22.3573,"Aug 23, 16",0.037881991069644724
2016-08-24,22.3658,22.4433,22.3313,22.4433,33932,33932,0.10589,0.474,22.386,"Aug 24, 16",0.04280251462450237
2016-08-25,22.4002,22.4433,22.383,22.3916,21450,21450,-0.051655,-0.23,22.4075,"Aug 25, 16",0.0404003326812905
2016-08-26,22.3971,22.4433,22.383,22.4433,19889,19889,0.051655,0.231,22.4076,"Aug 26, 16",0.04280251462450237
2016-08-29,22.5207,22.581,22.426,22.5724,31462,31462,0.129131,0.575,22.4956,"Aug 29, 16",0.04880099990242588
2016-08-30,22.5807,22.5809,22.4433,22.5206,41690,41690,-0.05174,-0.229,22.4923,"Aug 30, 16",0.04639417157247683
2016-08-31,22.4691,22.5551,22.4389,22.5035,56447,56447,-0.01713,-0.076,22.5016,"Aug 31, 16",0.045599639440389216
2016-09-01,22.5552,22.5552,22.4691,22.4841,35824,35824,-0.019456,-0.086,22.4951,"Sep 1, 16",0.04469824041334272
