date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-03-24,19.3601,19.3601,19.3601,19.3601,831700,831700,19.3601,0,19.3601,"Mar 24, 15",0
2015-03-25,19.4072,20.3411,19.3052,19.47,1431911,1431911,0.109865,0.567,19.4654,"Mar 25, 15",0.005676623571159223
2015-03-26,19.5014,19.8545,19.4308,19.4935,1107767,1107767,0.023544,0.121,19.4803,"Mar 26, 15",0.006890460276548249
2015-03-27,19.5014,19.933,19.4857,19.5563,753411,753411,0.062782,0.322,19.5356,"Mar 27, 15",0.010134245174353492
2015-03-30,19.5406,19.5799,19.5014,19.5406,642837,642837,-0.015696,-0.08,19.5406,"Mar 30, 15",0.009323298949902227
2015-03-31,19.5563,19.5956,19.5406,19.5563,281052,281052,0.015696,0.08,19.5708,"Mar 31, 15",0.010134245174353492
2015-04-01,19.572,19.5956,19.5171,19.5563,252234,252234,0,0,19.5504,"Apr 1, 15",0.010134245174353492
2015-04-02,19.5563,19.5642,19.5171,19.5406,98001,98001,-0.015696,-0.08,19.5405,"Apr 2, 15",0.009323298949902227
2015-04-06,19.5171,19.5249,19.4543,19.4778,107132,107132,-0.062782,-0.321,19.4886,"Apr 6, 15",0.0060795140520968
2015-04-07,19.4935,19.5328,19.4778,19.5171,117818,117818,0.039237,0.201,19.5068,"Apr 7, 15",0.008109462244513201
2015-04-08,19.4778,19.5249,19.47,19.4857,109548,109548,-0.031388,-0.161,19.4871,"Apr 8, 15",0.006487569795610671
2015-04-09,19.4935,19.4935,19.4308,19.4465,71565,71565,-0.03924,-0.201,19.4628,"Apr 9, 15",0.004462786865770381
2015-04-10,19.47,19.47,19.4151,19.4465,37936,37936,0,0,19.4446,"Apr 10, 15",0.004462786865770381
2015-04-13,19.4778,19.4778,19.3837,19.4308,129764,129764,-0.015694,-0.081,19.4344,"Apr 13, 15",0.0036518406413191154
2015-04-14,19.4072,19.5171,19.4072,19.5171,127117,127117,0.086322,0.444,19.4804,"Apr 14, 15",0.008109462244513201
2015-04-15,19.5406,19.5406,19.4857,19.5014,92702,92702,-0.015694,-0.08,19.5196,"Apr 15, 15",0.007298516020061936
2015-04-16,19.5328,19.5328,19.47,19.5014,76861,76861,0,0,19.5076,"Apr 16, 15",0.007298516020061936
2015-04-17,19.5092,19.5327,19.4778,19.5014,38770,38770,0,0,19.5048,"Apr 17, 15",0.007298516020061936
2015-04-20,19.5013,19.5249,19.47,19.4857,36980,36980,-0.015694,-0.08,19.4969,"Apr 20, 15",0.006487569795610671
2015-04-21,19.5014,19.5249,19.4857,19.4857,41902,41902,0,0,19.5016,"Apr 21, 15",0.006487569795610671
2015-04-22,19.5249,19.5249,19.3837,19.4229,104706,104706,-0.062783,-0.322,19.4534,"Apr 22, 15",0.0032437848978052438
2015-04-23,19.4622,19.4857,19.4229,19.4465,41791,41791,0.023543,0.121,19.4561,"Apr 23, 15",0.004462786865770381
2015-04-24,19.5014,19.5799,19.4394,19.4928,127452,127452,0.046302,0.238,19.5348,"Apr 24, 15",0.006854303438515287
2015-04-27,19.4857,19.5406,19.4622,19.4943,24582,24582,0.001569,0.008,19.4961,"Apr 27, 15",0.006931782377157136
2015-04-28,19.5011,19.5406,19.47,19.5014,38196,38196,0.007063,0.036,19.5013,"Apr 28, 15",0.007298516020061936
2015-04-29,19.47,19.4857,19.4229,19.4465,26062,26062,-0.054934,-0.282,19.4534,"Apr 29, 15",0.004462786865770381
2015-04-30,19.4229,19.4805,19.3209,19.3757,31351,31351,-0.070706,-0.364,19.3708,"Apr 30, 15",0.000805780961875154
2015-05-01,19.3837,19.4151,19.211,19.3523,21290,21290,-0.023466,-0.121,19.3161,"May 1, 15",-0.000402890480937577
2015-05-04,19.3444,19.3814,19.2581,19.3814,10257,10257,0.029116,0.15,19.332,"May 4, 15",0.0011002009287142162
2015-05-05,19.3859,19.4622,19.3131,19.4622,38372,38372,0.080753,0.417,19.3838,"May 5, 15",0.005273733090221645
2015-05-06,19.4622,19.4622,19.1169,19.2266,59052,59052,-0.235509,-1.21,19.2402,"May 6, 15",-0.006895625539124176
2015-05-07,19.1561,19.3051,19.0541,19.2189,24053,24053,-0.007769,-0.04,19.2013,"May 7, 15",-0.007293350757485642
2015-05-08,19.3052,19.3837,19.2267,19.3052,30485,30485,0.086324,0.449,19.3039,"May 8, 15",-0.002835729154291556
2015-05-11,19.3052,19.3837,19.2346,19.3836,34087,34087,0.078397,0.406,19.3204,"May 11, 15",0.0012138367053890257
2015-05-12,19.3444,19.3837,19.2268,19.3836,19846,19846,0,0,19.3375,"May 12, 15",0.0012138367053890257
2015-05-13,19.4072,19.4622,19.2973,19.4582,30599,30599,0.074634,0.385,19.4385,"May 13, 15",0.005067122587176838
2015-05-14,19.3915,19.5328,19.3915,19.5249,15789,15789,0.066704,0.343,19.483,"May 14, 15",0.008512352725450778
2015-05-15,19.5328,19.5328,19.4386,19.4622,20800,20800,-0.062781,-0.322,19.5127,"May 15, 15",0.005273733090221645
2015-05-18,19.5014,19.5642,19.5014,19.5563,30594,30594,0.094172,0.484,19.5429,"May 18, 15",0.010134245174353492
2015-05-19,19.5406,19.5406,19.4936,19.5405,25860,25860,-0.015776,-0.081,19.5282,"May 19, 15",0.009318133687326115
2015-05-20,19.5108,19.5406,19.4229,19.5093,46538,46538,-0.031234,-0.16,19.4611,"May 20, 15",0.007706571763575624
2015-05-21,19.5092,19.5328,19.4622,19.4622,43300,43300,-0.047162,-0.242,19.5048,"May 21, 15",0.005273733090221645
2015-05-22,19.5406,19.572,19.4857,19.5406,93742,93742,0.078476,0.403,19.5269,"May 22, 15",0.009323298949902227
2015-05-26,19.5799,19.5799,19.5014,19.5014,21065,21065,-0.039239,-0.201,19.5276,"May 26, 15",0.007298516020061936
2015-05-27,19.5093,19.6269,19.5014,19.5877,47869,47869,0.086324,0.443,19.5742,"May 27, 15",0.011756137623256207
2015-05-28,19.5171,19.5948,19.4622,19.5493,43967,43967,-0.038453,-0.196,19.5213,"May 28, 15",0.009772676794024803
2015-05-29,19.4857,19.5956,19.4701,19.4701,20430,20430,-0.079181,-0.405,19.5267,"May 29, 15",0.0056817888337353335
2015-06-01,19.5249,19.5799,19.4936,19.5171,8211,8211,0.047004,0.241,19.5488,"Jun 1, 15",0.008109462244513201
2015-06-02,19.5171,19.5406,19.4543,19.5013,36372,36372,-0.015771,-0.081,19.5068,"Jun 2, 15",0.0072933507574858255
2015-06-03,19.5014,19.5014,19.2534,19.3834,27520,27520,-0.117952,-0.605,19.3876,"Jun 3, 15",0.0012035061802368036
2015-06-04,19.6034,19.6583,19.5406,19.6583,331341,331341,0.274982,1.419,19.627,"Jun 4, 15",0.015402813001999027
2015-06-05,19.6583,19.7604,19.5877,19.6583,121157,121157,0,0,19.6535,"Jun 5, 15",0.015402813001999027
2015-06-08,19.7761,19.7761,19.6434,19.6897,90205,90205,0.031392,0.16,19.6902,"Jun 8, 15",0.017024705450901557
2015-06-09,19.674,19.674,19.6191,19.6505,127466,127466,-0.039239,-0.199,19.6387,"Jun 9, 15",0.01499992252106145
2015-06-10,19.6505,19.6583,19.6191,19.6542,74352,74352,0.003687,0.019,19.6433,"Jun 10, 15",0.015191037236377925
2015-06-11,19.674,19.674,19.5406,19.5956,132748,132748,-0.05862,-0.298,19.6349,"Jun 11, 15",0.012164193366769894
2015-06-12,19.6897,19.6976,19.6034,19.6576,39130,39130,0.061995,0.316,19.6499,"Jun 12, 15",0.015366656163966066
2015-06-15,19.6662,19.7211,19.6192,19.721,32667,32667,0.063487,0.323,19.6795,"Jun 15, 15",0.01864143263722816
2015-06-16,19.7368,19.7604,19.6741,19.7368,51330,51330,0.015775,0.08,19.7208,"Jun 16, 15",0.019457544124255537
2015-06-17,19.7604,19.7761,19.69,19.729,70466,70466,-0.007846,-0.04,19.7158,"Jun 17, 15",0.01905465364331796
2015-06-18,19.7368,20.0272,19.7367,19.8153,86531,86531,0.086321,0.438,19.7972,"Jun 18, 15",0.02351227524651223
2015-06-19,19.8938,20.0507,19.8153,19.933,86343,86343,0.117716,0.594,19.9508,"Jun 19, 15",0.02959178929860903
2015-06-22,20.2469,20.2469,19.7761,19.9095,118227,118227,-0.023545,-0.118,19.908,"Jun 22, 15",0.028377952593220186
2015-06-23,19.9409,20.0115,19.8545,19.9095,69590,69590,0,0,19.9265,"Jun 23, 15",0.028377952593220186
