date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,42.5883,43.1467,42.2218,42.2742,10394,10394,-0.270484,-0.636,42.5532,"Aug 5, 13",0
2013-08-06,42.6581,43.1031,41.5587,41.9339,15118,15118,-0.340286,-0.805,42.1704,"Aug 6, 13",-0.008049827081293062
2013-08-07,41.9426,42.1782,41.5098,41.5761,7732,7732,-0.357738,-0.853,41.7759,"Aug 7, 13",-0.016513618235235762
2013-08-08,41.9077,42.2995,41.5412,41.6634,17131,17131,0.087252,0.21,41.8189,"Aug 8, 13",-0.014448528889961195
2013-08-09,41.7157,41.8815,40.8345,41.1399,21085,21085,-0.523518,-1.257,41.205,"Aug 9, 13",-0.02683196843464816
2013-08-12,41.105,41.7768,40.8781,41.7681,15062,15062,0.628221,1.527,41.3509,"Aug 12, 13",-0.011971840981023971
2013-08-13,41.7332,41.7332,40.9654,41.3842,11214,11214,-0.383911,-0.919,41.3336,"Aug 13, 13",-0.021053029980460908
2013-08-14,41.6023,41.6372,41.009,41.2097,13718,13718,-0.174506,-0.422,41.2742,"Aug 14, 13",-0.02518084316202323
2013-08-15,40.5727,41.262,40.5727,40.9654,25040,25040,-0.244309,-0.593,40.9784,"Aug 15, 13",-0.03095978161621031
2013-08-16,41.009,41.6896,40.6338,41.3056,36952,36952,0.340284,0.831,41.1636,"Aug 16, 13",-0.022912320043903898
2013-08-19,41.1399,41.3929,40.8432,40.8519,13378,13378,-0.453717,-1.098,41.129,"Aug 19, 13",-0.03364463431596576
2013-08-20,41.009,41.454,40.9566,41.3318,13790,13790,0.479895,1.175,41.1981,"Aug 20, 13",-0.022292556689422843
2013-08-21,41.3056,41.3493,40.7472,41.0177,12736,12736,-0.314111,-0.76,41.1118,"Aug 21, 13",-0.029722620416235024
2013-08-22,41.1835,41.4234,40.9217,41.4104,7824,7824,0.392639,0.957,41.266,"Aug 22, 13",-0.020433266625979857
2013-08-23,41.3842,41.3929,40.9828,40.9915,19039,19039,-0.418817,-1.011,41.0977,"Aug 23, 13",-0.03034238377071591
2013-08-26,41.1311,41.4453,40.7298,40.8432,5780,5780,-0.14833,-0.362,41.0523,"Aug 26, 13",-0.03385043359779718
2013-08-27,40.6163,40.9915,39.8398,40.023,15870,15870,-0.820179,-2.008,40.3406,"Aug 27, 13",-0.053252338305633154
2013-08-28,40.1277,40.5727,39.9183,40.2237,13295,13295,0.200682,0.501,40.1693,"Aug 28, 13",-0.048504761769589955
2013-08-29,40.0579,40.7996,39.5257,40.7996,9219,9219,0.575871,1.432,40.4604,"Aug 29, 13",-0.03488179551594122
2013-08-30,40.6512,40.6512,39.7874,40.2586,17732,17732,-0.540971,-1.326,40.2356,"Aug 30, 13",-0.047679199133277485
2013-09-03,40.2673,40.5989,40.0405,40.311,9443,9443,0.052352,0.13,40.2628,"Sep 3, 13",-0.04643967242431555
2013-09-04,40.0841,40.6425,39.6566,40.215,13327,13327,-0.095975,-0.238,40.3209,"Sep 4, 13",-0.04871056105142137
2013-09-05,40.4157,40.5029,39.9969,40.2935,8575,8575,0.078525,0.195,40.2196,"Sep 5, 13",-0.04685363649696502
