date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-09-09,11.5,11.55,11.5,11.55,3410208,3410208,11.55,0,11.5249,"Sep 9, 14",0
2014-09-17,11,11,11,11,350000,350000,-0.55,-4.762,11,"Sep 17, 14",-0.04761904761904768
2014-09-24,,,,11,2500,2500,0,0,,"Sep 24, 14",-0.04761904761904768
2014-09-25,11.85,11.85,11.85,11.85,53000,53000,0.85,7.727,11.85,"Sep 25, 14",0.02597402597402588
2014-09-29,11.85,11.85,11.85,11.85,4500,4500,0,0,11.85,"Sep 29, 14",0.02597402597402588
2014-10-06,11.84,11.84,11.84,11.84,3500,3500,-0.01,-0.084,11.84,"Oct 6, 14",0.025108225108225034
2014-10-09,10.95,10.95,10.95,10.95,1000,1000,-0.89,-7.517,10.95,"Oct 9, 14",-0.05194805194805207
2014-10-13,,,,10.95,2000,2000,0,0,,"Oct 13, 14",-0.05194805194805207
2014-11-06,11.85,11.85,11.85,11.85,900,900,0.9,8.219,11.85,"Nov 6, 14",0.02597402597402588
2014-11-18,,,,11.85,2500,2500,0,0,,"Nov 18, 14",0.02597402597402588
2014-12-05,11.25,11.25,11.25,11.25,310000,310000,-0.6,-5.063,11.25,"Dec 5, 14",-0.025974025974026035
2014-12-15,,,,11.25,297800,297800,0,0,,"Dec 15, 14",-0.025974025974026035
2014-12-17,10.5,10.5,10.5,10.5,621200,621200,-0.75,-6.667,10.5,"Dec 17, 14",-0.09090909090909097
2015-01-14,10.25,10.25,10.25,10.25,38326,38326,-0.25,-2.381,10.25,"Jan 14, 15",-0.11255411255411261
2015-01-15,,,,10.25,1500,1500,0,0,,"Jan 15, 15",-0.11255411255411261
2015-01-21,10,10,10,10,200,200,-0.25,-2.439,10,"Jan 21, 15",-0.13419913419913426
2015-01-22,10,10,10,10,100,100,0,0,10,"Jan 22, 15",-0.13419913419913426
2015-01-23,10.025,10.025,10.025,10.025,2000,2000,0.025,0.25,10.025,"Jan 23, 15",-0.13203463203463206
2015-01-30,10,10,10,10,123310,123310,-0.025,-0.249,10,"Jan 30, 15",-0.13419913419913426
2015-02-11,9.75,9.77,9.75,9.75,112445,112445,-0.25,-2.5,9.7509,"Feb 11, 15",-0.1558441558441559
2015-02-23,10.2,10.2,10.2,10.2,200,200,0.45,4.615,10.2,"Feb 23, 15",-0.116883116883117
2015-02-27,10.53,10.53,10.4,10.4,56272,56272,0.2,1.961,10.4058,"Feb 27, 15",-0.0995670995670996
2015-03-04,,,,10.4,19203,19203,0,0,,"Mar 4, 15",-0.0995670995670996
2015-03-10,,,,10.4,3000,3000,0,0,,"Mar 10, 15",-0.0995670995670996
2015-03-17,10.28,10.28,10.28,10.28,2500,2500,-0.12,-1.154,10.28,"Mar 17, 15",-0.10995670995671007
2015-04-17,12.05,12.05,12.05,12.05,9770,9770,1.77,17.218,12.05,"Apr 17, 15",0.04329004329004329
2015-04-20,12.25,14.5,12.25,14.5,360069,360069,2.45,20.332,13.6585,"Apr 20, 15",0.2554112554112553
2015-04-21,15.5,16.5,15.5,16.5,549778,549778,2,13.793,16.1165,"Apr 21, 15",0.4285714285714285
2015-04-22,16.5,18,16.5,18,1009167,1009167,1.5,9.091,17.0107,"Apr 22, 15",0.5584415584415583
2015-04-23,18,18.85,18,18.75,527900,527900,0.75,4.167,18.6051,"Apr 23, 15",0.6233766233766233
2015-04-24,18.75,18.75,17.75,17.9,40500,40500,-0.85,-4.533,18.1574,"Apr 24, 15",0.5497835497835496
2015-04-27,18,18,18,18,70750,70750,0.1,0.559,18,"Apr 27, 15",0.5584415584415583
2015-06-03,20,21,19,20.75,3719303,3719303,2.75,15.278,20.004,"Jun 3, 15",0.7965367965367964
2015-06-04,20,20.75,20,20.4,1240557,1240557,-0.35,-1.687,20.1366,"Jun 4, 15",0.766233766233766
2015-06-05,20,21.1,20,21.1,3230812,3230812,0.7,3.431,20.6378,"Jun 5, 15",0.8268398268398268
2015-06-08,21.25,21.85,21.25,21.75,1845027,1845027,0.65,3.081,21.4707,"Jun 8, 15",0.883116883116883
2015-06-09,21.75,22,21.74,21.75,576187,576187,0,0,23.4212,"Jun 9, 15",0.883116883116883
2015-06-10,21.75,21.75,21.5,21.5,319775,319775,-0.25,-1.149,21.5174,"Jun 10, 15",0.8614718614718614
2015-06-11,21.75,22,21.5,21.5,268502,268502,0,0,21.5323,"Jun 11, 15",0.8614718614718614
2015-06-12,21.75,21.85,21.25,21.25,1131048,1131048,-0.25,-1.163,21.2742,"Jun 12, 15",0.8398268398268397
2015-06-15,21.5,21.65,21.25,21.25,155850,155850,0,0,22.083,"Jun 15, 15",0.8398268398268397
2015-06-16,21.5,21.75,21.25,21.75,23595,23595,0.5,2.353,21.3451,"Jun 16, 15",0.883116883116883
2015-06-17,,,,21.75,50,50,0,0,,"Jun 17, 15",0.883116883116883
2015-06-18,21.75,21.75,21.5,21.55,126675,126675,-0.2,-0.92,21.7413,"Jun 18, 15",0.8658008658008658
2015-06-19,21.25,21.75,21.25,21.75,213600,213600,0.2,0.928,21.356,"Jun 19, 15",0.883116883116883
2015-06-22,21.5,22,21.5,21.75,157050,157050,0,0,21.7348,"Jun 22, 15",0.883116883116883
2015-06-23,21.25,21.5,21.25,21.44,418412,418412,-0.31,-1.425,21.3146,"Jun 23, 15",0.8562770562770563
