date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,11.67,11.72,11.47,11.49,286076,286076,-0.24,-2.046,11.5644,"Aug 5, 13",0
2013-08-06,11.48,11.48,11.21,11.24,460690,460690,-0.25,-2.176,11.3129,"Aug 6, 13",-0.02175805047867711
2013-08-07,11.24,11.24,10.94,11.16,810069,810069,-0.08,-0.712,11.1413,"Aug 7, 13",-0.02872062663185379
2013-08-08,11.25,11.288,11.1425,11.19,389138,389138,0.03,0.269,11.2074,"Aug 8, 13",-0.026109660574412594
2013-08-09,11.2,11.35,11.1,11.32,261972,261972,0.13,1.162,11.2673,"Aug 9, 13",-0.014795474325500428
2013-08-12,11.35,11.47,11.3,11.47,304835,304835,0.15,1.325,11.413,"Aug 12, 13",-0.0017406440382941317
2013-08-13,11.52,11.64,11.41,11.59,251468,251468,0.12,1.046,11.5631,"Aug 13, 13",0.008703220191470813
2013-08-14,11.61,11.65,11.44,11.45,159086,159086,-0.14,-1.208,11.5176,"Aug 14, 13",-0.003481288076588418
2013-08-15,11.31,11.6,11.22,11.41,345099,345099,-0.04,-0.349,11.4357,"Aug 15, 13",-0.006962576153176681
2013-08-16,11.35,11.62,11.3,11.58,310480,310480,0.17,1.49,11.5069,"Aug 16, 13",0.007832898172323747
2013-08-19,11.56,11.57,11.31,11.31,319005,319005,-0.27,-2.332,11.4613,"Aug 19, 13",-0.015665796344647494
2013-08-20,11.28,11.66,11.18,11.58,328078,328078,0.27,2.387,11.5256,"Aug 20, 13",0.007832898172323747
2013-08-21,11.52,11.56,11.23,11.32,201659,201659,-0.26,-2.245,11.3691,"Aug 21, 13",-0.014795474325500428
2013-08-22,11.35,11.75,11.35,11.55,221663,221663,0.23,2.032,11.562,"Aug 22, 13",0.00522193211488255
2013-08-23,11.56,11.64,11.48,11.52,152452,152452,-0.03,-0.26,11.5442,"Aug 23, 13",0.0026109660574411974
2013-08-26,11.52,11.79,11.5,11.58,234051,234051,0.06,0.521,11.6658,"Aug 26, 13",0.007832898172323747
2013-08-27,11.45,11.57,11.34,11.39,306937,306937,-0.19,-1.641,11.4229,"Aug 27, 13",-0.008703220191470813
2013-08-28,11.44,11.71,11.44,11.56,173196,173196,0.17,1.493,11.6084,"Aug 28, 13",0.006092254134029616
2013-08-29,11.53,11.685,11.45,11.54,243786,243786,-0.02,-0.173,11.5487,"Aug 29, 13",0.004351610095735329
2013-08-30,11.53,11.6,11.12,11.13,316478,316478,-0.41,-3.553,11.2179,"Aug 30, 13",-0.03133159268929499
2013-09-03,11.32,11.56,11.17,11.23,331621,331621,0.1,0.898,11.3109,"Sep 3, 13",-0.022628372497824175
2013-09-04,11.24,11.46,11.14,11.34,235479,235479,0.11,0.98,11.3427,"Sep 4, 13",-0.013054830287206297
2013-09-05,11.32,11.48,11.29,11.3,267433,267433,-0.04,-0.353,11.37,"Sep 5, 13",-0.01653611836379456
2013-09-06,11.38,11.56,11.11,11.56,539750,539750,0.26,2.301,11.4413,"Sep 6, 13",0.006092254134029616
2013-09-09,11.66,11.83,11.65,11.83,1285158,1285158,0.27,2.336,11.7546,"Sep 9, 13",0.029590948651000856
2013-09-10,11.89,12.09,11.76,11.86,473653,473653,0.03,0.254,11.9349,"Sep 10, 13",0.03220191470844205
2013-09-11,11.82,12.06,11.78,11.96,299116,299116,0.1,0.843,11.9415,"Sep 11, 13",0.04090513489991302
2013-09-12,11.86,11.88,11.68,11.69,496570,496570,-0.27,-2.258,11.736,"Sep 12, 13",0.017406440382941625
2013-09-13,11.68,11.98,11.67,11.88,765778,765778,0.19,1.625,11.8208,"Sep 13, 13",0.033942558746736344
2013-09-16,12.07,12.08,11.89,11.97,319312,319312,0.09,0.758,11.9832,"Sep 16, 13",0.04177545691906009
2013-09-17,11.96,12.03,11.86,11.87,182365,182365,-0.1,-0.835,11.9056,"Sep 17, 13",0.03307223672758912
2013-09-18,11.85,12,11.65,11.98,304595,304595,0.11,0.927,11.8607,"Sep 18, 13",0.04264577893820715
2013-09-19,12.04,12.16,11.98,12.02,169009,169009,0.04,0.334,12.0623,"Sep 19, 13",0.046127067014795416
2013-09-20,12,12.06,11.89,12.05,927297,927297,0.03,0.25,12.0147,"Sep 20, 13",0.04873803307223677
2013-09-23,12.03,12.03,11.8,11.99,390722,390722,-0.06,-0.498,11.9183,"Sep 23, 13",0.04351610095735422
2013-09-24,11.98,12.02,11.72,11.88,415418,415418,-0.11,-0.917,11.8813,"Sep 24, 13",0.033942558746736344
2013-09-25,11.86,12.08,11.85,11.87,313682,313682,-0.01,-0.084,11.9422,"Sep 25, 13",0.03307223672758912
2013-09-26,12.2,12.56,12.16,12.47,2832888,2832888,0.6,5.055,12.2949,"Sep 26, 13",0.0852915578764143
2013-09-27,12.35,12.69,12.33,12.56,11139158,11139158,0.09,0.722,12.5458,"Sep 27, 13",0.09312445604873805
2013-09-30,12.66,12.68,12.16,12.66,2126469,2126469,0.1,0.796,12.4482,"Sep 30, 13",0.10182767624020887
2013-10-01,12.64,12.73,12.5,12.61,1900465,1900465,-0.05,-0.395,12.5954,"Oct 1, 13",0.09747606614447339
2013-10-02,12.5,12.68,12.42,12.53,1006684,1006684,-0.08,-0.634,12.5844,"Oct 2, 13",0.0905134899912967
2013-10-03,12.48,12.58,12.3,12.56,625999,625999,0.03,0.239,12.4691,"Oct 3, 13",0.09312445604873805
2013-10-04,12.54,12.74,12.5,12.6,796031,796031,0.04,0.318,12.6491,"Oct 4, 13",0.09660574412532633
2013-10-07,12.53,12.63,12.41,12.51,523024,523024,-0.09,-0.714,12.5352,"Oct 7, 13",0.08877284595300257
2013-10-08,12.53,12.67,12.26,12.46,548492,548492,-0.05,-0.4,12.4533,"Oct 8, 13",0.08442123585726724
2013-10-09,12.44,12.45,12.01,12.1,687089,687089,-0.36,-2.889,11.6497,"Oct 9, 13",0.0530896431679721
2013-10-10,12.27,12.68,12.23,12.66,523107,523107,0.56,4.628,12.5184,"Oct 10, 13",0.10182767624020887
2013-10-11,12.61,13.209,12.58,13.15,1167665,1167665,0.49,3.87,13.0442,"Oct 11, 13",0.14447345517841603
2013-10-14,12.77,13.11,12.6459,13.08,673731,673731,-0.07,-0.532,12.9262,"Oct 14, 13",0.13838120104438642
2013-10-15,13.04,13.06,12.78,12.93,1217932,1217932,-0.15,-1.147,12.9181,"Oct 15, 13",0.12532637075718012
2013-10-16,13.07,13.24,12.96,13.2,566967,566967,0.27,2.088,13.1443,"Oct 16, 13",0.14882506527415135
2013-10-17,13.19,13.32,13.06,13.2,515100,515100,0,0,13.181,"Oct 17, 13",0.14882506527415135
2013-10-18,13.33,13.57,13.33,13.5,558309,558309,0.3,2.273,13.4546,"Oct 18, 13",0.17493472584856395
2013-10-21,13.52,13.639,13.375,13.4,350204,350204,-0.1,-0.741,13.4884,"Oct 21, 13",0.16623150565709313
2013-10-22,13.41,13.59,13.235,13.31,445222,445222,-0.09,-0.672,13.3719,"Oct 22, 13",0.1583986074847694
2013-10-23,13.23,13.23,12.92,12.95,649251,649251,-0.36,-2.705,13.0138,"Oct 23, 13",0.12706701479547425
2013-10-24,12.92,12.94,12.81,12.84,790701,790701,-0.11,-0.849,12.858,"Oct 24, 13",0.11749347258485636
2013-10-25,12.96,13,12.21,12.79,995096,995096,-0.05,-0.389,12.6816,"Oct 25, 13",0.11314186248912088
2013-10-28,12.76,13.09,12.73,13.05,843022,843022,0.26,2.033,13.0199,"Oct 28, 13",0.1357702349869452
2013-10-29,13.04,13.23,13,13.02,382032,382032,-0.03,-0.23,13.0663,"Oct 29, 13",0.13315926892950386
2013-10-30,13.02,13.2,12.73,12.89,589150,589150,-0.13,-0.998,12.8857,"Oct 30, 13",0.12184508268059185
2013-10-31,12.91,12.95,12.661,12.75,380460,380460,-0.14,-1.086,12.7945,"Oct 31, 13",0.10966057441253262
2013-11-01,12.73,12.73,12.4,12.68,741645,741645,-0.07,-0.549,12.6551,"Nov 1, 13",0.103568320278503
2013-11-04,12.7,12.97,12.66,12.94,421740,421740,0.26,2.05,12.8797,"Nov 4, 13",0.12619669277632717
2013-11-05,12.8,12.8799,12.7,12.84,328376,328376,-0.1,-0.773,12.8094,"Nov 5, 13",0.11749347258485636
2013-11-06,12.94,12.98,12.67,12.72,757343,757343,-0.12,-0.935,12.7877,"Nov 6, 13",0.10704960835509142
2013-11-07,12.79,12.79,12.41,12.44,439425,439425,-0.28,-2.201,12.5423,"Nov 7, 13",0.08268059181897296
2013-11-08,12.42,12.7,12.25,12.66,433589,433589,0.22,1.768,12.6098,"Nov 8, 13",0.10182767624020887
2013-11-11,12.67,12.86,12.56,12.72,336883,336883,0.06,0.474,12.7681,"Nov 11, 13",0.10704960835509142
2013-11-12,12.63,12.63,12.36,12.49,388262,388262,-0.23,-1.808,12.4575,"Nov 12, 13",0.08703220191470844
2013-11-13,12.37,12.68,12.3,12.66,385849,385849,0.17,1.361,12.5648,"Nov 13, 13",0.10182767624020887
2013-11-14,12.62,12.69,12.48,12.61,368020,368020,-0.05,-0.395,12.581,"Nov 14, 13",0.09747606614447339
2013-11-15,12.84,12.89,12.68,12.79,648610,648610,0.18,1.427,12.7711,"Nov 15, 13",0.11314186248912088
2013-11-18,12.85,12.85,12.355,12.41,478210,478210,-0.38,-2.971,12.5647,"Nov 18, 13",0.08006962576153176
2013-11-19,12.37,12.45,12.05,12.17,975779,975779,-0.24,-1.934,12.1607,"Nov 19, 13",0.05918189730200171
2013-11-20,12.24,12.24,11.95,12.03,703952,703952,-0.14,-1.15,12.0471,"Nov 20, 13",0.04699738903394248
2013-11-21,12.06,12.19,11.94,12.17,697983,697983,0.14,1.164,12.0791,"Nov 21, 13",0.05918189730200171
2013-11-22,12.22,12.4,12.02,12.36,524162,524162,0.19,1.561,12.2743,"Nov 22, 13",0.07571801566579628
2013-11-25,12.33,12.33,11.78,11.82,482921,482921,-0.54,-4.369,11.8776,"Nov 25, 13",0.02872062663185379
2013-11-26,11.78,12.26,11.78,12.25,559873,559873,0.43,3.638,12.1184,"Nov 26, 13",0.06614447345517839
2013-11-27,12.24,12.24,11.815,11.96,439089,439089,-0.29,-2.367,11.9667,"Nov 27, 13",0.04090513489991302
2013-11-29,12.05,12.23,11.87,12.06,171304,171304,0.1,0.836,12.1041,"Nov 29, 13",0.04960835509138384
2013-12-02,12.02,12.28,11.89,12.14,508549,508549,0.08,0.663,12.1598,"Dec 2, 13",0.056570931244560516
2013-12-03,12.09,12.21,11.895,12.1,432932,432932,-0.04,-0.329,12.0887,"Dec 3, 13",0.0530896431679721
2013-12-04,12.03,12.27,11.94,12.11,630407,630407,0.01,0.083,12.0923,"Dec 4, 13",0.053959965187119166
2013-12-05,12.11,12.39,12.02,12.27,600750,600750,0.16,1.321,12.2387,"Dec 5, 13",0.06788511749347252
2013-12-06,12.42,12.5,12.27,12.47,1026479,1026479,0.2,1.63,12.4534,"Dec 6, 13",0.0852915578764143
2013-12-09,12.46,12.59,12.33,12.35,1376752,1376752,-0.12,-0.962,12.4838,"Dec 9, 13",0.07484769364664921
2013-12-10,12.29,12.39,11.94,11.96,565020,565020,-0.39,-3.158,12.1137,"Dec 10, 13",0.04090513489991302
2013-12-11,11.98,12.02,11.73,11.8,422637,422637,-0.16,-1.338,11.8048,"Dec 11, 13",0.02697998259355966
2013-12-12,11.78,12.105,11.744,12.02,445680,445680,0.22,1.864,11.9528,"Dec 12, 13",0.046127067014795416
2013-12-13,12.04,12.13,11.9,12.06,389432,389432,0.04,0.333,12.0492,"Dec 13, 13",0.04960835509138384
2013-12-16,12.07,12.47,12.07,12.43,529329,529329,0.37,3.068,12.3177,"Dec 16, 13",0.08181026979982589
2013-12-17,12.41,12.43,12.07,12.14,783789,783789,-0.29,-2.333,12.2358,"Dec 17, 13",0.056570931244560516
2013-12-18,12.13,12.16,11.78,11.95,784574,784574,-0.19,-1.565,11.9378,"Dec 18, 13",0.040034812880765804
2013-12-19,11.93,11.96,11.66,11.71,718629,718629,-0.24,-2.008,11.7607,"Dec 19, 13",0.019147084421235912
2013-12-20,11.66,12.02,11.65,11.9,1340321,1340321,0.19,1.623,11.8661,"Dec 20, 13",0.035683202785030475
2013-12-23,11.95,12.22,11.91,12.05,534241,534241,0.15,1.261,12.0629,"Dec 23, 13",0.04873803307223677
2013-12-24,12,12.28,12,12,365096,365096,-0.05,-0.415,12.1271,"Dec 24, 13",0.044386422976501284
2013-12-26,12.07,12.2,11.99,12.05,500756,500756,0.05,0.417,12.1132,"Dec 26, 13",0.04873803307223677
2013-12-27,12.15,12.33,12.05,12.21,424237,424237,0.16,1.328,12.2472,"Dec 27, 13",0.06266318537859013
2013-12-30,12.2,12.405,12.2,12.28,493842,493842,0.07,0.573,12.3321,"Dec 30, 13",0.06875543951261959
2013-12-31,12.28,12.31,12.23,12.29,353845,353845,0.01,0.081,12.2879,"Dec 31, 13",0.06962576153176665
2014-01-02,12.24,12.31,12.03,12.04,441667,441667,-0.25,-2.034,12.1343,"Jan 2, 14",0.04786771105308955
2014-01-03,12.02,12.26,12.02,12.18,484873,484873,0.14,1.163,12.1313,"Jan 3, 14",0.06005221932114878
2014-01-06,12.25,12.45,12.16,12.24,648455,648455,0.06,0.493,12.2962,"Jan 6, 14",0.06527415143603132
2014-01-07,12.24,12.38,12.125,12.14,415476,415476,-0.1,-0.817,12.2151,"Jan 7, 14",0.056570931244560516
2014-01-08,12.1,12.155,11.81,11.87,1099384,1099384,-0.27,-2.224,11.9179,"Jan 8, 14",0.03307223672758912
2014-01-09,11.93,11.98,11.76,11.85,471480,471480,-0.02,-0.168,11.845,"Jan 9, 14",0.03133159268929499
2014-01-10,11.83,12.1,11.8,11.93,1208938,1208938,0.08,0.675,11.8851,"Jan 10, 14",0.03829416884247167
2014-01-13,11.81,11.95,11.71,11.75,470865,470865,-0.18,-1.509,11.6321,"Jan 13, 14",0.022628372497824175
2014-01-14,11.8,12.03,11.8,12.02,495336,495336,0.27,2.298,11.94,"Jan 14, 14",0.046127067014795416
2014-01-15,12.04,12.18,12.02,12.13,348383,348383,0.11,0.915,12.1073,"Jan 15, 14",0.05570060922541345
2014-01-16,12.14,12.2101,11.98,12.07,507263,507263,-0.06,-0.495,12.0453,"Jan 16, 14",0.0504786771105309
2014-01-17,12.11,12.29,12.01,12.1,767184,767184,0.03,0.249,12.1081,"Jan 17, 14",0.0530896431679721
2014-01-21,12.1,12.29,12.04,12.22,487537,487537,0.12,0.992,12.188,"Jan 21, 14",0.0635335073977372
2014-01-22,12.22,12.56,12.15,12.48,957991,957991,0.26,2.128,13.3628,"Jan 22, 14",0.08616187989556137
2014-01-23,12.38,12.45,12.15,12.21,467071,467071,-0.27,-2.163,12.1597,"Jan 23, 14",0.06266318537859013
2014-01-24,12.08,12.08,11.705,11.84,571261,571261,-0.37,-3.03,11.7558,"Jan 24, 14",0.030461270670147922
2014-01-27,11.83,11.84,11.255,11.48,852250,852250,-0.36,-3.041,11.4802,"Jan 27, 14",-0.0008703220191470659
2014-01-28,11.46,11.49,11.3,11.44,1485295,1485295,-0.04,-0.348,11.3964,"Jan 28, 14",-0.0043516100957354835
2014-01-29,11.29,11.46,11.17,11.25,714695,714695,-0.19,-1.661,11.043,"Jan 29, 14",-0.020887728459530044
2014-01-30,11.38,11.53,11.3,11.49,417693,417693,0.24,2.133,11.4536,"Jan 30, 14",0
