date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,10.9261,11.0402,10.8881,10.9566,55298,55298,-0.076036,-0.689,10.9715,"Aug 5, 13",0
2013-08-06,10.9185,10.9642,10.8577,10.9185,62278,62278,-0.038018,-0.347,10.9228,"Aug 6, 13",-0.0034773561141229967
2013-08-07,10.9794,10.9794,10.8729,10.8805,47054,47054,-0.038019,-0.348,10.9095,"Aug 7, 13",-0.006945585309311308
2013-08-08,10.8805,10.9185,10.8804,10.8881,43825,43825,0.007601,0.07,10.9029,"Aug 8, 13",-0.006251939470273646
2013-08-09,10.9413,10.9413,10.8805,10.9185,37849,37849,0.030418,0.279,10.9197,"Aug 9, 13",-0.0034773561141229967
2013-08-12,10.8729,10.9347,10.8729,10.8957,44139,44139,-0.02281,-0.209,10.9108,"Aug 12, 13",-0.005558293631235983
2013-08-13,10.8881,10.8881,10.7963,10.8269,81905,81905,-0.068808,-0.632,10.847,"Aug 13, 13",-0.011837613858313684
2013-08-14,10.8346,10.8346,10.7581,10.804,48516,48516,-0.022942,-0.212,10.809,"Aug 14, 13",-0.013927678294361355
2013-08-15,10.804,10.804,10.6816,10.7046,46865,46865,-0.099403,-0.92,10.7284,"Aug 15, 13",-0.022999835715459237
2013-08-16,10.7122,10.7122,10.5899,10.6511,80806,80806,-0.053517,-0.5,10.6385,"Aug 16, 13",-0.027882737345526928
2013-08-19,10.6893,10.6893,10.5822,10.6167,56243,56243,-0.03441,-0.323,10.6334,"Aug 19, 13",-0.03102239745906578
2013-08-20,10.6128,10.6893,10.6128,10.6816,44715,44715,0.064994,0.612,10.6638,"Aug 20, 13",-0.025099027070441593
2013-08-21,10.6816,10.6885,10.5899,10.674,58698,58698,-0.00765,-0.072,10.6501,"Aug 21, 13",-0.025792672909479255
2013-08-22,10.5746,10.911,10.5746,10.8804,90000,90000,0.206447,1.934,10.7404,"Aug 22, 13",-0.006954712228245993
2013-08-23,10.7658,10.8499,10.7122,10.7658,44417,44417,-0.114692,-1.054,10.7832,"Aug 23, 13",-0.017414161327419037
