date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,9.1599,9.1665,9.086,9.086,129098,129098,-0.096025,-1.046,9.1226,"Aug 5, 13",0
2013-08-06,9.0565,9.086,9.0269,9.086,138402,138402,0,0,9.0423,"Aug 6, 13",0
2013-08-07,9.0121,9.0786,9.0121,9.0565,108611,108611,-0.029555,-0.325,9.0432,"Aug 7, 13",-0.0032467532467533046
2013-08-08,9.0491,9.086,9.0195,9.0343,94406,94406,-0.022158,-0.245,9.0435,"Aug 8, 13",-0.0056900726392252144
2013-08-09,9.0195,9.0565,9.0121,9.0343,88837,88837,0,0,9.0282,"Aug 9, 13",-0.0056900726392252144
2013-08-12,9.0269,9.0786,9.0269,9.0712,80244,80244,0.036934,0.409,9.0517,"Aug 12, 13",-0.0016288795949814037
2013-08-13,9.0894,9.0894,8.9855,9.0226,147287,147287,-0.0486,-0.536,9.0112,"Aug 13, 13",-0.006977767994717112
2013-08-14,9.0226,9.0226,8.9891,9.0226,120305,120305,0,0,9.0044,"Aug 14, 13",-0.006977767994717112
2013-08-15,8.993,9.0004,8.9336,8.9781,110294,110294,-0.044521,-0.493,8.9618,"Aug 15, 13",-0.011875412722870436
2013-08-16,9.0004,9.0004,8.9039,8.9633,141548,141548,-0.014837,-0.165,8.9266,"Aug 16, 13",-0.013504292317851644
2013-08-19,8.9039,8.9484,8.8668,8.941,129166,129166,-0.022262,-0.248,8.9031,"Aug 19, 13",-0.01595861765353286
2013-08-20,8.8965,9.0375,8.8965,9.0226,149272,149272,0.08162,0.913,8.9797,"Aug 20, 13",-0.006977767994717112
2013-08-21,8.9855,9.0226,8.9707,9.0004,83489,83489,-0.022262,-0.247,9.0015,"Aug 21, 13",-0.009421087387189022
2013-08-22,8.9633,9.0894,8.9633,9.0894,81683,81683,0.08904,0.989,9.0534,"Aug 22, 13",0.0003742020691172333
2013-08-23,9.1191,9.1191,9.0301,9.0671,84565,84565,-0.022257,-0.245,9.0692,"Aug 23, 13",-0.002080123266563984
2013-08-26,9.1339,9.1339,9.0226,9.0226,63205,63205,-0.044521,-0.491,9.0567,"Aug 26, 13",-0.006977767994717112
2013-08-27,9.0152,9.0523,8.9855,9.0523,116173,116173,0.029679,0.329,9.0133,"Aug 27, 13",-0.0037090028615451923
2013-08-28,9.0449,9.0597,9.0078,9.0449,66407,66407,-0.007418,-0.082,9.0463,"Aug 28, 13",-0.004523442659035894
2013-08-29,9.0152,9.0375,8.9558,9.0375,70354,70354,-0.007419,-0.082,8.9932,"Aug 29, 13",-0.005337882456526596
2013-08-30,8.9855,9.0375,8.9707,9.0375,54580,54580,0,0,8.9925,"Aug 30, 13",-0.005337882456526596
2013-09-03,9.0375,9.0375,8.993,9.0152,106932,106932,-0.022255,-0.246,9.0134,"Sep 3, 13",-0.007792207792207814
2013-09-04,9.0152,9.0597,8.9559,9.0597,120655,120655,0.044512,0.494,9.012,"Sep 4, 13",-0.002894563064054686
2013-09-05,9.0523,9.0523,8.9781,8.9855,78915,78915,-0.074195,-0.819,9.0027,"Sep 5, 13",-0.011060972925379733
2013-09-06,8.9855,9.0152,8.941,8.9855,149209,149209,0,0,8.9699,"Sep 6, 13",-0.011060972925379733
2013-09-09,9.0261,9.0709,9.0112,9.0709,103087,103087,0.085336,0.95,9.0478,"Sep 9, 13",-0.0016618974246093259
2013-09-10,9.0261,9.0634,9.0038,9.0261,60204,60204,-0.044718,-0.493,9.017,"Sep 10, 13",-0.006592559982390571
2013-09-11,8.9591,8.974,8.9143,8.9218,121534,121534,-0.104349,-1.156,8.9404,"Sep 11, 13",-0.018071758749724963
2013-09-12,8.9143,8.9665,8.9143,8.9665,220672,220672,0.044719,0.501,8.9552,"Sep 12, 13",-0.013152102135153025
2013-09-13,8.9591,9.0485,8.9591,9.0336,108552,108552,0.067079,0.748,8.9965,"Sep 13, 13",-0.005767114241690562
2013-09-16,9.056,9.1752,9.056,9.1305,270326,270326,0.096896,1.073,9.1233,"Sep 16, 13",0.004897644728153128
2013-09-17,9.1305,9.2647,9.1305,9.2647,170713,170713,0.134164,1.469,9.1912,"Sep 17, 13",0.019667620515078053
2013-09-18,9.2572,9.4435,9.2125,9.4361,152391,152391,0.171426,1.85,9.3105,"Sep 18, 13",0.038531807175874906
2013-09-19,9.4361,9.4584,9.3914,9.4212,120108,120108,-0.014904,-0.158,9.4124,"Sep 19, 13",0.03689192163768439
2013-09-20,9.3988,9.4122,9.3541,9.3914,59745,59745,-0.029819,-0.317,9.3794,"Sep 20, 13",0.033612150561303164
2013-09-23,9.4212,9.4584,9.369,9.3765,53715,53715,-0.014902,-0.159,9.4022,"Sep 23, 13",0.031972265023112456
2013-09-24,9.369,9.4584,9.3541,9.4584,88476,88476,0.081988,0.874,9.4053,"Sep 24, 13",0.040986132511556125
2013-09-25,9.4584,9.4883,9.4137,9.4734,135341,135341,0.01491,0.158,9.456,"Sep 25, 13",0.042637023992956144
2013-09-26,9.451,9.5255,9.3914,9.5255,163092,163092,0.052172,0.551,9.4348,"Sep 26, 13",0.048371120405018585
2013-09-27,9.5032,9.5176,9.4137,9.4883,117610,117610,-0.037267,-0.391,9.4471,"Sep 27, 13",0.04427690953114685
2013-09-30,9.4659,9.4808,9.3839,9.4584,128378,128378,-0.029815,-0.314,9.4304,"Sep 30, 13",0.040986132511556125
